longest reception, name, receiving conversions, receiving touchdowns, receiving yards, receptions, targets
27,Amani Toomer,0,0,134,9,
22,Ike Hilliard,0,0,65,5,
20,Jeremy Shockey,0,0,44,3,
18,Ron Dixon,0,0,40,3,
12,Tiki Barber,0,0,37,5,
9,Sean Bennett,0,0,9,1,
9,Dan Campbell,0,0,9,1,
4,Ron Dayne,0,0,4,1,
38,Eric Johnson,0,0,44,3,
33,Terrell Owens,0,0,41,4,
15,JJ Stokes,0,0,37,3,
29,Kevan Barlow,0,0,34,3,
9,Garrison Hearst,0,1,10,2,
0,Fred Beasley,0,0,0,1,
52,Eric Moulds,0,1,112,8,
19,Peerless Price,0,0,80,7,
14,Josh Reed,0,0,33,3,
11,Travis Henry,0,0,29,6,
11,Jay Riemersma,0,0,11,1,
6,Larry Centers,0,0,6,1,
21,Wayne Chrebet,0,1,58,5,
21,Anthony Becht,1,1,36,4,
16,Curtis Martin,0,0,35,5,
10,Laveranues Coles,0,0,32,4,
9,Richie Anderson,0,0,19,3,
17,Santana Moss,0,0,17,1,
7,LaMont Jordan,0,0,7,1,
6,Chad Morton,0,0,6,1,
15,Steve Smith,0,0,38,4,
20,Wesley Walls,0,1,38,2,
33,Muhsin Muhammad,0,0,37,2,
9,Kris Mangum,0,0,14,2,
12,Brad Hoover,0,0,12,1,
-3,Nick Goings,0,0,-3,1,
22,Brandon Stokley,0,0,83,6,
36,Travis Taylor,0,0,53,2,
16,Jamal Lewis,0,0,33,4,
14,Ron Johnson,0,1,22,2,
5,Todd Heap,0,0,20,5,
7,Alan Ricard,0,0,7,1,
54,Marty Booker,0,1,198,8,
20,Dez White,0,0,46,4,
9,Anthony Thomas,0,0,22,4,
10,John Davis,0,0,10,1,
10,Marcus Robinson,0,0,10,1,
9,David Terrell,0,1,9,1,
2,Leon Johnson,0,0,2,1,
61,Byron Chamberlain,0,0,61,1,
20,Jimmy Kleinsasser,0,0,58,5,
33,Randy Moss,0,1,58,6,
46,D Wayne Bates,0,0,50,2,
11,Derrick Alexander,0,0,11,1,
-4,Moe Williams,0,0,-4,1,
51,Danny Farmer,0,0,54,2,
12,Peter Warrick,0,0,35,4,
16,TJ Houshmandzadeh,0,0,27,2,
14,Ron Dugans,0,0,23,2,
14,Corey Dillon,0,0,22,3,
13,Michael Westbrook,0,0,20,2,
9,Brandon Bennett,0,0,9,1,
4,Nicolas Luchey,0,0,4,1,
4,Lorenzo Neal,0,0,4,1,
24,Tim Dwight,0,0,45,3,
30,LaDainian Tomlinson,0,0,45,3,
12,Curtis Conway,0,1,39,5,
25,Fred McCrary,0,0,30,3,
1,Josh Norman,0,1,1,1,
44,Quincy Morgan,0,2,151,9,
25,Kevin Johnson,0,0,96,8,
43,Dennis Northcutt,0,1,43,1,
18,Mark Campbell,0,0,27,2,
12,Jamel White,0,0,20,3,
5,Andre Davis,0,1,14,3,
5,Andre King,0,0,8,2,
64,Eddie Kennison,0,0,120,4,
30,Tony Gonzalez,0,1,87,5,
23,Tony Richardson,0,0,26,2,
14,Priest Holmes,0,0,19,6,
15,Johnnie Morton,0,0,15,1,
5,Mike Cloud,0,0,5,1,
4,Dante Hall,0,0,4,1,
27,Ed McCaffrey,0,1,50,2,
19,Olandis Gary,0,0,48,5,
16,Rod Smith,0,1,47,5,
14,Shannon Sharpe,0,0,31,3,
15,Mike Anderson,0,0,20,2,
6,Dwayne Carswell,0,0,6,1,
10,Marshall Faulk,0,0,91,14,
36,Torry Holt,0,0,91,5,
27,Isaac Bruce,0,0,60,5,
