average punt yards, longest punt, name, punts, punts inside the twenty
44.500,56,Steve Weatherford,4,1
51.500,60,Chris Jones,2,1
35.200,50,Adam Podlesh,5,0
42.800,63,Pat McAfee,5,2
40.300,54,Reggie Hodges,7,3
42.000,62,Chas Henry,6,1
45.500,56,Brett Kern,4,2
33.500,51,Zoltan Mesko,4,3
47.000,47,Dustin Colquitt,1,1
38.000,52,Matt Bosher,1,0
44.400,59,Chris Kluwe,5,1
43.000,57,Bryan Anger,4,1
48.800,59,Thomas Morstead,5,0
26.300,58,Sav Rocca,3,0
38.000,55,Robert Malone,2,1
6.500,44,Brian Moorman,2,0
38.300,45,Ben Graham,3,2
37.600,57,Johnny Hekker,5,1
28.400,55,Dwight Jones,5,1
39.700,56,Brandon Fields,3,2
41.500,60,Tim Masthay,6,4
35.200,61,Andy Lee,5,3
37.600,53,Dave Zastudil,5,2
37.000,48,Jon Ryan,4,1
36.400,52,Michael Koenen,5,2
33.200,47,Brad Nortman,5,2
33.500,46,Britton Colquitt,2,1
40.000,52,Drew Butler,3,1
34.000,50,Sam Koch,2,1
41.300,57,Kevin Huber,4,1
32.000,62,Shane Lechler,2,0
49.300,55,Mike Scifres,3,2
42.000,57,Tim Masthay,5,3
40.800,54,Adam Podlesh,6,1
38.300,60,Brian Moorman,7,1
27.900,66,Dustin Colquitt,7,2
39.000,58,Kevin Huber,3,3
24.000,53,Reggie Hodges,4,0
43.400,64,Pat McAfee,5,0
45.300,55,Chris Kluwe,4,2
35.800,58,Brad Nortman,5,2
38.000,65,Thomas Morstead,3,1
43.700,60,Bryan Anger,9,3
37.800,58,Dwight Jones,6,1
43.500,59,Brandon Fields,6,4
29.000,29,Dan Carpenter,1,1
35.200,60,Shane Lechler,9,1
24.800,40,Zoltan Mesko,5,2
42.500,59,Dave Zastudil,6,2
31.500,47,Steve Weatherford,2,1
38.200,53,Michael Koenen,6,3
32.400,56,Chas Henry,5,0
44.200,56,Sam Koch,5,2
48.700,66,Johnny Hekker,3,1
35.200,55,Sav Rocca,5,2
48.300,68,Jon Ryan,4,2
37.000,52,Chris Jones,5,3
39.800,49,Drew Butler,5,3
38.200,58,Robert Malone,6,1
41.800,62,Mike Scifres,4,1
48.600,63,Brett Kern,7,3
33.000,52,Andy Lee,3,2
40.500,46,Ben Graham,2,0
