longest punt, name, punt yards, punts
20,Marcus Jackson,20,1
52,Jeff Wathne,316,7
41,Desi Cullen,191,5
54,Kyle Peterson,157,4
46,John Gold,161,4
48,Jimmy Howell,201,5
55,Brent Bowden,258,6
43,Sam Swank,222,6
58,Rob Park,193,5
64,Jared Ballman,239,5
31,CJ Santiago,55,2
58,Reid Forrest,330,8
44,Bryan Anger,198,5
57,Brad Nortman,143,3
48,Kae Whitehead,248,6
47,Ben Armer,127,3
45,Andy Dittbenner,71,2
46,Austin McCoy,216,6
33,Nick Landess,33,1
65,Brandon Geyer,352,7
48,Teddy Dellanganna,168,5
49,Terrence Brown,174,4
49,Delbert Alvarado,170,5
51,Alonso Rojas,265,6
44,John Stec,135,4
52,Chris Miller,217,5
42,Brett Shrable,144,4
57,Britt Barefoot,176,4
43,Jeremy Moore,255,7
52,Thomas Weber,164,4
50,Dack Ishii,214,5
48,Brad Elkin,141,4
61,Kyle Brotzman,61,1
50,Nick Iovinelli,130,3
48,Peter Fardon,76,2
47,Jeff Wathne,118,3
51,CJ Santiago,101,2
61,Aaron Perez,196,4
53,Jimmy Maners,143,3
49,Bradley Pierson,167,5
33,Desi Cullen,62,2
43,Jimmy Howell,199,5
46,Kevin Jones,126,3
46,Kyle Delahooke,119,3
45,Patrick Treppa,215,7
38,Aaron Opelt,117,4
28,Bill Claus,28,1
43,Shawn Powell,73,2
51,Robert Malone,191,4
50,Brad Nortman,194,5
58,Chase Turner,171,4
49,Ryan Harrison,198,5
60,Nick Conley,263,5
48,Ben Armer,86,2
48,Anthony Santella,126,4
47,Spencer Ortego,170,4
64,Ryan Donahue,150,4
49,Mike Brandtner,180,4
45,Matt Rinehart,160,4
56,Tim Masthay,158,3
41,Ryan Tydlacka,109,3
57,David DeFatta,345,8
40,Scott Love,114,3
46,Brady Dalfrey,101,3
60,Truman Spencer,442,10
54,Travis Baltz,190,4
63,Bryan Anger,189,4
55,Aaron Bates,410,10
49,Keegan Peterson,366,10
62,Jacob Richardson,104,2
50,Justin Kucek,373,9
42,Rob Park,72,2
44,Jake Harry,44,1
54,Brad Langley,287,7
42,Kae Whitehead,235,7
31,Craig Ratanamorn,31,1
50,Brent Sutherland,126,3
61,Will Hudgens,61,1
53,Blake McAdams,381,10
50,Clinton Durst,305,7
39,Dan Titchener,39,1
50,Kyle Hughes,184,5
49,Adam Miller,191,5
69,Keenyn Crier,161,3
