longest reception, name, receiving touchdowns, receiving yards, receptions
21,P Rodriguez,1,55,7
15,C Davis,0,52,5
11,J Williams,0,30,4
10,D Stala,0,25,3
15,C Bauman,0,25,2
16,M McDaniel,0,22,2
13,T Caulley,1,16,2
4,T Smith,0,4,1
29,A Bruce,1,73,5
37,J Robertson,0,53,3
22,M Bradwell,0,39,2
25,B Crawford,0,25,1
22,M Lambros,1,22,1
8,J Payton,0,8,1
7,R McNeal,1,7,1
34,N Lewis,0,87,4
23,T Ryan,0,44,3
24,J Reynolds,0,40,3
15,B Ralph,0,38,3
14,J Copeland,1,26,3
12,R Cote,0,12,1
14,B Cahoon,0,65,6
37,K Watkins,1,63,4
12,J Richardson,0,34,5
20,B Bratton,0,30,2
19,L Taylor,0,19,1
18,K Carter,0,18,1
7,A Cobourne,0,9,3
5,E DeSlauriers,0,5,1
44,M Mann,0,87,5
19,A Nowacki,1,79,7
23,F Stamps,0,35,3
10,C McCarty,0,31,4
21,K Peterson,0,27,2
20,J Rector,0,26,2
12,J Lumsden,0,20,3
6,G Bell,0,10,2
3,C Ciezki,0,3,1
54,T Edwards,0,65,2
18,A Bowman,0,56,5
13,A Franklin,0,30,3
13,R Bryant,0,21,3
2,F Reid,0,2,1
1,D Stephenson Jr,0,1,1
43,W Dressler,0,154,7
39,A Fantuz,0,74,5
45,H Charles,0,45,1
17,R Bagg,0,28,3
9,J Clermont,0,9,1
3,C Jones,0,3,1
29,J Jackson,0,43,4
23,E Arceneaux,1,40,3
15,R Grice Mullen,0,39,3
12,G Hetherington,0,24,2
21,I Smart,0,21,1
10,G Simon,0,14,3
5,M Mallett,0,5,1
28,K Watkins,1,119,9
48,S Green,1,113,5
17,B Cahoon,0,60,4
10,A Cobourne,0,19,3
11,B Bratton,0,11,1
11,K Carter,0,11,1
10,L Taylor,0,10,1
34,M Mann,0,139,7
31,F Stamps,0,55,4
16,J Rector,0,52,4
19,K Peterson,0,30,2
14,A Whitlock,0,27,3
15,A Nowacki,0,15,1
5,C McCarty,0,5,1
20,T Edwards,2,40,3
19,R Bryant,0,36,2
15,B Ralph,0,28,2
13,A Bowman,0,25,3
18,A Franklin,0,23,2
4,J Oosterhuis,0,4,1
34,R Thelwell,0,101,6
25,J Copeland,1,62,4
11,K Rambo,0,52,8
13,N Lewis,0,48,5
8,J Reynolds,0,21,3
12,T Johnson,1,12,1
6,B Ralph,0,9,2
6,D Watson,0,6,1
20,G Simon,1,86,7
26,M Mallett,0,82,6
42,E Arceneaux,1,62,4
29,P Jackson,1,58,5
15,O Wilson,0,33,3
12,R Grice Mullen,0,12,1
48,D Cobb,1,75,5
39,A Currie,0,55,2
21,C Davis,0,47,5
13,P Rodriguez,0,22,3
5,D Stala,0,10,2
7,C Bauman,0,7,1
6,J Williams,0,6,1
52,R McNeal,1,114,5
37,M Bradwell,1,77,3
21,J Robinson,0,43,4
14,A Bruce,0,35,3
11,S Schmidt,0,25,4
19,T Scott,1,23,2
18,J Robertson,0,22,3
9,B Crawford,0,9,3
33,W Dressler,1,55,3
14,H Charles,1,35,3
21,A Fantuz,1,33,2
13,R Bagg,0,32,4
15,C Getzlaf,0,24,2
9,C Jones,0,15,2
6,J Clermont,0,11,2
26,K Peterson,0,59,1
38,A Nowacki,0,56,2
23,M Mann,1,56,5
16,F Stamps,0,40,3
25,J Rector,0,40,2
23,C McCarty,1,35,3
8,A Whitlock,0,10,3
6,M Bertrand,0,6,1
25,J Jackson,1,126,9
45,G Simon,2,122,4
46,R Skillern,0,55,2
26,E Arceneaux,1,41,2
18,O Wilson,0,29,2
15,M Mallett,0,27,2
7,R Lumbala,0,14,2
7,T Ebell,0,5,2
57,J Copeland,0,81,5
15,K Rambo,0,71,6
27,R Thelwell,0,67,3
26,N Lewis,0,51,3
32,J Reynolds,1,45,2
13,B Ralph,0,25,3
8,T Johnson,0,8,1
38,A Bruce,0,91,6
40,M Bradwell,0,59,3
20,R McNeal,0,50,5
13,J Robertson,0,36,4
27,T Scott,0,27,1
13,B Crawford,0,20,5
13,J Robinson,0,13,1
5,J Payton,0,5,1
4,A Talbot,0,4,1
29,A Fantuz,0,60,4
20,W Dressler,0,51,4
32,W Cates,0,39,4
4,C Jones,0,4,1
1,J Clermont,0,1,1
30,B Cahoon,0,86,7
55,K Watkins,1,69,4
17,B Bratton,0,60,7
16,S Green,0,28,2
20,K Carter,1,26,2
8,D Diedrick,0,8,1
4,A Cobourne,0,4,1
32,C Davis,1,122,6
