interception touchdowns, interception yards, interceptions, name
0,35,1,Chris Baloney
0,9,1,Alex Knipp
0,0,1,Colt Brooks
0,-10,1,Marty Tadman
0,0,1,Jesse Imes
0,0,1,Brian Toal
0,0,1,Darius Butler
0,0,1,Anthony Barksdale
0,17,1,Tyrone McKenzie
0,32,1,Gary Ham
0,0,2,Jamal Harris
0,0,1,Dominic Jones
0,33,1,James Wright
0,0,1,Kevin Payne
0,0,1,Quinton Culberson
0,30,1,Fred Bennett
0,0,1,Chris Hampton
0,20,1,Lionell Singleton
0,1,1,Courtney Bryan
0,0,1,Sabby Piscitelli
0,10,1,TJ Mckay
0,0,1,Ray Bass
0,0,2,Donny Baker
0,37,2,Quintin Demps
0,5,1,Bobby Blackshire
0,51,1,Koby McKinnon
0,0,1,Dominique Williams
0,0,1,Lionel Mitchell
0,28,1,Cary Harris
0,12,1,Thomas Williams
0,2,1,Terrell Thomas
0,0,1,Cameron Jensen
0,16,1,Will Herring
0,11,1,Kenny Lewis
0,14,1,Shareff Rashad
0,14,1,Haruki Nakamura
0,11,1,DeAngelo Smith
0,0,1,Dominic Ross
0,35,1,Reggie Lewis
0,0,1,Reggie Nelson
0,0,1,Tony Joiner
0,0,1,Brandon Sumrall
0,2,1,Kelin Johnson
0,0,1,Vontae Davis
0,0,1,Brit Miller
0,66,1,Chris Phillips
0,37,1,Will Meyers
0,0,1,Louis Delmas
0,0,1,Mike Humpal
0,-2,1,Sadiq Muhammed
0,0,1,Zach Diles
0,33,2,Jonathan Zenon
0,23,1,David Herron Jr
0,11,1,Brandon Massey
0,25,2,Manny Collins
0,16,1,Miguel Scott
0,14,1,Bo Ruud
0,7,1,DAnthony Smith
0,0,1,DeAndre Wright
0,49,1,Larry Grant
0,0,1,Kevin Sanders
0,0,1,Felder
0,21,1,Perrish Cox
0,78,1,Clint Session
0,19,1,Darrelle Revis
0,47,1,Nate Lyles
0,28,1,Anthony Scirrotto
0,7,1,Nolan McCready
0,23,1,Justin Scott
0,14,1,Stanford Keglar
0,10,1,Ernest Miller
0,2,1,Trae Williams
0,0,1,Louis Gachette
0,22,1,Antwan Stewart
0,10,1,Inquoris Johnson
0,30,1,Brandon Hampton
0,5,1,Antione Bush
0,0,1,Joe Sturdivant
0,34,1,Alterraun Verner
0,0,1,Trey Brown
0,15,1,Will Tagoai
0,18,1,DJ Parker
0,0,1,Brandon Flowers
0,12,1,Tanard Jackson
0,0,1,Dwight Lowery
0,14,1,Quinton Andrews
0,20,1,Michael Medina
0,45,1,Antonio Taylor
0,46,1,CJ Wilson
0,0,1,Chase Ortiz
0,6,1,Brandon Merriweather
0,0,1,Michael Ray Garvin
0,3,1,Korey Hall
0,57,1,Darrelle Revis
0,2,1,Kennard Cox
0,51,1,Khayyam Burns
0,5,1,Koby McKinnon
0,0,1,Darren Toney
0,22,1,Martel Van Zant
0,2,1,Juwan Simpson
0,0,2,Simeon Castille
0,0,1,Reshard Langford
0,0,1,Lowell Garthwaite
0,17,1,Cedrick Maxwell
0,0,1,Fritz Jacques
0,30,1,Ryan McFoy
0,24,1,Grant Crunkleton
0,4,1,Chris Baloney
0,23,1,Ezra Butler
0,20,1,Tracey Porter
0,52,2,CJ Wilson
0,43,1,Mike Newton
0,0,1,Matangi Tonga
0,0,2,Daymeion Hughes
0,3,1,Shareff Rashad
0,0,1,Travis Timmons
0,0,1,Eugene Hayes
0,0,1,Roger Williams
0,0,1,Brannon Condren
0,0,1,Jairus Byrd
0,0,1,Patrick Chung
0,97,1,Jamal Lewis
0,29,1,Djay Jones
0,1,1,Ernest Miller
0,16,1,Israel Route
0,0,1,Alvin Bowen
0,32,1,Eric Wright
0,0,1,Kevin Payne
0,0,1,Josh Thompson
0,21,1,Bryan Baldwin
0,3,1,Cergile Sincere
0,0,1,Marcus McClinton
0,41,1,Jonathan Zenon
0,19,1,Craig Steltz
0,3,1,LaRon Landry
0,1,1,Antoine Cason
0,15,1,JJ Justice
0,0,1,Jacob Wyatt
0,30,1,Brandon McDonald
0,12,1,Max Pollock
0,52,1,Marcus Bacon
0,16,1,Del Howard
0,0,1,Brandon Massey
0,0,1,David Irons
0,2,1,Keenan Little
0,0,1,DuJuan Price
0,69,1,Brenden Hill
0,40,1,Xavier Adibi
0,28,1,Aaron Rouse
0,4,1,Kam Chancellor
0,0,1,Andre Jones
0,37,1,Othellus Swift
0,1,1,Chinedum Ndukwe
0,2,1,Sky Pruitt
0,0,1,Steve Warren
0,11,1,Scott White
0,5,1,Cliff Avril
0,0,1,Dan Bick
0,17,2,Joey Hudson
0,12,1,Clayton Mullins
0,38,1,Devin McCourty
0,8,1,Derrick Roberson
0,0,1,Alan Ball
0,2,1,Chris Hampton
0,-2,1,Fred Bennett
0,-3,1,Stoney Woodson
0,0,1,Trae Williams
0,14,1,Robert Mitchell
0,0,1,Lionell Singleton
0,0,1,Dwight Lowery
0,10,1,Clinton Snyder
0,20,1,LeVance Richmond
0,0,1,Tokumbo Abanikanda
0,17,1,Jerry Mackey
0,5,1,AJ Brown
0,0,2,Terrell Lemon
0,25,1,Marvin White
0,2,1,Jason Phillips
0,20,1,Dominique Harris
0,0,1,William Gay
0,12,1,Julian Madrid
0,25,1,James Laurinaitis
0,29,1,Will Dunbar
0,2,1,JaCorey Shepherd
0,13,1,Shaun Harper
0,0,1,Quintin Demps
0,38,2,Darcel McBath
0,29,1,Marcus Hamilton
0,0,1,Dorsey Golston
0,0,1,Lance Broadus
0,5,1,Allen Langford
0,4,1,Mark Zalewski
0,0,1,Joe Stellmacher
0,106,2,Londen Fryar
0,0,1,CJ Wilson
0,31,1,Quinton Andrews
0,45,2,Reggie Doucet
0,17,1,Roy Polite
0,0,1,Jay Henry
0,0,1,Antonio Lewis
0,84,1,Barry Church
0,68,2,Bo Martin
0,0,1,Tyrrell Herbert
0,2,1,Jeffrey Dukes
0,16,1,Craig Steltz
0,0,1,DeJuan Tribble
0,0,1,Jamie Silva
0,0,1,Quinn Gooch
0,0,1,Kelly Poppinga
0,30,1,Daymeion Hughes
0,15,1,Shareff Rashad
0,-4,2,Trae Williams
0,100,1,Josh Gordy
0,0,1,Calvin Hissong
0,0,1,Red Keith
0,0,1,Reggie Corner
0,9,1,Terrence Wheatley
0,0,1,JJ Billingsley
0,26,1,Jordan Hill
0,86,1,Jeremy Thompson
0,0,1,Riley Swanson
0,77,1,Kasey Ross
0,37,1,Leon Best
0,34,1,Quentin Cotton
0,7,1,Zach Slate
0,0,1,Pierre Parker
0,5,1,Heath Grant
0,0,1,Brandon Patterson
0,26,2,Lionell Singleton
0,0,1,Kenny Lewis
0,0,2,Jerrett Sanderson
0,20,1,Jamal Lewis
0,7,1,Gary Guyton
0,0,1,Tavares Williams
0,0,1,Terence Moore
0,33,1,Leonard Peters
0,3,1,John Guice
0,0,1,Robert Travers Jr
0,42,2,Stanley Franks
0,1,1,Justin Harrison
0,0,1,AJ Brown
0,22,1,Alvin Bowen
0,20,1,Byron Garvin
0,0,1,Marcus Watts
0,0,1,Dennis Thornton
0,5,1,Myron Pryor
0,7,1,Clayton Mullins
0,0,1,Jack Williams
0,16,1,Duran Cooley
0,12,1,Dominique Barber
0,10,1,George Coleman
0,49,1,Jeremy Foreman
0,32,1,Nick Hawthrone
0,0,1,Joe Garcia
0,24,1,Mike Pagnotta
0,9,1,Ollice Ervin
0,15,1,Alex Bernard
0,11,1,Micheal Tuohy
0,0,1,Del Howard
0,31,1,Deante Battle
0,4,1,Corey Wootton
0,5,1,Chris May
0,51,1,Chinedum Ndukwe
0,66,2,Prescott Burgess
0,0,1,Leon Hall
0,2,1,James Laurinaitis
0,0,1,Anderson Russell
0,0,1,Malcolm Jenkins
0,73,1,Orie Lemon
0,0,1,Calvin Mickens
0,0,2,Nic Harris
0,3,1,HB Blades
0,0,1,Sir Darean Adams
0,0,1,Demond Williams
0,28,1,Anthony Scirrotto
0,4,1,Lydell Sargeant
0,15,1,Terrell Vinson
0,30,1,Alex Knipp
0,22,1,Marcus McClure
0,39,1,Ron Girault
0,0,1,Courtney Greene
0,17,1,TJ Wright
0,6,1,Matt Muncy
0,2,0,Todd Koenig
0,-2,1,Tyler Russ
0,40,1,Jasper Faulk
0,2,1,Martavious Prince
0,0,1,Caleb Hendrix
0,2,1,Cory Muse
0,-1,1,Wilton McCray
0,0,1,Jeremy McGown
0,20,1,Jonathan Wade
0,0,2,Reggie Nelson
0,0,1,Bobby Blackshire
0,-3,1,Nick Graham
0,0,1,Blake Burruss
0,0,1,Jeremiah Chapman
0,8,2,Devin Gregg
0,0,1,Jordan Peterson
0,45,1,Stevenson Sylvester
0,21,1,Eric Shyne
0,26,1,Darlron Spead
0,34,1,Desman Stephan
0,24,1,Louis Delmas
0,0,1,John Talley
0,36,1,Mesphin Forrester
0,7,1,Eric Frampton
0,0,1,Mkristo Bruce
0,0,1,CJ Wilson
0,0,1,James Todd
0,61,1,Quinton Jones
0,25,1,Orlando Scandrick
0,0,1,Djay Jones
0,0,1,Jahi Word Daniels
0,32,2,Joe Garcia
0,25,1,Jeremy Engstrom
0,35,1,Brendan Smith
0,4,1,Brandon Anderson
0,0,1,Reggie Corner
0,51,1,Lionel Mitchell
0,11,1,Simeon Castille
0,0,1,Jeffrey Dukes
0,17,1,Antoine Cason
0,0,1,Rey Maualuga
0,33,1,Kendric Hawkins
0,16,1,Kyle Wilson
0,19,1,Kenny Patton
0,16,1,Usama Young
0,15,2,Andre Kirkland
0,64,1,Justin Robinson
0,0,1,Drew Pearson
0,63,2,Daymeion Hughes
0,20,1,Mickey Pimentel
0,0,1,Zach Cantanese
0,10,1,Chris Clemons
0,2,1,Kareen Taylor
0,0,1,Jamar Flournoy
0,0,1,Kasey Ross
0,0,1,Travis Williams
0,9,1,Eric Wicks
0,0,1,Antonio Lewis
0,12,1,Jacob Wyatt
0,21,1,Roger Williams
0,54,1,Marcus Ball
0,0,1,Tony Taylor
0,0,1,Kevin Mitchell
0,15,2,Adam Shada
0,5,1,Miguel Merrick
0,0,1,Devan Moylan
0,22,2,Tracey Porter
0,39,1,Danny Lansanah
0,17,1,MJ Estep
0,16,1,Darius Butler
0,0,1,Aqib Talib
0,0,1,Justin Thornton
0,68,1,Marcus Watts
0,53,1,Johnathan Russell
0,31,1,William Gay
0,76,1,Craig Steltz
0,0,1,Danny McCray
0,2,1,Chris Varner
0,13,1,Lionell Singleton
0,19,1,Ervin Baldwin
0,27,2,Terrail Lambert
0,23,1,Jack Ikegwuonu
0,4,2,Allen Langford
0,43,1,Patrick Ghee
0,48,1,Marcus Bacon
0,0,1,TJ Wright
0,1,1,Roy Roberts
0,0,1,Jimmie Sutton
0,0,1,DeJuan Tribble
0,0,1,Andrew Shanle
0,-2,1,Justin Bray
0,9,1,Bryant Tisdale
0,61,1,Malcolm Jenkins
0,55,1,Antonio Smith
0,13,1,James Laurinaitis
0,0,1,Dan Connor
0,0,1,Justin King
0,22,1,Zach Latimer
0,11,1,Nic Harris
0,12,1,Derrick Doggett
0,6,1,Eric Moala
0,0,1,Sabby Piscitelli
0,0,1,Daniel Drayton
0,15,1,Stanley Franks
0,11,1,Reggie Carter
0,0,1,George Hall
