kickoff yards, kickoffs, longest kickoffs, longest punt, name, punt yards, punts
0,0,0,47,B Bede,272,7
0,0,0,64,B Maher,340,7
0,0,0,59,T Long,338,7
0,0,0,50,S Whyte,337,8
0,0,0,54,L Hajrullahu,131,3
0,0,0,54,S Castillo,257,6
0,0,0,49,J Medlock,270,6
0,0,0,62,B Maher,344,7
0,0,0,55,L Hajrullahu,409,9
0,0,0,52,S Castillo,181,4
0,0,0,55,S Castillo,392,9
0,0,0,56,T Long,172,4
0,0,0,56,B Maher,336,7
0,0,0,60,B Bede,186,4
0,0,0,56,T Long,199,5
0,0,0,58,L Hajrullahu,346,8
0,0,0,50,B Maher,264,6
0,0,0,45,S Whyte,115,3
0,0,0,56,T Long,247,5
0,0,0,57,L Hajrullahu,200,5
0,0,0,63,S Castillo,518,11
0,0,0,54,B Maher,457,10
0,0,0,54,H ONeill,248,5
0,0,0,46,B Bede,247,6
0,0,0,49,L Hajrullahu,201,5
0,0,0,56,S Castillo,318,7
0,0,0,73,J Medlock,120,2
0,0,0,56,S Castillo,409,9
0,0,0,39,B Maher,221,5
0,0,0,57,T Long,391,8
0,0,0,56,R Lankford,107,2
0,0,0,58,H ONeill,362,8
0,0,0,59,B Maher,191,4
0,0,0,57,T Long,276,6
0,0,0,62,L Hajrullahu,541,11
0,0,0,61,H ONeill,211,4
0,0,0,57,S Castillo,307,7
0,0,0,49,L Hajrullahu,174,4
0,0,0,46,J Medlock,285,7
0,0,0,0,B Maher,587,11
0,0,0,57,T Long,241,5
0,0,0,58,S Castillo,257,6
0,0,0,56,L Hajrullahu,255,6
0,0,0,69,B Bede,385,8
0,0,0,51,R Maver,215,5
0,0,0,51,S Castillo,427,10
0,0,0,50,L Hajrullahu,371,9
0,0,0,45,H ONeill,275,7
0,0,0,50,J Medlock,292,7
0,0,0,53,J Medlock,225,5
0,0,0,47,F Faubert Lussier,173,4
0,0,0,48,S Castillo,48,1
0,0,0,53,B Bede,218,5
0,0,0,46,H ONeill,192,5
0,0,0,47,H ONeill,167,4
0,0,0,45,L Hajrullahu,147,4
0,0,0,48,T Russolino,327,9
0,0,0,41,J Medlock,229,6
0,0,0,55,T Long,385,8
0,0,0,48,L Hajrullahu,93,2
0,0,0,53,B Maher,220,5
