longest punt, name, punt yards, punts
54,Josh Hubner,54,1
51,Richie Hogan,337,8
55,Josh Brisk,246,5
55,Will Atterberry,291,7
41,Sean Poole,81,2
71,Bobby Cowan,435,9
81,Brian Schmiedebusch,335,6
59,Ryan Tydlacka,330,7
58,Hendrix Brakefield,357,8
47,Josh Bleser,176,5
64,Tom Hornsey,395,9
52,Baker Swedenburg,207,5
58,Justin Doerner,233,5
51,Shane Raupers,308,7
38,Alex Wulfeck,138,4
57,Brandon McManus,111,2
41,Vince Penza,76,2
43,Sean Sellwood,189,5
51,Brad Nortman,90,2
56,Chase Lansford,222,5
43,Spencer Roth,145,4
39,Anson Kelton,70,2
41,Mike Sadler,115,3
58,David Baska,98,2
28,Jr,28,1
47,Cody Mandell,127,3
52,Matt Rinehart,528,12
50,Dylan Breeding,82,2
56,Kyle Dugandzic,152,3
48,Steven Clark,174,4
60,Tyler Bennett,150,3
52,Ryan Quigley,163,4
56,Brandon Williams,225,5
44,Bryan Anger,213,6
46,Andrew Shapiro,296,8
48,David Bohner,48,1
51,Dawson Zimmerman,255,6
51,Will Goggans,338,8
41,Cole Wagner,149,5
38,Alex King,143,4
59,Mickey Groody,261,6
44,Shawn Powell,125,3
43,Aaron Munoz,170,5
44,Conner Fryoux,87,2
56,Drew Butler,239,5
51,Brad Elkin,281,7
52,Alex Dunnachie,213,5
56,Darragh ONeill,314,7
51,Richie Leone,148,3
47,Jeff Locke,128,3
40,Justin DuVernois,113,3
7,Ryan Lankford,7,1
67,Neely Sullivent,114,2
31,Ryan Wilbourn,61,2
56,Adam Pines,148,4
57,Scott Kovanda,133,3
45,Eric Guthrie,117,3
65,Kirby Van Der Kamp,256,5
49,Ron Doherty,92,2
49,Ryan Doerr,116,3
58,Brad Wing,248,6
53,Jackson Rice,189,4
47,Matt Wile,82,2
49,Ben Armer,93,2
73,Tyler Campbell,227,4
53,Riley Stephenson,181,5
57,Trey Barrow,313,7
46,Zac Murphy,175,5
26,Zac Dysert,26,1
47,Pablo Beltran,47,1
46,Thomas Hibbard,88,2
50,Wil Baumann,255,7
55,Brett Maher,208,4
40,Ryan Neir,74,2
54,Kolin Walk,125,3
46,Jake Capraro,192,5
80,Paul Hershey,255,5
46,Ben Skaer,187,5
44,Pete Kontodiakos,139,4
41,Ben Turk,171,5
46,Justin Brockhaus Kann,256,7
49,Ben Buchanan,126,3
53,Zack Campbell,442,10
46,Tress Way,160,4
43,Cole Way,299,8
52,Quinn Sharp,100,2
54,Brett Baer,364,8
57,Johnny Hekker,194,4
42,Matt Yoklic,83,2
33,Tino Sunseri,43,2
54,Jacob Schum,207,5
35,Peter Fardon,35,1
45,Alex Butterworth,114,3
58,Cody Webster,200,4
54,Carson Wiggs,127,3
47,Nate Toulson,202,5
47,Josh Davis,82,2
40,Joey Scribner Howard,127,4
46,Ben Ryan,217,6
50,Brian Stahovich,253,6
53,Peter Boehme,170,4
50,Danny Hrapmann,89,2
55,Ryan Allen,249,6
41,Nick Isham,77,2
47,David Green,150,4
44,Harrison Waid,184,5
44,Michael Palardy,81,2
37,Matt Darr,68,2
47,Justin Tucker,139,4
57,Kyle Martens,243,5
13,Taylor McHargue,13,1
54,Jonathan Ginsburgh,262,6
40,Ryan Erxleben,175,5
46,Kyle Negrete,149,4
53,Dan Orseske,181,4
71,Ian Campbell,219,4
48,Richard Kent,214,5
