extra points, extra points attemped, field goals, field goals attemped, longest field goal, name
6,6,1,1,8,L Hajrullahu
3,3,0,0,0,S Waters
3,3,2,2,0,R Paredes
1,1,0,0,0,S Whyte
2,2,2,2,46,P McCallum
3,3,2,2,42,G Shaw
3,3,2,3,35,C Milo
1,1,0,0,0,J Medlock
3,3,3,3,47,L Hajrullahu
3,3,2,3,45,B Maher
2,2,3,5,47,S Whyte
0,0,1,1,24,P McCallum
2,2,4,6,43,G Shaw
3,3,1,1,22,J Medlock
5,5,2,2,40,S Waters
2,2,0,1,0,C Milo
3,3,4,4,39,S Whyte
1,2,3,3,27,L Hajrullahu
0,0,0,1,0,G Shaw
0,0,1,2,34,B Maher
0,0,5,6,51,S Waters
4,4,2,4,36,R Paredes
1,1,2,2,18,C Milo
2,2,3,4,41,P McCallum
0,0,1,2,22,L Hajrullahu
2,2,4,4,38,G Shaw
0,0,6,6,48,B Maher
1,1,3,3,47,S Waters
1,1,1,2,39,R Paredes
0,0,2,3,42,J Medlock
5,5,2,2,30,P McCallum
0,0,1,1,42,S Whyte
2,2,2,2,40,G Shaw
2,2,4,4,36,R Paredes
0,0,2,2,0,P McCallum
1,1,5,5,51,L Hajrullahu
3,3,4,4,36,J Medlock
2,2,3,3,38,B Maher
4,4,3,4,0,C Milo
0,0,3,3,0,S Waters
3,3,1,1,0,J Medlock
3,3,2,2,32,L Hajrullahu
0,0,1,1,49,S Whyte
3,3,2,4,42,S Waters
3,3,1,1,35,R Paredes
1,1,2,2,45,P McCallum
2,2,0,4,0,B Maher
4,4,3,3,42,C Milo
1,1,1,1,41,L Hajrullahu
1,1,3,5,42,C Milo
0,0,5,5,32,S Whyte
3,3,4,4,43,G Shaw
3,3,5,5,47,P McCallum
2,2,5,5,40,J Medlock
4,4,3,3,40,R Paredes
2,2,1,1,32,B Maher
5,5,1,1,18,S Waters
3,3,0,0,0,L Hajrullahu
0,0,2,3,20,B Maher
0,0,3,4,39,G Shaw
2,2,2,3,52,J Medlock
3,3,3,3,40,R Paredes
1,1,2,3,32,C Milo
1,1,1,2,45,S Whyte
1,1,3,3,47,S Waters
3,3,4,4,15,R Schmitt
2,2,3,4,24,L Hajrullahu
1,1,3,4,37,S Whyte
5,5,2,2,42,G Shaw
2,2,4,4,45,S Waters
1,1,0,0,0,B Maher
3,3,1,3,32,R Paredes
1,1,3,3,38,P McCallum
1,1,4,4,48,C Milo
2,2,1,1,22,S Whyte
1,1,1,1,30,B Maher
4,4,1,2,17,C Milo
3,3,3,3,46,L Hajrullahu
1,1,2,3,29,J Medlock
3,3,2,2,47,R Paredes
1,1,2,2,54,G Shaw
0,0,1,1,35,B Maher
0,0,2,2,49,P McCallum
4,4,2,2,25,H ONeill
5,5,2,2,41,R Paredes
5,5,1,1,35,S Whyte
3,3,3,3,47,J Medlock
3,3,0,1,0,L Hajrullahu
3,3,2,3,35,C Milo
3,3,3,4,40,H ONeill
1,1,3,3,46,S Whyte
3,3,1,1,28,R Paredes
4,4,1,1,36,S Waters
2,2,3,4,40,P McCallum
0,0,3,3,49,L Hajrullahu
3,3,2,3,51,J Medlock
0,0,1,1,10,C Milo
3,3,0,2,0,P McCallum
4,4,3,3,53,S Waters
2,2,3,3,41,J Medlock
3,3,0,0,0,H ONeill
3,3,3,3,34,S Whyte
2,2,0,0,0,R Paredes
3,3,2,2,41,C Milo
3,4,1,2,24,B Maher
1,1,0,0,0,B Maher
1,1,2,2,16,S Whyte
2,2,2,3,45,H ONeill
0,0,1,1,20,L Hajrullahu
1,1,3,4,43,J Medlock
0,0,2,4,43,R Paredes
1,1,0,0,0,P McCallum
0,0,0,0,0,R Schmitt
5,5,2,3,31,B Maher
2,2,2,2,22,L Hajrullahu
3,3,0,3,0,R Paredes
2,2,6,7,47,S Waters
3,3,1,1,44,H ONeill
0,0,5,5,0,J Medlock
2,2,1,1,0,P McCallum
4,4,2,2,39,S Waters
3,3,4,4,42,J Medlock
5,5,2,2,30,P McCallum
0,0,1,1,34,B Maher
4,4,4,4,42,S Whyte
1,1,0,1,0,C Milo
4,4,3,4,33,H ONeill
0,0,3,3,43,L Hajrullahu
1,1,2,3,26,J Medlock
0,0,1,3,28,B Maher
0,0,4,4,49,S Waters
2,2,2,2,37,S Whyte
2,2,2,3,29,L Hajrullahu
4,4,1,1,41,R Paredes
1,1,2,2,43,C Milo
2,2,3,5,46,H ONeill
2,2,1,1,22,B Maher
2,2,3,3,46,S Whyte
4,4,1,2,18,R Paredes
3,3,2,2,33,C Milo
2,2,3,4,36,S Waters
3,3,1,1,45,J Medlock
1,1,3,4,46,L Hajrullahu
3,3,2,2,23,P McCallum
3,3,1,2,42,B Maher
4,4,2,2,28,J Medlock
1,0,1,2,28,R Paredes
0,0,4,5,0,L Hajrullahu
4,4,3,3,47,H ONeill
0,0,1,1,21,P McCallum
2,2,1,2,45,S Whyte
1,1,2,2,25,S Waters
2,2,3,3,45,S Waters
0,0,1,1,22,B Maher
1,1,3,3,47,P McCallum
3,3,4,4,41,R Paredes
3,3,2,2,23,J Medlock
0,0,3,3,30,S Whyte
2,2,1,3,39,C Milo
1,1,3,4,24,H ONeill
7,7,0,0,0,S Whyte
0,0,1,1,0,P McCallum
1,1,3,5,0,H ONeill
1,1,1,1,30,C Milo
4,4,4,4,42,J Medlock
3,3,1,1,33,S Whyte
6,6,0,1,0,R Paredes
2,2,1,1,42,H ONeill
0,0,2,2,20,R Paredes
1,1,3,4,37,J Medlock
