field goals, field goals attempted, kicking extra points, kicking extra points attempted, longest field goal, name
2,2,3,3,40,Connor Barth
2,2,2,3,48,Dustin Hopkins
1,2,3,3,52,Robbie Gould
1,1,7,7,41,Wil Lutz
1,2,5,5,41,Matt Prater
1,1,2,3,40,Kaimi Fairbairn
1,1,2,2,41,Zane Gonzalez
3,3,2,2,53,Kai Forbath
1,1,1,1,26,Mason Crosby
5,5,3,3,48,Ryan Succop
3,3,1,2,52,Adam Vinatieri
1,3,4,4,26,Giorgio Tavecchio
3,3,3,3,53,Harrison Butker
1,2,2,2,19,Connor Barth
1,1,0,0,36,Graham Gano
3,4,3,3,52,Stephen Hauschka
2,2,3,3,50,Patrick Murray
3,3,0,0,54,Zane Gonzalez
4,5,0,0,47,Ryan Succop
0,0,3,3,0,Nick Novak
2,2,3,3,42,Josh Lambo
1,1,4,4,39,Cody Parkey
0,0,4,4,0,Chandler Catanzaro
1,1,1,1,42,Robbie Gould
0,0,2,2,0,Dan Bailey
0,0,2,3,0,Jeff Heath
0,1,1,1,0,Aldrick Rosas
1,1,3,3,39,Blair Walsh
1,2,2,2,46,Mason Crosby
2,2,2,3,44,Wil Lutz
3,3,2,2,38,Stephen Gostkowski
0,2,1,1,0,Matt Bryant
4,4,3,3,53,Greg Zuerlein
0,1,0,0,0,Phil Dawson
5,5,2,2,49,Chris Boswell
0,0,2,2,0,Randy Bullock
6,6,0,1,52,Kai Forbath
3,3,1,1,57,Justin Tucker
2,3,4,4,50,Jake Elliott
1,1,3,3,27,Nick Rose
2,3,4,4,55,Justin Tucker
0,1,0,0,0,Cody Parkey
1,2,3,3,29,Randy Bullock
3,3,2,2,33,Adam Vinatieri
2,2,4,4,44,Stephen Hauschka
0,0,2,2,0,Giorgio Tavecchio
1,2,1,2,23,Zane Gonzalez
4,4,1,2,51,Kai Forbath
1,1,0,0,41,Patrick Murray
1,1,2,2,28,Graham Gano
2,2,1,3,51,Jake Elliott
1,2,1,1,50,Robbie Gould
2,4,2,2,46,Chandler Catanzaro
4,4,1,1,45,Matt Bryant
5,5,0,0,51,Matt Prater
2,2,2,2,38,Chris Boswell
4,6,1,1,43,Stephen Gostkowski
0,1,1,1,0,Nick Novak
2,3,1,2,42,Nick Rose
4,5,3,3,48,Mike Nugent
2,2,2,2,49,Wil Lutz
2,3,0,0,44,Connor Barth
2,2,5,5,21,Blair Walsh
1,1,5,5,31,Kaimi Fairbairn
5,5,2,2,51,Harrison Butker
2,2,1,1,34,Brandon McManus
2,2,4,4,45,Chandler Catanzaro
0,0,3,3,0,Stephen Hauschka
0,0,4,4,0,Mike Nugent
1,1,2,2,38,Harrison Butker
1,1,1,2,49,Cody Parkey
2,2,3,3,53,Giorgio Tavecchio
1,1,6,7,45,Jake Elliott
3,3,2,2,53,Brandon McManus
1,1,1,1,42,Robbie Gould
2,3,2,2,32,Phil Dawson
1,2,2,2,50,Aldrick Rosas
3,3,6,6,47,Greg Zuerlein
3,3,2,2,56,Josh Lambo
0,0,1,1,0,Marshall Koehn
2,2,2,2,45,Graham Gano
1,1,2,2,53,Matt Bryant
1,2,3,4,40,Wil Lutz
1,2,1,1,50,Patrick Murray
0,3,0,0,0,Blair Walsh
1,1,2,2,28,Nick Rose
0,1,2,2,0,Kaimi Fairbairn
2,2,2,2,53,Adam Vinatieri
1,1,2,3,48,Ryan Succop
2,2,2,2,49,Justin Tucker
1,2,2,2,35,Mason Crosby
3,4,3,3,44,Matt Prater
1,1,1,2,43,Phil Dawson
2,2,2,2,43,Blair Walsh
3,3,1,1,49,Connor Barth
3,4,2,2,50,Mason Crosby
1,1,1,1,37,Stephen Hauschka
2,2,5,6,53,Wil Lutz
3,3,1,1,39,Brandon McManus
2,2,5,5,28,Stephen Gostkowski
3,3,0,0,49,Patrick Murray
1,1,1,1,47,Chandler Catanzaro
1,1,2,2,48,Adam Vinatieri
2,3,0,1,41,Chris Boswell
2,2,3,3,50,Matt Bryant
0,1,1,1,0,Mike Nugent
1,1,4,4,43,Robbie Gould
2,3,1,1,47,Aldrick Rosas
2,2,0,1,34,Josh Lambo
1,1,2,2,50,Nick Novak
1,1,5,5,46,Matt Prater
1,1,3,3,23,Zane Gonzalez
4,4,3,3,50,Greg Zuerlein
0,1,1,1,0,Kaimi Fairbairn
3,3,3,3,55,Nick Rose
1,1,5,5,53,Kai Forbath
1,2,3,3,44,Ryan Succop
0,0,2,3,0,Randy Bullock
1,1,6,6,40,Graham Gano
0,0,3,3,0,Cody Parkey
4,4,4,4,50,Chris Boswell
1,2,2,2,44,Ryan Succop
1,2,3,3,23,Connor Barth
2,2,3,3,52,Matt Prater
1,2,2,2,45,Brandon McManus
0,0,2,3,0,Randy Bullock
0,0,1,1,0,Zane Gonzalez
2,3,1,1,39,Josh Lambo
4,5,6,6,39,Nick Novak
1,1,3,3,50,Stephen Hauschka
3,3,0,0,48,Mike Nugent
0,1,1,1,0,Jake Elliott
2,2,2,2,31,Cody Parkey
3,4,3,3,35,Patrick Murray
2,2,0,1,26,Aldrick Rosas
3,3,0,0,31,Harrison Butker
3,3,2,2,39,Justin Tucker
4,4,3,3,62,Stephen Gostkowski
4,4,2,2,52,Wil Lutz
1,1,4,4,38,Nick Rose
1,1,4,4,34,Kaimi Fairbairn
0,0,3,3,0,Phil Dawson
1,3,3,3,39,Kai Forbath
0,0,1,1,0,Greg Zuerlein
3,4,2,2,46,Blair Walsh
2,2,4,4,44,Matt Bryant
1,2,0,1,22,Nick Novak
0,0,1,3,0,Drew Kaser
3,3,2,2,50,Matt Prater
1,2,3,4,36,Kai Forbath
2,2,2,2,33,Nick Rose
1,1,1,1,30,Aldrick Rosas
3,3,3,3,49,Randy Bullock
3,4,1,1,39,Zane Gonzalez
4,4,1,1,57,Phil Dawson
1,1,3,3,43,Josh Lambo
1,1,1,1,45,Harrison Butker
3,4,1,1,56,Stephen Hauschka
3,3,1,1,42,Adam Vinatieri
2,2,2,2,45,Ryan Succop
1,1,4,4,45,Jake Elliott
1,2,0,0,38,Cairo Santos
2,2,4,4,49,Matt Bryant
2,2,2,2,36,Patrick Murray
2,2,1,1,42,Robbie Gould
1,2,3,3,34,Blair Walsh
2,2,3,3,31,Chandler Catanzaro
3,3,0,1,45,Graham Gano
0,0,5,5,0,Stephen Gostkowski
1,1,2,2,28,Cody Parkey
0,1,3,3,0,Giorgio Tavecchio
0,0,2,2,0,Brandon McManus
4,5,2,2,50,Greg Zuerlein
2,2,2,2,50,Wil Lutz
1,1,2,3,53,Chris Boswell
0,1,4,4,0,Mason Crosby
3,3,2,2,53,Justin Tucker
3,3,1,1,37,Kaimi Fairbairn
1,1,5,5,24,Dan Bailey
0,0,2,2,0,Nick Rose
0,0,2,2,0,Cairo Santos
5,5,0,0,35,Robbie Gould
1,1,0,0,49,Stephen Hauschka
3,3,2,2,50,Stephen Gostkowski
1,2,1,2,54,Phil Dawson
4,4,2,3,56,Greg Zuerlein
4,5,1,1,40,Travis Coons
1,1,1,1,35,Zane Gonzalez
1,1,4,4,37,Cody Parkey
1,1,0,0,31,Brandon McManus
3,4,0,0,47,Matt Bryant
0,0,2,2,0,Kai Forbath
3,3,1,1,39,Josh Lambo
1,1,1,1,27,Adam Vinatieri
3,3,3,3,47,Chandler Catanzaro
1,2,4,4,36,Harrison Butker
2,2,2,2,37,Mason Crosby
2,2,2,2,36,Patrick Murray
1,1,3,3,39,Giorgio Tavecchio
1,1,2,2,52,Aldrick Rosas
3,3,5,5,51,Justin Tucker
0,1,2,3,0,Matt Prater
1,2,4,4,31,Wil Lutz
0,0,3,3,0,Graham Gano
1,1,3,3,46,Blair Walsh
1,1,1,1,26,Jake Elliott
1,2,3,3,43,Ryan Succop
2,4,1,1,42,Kaimi Fairbairn
2,2,2,2,41,Randy Bullock
3,3,2,2,38,Chris Boswell
2,2,2,2,52,Matt Bryant
1,1,2,2,34,Wil Lutz
0,0,1,1,0,Randy Bullock
2,2,3,4,34,Mike Nugent
0,0,1,1,0,Stephen Hauschka
0,2,1,1,0,Adam Vinatieri
3,4,2,2,53,Brandon McManus
0,0,3,3,0,Zane Gonzalez
0,0,3,3,0,Mason Crosby
0,0,3,3,0,Patrick Murray
1,1,3,3,46,Matt Prater
4,5,0,0,47,Phil Dawson
0,1,1,1,0,Ryan Succop
3,3,3,3,36,Travis Coons
0,0,1,2,0,Nick Rose
4,4,2,2,53,Harrison Butker
0,0,1,1,0,Giorgio Tavecchio
1,1,1,1,39,Aldrick Rosas
1,3,3,4,21,Dan Bailey
3,3,3,3,51,Josh Lambo
1,2,3,3,28,Blair Walsh
1,1,4,4,41,Graham Gano
3,4,1,1,30,Kai Forbath
0,0,5,5,0,Greg Zuerlein
3,3,4,4,41,Jake Elliott
4,4,3,3,52,Chris Boswell
1,1,5,5,47,Justin Tucker
1,2,1,2,55,Kaimi Fairbairn
4,4,2,2,52,Robbie Gould
2,2,3,3,44,Cody Parkey
2,2,2,2,46,Stephen Gostkowski
2,2,1,1,45,Adam Vinatieri
1,2,2,2,40,Brandon McManus
3,4,3,3,51,Harrison Butker
0,0,1,2,0,Travis Coons
2,2,2,2,48,Matt Prater
1,1,1,1,41,Mike Nugent
1,1,3,3,34,Stephen Hauschka
3,3,1,1,41,Cody Parkey
1,1,1,1,45,Zane Gonzalez
2,2,3,3,43,Justin Tucker
6,6,1,1,50,Robbie Gould
3,3,2,2,50,Ryan Succop
1,2,2,3,28,Aldrick Rosas
2,2,4,4,28,Jake Elliott
1,1,6,6,38,Josh Lambo
0,0,1,1,0,Kaimi Fairbairn
1,1,4,4,33,Graham Gano
1,1,3,3,28,Mason Crosby
1,2,2,2,39,Giorgio Tavecchio
2,2,2,2,45,Dan Bailey
2,2,2,2,32,Dustin Hopkins
5,5,0,0,40,Phil Dawson
1,1,4,4,23,Wil Lutz
2,2,1,1,29,Chandler Catanzaro
0,0,1,1,0,Blair Walsh
2,2,4,5,36,Greg Zuerlein
1,1,3,3,51,Chris Boswell
2,2,1,2,46,Stephen Gostkowski
2,2,4,4,53,Kai Forbath
0,0,1,1,0,Randy Bullock
0,1,3,3,0,Patrick Murray
1,2,3,3,57,Matt Bryant
3,3,1,1,49,Kai Forbath
3,3,2,2,39,Justin Tucker
3,5,1,1,48,Adam Vinatieri
0,0,2,3,0,Mike Nugent
1,1,0,0,48,Zane Gonzalez
4,4,2,2,51,Randy Bullock
1,2,2,2,23,Matt Prater
1,1,2,3,21,Phil Dawson
0,1,0,0,0,Aldrick Rosas
5,6,2,2,49,Harrison Butker
2,3,1,1,44,Cody Parkey
4,6,0,0,51,Dan Bailey
0,0,3,3,0,Blair Walsh
1,1,5,6,27,Robbie Gould
1,1,2,3,45,Josh Lambo
0,0,1,1,0,Chandler Catanzaro
0,1,2,2,0,Nick Rose
3,3,1,2,30,Graham Gano
4,5,1,1,41,Patrick Murray
3,3,4,4,40,Stephen Gostkowski
3,4,1,1,41,Stephen Hauschka
2,2,3,3,29,Dustin Hopkins
1,1,0,0,31,Brandon McManus
3,3,2,2,45,Wil Lutz
2,2,1,1,48,Matt Bryant
3,4,2,2,37,Ryan Succop
0,1,3,4,0,Sam Ficken
2,3,1,1,48,Jake Elliott
1,2,1,1,25,Giorgio Tavecchio
2,2,4,4,36,Chris Boswell
1,1,3,3,36,Brandon McManus
2,2,3,3,30,Harrison Butker
1,1,2,3,42,Patrick Murray
1,1,3,3,48,Wil Lutz
1,2,3,4,25,Nick Rose
1,1,1,1,40,Giorgio Tavecchio
2,2,2,2,54,Adam Vinatieri
2,2,1,1,52,Kaimi Fairbairn
1,1,1,1,36,Cody Parkey
3,3,1,1,49,Stephen Hauschka
0,1,0,1,0,Dan Bailey
5,5,1,1,56,Matt Bryant
1,1,1,1,42,Graham Gano
2,2,0,1,29,Aldrick Rosas
1,2,1,1,49,Dustin Hopkins
2,2,3,3,30,Matt Prater
1,1,0,0,41,Mason Crosby
1,1,3,3,21,Stephen Gostkowski
2,3,0,0,48,Chandler Catanzaro
2,2,1,1,23,Sam Ficken
2,2,4,4,48,Robbie Gould
2,2,3,3,46,Justin Tucker
1,1,4,4,32,Randy Bullock
1,2,3,3,49,Blair Walsh
4,4,2,2,53,Phil Dawson
0,0,4,4,0,Chris Boswell
1,1,3,3,51,Zane Gonzalez
3,3,0,1,39,Ryan Succop
1,1,1,1,41,Josh Lambo
0,1,3,3,0,Kai Forbath
1,1,1,1,55,Mike Nugent
0,1,3,3,0,Harrison Butker
1,1,1,1,49,Ryan Succop
2,2,1,1,35,Sam Ficken
4,4,2,2,54,Matt Bryant
1,1,1,1,44,Josh Lambo
1,1,0,0,31,Stephen Hauschka
1,1,4,4,57,Wil Lutz
4,5,2,2,58,Graham Gano
3,3,0,1,53,Jake Elliott
1,1,1,1,33,Matt Bryant
0,1,5,5,0,Stephen Gostkowski
0,0,2,2,0,Ryan Succop
3,4,2,2,53,Kai Forbath
1,2,3,3,43,Wil Lutz
0,0,6,6,0,Chris Boswell
1,1,6,6,45,Josh Lambo
1,1,3,3,31,Stephen Gostkowski
2,2,2,2,54,Josh Lambo
1,1,5,5,38,Jake Elliott
0,0,1,1,0,Kai Forbath
2,3,3,4,45,Stephen Gostkowski
3,3,2,3,46,Jake Elliott
