name, receiving touchdowns, receiving yards, receptions
J Janke,0,20,2
Z Heins,1,13,1
A Anderson,0,8,1
B Kunz,0,3,1
I Hamilton,0,91,5
J Blackwell,0,31,3
J Braddock,1,22,2
B Humphreys,0,15,1
D Packer,0,14,4
D Deese,1,14,1
B Foley,0,12,1
A Crump,0,10,1
K Robinson,0,9,1
B Gaither,0,6,2
W Fairman,0,53,10
D Warren,1,52,8
M Hall,0,43,4
J Mitchell,0,24,3
D DeLaCroix,0,5,1
D Mooney,1,84,4
T James,1,60,4
A Jones,0,38,3
J Toles,0,11,1
J McCleskey,0,5,1
D Bradwell,0,1,1
J Robertson Jr,0,-4,1
S Palmer,0,49,2
A Maloney,0,45,2
S Thornton,1,40,4
T Gaiter IV,0,35,3
M Alexander,0,30,5
N Maxwell,0,7,1
A Jones,0,3,1
C Gaskin,0,-1,1
Q Davis,1,85,6
J Ausbon,1,75,6
J Preston,0,18,2
K Rogers,0,12,1
J Corbin,1,12,4
R Paul,0,11,1
G Beal,0,10,2
J Wydermyer,0,9,1
H White,0,60,7
T Graham Jr,1,53,4
S Caillout,0,37,4
J Banks,0,19,2
J Sheread,0,18,3
M Hays,0,10,2
A Taylor,0,8,3
C Twyford,0,6,4
A Watkins,0,51,2
J Haden,0,28,1
K Parham,1,23,1
H Pittman,0,6,1
M Grossman,0,6,1
M Mitchell,0,4,1
L Wooden,0,-4,1
J Hixon,0,33,4
L Brown III,0,25,5
T Allen,1,24,2
M Jefferson,0,14,1
M Spencer,0,9,1
D Bell,0,8,3
J Knight,1,7,1
T Farmer,0,1,1
E Gray,0,-6,1
J Sloan,0,74,5
J Pearson,0,68,7
J Simon,1,53,3
J Moses,0,51,3
L Jackson,0,21,3
G Walker,0,15,1
J Samuel,0,10,2
G LaFrance,0,8,1
K Fourtenbary,0,4,1
L Winningham,3,222,8
C Blackman,0,61,3
T Hudson,1,59,4
K Crossley,0,47,3
C Richmond,0,12,1
M Fox,0,3,1
D Blakey,0,0,1
C Dollar,0,58,5
N Henderson,0,49,5
M Elder,1,37,2
T Ringwood,0,26,3
V Tucker,0,11,1
A McAllister,1,3,1
B LeMay,0,2,1
I Gathings,0,38,2
C Awanna,0,15,2
J Ellis II,0,7,1
J Cagle,0,0,1
A Hobbs IV,0,19,1
K Walker,1,17,1
C Hayes,0,17,1
A Trammell,0,40,4
N Ellerbe,0,15,1
B Rozner,0,6,1
A Pitre III,0,1,1
T Brown,0,71,3
L Shenault Jr,1,48,3
B Russell,0,44,2
K Nixon,0,29,2
J Harris,1,24,2
D Stanley,0,16,1
W Jackson,1,87,8
D Wright,1,72,4
M Kinsey,0,69,5
T McBride,0,52,4
J Thomas,0,28,3
A Prentice,0,20,2
N Hall,0,18,2
C Butler,1,17,2
E Scott,0,11,1
D Stewart Jr,0,56,6
L Jefferson,0,29,2
C Heyward,1,28,3
L Nelson,0,25,1
M Dotson,0,22,3
C White,0,18,2
M Seybert,0,12,2
J Nailor,0,5,3
K Stokes,0,54,6
S Crawford Jr,1,49,5
K Johnson,0,37,1
J Johnson,0,19,3
S Brooks,0,-6,1
T Taua,0,64,8
E Cooks,2,60,7
K Fossum,0,58,6
R Doubs,0,47,5
D Christian,1,41,2
B Putman,0,21,1
J Kincaide,0,4,1
R Moore,1,124,11
B Hopkins,1,84,6
A Anderson Jr,0,60,6
D Bell,1,49,1
J Anthrop,1,38,1
J Sparks,0,26,3
A Horvath,0,21,3
M Wright,0,21,3
I Hodgins,2,170,9
T Lindsey,1,35,8
A Pierce,0,23,2
K Taylor,1,21,3
N Togiai,0,16,2
C Flemings,0,16,2
T Wallace,2,92,5
L Wolf,0,41,4
D Stoner,0,31,5
J McCray,0,22,2
C Moore,1,16,2
L Carter,0,1,1
B Melton,1,127,6
R Blackshear,1,126,9
M Jabbie,0,44,3
M Alaimo,0,32,2
P Woods,0,11,1
A Young,0,8,1
K Horn,1,37,4
J Johnson Jr,0,27,6
B Dingle,0,20,3
Z Simon,0,17,2
C Roberson,0,14,3
S Palmer,0,4,1
J Johnson,0,2,1
M Hill,0,2,1
J Britt,0,-2,1
J Cronkrite,0,23,3
R St Felix,0,21,3
B Miller,0,16,3
K Purlett,0,15,1
D Dukes,0,13,1
T Sands,0,13,1
J Phillips,0,12,1
M Wilcox,0,11,1
X Weaver,0,6,1
S Atkins,0,1,1
J Taylor,2,48,2
K Pryor,0,40,4
Q Cephus,0,39,3
J Ferguson,0,20,3
D Davis III,0,19,2
G Groshek,0,13,2
J Chenal,0,12,1
A Taylor,0,9,1
J Dunn,0,-1,1
S Surratt,1,158,7
S Claude,0,70,6
K Hinton,1,66,9
S Washington,1,46,4
J Freudenthal,0,31,4
B Chapman,0,24,3
C Carney,0,6,1
S Mariner,1,118,8
J Nathan,1,83,6
C Repp,0,59,5
D Thompkins,1,59,2
S Scarver,0,49,3
G Bright,0,30,4
C Terrell,0,17,3
J Warren,0,1,1
T Compton,0,0,1
G Sanders,0,41,1
N Diaco,0,29,2
N Gill,1,25,3
G Oakey,0,17,1
M Bradley,0,9,2
M Bevino,0,4,1
M Kane,0,1,1
M Twyman,0,1,1
O Bayless,4,132,10
B Bowling,0,92,12
J Adams Jr,0,84,8
R Tyler,0,11,1
M Murray,0,5,1
R Roberson Jr,0,180,11
J Proche,0,66,7
K Granson,0,63,5
M Gailliard,0,24,3
J Bell,0,16,2
X Jones,0,11,2
T Hennigan,1,79,7
K Watson,0,22,2
D Evans,0,21,2
C Wells,1,17,1
H Pearson,0,12,2
J Virgil,0,10,2
M Williams,1,6,1
B Richburg,0,77,4
K Coffee,0,24,5
N Adkins,1,21,3
M McGue,0,15,1
A Spagnoletti,0,13,1
J Couch,0,11,1
Q Holmes,0,0,2
T Burks,0,52,3
T Knox,0,38,1
M Woods,0,30,5
R Boyd,0,22,3
G Gunter,0,16,3
T Morris,0,15,1
C Harrell,0,14,1
C Hayden,0,4,1
C Taumoepeau,1,56,4
E Daigbe,0,43,5
S Hoffman,0,35,4
D Koetter,0,16,1
M Talalemotu,0,5,1
C Martin,0,0,1
Y Tyler,1,71,3
A Davis,0,60,3
R Miller,0,51,5
W Fletcher,1,45,4
J Hall,0,39,6
W Jones,0,16,2
N Givan,0,9,1
C Huntley,0,7,2
N Westbrook,1,103,3
P Hendershot,0,69,4
W Philyor,0,66,6
T Fryfogle,0,41,6
S Scott III,0,28,3
D Hale,0,16,1
R Walker Jr,0,3,1
R Sneed,2,57,5
D Mims,0,46,5
T Ebner,1,40,5
J Fleeks,0,37,4
C Platt,0,23,1
J Atkinson,0,16,1
T Thornton,1,9,1
C Henle,0,8,1
K Bullard,0,8,1
J Hasty,0,6,2
X Gipson,0,61,3
L Rikel,0,23,1
J Thompson,0,18,1
R Simmons,0,16,3
C Clater,0,11,2
C Williams,0,9,2
D Ward,0,8,1
T Hutchings,0,6,1
Q Borders,0,6,2
Z Flowers,1,91,2
K White,1,73,3
H Long,0,53,4
D Bailey,0,27,1
K Idrizi,0,20,2
A Dillon,0,9,1
J Burt,0,3,1
B Glines,0,-1,1
H Grimsley,1,98,4
T Robinson,1,72,6
K Smith,1,62,4
T Turner,0,49,5
J Mitchell,1,22,2
E Belmar,0,19,2
D Keene,0,13,4
D McClease,0,6,1
K King,0,3,1
C Thomas,0,103,5
K Shakir,1,78,8
A Butler,0,58,5
J Bates,0,51,3
G Holani,0,33,2
R Mahone,0,27,1
O Evans,0,25,2
J Hightower,0,25,2
A Van Buren,0,7,2
T Terry,1,99,4
K Helton,1,58,1
W Thompson,0,50,2
K Gavin,0,39,4
O Wilson,0,26,3
D Matthews,0,19,4
C Akers,0,12,2
C McDonald,0,11,1
T McKitty,0,8,1
G Nabers,1,5,1
K Crawford,2,84,3
N Remigio,0,46,4
J Tonges,0,31,1
G Reinwald,0,19,1
T Clark,0,13,1
J Duncan,0,11,1
C Brown Jr,0,9,2
J Hawkins,0,9,1
M Dancy,0,8,1
M Polk,0,8,1
J Kraft,0,58,3
J Harrell,0,31,2
C Crawford,0,28,6
K Vaughn,0,21,2
T Thomas,0,19,2
W Preece,0,9,2
M Hyman,0,8,1
U Gilliam,0,7,2
T Marable,1,84,7
J Heiligh,0,76,6
L Collins Jr,0,43,1
K Tyler,0,32,6
J Miller,0,24,3
I Likely,0,23,4
S Bell,1,16,1
T Holmes,0,6,1
D Drummond,2,52,5
M Sexton,0,48,4
Q Williams,1,42,2
B Cannon,0,14,3
S Vann,0,13,2
A Jackson III,0,8,2
L Latu,0,7,1
B Turner,0,4,1
N Gray,0,45,5
S Bracey,0,39,2
D Jackson,0,7,2
B Brown,0,3,1
J Calhoun,0,2,1
M Durant,0,1,1
J Jeudy,1,137,10
J Waddle,0,90,5
D Smith,1,54,5
M Forristall,1,33,2
B Robinson Jr,0,14,1
H Ruggs III,0,14,2
J Ford,0,11,2
M Tennison,1,9,2
J Metchie,0,5,1
R Smalling,0,54,4
J Imatorbhebhe,0,34,2
K Cumby,0,31,1
T Sidney,1,26,2
D Brown,0,15,2
D Stampley,0,13,1
T Adams,0,10,1
J Williams,1,9,1
D Barker,1,2,1
N Stewart,0,79,5
M Mathison,0,22,3
B Lee,0,12,1
A Williams,0,9,1
J Knight,0,6,2
M Sargent,0,65,4
N Ragaini,0,45,1
I Smith Marsette,1,35,4
S Beyer,0,30,3
B Smith,1,26,3
T Tracy Jr,0,22,1
O Martin,1,14,2
T Young,0,7,1
T Goodson,0,4,1
B Ross,0,4,1
L Mayock,0,65,3
J Sorenson,1,44,5
J Walker,0,28,1
A Homer,1,23,2
D Johnson,0,23,5
M Thomas,0,3,1
D Jones,0,126,14
C Kolar,0,45,4
L Pettway,2,26,3
S Croney Jr,0,23,3
L Akers,0,21,1
T Milton,0,18,2
D Soehner,0,11,1
C Allen,0,4,1
D Wilson,0,4,1
I Weston,0,48,2
T Bohr,0,43,5
D McShane,0,38,7
J James,0,37,3
B Moore,0,26,4
T Allen,1,26,2
J Rima,0,7,1
A Soko,0,3,1
A Parchment,0,121,8
D Charlot,1,79,6
J Sosinski,1,25,2
S Robinson Jr,0,14,1
V Gardner,0,3,2
K Herbert,0,-1,1
D Jones,1,79,4
D Hendrix,0,57,8
P Kerlegrand,0,32,2
R Morgan,0,24,2
D Caton,0,11,2
J Wildt,0,7,1
D Dafney,0,6,1
H Woodcock,0,2,1
D Collins,0,1,1
D Schoen,1,65,3
C Taylor,0,34,1
J Brown,0,28,2
M Knowles,0,26,3
L Weber,0,20,2
P Brooks,0,18,3
N Lenners,0,12,1
J Dineen,0,9,1
D Dixon,0,92,5
S Guarisco,0,19,1
K Bussey,0,11,3
J Talley,0,4,1
L Bowden Jr,0,77,6
A Wagner,0,57,3
B Oliver,1,32,1
A Dailey Jr,0,31,2
A Rose,0,26,3
K Upshaw,0,19,2
J Ali,1,2,1
C Rodriguez Jr,0,2,1
B Mitchell,0,59,3
D McKinley Lewis,0,53,3
S Seymour,0,22,1
N Kovacs,0,18,2
D Rosi,0,17,1
D Phillips,0,-3,1
A Gandy Golden,0,119,6
D Stubbs,0,47,5
K Coleman,0,25,3
D King,0,23,1
K Shaa,0,13,2
F Hickson,0,8,1
D Douglas,0,4,1
P Pickett,0,-1,2
M Neal,0,54,3
T Harris,0,31,1
A Adams,0,29,2
S Riley,0,26,3
T Jackson,0,21,3
N Johnson,0,7,3
A Hackett,0,5,1
J Howard,0,3,1
J Bell,0,113,8
J Bradley,0,93,6
T Ragas,0,19,1
R Calais,0,15,3
N Ralston,1,11,1
B Smith Jr,0,7,1
P LeBlanc,0,5,2
E Mitchell,0,4,2
O Mitchell,1,88,6
A Williams,1,43,3
S Guidry,0,36,4
D Thomas,0,19,2
I Zuber,0,14,1
D Jones,0,14,1
K Hill,0,10,1
J Payton,0,9,1
F Green,0,3,1
X Brown,1,68,6
M McCray,0,45,3
J Hodoh,0,27,3
J Pederson,0,21,3
B Batiste,0,18,1
Z Jackson,0,5,1
M Jackson,0,3,1
P Carter Jr,0,2,1
C Whitfield,0,-3,1
D Davis,0,44,5
Q Guice,0,34,1
J Nichols,0,27,2
R Richardson,0,17,2
L Rash,1,15,1
D Thomas,0,9,1
D Johnson III,0,9,2
D Brutton,0,8,2
K Dominique,0,2,1
D James,0,0,1
K Jackson,0,-1,1
J Jefferson,1,87,5
T Moss,0,61,2
D Dillon,0,32,1
C Edwards Helaire,0,31,4
T Marshall Jr,3,31,4
T Davis Prince,0,24,2
J Chase,1,21,2
J Emery Jr,0,17,1
L Fournette,0,16,3
C Curry,0,14,2
T McLendon,0,12,1
T Palmer,0,6,1
D Lee,0,-1,1
J Pettigrew,0,-1,1
K Hood,0,12,1
C Brown,0,10,1
M Murray,0,2,1
M LaRoche,0,0,1
D Demus,2,100,3
B Cobbs,0,58,2
D Jones,0,57,2
T Mabry,1,24,1
J Leake,0,15,2
A McFarland Jr,0,14,1
D Turner,0,12,1
J Funk,0,11,2
C Okonkwo,1,9,2
S Nelson,1,6,1
K Dorsey,0,26,1
J Olibrice,0,14,1
A Boyd,0,12,2
M Hyatt,0,8,1
M Cornwell,0,6,1
K Anthony,0,6,1
J Crute,0,-5,1
D Coxie,0,44,6
K Gainwell,0,41,6
P Williams,0,40,4
P Taylor Jr,0,25,4
K Jones,0,14,2
T Samuel,0,8,1
E Moore,0,60,4
J Pellerin,0,15,1
O Cooley,0,7,2
M Battle,0,6,1
S Connor,0,5,1
T Black,1,80,4
N Collins,1,49,3
S McKeon,1,37,2
C Johnson,0,19,2
R Bell,0,18,2
Z Charbonnet,0,9,2
N Eubanks,0,5,2
C Turner,0,2,1
D McCaffrey,0,1,1
J Marshall,1,59,1
T Lee,0,52,4
R Garnett,0,26,3
J Pierce,1,26,3
T West,0,16,2
B Anderson,0,15,2
C Mobley,0,14,3
C Windham,0,12,1
Z Dobson,0,10,1
J Bruce,0,7,1
J McDonald,0,1,1
D Frantz,0,0,2
T Johnson,0,-1,1
D England Chisolm,0,-3,1
C Gammage,1,82,5
A Henry,1,56,2
B Thompson,0,54,2
W Johnson,1,29,1
T King,0,24,2
T Richardson,0,23,3
A Levias,0,21,3
S Walden,0,16,1
X Gaines,1,14,2
G Morrell,1,11,1
S Scarcelle,0,10,2
J Lara,1,72,5
R Martin,0,61,7
K Bridy,0,22,4
C Owens,0,16,2
M Jackson,0,12,1
J Herres,0,8,1
L Thomas,0,7,1
A Ramsey,0,3,1
M Cooper,0,48,2
K Mahekau,0,29,1
C Warren,0,22,2
R Mitchell,0,4,1
D Mountain,0,62,4
T Ayeni,0,46,7
S Gilliam,0,18,1
J Jewell,0,18,1
A Asante,0,18,1
D Thomas,0,8,1
M Alexander,0,-3,1
D Newsome,0,74,4
D Brown,1,69,4
R Groves,0,35,3
A Green,0,25,1
B Corrales,1,17,1
J Williams,0,15,1
M Carter,0,10,1
S Smith,0,55,5
K Markway,1,37,2
J Vann,0,16,2
R Dowdle,0,12,2
T Feaster,0,11,2
B Edwards,0,7,1
D Joyner,0,4,2
T Thomas,0,83,6
T Hines,1,74,4
E Emezie,0,70,7
R Person Jr,0,45,1
D Carter,0,12,1
J Houston,0,10,3
C Angeline,0,7,1
K Lesane,0,6,1
M Fisher,0,5,1
Z Knight,0,2,1
B Proehl,0,45,5
A Omotosho,0,37,1
J Hatfield,0,26,5
D Farrier,0,22,2
L Henley,0,21,3
M Vines,0,20,3
Z Byrd,0,20,1
H Howe,0,16,1
T Snead,0,13,2
C Johnson,0,11,2
D Pinnix,0,-3,1
J Stoll,0,66,3
J Spielman,0,36,2
W Robinson,0,33,3
M Washington,0,13,1
W Mazour,0,13,1
A Allen,0,8,1
J McQuitty,0,6,1
D Mills,0,3,1
K Baker,0,59,4
C Sutherland,0,53,4
T Minter,0,47,5
J Tolbert,0,38,2
D Flenord,1,16,2
K Taylor,1,13,1
D Voisin,0,5,1
T Richie,2,102,3
D Crawford,0,75,3
M Brinkman,0,51,4
C Tucker,0,29,3
M Jones,0,14,2
D Robinson,0,12,2
T Harbison,0,11,1
M Thrower,0,8,1
S Tears,0,-3,1
T Grimes,1,109,6
B Haley,0,31,3
K Rutkiewicz,0,27,2
R Gillum,0,10,1
J Robinson,0,10,2
A Somoye,0,62,3
A Davis,0,58,2
J Kress,0,47,1
M Williams,0,46,2
A Molina,0,40,3
J Griffin IV,0,36,2
E Lilly,0,33,3
Q Drennan,0,9,1
A Umeh,0,9,1
D Bowens,1,130,9
N Stewart,0,71,6
C Harvin,0,68,5
B Tibbs,0,47,3
I Adeyi,0,37,3
W Brandom,0,32,1
C Compton,0,29,4
T Carter,1,13,1
K Jackson,0,8,1
D Williams,0,5,1
A Williams,0,3,1
R Bussey Jr,1,156,4
J Pirtle,3,88,4
J Darden,0,59,10
M Lawrence,0,25,3
N Smith,0,23,2
K Howell,0,12,1
J Shorter,0,10,1
D Torrey,0,8,2
L Easly,0,2,1
J Fink,1,72,2
K Clark,0,60,9
T James,0,47,3
J Lee,0,33,1
L McConnell,0,23,2
J Miller,0,22,3
B Hohenstein,0,11,2
P Bergdoll,0,3,1
B McCrary,0,2,1
B Victor,1,65,2
C Olave,1,59,4
J Ruckert,2,38,4
K Hill,0,21,3
A Mack,0,21,2
J Dobbins,0,14,1
A Riep,0,9,1
D McCall,0,7,1
J Gill,0,-2,1
H Bryant,0,79,6
T Harrison,0,57,4
J Raine,1,29,6
D Cousart,0,18,2
L McCammon III,0,15,3
J Mitchell,0,12,1
J Charles,0,8,1
B Emmons,0,-2,1
W Wright,0,-10,2
T Tupa,1,49,3
J Buckner,0,48,3
S Hooks,0,30,1
I Cox,0,26,3
C Odom,0,10,1
O Allison,0,9,2
A Luehrman,0,7,1
T Walton,0,5,1
R Luehrman,1,4,1
A Parker,1,144,9
A Dorsey,0,59,4
I Coulter,1,53,2
M Pires,0,13,2
C Warren,0,9,1
I Frimpong,0,6,1
J Kenny,0,5,1
Z Bryant,0,2,2
E Kumah,0,65,4
M Joyner,0,34,2
S Williams,0,25,3
C Cunningham,0,12,1
K Strong,0,11,4
A Moore,0,6,1
B Watson,0,3,1
J Herslow,0,2,1
D James,1,101,5
J Smith,0,26,2
A Williams,0,23,3
A Savage,0,18,4
T McElhenie,0,14,1
S McFarland,1,9,2
G Hulett,0,8,2
J Johnson III,0,98,7
J Redd,0,64,9
S Webb,1,28,3
J Breeland,0,26,4
J Delgado,0,9,1
T Dye,0,7,1
B Addison,0,6,1
C Verdell,0,4,2
S Cannella,0,42,2
S Williams,1,41,4
W Hastings,0,38,1
H Joiner,0,28,1
E Stove,1,18,3
S Nigh,0,9,1
M Hill,0,1,1
A Davis,0,65,2
M Ffrench,0,54,6
T Mack,0,33,6
T Tipton,1,26,3
W Gragg,0,4,3
V Carter,0,3,1
H Dubois,1,45,4
J Reed,0,34,7
T Chatman,0,33,1
T Jana,0,29,3
T Cowley,0,27,2
C Sharp,1,8,2
W Taulapapa,0,5,1
K Hamler,2,115,4
J Shorter,0,36,3
J Brown,0,31,2
D George,0,28,2
W Carr,0,27,3
R Slade,0,26,1
P Freiermuth,0,25,1
J Dotson,0,13,1
C Sullivan Brown,0,13,2
J Weller,0,10,1
Z Kuntz,0,8,1
D Ford,0,6,3
B Strange,1,4,1
J Cotton,0,83,6
N Romano,0,28,3
K Martinez,0,9,1
M Noil,0,9,1
C Haywood,0,7,3
J Byers,0,4,1
L Kendall,1,1,1
J Matthews,0,25,3
E Kothe,0,24,3
J Washington,0,14,3
D Bellinger,0,12,1
B Busbee,0,10,2
E Dedeaux,0,8,1
K Smith,0,8,1
P Houston,0,7,2
D Cooley,0,39,2
D Ames,0,17,4
J Malone,0,17,4
K Smith,0,17,4
R Shaheed,0,11,3
I Jackson,0,10,1
K Jackson,0,5,1
J Davis,0,3,2
J Mitchell,0,133,7
T Jones,0,68,5
N McLaurin,1,55,1
J Adams,0,21,3
T Mosley,0,16,2
C Blair,0,67,4
R Anderson,0,19,2
T Mcnair,0,18,1
N Duffey,0,18,1
J Anthony Jr,0,12,3
L Pringle,0,10,1
N Wood,0,7,1
J Green,0,1,1
D Waller,0,-8,4
C Wedington,0,69,7
M Wilson,1,47,6
C Parkinson,0,38,4
D Maddox,0,27,1
C Scarlett,0,27,3
S Fehoko,0,21,1
H Heimuli,0,4,1
B Skowronek,0,53,5
J Brown,0,23,1
J Moten IV,0,13,1
R Lees,0,11,2
J Jefferson,0,8,1
C Mangieri,0,7,1
K McGowan,0,2,1
T Hights,0,108,8
J Reagor,1,71,5
T Hunt,0,61,3
D Davis,0,21,4
D Anderson,0,17,1
D Thomas,0,7,1
A Lynn,0,4,1
S Olonilua,0,-5,3
H Ballard,0,38,3
T Porter,0,35,2
T Ralph,0,26,5
J Brown,0,15,3
B Mack,0,130,9
J Blue,1,117,10
T Williams,1,89,1
R Davis,1,78,2
I Wright,1,61,8
J Barbon,0,11,1
A Jarman,1,10,1
T Mattioni,0,5,1
K Dobbins,0,3,1
D Martin Robinson,0,2,1
K Reams,0,1,1
B Sanders,0,115,9
D Lyles,0,27,3
C Freshnock,0,25,2
J Cooper,0,13,2
S Walier,0,4,2
J Wilson,0,4,1
J McGuire,0,2,1
J Jennings,1,108,7
D Wood Anderson,0,79,3
E Gray,0,51,6
M Callaway,1,46,3
J Palmer,0,17,3
T Chandler,0,4,1
T Jordan,0,3,1
C Tillman,0,3,1
A Pope,0,0,1
C McCoy,1,43,3
R Carter,0,33,2
A Payne,1,17,2
T Dixon,0,14,1
D Gentry,0,14,1
T Barnett,0,12,1
S Pinckney,0,6,1
B Eagles,2,59,3
C Johnson,1,59,4
D Duvernay,1,55,9
K Ingram,0,43,3
J Smith,0,31,4
J Whittington,0,17,2
R Johnson,0,14,2
J Pouncey,0,11,1
C Brewer,0,8,2
M Epps,0,4,1
S Harris,0,58,6
C Powell,0,56,6
G Hebert,1,50,5
M Stanley,1,48,4
I Graham,0,39,4
A Hardy,0,38,3
I Tucker,0,24,3
J Dancy,0,18,2
D Marcus,0,9,1
B Holly,0,0,1
R Todd,1,108,3
K Geiger,0,104,5
B Clark,0,18,2
D Billingsley,0,14,1
T Eafford,0,12,3
K McClain,0,12,2
L Whittemore,1,10,1
B Smith,0,4,1
C Snead,2,54,3
A Whitehead,0,23,2
D Bargnare,0,9,2
K Prewitt,0,7,2
X White,1,107,5
T Vasher,0,72,6
D Rigdon,0,62,6
S Thompson,0,43,4
M Mannix,1,41,4
E Ezukanma,0,29,4
T Henry,0,22,5
D Thompson,0,22,2
T Koontz,0,19,2
A Shyne,0,10,1
K Carter,0,9,1
C Steel,1,56,3
W Patterson,0,51,2
K Kassis,0,44,3
L McCutcheon,0,4,2
D Snell,0,4,1
L Jones,0,3,1
S Jenkins,0,57,3
M Stevenson,1,35,3
N Bean,0,27,2
G Fauolo Sr,0,26,2
D Woods Jr,0,24,2
C Williams,0,9,1
P Ballard,0,8,1
R Grimes,0,8,1
A Collins Jr,0,6,1
T Collins,0,5,1
J Gasser,0,-2,1
C Baker,0,79,2
L Lawson,0,63,8
T McLachlan,0,48,3
Z Nelson,2,44,3
I Diego Williams,0,24,4
J Mitchell,0,22,1
N Colson,0,14,2
C Frampton,0,4,1
J Felila,0,-3,1
T Vaughns,0,150,11
S Carr,1,43,6
A St Brown,0,38,5
M Pittman Jr,0,28,6
V Malepeai,0,8,2
E Krommenhoek,0,5,1
D Grim,1,86,2
C Coleman,1,71,3
Z Pope,0,41,4
J Hokit,0,24,3
R Rivers,0,23,4
J Rice,0,11,3
T Wolf,1,96,2
A Busey,0,57,2
F Mckee,0,40,1
D Cooper,0,35,1
J Cowing,0,13,1
J Trussell,0,13,1
W Dawn Jr,0,8,1
J Fields,0,6,1
B Ratzlaff,1,88,8
G Brito,0,84,3
J Sterns,0,62,8
E Beek,0,25,2
T Tillmon,0,19,2
J Smith,0,13,2
C Robinson,0,5,1
T Larkin,1,4,1
B Brady,0,47,5
T Ogle Kellogg,1,36,1
C Strickland II,1,26,4
G Sharp,1,18,3
S McCormick,0,18,5
B Moorhead,0,17,4
L Watson,0,12,1
T Woolen,0,10,1
