name, receiving touchdowns, receiving yards, receptions
C Byrd II,4,224,14
J Ward,1,70,4
J Smart,0,68,6
J Sharsh,0,52,8
J Phillips,0,18,1
D Furuta,0,4,1
S Berryhill III,1,92,3
J Joiner,1,72,4
T Cunningham,0,65,4
M Wiley,0,50,3
B Casteel,0,31,3
B Wolma,1,14,1
D Dixon,0,13,2
J Taylor,0,13,1
G Brightwell,0,11,1
B Jordan,1,88,5
K Osborn,0,41,4
D Dallas,0,37,4
J Thomas,0,28,2
M Harley,0,12,1
C Harris,0,4,2
M Pope,0,4,1
J Hammond,0,93,4
K Toney,1,66,1
K Pitts,0,33,3
L Perine,1,25,6
V Jefferson,0,14,1
T Cleveland,0,13,1
T Grimes,0,10,1
B Aiyuk,1,140,4
F Darby,0,53,3
E Benjamin,1,32,3
K Williams,0,20,2
A Carter,0,16,1
R Pearsall,0,16,1
T Hudson,0,7,1
A Dixon,0,44,4
I McKoy,1,26,2
J Bangda,0,5,1
J Williams,0,4,1
K Abram,0,3,1
K Price,0,-2,3
J Ortega Jones,0,69,5
Q Morris,2,65,5
J Wayne Prather,0,31,3
D Jones,1,27,3
C Sims,1,27,2
A Clair,0,25,2
B Denley,0,23,2
N Massey,0,14,1
A Dorris,0,13,2
J Robinson,0,14,1
D White,0,6,1
M Bailey,0,4,1
Z Lefebvre,2,43,2
M Johnson,0,27,1
J Patterson,0,3,1
K Marks,0,-4,1
D Madison,0,60,3
D White,0,17,1
G Houser,0,11,2
S Petrick,0,4,1
M Bushman,0,62,6
A Hifo,0,40,4
M Simon,0,35,3
G Romney,0,33,3
D Milne,0,19,1
T Shumway,0,12,2
T Williams,0,4,1
L Katoa,0,3,1
B Kuithe,0,37,3
D Simpkins,0,35,4
S Enis,0,12,1
J Dixon,0,9,1
Z Moss,0,7,2
B Covey,0,4,1
S Nacua,0,2,1
G Davis,2,68,3
A Johnson,1,67,2
T Nixon,1,61,6
O Anderson,1,39,3
M Williams,0,34,3
A Harris,1,26,1
J Harris,0,17,1
K Ahmad,0,15,1
R OKeefe,0,12,1
B Thompson,0,10,1
G McCrae,0,7,1
D Manigo,0,26,2
A Rey,0,18,2
A Davis,0,17,1
X Smith,0,10,5
G Webb,0,9,1
K Young,0,9,1
K Parker,0,3,2
A Pierce,0,59,2
J Deguara,1,53,4
J Jackson,0,36,3
M Warren II,1,27,3
T Geddis,0,25,3
R Medaris,0,23,2
J Whyle,0,19,1
D Felton,1,91,2
J Erwin,0,37,3
G Dulcich,0,14,1
C Cota,1,7,1
M Irby,0,7,1
T Higgins,1,98,4
L Dixon,0,22,1
F Ladson Jr,1,21,1
J Lay,0,20,1
J Ross,0,13,3
C Powell,0,13,1
J Ngata,0,12,1
J Chalk,0,8,1
W Swinney,0,4,1
B Spector,0,3,1
D Overton,0,3,1
T Etienne,0,3,1
T Chase,0,1,1
J Howard Jr,0,57,2
J Blancato,0,34,1
A Brown,1,28,1
M Carter,0,11,1
T Davis,0,7,1
J Mason,0,0,1
T Scott,2,93,5
J Ward,0,53,3
K Pimpleton,1,40,8
K Nixon,0,33,4
T Poljan,0,27,3
K Lewis,0,19,2
D Law,0,13,1
J Wilson,0,7,1
J Green,2,94,5
K Mofor,0,42,2
D Holmes,0,24,4
J Reeves,0,18,2
D McDonald,0,14,1
A James,0,7,1
M Drayton,0,51,5
H Maurisseau,0,33,4
M Donaldson,0,30,2
C Hairston,0,30,1
A Thompkins,0,14,2
A Giordano,0,24,3
J Stewart,0,16,3
B Sieczkowski,0,15,1
J DeCambre,0,15,2
N Ellison,0,15,1
I Ogwuegbu,0,0,1
J Lorick,0,-3,1
R Bateman,1,132,5
T Johnson,0,28,3
C Autman Bell,0,17,2
D Douglas,0,1,1
M Ibrahim,0,-2,2
C Johnson,0,90,6
P Strong Jr,0,59,2
