longest punt return, name, punt return yards, punt returns
0,J Smith,0,1
67,R Burbrink,76,3
14,T Watts,15,3
7,J Worton,7,1
8,I Davis,11,2
4,B Lemelle,2,2
24,I Burse,47,3
0,J Grant,-1,2
7,S Harding,11,3
9,M Lee,8,2
58,S Wynn,58,1
17,M Paige,32,3
3,C Burnett,3,2
5,J Boyle,7,2
0,L Wollet,-3,2
15,M Jones,15,1
5,K Whitely,5,1
57,K Griswould,53,3
7,T Robinson,7,2
4,T Glover,3,2
4,G McNabb,4,1
13,V Hampton,22,3
20,T Thorpe,21,2
22,N Grigsby,16,2
10,E Graham,10,1
8,D Monroe,8,1
2,D Boutte,2,1
7,C Brown,7,1
3,J Moll,3,1
0,D Williams,-2,1
0,J Poole,0,1
2,B Natson,2,1
2,J Krause,2,1
11,J Scott,11,1
11,K Johnson,11,3
0,N Phillips,11,3
8,J Jackson,8,1
3,L McDuffey,2,2
0,V Williams,-4,1
0,M Webster,-5,1
49,C Dudzik,49,1
33,A Sims Jr,52,5
4,D Chance,4,2
21,D Crawford,27,3
8,P Dorsett,17,3
7,S Coley,7,1
6,R Lohnes,6,1
9,C Lancaster,14,2
1,B Poston,0,2
17,S Foster,17,1
15,T Jacobson,15,2
4,A Wilson,4,1
46,F Truss,53,2
8,S Gagliano,8,1
6,G Brown,6,1
8,R Fleming,8,2
0,D Surgent,-2,1
19,C Davis,19,1
9,L Norwood,13,2
8,C Spangler,10,2
15,S Evans,25,2
2,B Treggs,0,2
6,A McClung,-2,3
9,C Jones,9,1
0,S Watkins,0,1
4,D Swann,4,1
76,J Crowder,113,5
0,M McCaffrey,0,2
3,P Barren,3,1
1,T Livingston,1,1
20,J Hardy,35,2
5,A Vaughan,5,1
7,D Reed,9,2
38,M Roberson,72,4
3,C Dennis,3,1
2,J Golden,1,2
5,D Wood,5,1
18,M Osei,18,1
5,V Bentley,5,1
0,E Thomas,-4,1
6,L McKinney,6,1
13,K Martin Manley,24,2
3,A Sebastiano,6,3
4,J West,4,1
12,B Carnes,12,1
0,W Likely,0,1
8,S Miller,15,2
30,J Reynolds,30,0
0,D Thomas,9,1
2,J Gallon,2,1
2,D Norfleet,-1,2
8,M Murphy,15,5
10,W Powell,11,2
28,D Smith,70,7
14,F McRae,14,1
5,D Scott,5,1
5,R Smith,10,3
16,D Banks,21,3
11,J Claiborne,13,2
4,T Foley,3,2
0,K Harrison,-2,1
12,T Jones,23,3
4,J Fitzpatrick,4,2
62,B Chancellor,111,3
0,R Mwehla,-1,1
19,P Brown,44,4
45,J Saunders,55,4
6,J Stewart,7,2
2,J Lewis,1,2
20,B Addison,16,2
11,R Reynolds,11,1
11,A Clark,21,2
3,T Vizzi,3,1
60,S Little,60,1
21,D Spencer,32,2
35,J Richard,52,2
29,A Erickson,29,1
10,R Desir,16,2
31,J Della Valle,44,3
11,D Young,21,2
0,L Chatman,-6,2
8,Q Diggs,15,2
10,D Johnson,10,1
0,W Van Hooser,0,1
11,B Callahan,11,1
36,S Evans,52,2
0,K Orjioke,14,1
7,R Goforth,7,1
4,P Ruhl,4,0
35,D Terrell,45,3
0,A Harris,18,1
17,J Falslev,34,5
43,K Jarrett,42,2
1,K Fuller,-1,2
72,C Jones,100,4
18,D Hart,18,2
0,K Doe,0,2
6,A Andrews,17,4
33,D Robinson,54,2
0,J Thompson,1,1
5,S Ballard,3,2
74,J Hansley,92,3
0,R Ruiz,0,1
19,N Spruce,34,4
29,E Rogers,29,1
1,K De La Cruz,2,2
10,I Dixon,10,1
26,K Shaw,26,1
14,R Nelson,25,3
9,R Smith,9,1
19,E Graham,19,1
20,R Lohnes,34,4
6,S Evans,6,1
0,N Whitlock,25,1
4,M Campanaro,7,4
0,S Miller,-2,1
16,J Worton,16,1
0,J DeMartino,-5,1
23,I Davis,28,2
1,D Scott,1,2
16,J Herndon,20,1
16,F Truss,16,1
2,C Davis,2,1
3,J Smith,3,1
3,J Noble,3,1
20,L Norwood,50,4
43,S Williams Rhodes,71,3
2,K Anderson,-1,2
6,J Falslev,10,2
23,Q Diggs,28,2
13,B Treggs,22,4
21,S Murphy,22,2
3,T Davis,5,4
12,C DeAndrade,25,3
10,C Murphy,10,1
61,I Burse,130,3
0,T Stewart,0,1
11,A Hubbard,-6,2
3,D Swann,3,1
38,M Osei,37,3
26,V Bentley,29,2
11,A McClung,20,2
6,S Washington,6,1
10,K Martin Manley,10,1
0,J Burton,-3,2
42,C Embree,92,4
1,D Knox,1,2
79,T Thompson,94,2
4,R Burbrink,5,2
11,J Blue,22,5
8,D Collins,11,3
32,F McRae,52,3
19,R Ceaser,24,4
0,T Caldwell,-2,1
0,K Jackson,-10,1
7,K De La Cruz,13,3
1,E Rogers,1,1
1,S Absanon,1,1
60,O Beckham Jr,59,3
2,J Nelson,2,1
1,D Banks,-4,2
4,K Johnson,4,1
27,W Likely,27,1
13,T Dudley Giles,20,3
5,S Baltimore,8,4
9,A Sims Jr,19,5
19,K Durden,20,3
10,K Malone,13,2
11,J Crowder,16,4
15,P Dorsett,15,2
0,L Purifoy,18,1
18,M Roberson,15,2
0,D Norfleet,0,1
18,T Jones,18,1
5,J Scott,5,1
6,S Davis,8,2
17,M Murphy,22,2
0,D Newsom,0,1
29,B Reedy,29,1
13,D Reaves,13,1
4,D Smith,6,2
2,D White,2,1
0,J Lewis,-5,1
14,T Thorpe,21,3
9,R Switzer,9,1
0,K Griswould,-2,2
14,R Smith,17,2
2,D Miller,2,1
3,J Turner,6,2
5,J Richard,5,1
0,J Huber,-2,2
2,J Matthews,2,1
65,M Jones,67,2
2,R Desir,2,2
10,P Brown,10,1
17,T Carrie,36,3
27,B Chancellor,27,1
17,J Saunders,25,3
0,M Alford,-2,1
8,B Cooks,15,5
22,V Walker,22,1
11,J Della Valle,21,2
11,D Reed,20,2
14,F Williams,14,1
2,B Knauf,2,1
0,T Riley,-3,1
10,J Grant,30,5
0,Q Pratt,21,1
5,A Cioffi,5,0
0,C Frazer,-1,2
55,J Taylor,55,1
0,D Dash,-2,1
22,B Carter,22,1
2,J Fitzpatrick,2,1
5,D Payne,6,2
11,J Carter,20,2
0,T Higbee,16,1
6,D Monroe,6,1
3,D Boutte,3,1
27,T Glover,41,4
12,T Timmons,12,0
0,Q Ford,0,1
15,T Watts,22,5
7,C Floyd,7,1
18,T Simmons,31,3
0,D Nwosu,14,1
0,B Holmes,0,1
18,T Labhart,30,2
10,S Holmes,10,1
19,A Erickson,26,2
24,G Dunlap,24,1
35,C Thompson,47,2
10,S Foster,10,2
25,J Jackson,59,5
11,M Lee,15,3
3,L Brooks,5,2
29,J Poole,82,4
23,G Norwood,44,2
62,K Harrison,62,1
7,J Stewart,7,1
0,D Glidden,-5,1
17,J Krause,32,5
5,T Pruitt,8,2
16,L Chatman,16,1
12,D Terrell,12,2
21,B Addison,21,1
0,J Huff,0,1
13,K Jarrett,21,5
0,K Fuller,0,1
2,T Robinson,2,1
20,K Doe,50,4
0,J Abbrederis,0,1
2,D Chance,2,1
8,R Tyler,8,1
5,D Bolt,5,1
10,J Claiborne,4,3
0,R Montgomery,0,1
0,N Lovett,-2,1
5,D Epps,-11,2
16,J McKissic,26,3
16,W Van Hooser,19,2
10,A Guillot,21,4
11,D Boutte,13,2
30,B Carter,39,3
15,J Herndon,14,3
10,J Noble,10,1
25,K Whitfield,25,1
11,J Jackson,18,3
28,Q Bray,44,3
9,R Nelson,12,2
16,K Doe,16,1
0,S Shelton,-2,1
3,A Neutz,3,1
20,R Johnson,20,1
0,I May,-2,1
13,P Brown,20,2
25,A McClung,34,2
4,E Eagan,4,1
4,W Likely,4,1
14,T Simmons,25,4
0,A Hubbard,-2,1
20,J Crowder,20,1
12,J Golden,12,1
22,D Webster,22,1
0,J Hardy,-3,1
15,K Jarrett,20,3
2,K Fuller,2,1
42,S Miller,87,3
13,P Cleckley,16,3
16,K Shaw,53,5
17,J Wilson,29,2
11,D Epps,34,5
0,J Sannon,11,1
44,A Sebastiano,47,2
2,V Bentley,2,1
0,M Osei,0,1
9,J Ross,9,1
56,P Senn,56,1
8,J West,16,2
1,T Thompson,1,1
0,J Blue,-1,1
0,E Rogers,0,1
8,O Beckham Jr,9,2
5,T Dural,3,2
28,A Sims Jr,50,4
18,N Hill,18,1
15,M Kings Jr,15,1
1,M Wheary,1,1
9,D Dileo,9,1
7,I Davis,9,2
26,K Maye,26,1
0,M Jones,-3,2
33,A Ford,42,3
0,K Griswould,-4,2
9,K Malone,23,4
16,S Lynch,28,2
26,S Evans,26,1
2,R Goforth,2,1
19,D Johnson,24,2
9,J Jones,9,1
16,B Chancellor,29,2
6,J Smith,6,1
48,T Carrie,48,1
28,J Saunders,28,1
77,T Watts,77,1
67,J Stewart,114,3
2,D Glidden,2,1
40,B Addison,40,1
6,C Delaney,6,1
0,J Carter,-1,1
0,L Pitts,2,1
15,J Della Valle,15,1
18,F Williams,18,1
10,B Callahan,11,3
2,C Embree,2,1
2,J Grant,2,1
11,D Reed,11,2
0,T Glover,-2,1
0,A Andrews,-1,1
12,B Ellington,16,3
0,T Gurley,0,1
0,V Hampton,-4,1
0,J Krause,0,1
0,K Durden,0,2
6,R Lohnes,4,4
16,R Desir,12,4
3,R Alderman,3,1
7,B Wetzel,7,1
5,Q Diggs,5,1
73,J Scott,73,1
17,B Reedy,17,1
9,D Harris,15,2
5,C Jones,5,1
14,K Whitely,27,5
3,T Davis,3,1
14,N Agholor,16,2
5,D Rogers,5,1
0,S Evans,0,1
3,G Norwood,3,1
24,B Natson,54,4
10,R Butler,13,1
9,T Van Leeuwen,9,1
0,M Campanaro,-8,1
22,L Brooks,41,2
18,G McNabb,18,1
22,R Carswell,46,3
22,D Rufran,51,3
12,S Miller,17,2
8,A Humphries,8,2
0,I Burse,-1,1
0,G Brown,-8,1
1,I Davis,1,1
1,D Surgent,0,2
14,C Jones,26,4
0,K Drake,19,1
15,D Lee,15,0
0,T Simmons,0,1
13,M Campanaro,21,2
0,L Norwood,0,1
3,R Burbrink,6,2
58,J Falslev,84,4
5,G Norwood,6,2
0,T Davis,0,1
0,C Jones,-1,1
15,B Lemelle,20,5
24,D Dileo,22,3
0,D Jones,0,1
82,J Crowder,109,3
5,K Weatherspoon,5,1
8,R Lohnes,8,2
4,III,5,2
6,P Cleckley,6,1
12,D Swann,23,4
6,R Davis,6,1
0,M Trice,20,1
0,B Chancellor,0,1
0,T Zenon,0,1
3,R Switzer,3,1
31,D Payne,34,4
83,K Martin Manley,184,4
8,R McCarron,8,2
1,D Chance,1,1
7,A Guillot,9,2
22,E Rogers,37,4
3,K De La Cruz,11,4
0,D Jasper,0,1
10,O Beckham Jr,10,1
5,Q Bray,5,5
0,W Likely,0,1
0,S Diggs,-1,2
0,R Carswell,0,2
18,J Krause,21,2
31,K Malone,58,4
20,S Coley,25,2
0,R Kirby,0,1
13,F McRae,24,2
10,S Washington,33,5
11,M Jones,13,2
1,B Benwikere,1,1
3,J Lewis,5,2
9,J Westerkamp,9,1
1,T Wesley,1,1
11,J Huber,8,2
14,S Harding,23,2
0,A Sebastiano,-2,1
6,T Jones,6,1
12,J Flores,12,1
2,T Jones,2,1
6,M Kings Jr,6,1
65,P Brown,65,1
9,C Fields,17,2
4,D Grant,4,1
18,D Patterson,18,1
13,T Carrie,9,5
9,J Della Valle,9,1
0,V Walker,-5,1
0,E Calhoun,0,1
58,J Grant,106,4
2,J Herndon,2,1
4,T Vizzi,4,1
0,B Cooks,-23,1
10,B Gardner,24,1
3,K Whitfield,3,1
3,R Nelson,5,2
0,D Kelly,11,1
0,E Crume,10,1
0,R Desir,-2,3
5,D Monroe,5,1
0,K Banks,0,1
24,J Shipley,31,3
40,T Thompson,40,1
30,D Harris,42,3
19,J Taylor,19,1
19,S Foster,39,5
3,A Erickson,3,1
63,J Nelson,63,2
30,L Farmer,29,2
2,E Eagan,-2,2
13,D Andrews,24,2
20,S Evans,20,1
11,R Goforth,11,1
0,K Whitely,-1,1
6,A Ford,14,3
0,M Lee,0,1
6,J Jones,12,3
0,K Harrison,0,1
30,D Terrell,75,8
0,K Fuller,23,1
11,D DiNardo,11,0
6,K Jarrett,9,3
19,D Smith,37,3
10,J Ross,7,2
51,L Brooks,59,4
5,D Epps,5,1
10,J Abbrederis,25,3
7,F Williams,7,1
5,B Knauf,5,1
38,A Andrews,58,4
