longest reception, name, receiving touchdowns, receiving yards, receptions
41,B Banks,1,77,6
16,S Thomas Erlington,0,35,3
10,L Tasker,0,30,4
16,B Addison,0,16,1
7,M Jones,0,7,1
5,M Tucker,0,5,1
0,N Kalinic,0,0,0
37,K Cannon,0,66,4
26,K Moore,0,43,3
19,S Evans,0,35,3
22,C Watson,0,22,1
9,N Roosevelt,0,14,2
4,M Thigpen,0,8,2
4,W Powell,0,6,2
45,R Collins Jr,0,175,9
28,K Stafford,2,98,7
21,G Ellingson,0,66,5
21,N Adjei,0,54,4
23,C Gable,1,29,3
8,T Smith,0,13,2
7,C McCarty,0,12,2
27,B Cunningham,1,96,7
31,E Lewis,0,41,2
20,D Posey,1,37,3
18,W Stanback,0,17,2
0,S Moore,0,0,0
50,J Brescacin,1,68,4
24,M Ambles,0,49,3
23,D Jackson,0,43,5
18,E Rogers,0,43,4
12,R Begelton,0,34,5
33,W Langlais,0,33,1
5,M Klukas,0,5,1
26,R Harris,0,82,6
24,B Sinopoli,0,75,7
19,C Holley,0,55,5
8,M Madu,0,28,6
12,S Coate,0,19,2
5,J Beaulieu,0,9,2
8,D Rhymes,0,8,1
56,B Burnham,0,153,5
21,L Durant,1,75,6
32,D Carter,0,65,6
17,J White IV,0,18,3
7,S Johnson,0,7,1
6,J Cottoy,0,6,1
43,D Adams,1,73,5
15,D Wolitarsky,2,43,4
20,A Harris,0,27,5
7,N Demski,0,19,4
11,K Lawler,0,19,2
3,L Whitehead,0,3,1
38,D Rhymes,1,168,11
22,R Harris,1,51,5
18,B Sinopoli,0,44,5
43,S Coate,0,43,1
23,J Beaulieu,1,28,3
9,C Holley,0,12,2
8,M Madu,0,8,3
39,K Moore,0,117,5
44,S Evans,1,103,7
22,N Roosevelt,0,59,5
21,C Watson,0,28,2
19,M Thigpen,1,19,1
8,W Powell,0,18,4
7,K Cannon,0,12,2
4,A Awachie,0,4,1
54,G Ellingson,2,174,9
14,T Smith,1,43,5
13,N Adjei,0,27,3
6,C Gable,0,17,4
8,K Stafford,0,15,2
11,R Collins Jr,0,11,1
7,C McCarty,0,7,1
10,D Carter,0,42,6
38,S Johnson,0,41,2
33,B Burnham,0,33,1
12,L Durant,1,25,3
8,J White IV,0,8,1
0,B Rutley,0,0,1
40,A Edwards,1,73,4
18,L Noel,0,71,7
42,D Walker,0,67,4
15,S Green,0,53,5
18,J Wilder Jr,0,33,3
7,J Ralph,0,13,2
44,B Addison,3,107,6
27,B Banks,0,105,7
44,M Tucker,0,76,5
24,J Acklin,0,59,5
37,S Thomas Erlington,0,56,3
31,N Kalinic,0,31,1
9,M Jones,0,9,1
75,L Whitehead,2,155,7
12,A Harris,1,17,2
10,C Matthews,0,16,2
9,N Demski,0,9,1
3,D Petermann,0,3,1
27,K Stafford,0,108,8
27,R Collins Jr,0,107,8
22,G Ellingson,0,73,7
8,N Adjei,0,19,4
6,C Gable,0,19,4
11,T Green,0,11,1
4,C McCarty,0,4,1
2,T Smith,0,4,2
47,B Banks,0,152,7
45,B Addison,0,121,8
75,S Thomas Erlington,1,102,5
17,J Acklin,0,17,1
10,M Tucker,0,16,2
6,M Jones,0,6,1
3,N Kalinic,0,3,1
16,B Cunningham,0,93,8
21,W Stanback,0,37,5
23,D Posey,0,32,2
21,R Stone,0,30,2
27,J Wieneke,1,28,2
17,E Lewis,0,17,1
28,M Ambles,0,108,9
42,E Rogers,3,100,9
27,R Sindani,0,53,3
22,R Begelton,0,40,5
12,D Jackson,0,26,5
18,M Klukas,0,18,1
18,B Burnham,0,94,10
15,J White IV,1,87,9
24,L Durant,1,83,5
18,D Carter,0,44,7
10,J Cottoy,0,18,3
15,B Rutley,0,15,1
13,S Johnson,0,13,1
98,K Moore,1,127,4
42,S Evans,0,112,5
26,K Cannon,0,71,5
33,N Roosevelt,0,51,3
18,W Powell,0,35,4
16,C Watson,1,21,2
13,J McInnis,0,13,1
56,D Walker,0,56,1
21,A Edwards,0,50,4
14,J Wilder Jr,0,39,4
13,S Green,0,35,3
14,L Noel,1,31,6
11,J Ralph,0,22,3
10,D Cross,0,10,1
7,C Rainey,0,7,1
45,B Cunningham,0,67,2
16,Q Bray,0,54,8
46,W Stanback,0,46,1
12,E Lewis,0,19,2
16,J Wieneke,0,16,1
26,J Acklin,1,120,8
28,B Banks,0,86,7
26,A Coombs,0,61,5
59,M Jones,0,59,1
