completions, interceptions thrown, name, passes, passing touchdowns, passing yards
16,0,T Mangum,27,1,194
16,1,J Eason,36,1,134
26,1,N Stevens,39,3,334
27,3,J Luton,47,2,304
21,1,A Ford,30,2,275
1,0,R Comis,4,0,23
25,1,D Brown,38,3,391
7,1,S Glaesmann,18,0,69
3,0,J Tyner,6,0,26
14,0,K Chryst,25,2,253
5,0,K Costello,9,0,80
2,0,R Burns,4,1,36
18,3,J Love,36,2,192
7,0,M Aaron,13,1,86
0,0,M Roberson,1,0,0
11,0,Q Flowers,22,2,212
2,0,B Kean,4,0,21
14,1,A Allen,19,1,135
2,0,C Kelley,3,1,44
14,0,V Jefferies,27,1,95
0,0,T Tolbert,2,0,0
22,0,M Wilkins,27,2,300
2,0,B Barnett,3,0,21
40,2,T Rodgers,57,3,398
0,0,S Slater,1,0,0
16,1,M Milton,21,4,360
10,0,N Vedral,12,0,79
18,1,A McGough,29,1,201
0,0,M Alexander,2,0,0
17,0,H Moore,28,3,151
7,1,J Craig,14,1,63
2,0,J Oatsvall,4,0,26
25,1,S Morris,49,1,226
3,0,T Poljan,5,0,27
21,6,T Harris,40,3,284
19,0,D Pindell,28,0,154
9,0,B Shirreffs,13,1,124
33,0,P Pujals,56,1,358
14,0,C Manning,17,0,159
4,1,A Winchester,6,1,65
12,0,T Harris,25,0,145
14,2,M Linehan,19,2,163
10,0,K Thomson,21,0,95
0,0,W Clapper,4,0,0
40,2,R Lagow,65,3,410
2,0,P Ramsey,3,0,10
20,0,J Barrett,35,3,304
10,1,R Ferguson,25,0,97
10,1,G Smith,17,1,171
11,0,C Evans,20,1,108
12,1,C Rhoda,21,1,176
7,0,D Croft,11,0,63
22,1,T Jackson,42,1,211
20,0,M Rudolph,24,3,303
1,0,T Cornelius,2,0,5
18,0,C President,35,0,178
2,0,L Skipper,3,0,10
19,0,L Woodside,31,0,314
0,1,M Guadagni,3,0,0
1,0,J Greene,3,0,25
2,1,D Cheek,10,0,22
0,0,K Weeks,1,0,0
23,1,T Huntley,32,1,227
13,0,K Studsrud,27,1,175
1,1,B Heidlebaugh,4,0,12
7,0,K Hinton,8,2,124
11,0,J Wolford,15,3,107
2,1,J Newman,4,0,8
2,1,B Cheek,9,0,41
0,0,A Bradshaw,2,0,0
26,1,K Anderson,38,0,233
2,0,L Medlock,3,0,7
21,2,S Montez,29,1,202
24,2,N Stevens,47,0,309
22,1,B Roback,31,0,267
12,2,H Klugh,28,1,114
0,1,C Montgomery,1,0,0
19,1,D Parr,30,2,281
2,1,D Johnson,3,0,5
3,1,Z Abey,9,1,110
15,1,R Graham,38,2,190
1,0,C Blake,1,0,13
26,1,A Brown,42,2,191
24,2,K Bolin,34,2,178
17,0,J Browning,30,2,284
28,0,E Dungey,36,3,328
9,0,R Culpepper,16,0,103
6,0,J Dolegala,19,1,86
6,0,T Kingsley,8,0,27
15,0,A Hornibrook,23,3,244
25,3,K Myers,41,0,219
8,0,A Worthman,12,2,172
2,0,N Romine,2,0,18
3,0,A Coulling,6,0,25
2,1,R Udinski,3,0,12
5,0,D Hodges,10,0,3
7,0,B Dawkins,13,1,89
0,0,K Tate,1,0,0
21,2,C Cookus,38,0,306
3,0,G Groenewold,3,0,48
3,0,H Correll,9,0,23
14,1,J Stidham,24,2,185
4,1,S Werts,8,0,8
14,1,A Solomon,29,3,278
0,1,Z Smith,1,0,0
44,0,S Calvert,60,3,447
13,1,B Rypien,23,0,160
6,0,M Cozart,9,1,50
17,1,B Silvers,33,0,139
0,0,K Barker,1,0,0
12,1,T Mangum,24,0,102
14,0,D Etling,17,0,171
1,0,M Brennan,1,0,12
16,1,K Bryant,22,1,236
5,0,H Johnson,6,0,39
4,0,Z Cooper,6,1,37
1,0,N Holley,4,0,1
0,0,G Bollas,1,0,0
9,0,T Keane,17,1,78
1,0,D Demos,1,0,2
25,0,A Ford,41,1,316
2,0,R Comis,4,0,46
19,0,D Jones,25,2,213
6,0,Q Harris,7,1,62
1,0,P Boehme,2,0,6
10,1,M Zanders,17,0,91
1,0,C Caldwell,1,0,3
21,2,T Sirk,35,0,210
7,1,G Minshew,18,0,82
15,1,B Schor,22,1,192
19,2,D Francois,33,1,210
10,0,J Hurts,18,1,96
16,0,C Virgil,29,1,246
6,0,M McMaryion,7,2,103
1,0,J Hokit,1,1,65
9,1,T Laird,20,0,90
6,0,S Brophy,11,0,65
10,0,J Fromm,15,1,143
1,0,J Eason,3,0,4
0,2,B Ramsey,2,0,0
18,0,T Lamb,27,0,128
3,0,Z Thomas,5,0,20
11,2,D Brown,21,2,154
1,0,C McDonald,3,0,0
23,1,T Adams,40,1,270
0,0,R Smith,1,0,0
10,1,C Crouch,19,1,145
21,1,R Neal,34,1,204
8,1,N Stanley,15,3,125
23,2,J Allen,40,0,174
27,1,J Park,35,2,271
0,0,Z Noland,1,0,0
23,3,E Dunne,38,3,259
23,2,P Bender,37,4,364
25,0,J Hosket,44,2,170
10,0,J Ertz,16,4,333
27,1,H Hildebrand,35,1,198
12,0,J Davis,23,1,162
15,1,L Nunez,25,3,171
18,0,J Smith,35,2,276
11,0,J Almond,21,1,162
7,2,C Holgorsen,17,0,49
2,0,B Chan Chan,2,1,45
22,0,B Lewerke,33,3,250
0,0,D Terry,3,0,0
10,1,J Morgan,31,0,145
17,0,M Rosier,28,3,217
1,0,E Shirreffs,2,0,16
22,1,L Brihm Jr,35,0,212
3,0,J Dunham,4,0,17
11,2,W Speight,25,1,181
1,0,J OKorn,1,0,37
9,0,M Zaire,17,0,106
5,0,F Franks,9,0,75
28,0,S Patterson,35,4,429
19,0,C Garvin,31,1,204
21,1,D Lock,34,7,521
24,1,P Huslig,35,2,353
20,1,C Litton,30,1,208
23,1,G Ragland,44,2,298
16,0,N Fitzgerald,29,2,239
4,0,K Thompson,7,1,35
3,0,S Bucenell,8,0,15
18,1,B Stockstill,31,1,166
20,0,K Shurmur,28,3,296
18,0,C Surratt,28,1,161
7,2,B Harris,16,0,60
24,2,R Bowers,38,4,363
45,0,R Finley,64,2,415
17,1,J Bentley,29,3,215
19,0,T Lee,32,2,238
46,2,J Hansen,68,3,415
11,0,L Jordan,17,1,213
1,0,T Tuioti,1,0,9
33,2,D Sealey,53,1,240
2,0,L Anthony,2,1,34
28,1,C Thorson,38,2,352
16,1,T Gangi,37,2,199
17,1,B Wimbush,30,2,184
19,0,L Marchi,35,2,245
15,0,M Fine,21,3,224
2,0,Q Shanbour,3,0,8
14,0,D Colbert Jr,28,2,140
6,0,A Allen,12,0,40
0,1,B McKenzie,1,0,0
7,1,Q Maxwell,9,1,100
6,0,N Rourke,10,0,72
5,0,D Williams,15,0,51
1,0,B Greene,9,0,10
19,0,B Mayfield,20,3,329
10,0,K Murray,11,1,149
3,0,T Schafer,5,0,18
10,0,R Metz,18,0,56
5,0,Z Greenlee,8,0,31
1,0,M Torrez,1,0,7
