kickoff return yards, kickoff returns, longest kickoff return, name
71,2,37,Eric Williams
14,1,14,Armand Dehaney
18,1,18,Terrell Jackson
81,1,81,Cody Wilson
44,2,29,Allen Sampson
38,2,24,Royce Pollard
96,6,30,Robert Woods
5,1,5,Zack Heberer
15,1,15,Kama Bailey
72,2,38,Nick Turner
46,1,46,Duwyce Wilson
7,1,7,Taylor Mansfield
57,3,30,Tommy Davis
49,2,25,Ricky Crider
92,1,92,Anthony Bowman
40,2,23,Dri Archer
34,1,34,Lamar Miller
86,4,22,Malcolm Beyah
22,1,22,Phillip Tanner
78,3,47,Troy Stoudermire Jr
0,1,0,Kendall Gregory McGhee
75,2,57,Mike Ball
22,1,22,Khalid Wooten
36,2,22,Jamal Berry
151,6,63,Andre Booker
22,1,22,Jermaine Kelson
18,1,18,Paul Carrezola
69,3,24,Bryce Sherman
53,3,23,Jeremy Hester
34,2,20,Tracey Lampley
21,1,21,Quentin Pierce
41,3,15,Orleans Darkwa
12,1,12,Stephen Barnett
72,3,27,Frantrell Forrest
35,2,20,Daniel Borne
114,6,26,Jeff Blanchard
63,3,24,Jereme Brooks
51,3,17,Jason Douglas
24,1,24,Cameron Saddler
59,1,59,Devin Brown
39,2,24,Michael Campanaro
68,3,29,James Nixon
38,2,22,Matt Brown
52,3,20,Morgan Williams
26,2,14,Eric Page
18,2,14,Julian Bellinger
19,1,19,Travis Cobb
87,2,50,Jonathan Warzeka
102,5,28,Jeremy LaFrance
22,1,22,Prince Tyson Gulley
7,1,7,Max Suter
34,1,34,Trent Richardson
9,1,9,Michael Williams
119,5,26,Brandon Driver
16,1,16,Brandon Rutley
15,1,15,Dominique Hunsucker
50,2,32,Dennis Johnson
126,5,30,Demond Washington
5,1,5,Eric Smith
81,3,40,Roderick Hall
50,3,24,Dwayne Frampton
13,1,13,Tausean Holmes
3,1,3,Lucious Henderson
43,1,43,LeQuan Lewis
13,1,13,Kyle Middlebrooks
9,1,9,Jamal Miles
50,2,33,Terrance Williams
45,2,30,Chris Fox
44,2,26,DeLeon Gause
0,1,0,Luke Kuechly
72,4,29,ONeill Chambers
16,1,16,Jesse Callier
4,2,2,Chris Polk
18,1,18,Keenan Allen
3,1,3,Will Kapp
18,1,18,Quincy McDuffie
5,1,5,Latavius Murray
58,2,33,Marcus Gilchrist
73,3,33,Jamaal Jackson
56,2,32,Ira Smith
34,2,23,John Mosure
31,1,31,Brian Lockridge
55,3,23,Desmond Scott
38,2,27,Patrick Kurunwune
27,1,27,Juwan Thompson
61,3,26,Cory Welch
55,3,22,Kelip Goodwin
66,4,34,Malcolm Brown
3,1,3,Patrick Mealy
65,2,50,Mike Gillislee
56,2,34,Jeffery Demps
8,1,8,William Green
125,6,27,DeMarco Paine
10,1,10,Vince Williams
41,3,18,Vidal Hazelton
37,1,37,DJ Woods
31,1,31,Brandon Boykin
24,1,24,Cameron Allen
85,4,46,Kevis Streeter
21,2,15,Aaron Spikes
10,1,10,Julian Shankle
43,2,23,Isaiah Sweeney
39,1,39,Tyron Carrier
7,1,7,Kent Brooks
59,2,35,Derrell Johnson Koulianos
14,1,14,Colin Sandeman
84,2,49,DJ Beshears
23,1,23,Aubrey Quarles
55,2,28,Josh Smith
91,2,67,Victor Anderson
59,2,31,Randall Cobb
23,1,23,Derrick Locke
20,1,20,Lyle Fitte
14,1,14,Chad Boyd
10,1,10,Chandler Spence
42,2,27,Trenton Robinson
69,4,25,Ansel Ponder
19,1,19,Darryl Stonum
18,1,18,Martavious Odoms
4,1,4,Terrence Robinson
26,1,26,Jordan Todman
15,2,9,John Delahunt
6,1,6,Anthony Sherman
68,2,40,Jeff Scott
30,2,18,Derrick Herman
17,1,17,Jesse Grandy
8,1,8,HR Greer
0,1,0,Reggie Hicks
60,3,22,Jasper Simmons
78,3,30,Jack Ramsey
19,1,19,Troy Pollard
15,1,15,Bud Golden
14,1,14,Darius Milliness
26,1,26,LaDarius Perkins
22,1,22,Leon Berry
160,7,32,Billy Foster
24,1,24,Gregory Ray
66,3,25,Jheranie Boyd
4,1,4,Hunter Furr
100,3,47,Patrick Peterson
63,2,50,Ron Brooks
50,1,50,TJ Graham
3,1,3,Dontae Johnson
69,2,42,Tim Marlowe
14,1,14,Brandon Kinnie
132,6,29,Willie McNeal
50,2,38,Cierre Wood
38,3,20,Al Terek McBurse
17,1,17,OJ Ross
15,1,15,Dan Dierking
12,1,12,Derek Jackson
70,3,41,Julian Posey
38,2,21,DeMarco Murray
31,1,31,Cameron Kenney
22,1,22,Brennan Clay
17,1,17,Trey Franks
131,6,25,Kerwynn Williams
23,1,23,Kendall Hunter
18,1,18,Justin Gilbert
15,1,15,Johnny Thomas
20,1,20,Chantz Staden
9,1,9,Kenjon Barner
134,7,27,Myles Daughtry
102,4,32,Emmanuel McPhearson
15,1,15,Bryant Williams
128,2,100,Chaz Powell
14,1,14,Sean Stanley
140,7,26,Shane Turner
41,3,19,Eddie Jones
10,1,10,Ryan Roberson
9,1,9,Davon Brown
31,2,20,Dontavia Bogan
10,1,10,Kayvon Webster
62,3,24,Doug Baldwin
38,1,38,Usua Amanam
105,5,24,Jeremy Kerley
114,5,24,James Rodgers
12,1,12,David Oku
7,1,7,Mychal Rivera
61,2,40,Jerrel Jernigan
29,2,16,DuJuan Harris
15,1,15,Chris Anderson
151,5,48,Tyrone Pronty
12,1,12,Tyler Beck
-5,1,0,Justus Jones
-5,0,0,Eugene Cooper
28,2,16,Ryan Swope
39,2,20,Sidney Hodge
18,1,18,Marcus Sullivan
18,1,18,Deante Purvis
18,1,18,Bradley Randle
43,2,23,David Gilreath
9,1,9,Chris Borland
42,2,30,Donavon Kemp
35,1,35,Joseph Banyard
68,2,44,Eric Samuels
58,2,29,Warren Norman
2,1,7,Trey Wilson
53,3,21,Stephen Simmons
19,1,19,Vernic Mark
57,3,24,Raynard Horne
10,1,10,Perry Jones
15,1,15,Noel Devine
90,4,35,Ghaali Muhammad
12,1,12,James Caraway
40,2,29,Dwayne Harris
39,2,27,Jonathan Williams
17,2,10,Zico Pasut
14,2,10,Dustin Lineback
151,5,56,Damaris Johnson
15,1,15,Ricky Johnson
8,1,8,Milton Howell
122,5,32,Eric Stephens
157,4,92,Darryl Fields
26,2,15,Dexter McDougle
21,1,21,Avery Graham
107,4,34,Alexander Teich
122,6,29,David Wilson
29,1,29,Dyrell Roberts
104,4,31,Titus Young
79,3,31,Leon Berry
11,1,11,Chad Bumphis
64,2,33,Demond Washington
27,1,27,James Nixon
47,2,28,Kito Poblah
15,1,15,Jahleel Addae
92,5,24,Tyron Carrier
165,6,63,Marlon McClure
14,1,14,Joseph Banyard
50,3,21,Andre Booker
26,1,26,Troy Evans
85,3,50,Tavon Austin
18,1,18,Ryan Clarke
12,1,12,Nathan Walker
46,3,26,ONeill Chambers
35,1,35,JJ Di Luigi
79,3,43,Jalil Carter
26,1,26,Nate Burney
15,1,15,Giorgio Bowers
17,1,17,Trent Richardson
100,4,30,Stephfon Green
23,1,23,Chaz Powell
120,5,31,Malcolm Brown
-1,1,3,Justin Schaaf
30,1,30,Allen Sampson
17,1,17,Royce Pollard
14,1,14,Chizzy Dimude
9,2,12,Mana Lolotai
60,2,39,Travis Cobb
22,1,22,Daniel Jenkins
62,2,33,Kyle Middlebrooks
28,1,28,LeQuan Lewis
115,4,43,Eric Williams
20,1,20,Cory Sykes
52,2,28,Terrance Williams
26,1,26,Mikail Baker
38,1,38,Terrell Jackson
34,3,25,Ed Young
47,3,20,DeLeon Gause
0,1,0,Billy Flutie
114,5,28,Anthony Bowman
17,1,17,Keenan Allen
10,1,10,Isi Sofele
133,6,39,Brian Lockridge
37,2,26,Arthur Jaffee
117,2,93,Quincy McDuffie
10,1,10,Latavius Murray
71,4,27,TJ Graham
18,1,13,DJ Woods
17,1,17,Darrin Williams
15,1,15,John Goebel
32,2,16,DeAndre Hopkins
31,2,23,Marquan Jones
24,1,24,Mike Lang
16,1,16,John Delahunt
79,3,30,Dwayne Harris
111,7,22,Billy Foster
83,4,24,Willie Floyd
32,2,18,Jeff Blanchard
89,4,46,Keshawn Martin
24,2,13,TY Hilton
13,1,13,Marquis Rolle
3,1,3,Junior Mertile
2,1,2,Colt Anderson
42,2,26,Joe Lefeged
32,1,32,Mason Robinson
95,2,54,Jeffery Demps
87,3,39,Lindsey Lamar
13,1,13,Andreas Shields
19,1,19,Justin Green
11,1,11,Bud Golden
48,2,28,Derrell Johnson Koulianos
99,2,62,Shontrell Johnson
23,1,23,David Sims
40,3,18,DJ Beshears
21,1,21,Bradley McDougald
74,4,23,Orwin Smith
106,3,54,William Powell
37,1,37,Derrick Locke
23,1,23,Qua Huzzie
17,1,17,Moncell Allen
16,1,16,Randall Cobb
204,7,90,Willie McNeal
14,1,14,Marcus Vasquez
18,1,18,Aaron Spikes
13,1,13,Andrew Joseph
12,1,12,Kevis Streeter
98,4,30,Roderick Hall
30,2,15,Dwayne Frampton
113,5,26,Luther Ambrose
28,1,28,Dennis Johnson
6,1,6,Austin Tate
59,1,59,Victor Anderson
7,1,7,Blayne Donnell
23,1,23,Torrey Smith
17,1,17,Avery Graham
71,3,41,DeMarco Paine
94,4,30,Cory Welch
20,1,20,Brandon Pratt
90,4,44,Troy Stoudermire Jr
8,2,7,Eric Lair
24,1,24,Gahn McGaffie
24,1,24,Marcus Murphy
11,1,11,Carl Gettis
77,3,41,Eric Russell
23,1,23,Benjamin Cunningham
20,1,20,Phillip Tanner
55,1,55,Alexander Teich
27,1,27,Tim Marlowe
31,2,19,Princeton McCarty
23,1,23,Kama Bailey
21,1,21,Marsel Posey
242,9,47,Tony Drake
33,2,21,Tommy Davis
38,2,20,Taveon Rogers
61,3,25,Davon Brown
36,1,36,Brandon Davis
83,3,36,Emmanuel McPhearson
175,4,93,Eric Stephens
39,2,21,Stephen Simmons
44,2,22,Cierre Wood
19,1,19,Theo Riddick
101,4,30,Darryl Stonum
70,4,21,Ira Smith
40,2,21,Jamaal Jackson
109,5,35,Andy Erickson
87,2,45,Jamal Berry
65,2,47,Jordan Hall
100,2,88,Lamar Miller
14,1,14,Eduardo Clements
11,1,11,Aldarius Johnson
34,2,24,Mario Dovell
31,1,31,Julian Posey
16,1,16,Ryan Clark
66,2,39,Isaiah Ballard
42,1,42,Eric Page
74,5,19,Lamarcus Joyner
36,3,16,Greg Reid
40,2,20,Kendall Hunter
27,2,20,Joseph Randle
3,1,3,David Paulsen
171,3,100,Jerrel Jernigan
70,3,27,Cameron Saddler
45,1,45,OJ Ross
28,2,22,Al Terek McBurse
0,1,0,Mike Eargle
69,3,34,Chris Culliver
40,2,26,Brandon Boykin
9,1,9,Cameron Allen
25,1,25,Mookie Asaad
19,1,19,Jeremy Hester
40,2,28,Darryl Fields
77,3,28,Frantrell Forrest
37,1,37,Pat Shed
27,1,23,Greg McCoy
20,1,20,Jeremy Kerley
101,5,26,David Oku
35,2,20,Denarius Moore
21,1,21,Eric Gordon
107,4,39,Kenjon Barner
27,1,27,DJ Monroe
26,1,26,Marquise Goodwin
51,2,37,Ghaali Muhammad
26,1,26,Zach Bolger
12,1,12,James Caraway
107,5,26,Derrick Strozier
51,1,51,Jesse Grandy
42,2,23,Derrick Herman
17,1,17,Damaris Johnson
12,1,12,Ricky Johnson
61,2,49,Tyrone Pronty
59,3,23,Jerry Gates
10,1,10,Zach Akenberger
86,3,41,Cyrus Gray
24,1,22,Ryan Swope
186,7,48,Phillip Livas
17,1,17,Lyle Fitte
104,5,33,Josh Smith
23,1,23,Usua Amanam
35,2,24,Robert Woods
50,2,31,Perry Jones
10,1,10,Joe Torchia
22,1,22,Shaky Smithson
12,1,12,Griffin McNabb
49,3,18,Marcus Sullivan
13,1,13,Bradley Randle
3,1,0,Deante Purvis
70,1,70,Kerwynn Williams
25,1,25,Chris Harris
13,1,13,Rashard Stewart
10,1,10,Josh Flores
82,4,28,Warren Norman
22,2,14,Eric Samuels
51,2,33,Patrick Peterson
53,3,20,Dyrell Roberts
86,5,20,Chris Givens
43,1,43,Michael Campanaro
9,2,10,Devin Brown
98,4,33,Juwan Thompson
36,1,36,Patrick Kurunwune
33,2,22,Desmond Scott
57,3,30,Kevin Smith
15,1,15,Sean Parker
138,5,47,Prince Tyson Gulley
69,3,25,Dorian Graham
127,5,34,Isiah Barton
15,1,15,Chantz Staden
19,1,19,David Gilreath
16,2,16,James White
49,2,27,Ronnie Yell
21,1,21,Brandon Driver
18,1,18,Dominique Hunsucker
53,3,24,Ansel Ponder
28,1,28,TJ Graham
104,6,28,Darrin Williams
78,4,25,Mike Ball
81,4,22,Jeremy Ross
9,1,9,Isi Sofele
49,2,27,Jeremy Hester
103,5,28,Bradley McDougald
56,1,56,DJ Beshears
70,3,27,Roderick Hall
115,6,21,Luther Ambrose
20,1,20,Brian Cobbs
64,3,28,Ira Smith
29,1,29,Brelan Chancellor
28,1,28,James Hamilton
148,3,100,Travis Cobb
59,2,37,Derrell Johnson Koulianos
18,1,18,Keenan Davis
123,5,32,Demond Washington
35,2,21,Marcus Gilchrist
12,1,12,Jaron Brown
63,3,22,Tyrone Pronty
7,1,7,Jerry Gates
111,4,38,Andre Booker
23,1,23,Troy Evans
101,5,47,Terrell Jackson
74,3,52,Quincy McDuffie
44,2,25,Brian Lockridge
17,1,17,Toney Clemons
49,3,18,Allen Sampson
103,4,34,Josh Snead
59,4,29,Desmond Scott
36,2,19,Patrick Kurunwune
114,2,91,Trent Richardson
36,1,36,Julio Jones
81,4,33,Cory Welch
30,2,15,Brandon Pratt
17,1,17,Donald Scott
47,3,19,Jahleel Addae
15,1,15,Greg Reid
3,1,3,Lonnie Pryor
24,1,24,ONeill Chambers
87,4,33,Brandon Boykin
13,1,13,Fred Munzenmaier
49,3,18,Maudrecus Humphrey
12,1,12,Ross Rasner
16,1,16,Shiloh Keo
55,3,24,Bradley Randle
49,2,28,Tim Cornett
56,3,22,Darius Milliness
116,4,45,William Powell
101,5,30,Shontrell Johnson
17,1,17,David Sims
33,1,33,Jerell Priester
28,2,15,Randall Cobb
54,3,19,Nate Burney
39,1,39,Patrick Peterson
47,3,20,Chad Bumphis
41,3,19,Leon Berry
29,1,29,Maurice Langston
143,6,41,Ryan Williams
56,1,56,Lyle Fitte
118,6,24,Alexander Teich
71,4,23,Keshawn Martin
89,5,19,Cierre Wood
37,2,22,Billy Foster
12,2,11,Marcus Hightower
109,4,33,Eric Russell
44,2,28,DeMarco Paine
69,3,26,John Mosure
41,2,21,Tony Drake
19,1,19,Lou Greenwood
62,3,25,Darryl Stonum
88,4,30,Troy Stoudermire Jr
20,1,20,DeLeon Eskridge
122,2,97,Robert Woods
62,3,24,Jesse Grandy
15,1,15,Derrick Herman
17,1,17,Marcus Murphy
84,4,25,Davon Brown
89,4,30,Jheranie Boyd
42,2,24,Shaun Draughn
43,3,20,Orwin Smith
18,1,18,BJ Bostic
59,3,23,Emmanuel McPhearson
32,2,18,Myles Daughtry
8,1,8,Dante Caro
83,2,52,Shaky Smithson
20,1,20,Jordan Hall
18,1,18,Brandon Saine
17,1,17,Jamal Berry
93,4,31,Dallas Brown
74,4,22,Julian Posey
39,1,36,Mossis Madu
39,1,39,DeMarco Murray
-1,1,0,Cameron Kenney
39,2,20,Jonathan Warzeka
24,1,24,Cody Getz
57,3,22,Justin Gilbert
19,1,19,Kendall Hunter
59,2,43,Damaris Johnson
25,1,25,Kenjon Barner
161,4,63,James Rodgers
21,1,21,Jordan Poyer
92,4,30,Victor Anderson
15,1,15,Josh Bellamy
12,1,12,Blayne Donnell
35,1,35,Malcolm Willis
23,1,23,Anthony Bowman
12,1,12,Dri Archer
29,1,29,OJ Ross
23,1,23,Waynelle Gravesande
67,1,67,Eric Williams
66,3,24,Alex Francis
39,3,18,Andy Erickson
22,1,22,Denzel Wells
43,2,22,Stephen Simmons
56,3,23,Chris Culliver
23,2,12,Dalton Wilson
36,2,23,Ronnie Yell
29,2,17,Brandon Driver
43,1,43,Darryl Fields
17,1,17,Chris Butler
0,1,0,Bradley Haynes
93,5,22,Isiah Barton
80,2,60,Usua Amanam
17,1,17,Stepfan Taylor
8,1,8,Ryan Hewitt
100,4,31,Devin Brown
79,3,31,Michael Campanaro
25,1,25,Lovell Jackson
20,1,20,Max Suter
16,1,16,Prince Tyson Gulley
31,1,31,Greg McCoy
8,1,8,Luke Shivers
91,4,26,Terrance Williams
52,2,30,Mikali Baker
23,1,23,Tevin Reese
66,3,26,James Nixon
45,2,30,Matt Brown
69,5,31,Robbie Frey
29,1,29,Jordan Todman
84,4,25,David Oku
30,2,16,Denarius Moore
70,2,43,Jeffery Demps
85,4,29,Cyrus Gray
115,5,28,TY Hilton
23,1,23,Junior Mertile
74,4,20,Eric Stephens
13,1,13,Marquise Goodwin
136,5,36,Pat Shed
