assists, ats margin, ats streak, attendance, blocks, coach, conference, date, day, defensive rebounds, dpa, dps, field goals attempted, field goals made, fouls, free throws attempted, free throws made, full name, game number, half scores, line, losses, margin, margin at the half, matchup losses, matchup wins, minutes, month, offensive rebounds, officials, opponents, ou margin, ou streak, overtime, points, rank, rebounds, rest, rival, school name, season, site, site streak, start time, steals, streak, subconference, team, three pointers attempted, three pointers made, time of game, total, tournament, turnovers, venuecap, wins
10,-8.500,0,11223,5,Nate Oats,SEC,20191105,Tuesday,25,8.500,0.000,76,27,18,22,15,,1,[35, 45],-7.500,0,-1,0,0,0,,11,18,,[],8.500,0,0,80,,43,,,Alabama,2019,home,0,,10,0,POWER6,ALAB,38,11,,152.500,,19,15383,0
10,8.500,0,11223,4,Steve Donahue,IVY,20191105,Tuesday,29,0.000,8.500,68,29,19,20,15,,1,[35, 46],7.500,0,1,0,0,0,,11,8,,[],8.500,0,0,81,,37,,,Pennsylvania,2019,away,0,,8,0,,PENN,26,8,,152.500,,16,,0
19,30.000,0,17274,5,Eric Musselman,SEC,20191105,Tuesday,35,-26.500,3.500,67,37,16,11,7,,1,[39, 52],-18.000,0,48,20,0,0,,11,7,,[],-23.000,0,0,91,,42,,,Arkansas,2019,home,0,,14,0,POWER6,ARK,25,10,,157.000,,21,19368,0
7,-30.000,0,17274,2,Scott Pera,USA,20191105,Tuesday,20,3.500,-26.500,56,16,16,15,9,,1,[19, 24],18.000,0,-48,-20,0,0,,11,4,,[],-23.000,0,0,43,,24,,,Rice,2019,away,0,,9,0,,RICE,25,2,,157.000,,24,,0
15,3.500,0,8722,7,Tom Crean,SEC,20191105,Tuesday,36,0.250,3.750,66,31,26,32,21,,1,[37, 54],-15.500,0,19,-1,0,0,,11,12,,[],4.000,0,0,91,,48,,,Georgia,2019,home,0,,9,0,POWER6,GEOR,26,8,,159.000,,14,10523,0
11,-3.500,0,8722,3,Mark Prosser,S,20191105,Tuesday,26,3.750,0.250,73,26,25,20,11,,1,[38, 34],15.500,0,-19,1,0,0,,11,12,,[],4.000,0,0,72,,38,,,Western Carolina,2019,away,0,,3,0,,WCAR,34,9,,159.000,,12,,0
14,1.500,0,8145,4,Bruce Weber,B12,20191105,Tuesday,31,-5.500,-4.000,61,26,16,14,9,,1,[21, 46],-11.500,0,13,-1,0,0,,11,7,,[],-9.500,0,0,67,,38,,,Kansas State,2019,home,0,,5,0,POWER6,KANST,21,6,,130.500,,6,12528,0
10,-1.500,0,8145,1,David Richman,SUMM,20191105,Tuesday,30,-4.000,-5.500,52,15,18,25,16,,1,[22, 32],11.500,0,-13,1,0,0,,11,8,,[],-9.500,0,0,54,,38,,,North Dakota State,2019,away,0,,4,0,,NODAK,30,8,,130.500,,6,,0
25,3.000,0,15098,5,Chris Beard,B12,20191105,Tuesday,29,1.750,4.750,58,32,16,19,13,,1,[46, 39],-22.000,0,25,15,0,0,,11,4,,[],6.500,0,0,85,13,33,,,Texas Tech,2019,home,0,,7,0,POWER6,TXTCH,15,8,,138.500,,13,15020,0
10,-3.000,0,15098,1,Jay Spoonhour,OV,20191105,Tuesday,23,4.750,1.750,57,23,20,13,8,,1,[31, 29],22.000,0,-25,-15,0,0,,11,5,,[],6.500,0,0,60,,28,,,Eastern Illinois,2019,away,0,,5,0,,EILL,16,6,,138.500,,14,,0
