assists, ats margin, ats streak, attendance, blocks, coach, conference, date, day, defensive rebounds, dpa, dps, field goals attempted, field goals made, fouls, free throws attempted, free throws made, full name, game number, half scores, line, losses, margin, margin at the half, matchup losses, matchup wins, minutes, month, offensive rebounds, officials, opponents, ou margin, ou streak, overtime, points, rank, rebounds, rest, rival, school name, season, site, site streak, start time, steals, streak, subconference, team, three pointers attempted, three pointers made, time of game, total, tournament, turnovers, venuecap, wins
4,-13.500,2,,5,Michael White,SEC,20191129,Friday,30,9.000,-4.500,58,26,12,24,17,,8,[25, 48],-19.500,2,6,-8,0,0,,11,7,,['NFLA', 'FSU', 'TWSN', 'UCONN', 'STJOE', 'MIAFL', 'XAVER'],4.500,2,0,73,24,37,4,,Florida,2019,home,0,,7,3,POWER6,FLA,18,4,,135.500,,13,12000,5
12,13.500,1,,5,Dan DAntoni,USA,20191129,Friday,23,-4.500,9.000,62,25,20,16,10,,6,[33, 34],19.500,3,-6,8,0,0,,11,5,,['RMORR', 'TOL', 'NOTRE', 'CHARL', 'HOW'],4.500,1,0,67,,28,7,,Marshall,2019,away,2,,10,1,,MARS,25,7,,135.500,,11,,2
19,,3,2717,6,Ritchie Mckay,ASUN,20191129,Friday,32,,,58,31,10,15,10,,9,[48, 40],,0,46,24,0,0,,11,8,,['RAD', 'MDESH', 'SCST', 'ECAR', 'NAVY', 'MORGS', 'RICE', 'KC'],,-2,0,88,,40,4,,Liberty,2019,home,0,,6,8,,LIB,27,16,,,,10,,8
9,,0,2717,3,,,20191129,Friday,21,,,57,16,16,9,5,,1,[24, 18],,0,-46,-24,0,0,,11,5,,[],,0,0,42,,26,,,Kentucky Christian,2019,away,0,,5,0,,KCU,25,5,,,,15,,0
31,,-1,1501,1,Todd Simon,BIGSKY,20191129,Friday,35,,,74,52,14,8,5,,7,[61, 65],,3,86,37,0,0,,11,10,,['BETHES', 'NEB', 'BYU', 'UCLA', 'CHASO', 'ETENS'],,-2,0,126,,45,4,,Southern Utah,2019,home,-1,,17,-1,,SUTAH,32,17,,,,12,5300,3
3,,,1501,0,,,20191129,Friday,14,,,53,12,11,15,14,,3,[24, 16],,2,-86,-37,0,0,,11,3,,['WEBST', 'IDST'],,,0,40,,17,1,,West Coast Baptist,2019,away,-2,,7,-2,,WCB,18,2,,,,24,,0
12,16.000,1,5592,5,Steve Pikiell,B10,20191129,Friday,28,-5.000,11.000,58,31,18,24,17,,6,[34, 48],-9.000,1,25,7,0,0,,11,9,,['NIA', 'DREX', 'STBON', 'SFAUS', 'NJIT'],6.000,1,0,82,,37,2,,Rutgers,2019,home,2,,11,2,POWER6,RUTG,13,3,,133.000,,14,8000,4
8,-16.000,-1,5592,2,Matt Mccall,A10,20191129,Friday,21,11.000,-5.000,61,22,20,12,6,,8,[27, 30],9.000,2,-25,-7,0,0,,11,8,,['UMASS', 'FAIRF', 'NE', 'CCONS', 'RIDER', 'VIRG', 'STJ'],6.000,-2,0,57,,29,4,,Massachusetts,2019,away,0,,5,-2,,MASS,23,7,,133.000,,19,,5
12,-8.500,3,10260,6,Richard Pitino,B10,20191129,Friday,22,7.500,-1.000,61,21,19,30,19,,7,[33, 35],-3.500,3,-5,-2,0,0,,11,15,,['CLEST', 'OKL', 'BUT', 'UTAH', 'CMICH', 'NDAKOT'],6.500,-6,0,68,,37,4,,Minnesota,2019,home,2,,4,2,POWER6,MIN,29,7,,134.500,,10,14625,3
14,8.500,4,10260,9,Dave Leitao,BE,20191129,Friday,24,-1.000,7.500,62,26,24,20,13,,8,[35, 38],3.500,0,5,2,0,0,,11,16,,['ALCST', 'CHIM', 'FDICK', 'IOWA', 'CORN', 'BC', 'CMICH'],6.500,1,0,73,,40,2,,DePaul,2019,away,1,,6,7,POWER6,DEP,16,8,,134.500,,11,10387,7
5,1.500,0,277,4,,SB,20191129,Friday,25,5.000,6.500,61,25,17,38,29,,1,[34, 50],-8.500,0,10,-1,0,0,,11,12,,[],11.500,0,0,84,,37,,,Georgia Southern (Neutral),2019,neutral,0,,9,0,,GASOU,16,5,,146.500,,12,,0
20,-1.500,2,277,2,Kevin McGeehan,BIGS,20191129,Friday,24,6.500,5.000,58,29,28,15,12,,6,[35, 39],8.500,1,-10,1,0,0,,11,4,,['CCAR', 'CentP', 'NCWIL', 'CITDL', 'JCKSN'],11.500,-1,0,74,,28,3,,Campbell,2019,neutral,1,,3,2,,CAMP,22,4,,146.500,,19,,4
6,-6.500,-1,12863,5,Rick Stansbury,USA,20191129,Friday,16,-6.500,-13.000,54,20,15,14,13,,8,[23, 31],10.500,1,-17,-14,0,0,,11,7,,['TNTCH', 'AUPEA', 'EKY', 'CAMPB', 'BGRN', 'ILLST', 'FORD'],-19.500,,0,54,,23,3,,Western Kentucky (Neutral),2019,neutral,0,,5,2,,WKY,17,1,,144.500,,11,,6
10,6.500,-3,12863,1,Chris Mack,ACC,20191129,Friday,25,-13.000,-6.500,52,23,15,20,18,,7,[37, 34],-10.500,0,17,14,0,0,,11,12,,['MIAFL', 'YOUST', 'INDST', 'NCCEN', 'SCSPAR', 'AKR'],-19.500,1,0,71,2,37,4,,Louisville,2019,neutral,5,,6,6,POWER6,LOUVI,22,7,,144.500,,13,22090,6
11,-18.500,,2244,3,Michael Fly,ASUN,20191129,Friday,17,11.750,-6.750,53,21,17,19,15,,8,[34, 29],-3.500,5,-15,3,0,0,,11,6,,['STL', 'MDBA', 'DART', 'MER', 'FLATL', 'VCU', 'FLATC'],5.000,,0,63,,23,2,,Florida Gulf Coast,2019,home,1,,11,1,,FLOGC,19,6,,136.000,,13,,2
17,18.500,,2244,4,Paul Sather,SUMM,20191129,Friday,26,-6.750,11.750,57,28,18,17,15,,7,[31, 47],3.500,4,15,-3,0,0,,11,10,,['CROWN', 'GONZ', 'VAL', 'WIMIL', 'MIN', 'NC'],5.000,,0,78,,36,2,,North Dakota,2019,away,1,,4,1,,NDAKOT,19,7,,136.000,,17,,2
15,-11.500,-2,9314,4,Mike Kryzewski,ACC,20191129,Friday,26,12.250,0.750,57,30,15,22,16,,8,[42, 41],-24.500,1,13,7,0,0,,11,8,,['KAN', 'COLST', 'CENAR', 'GAST', 'CAL', 'GT', 'SFAUS'],13.000,3,0,83,1,34,2,NOCAR,Duke,2019,home,1,,9,-1,POWER6,DUKE,12,7,,140.000,,16,9314,6
18,11.500,,9314,2,Pat Kelsey,BIGS,20191129,Friday,23,0.750,12.250,74,31,21,17,8,,8,[35, 35],24.500,3,-13,-7,0,0,,11,12,,['HART', 'FRSNO', 'STM', 'ETENS', 'MIDAC', 'TNTCH', 'PFE'],13.000,,0,70,,35,3,,Winthrop,2019,away,3,,7,1,,WINTH,22,6,,140.000,,13,,4
7,1.000,1,2500,2,Leonard Hamilton,ACC,20191129,Friday,21,-10.250,-9.250,54,19,21,29,19,,7,[29, 31],-2.000,1,3,5,0,0,,11,7,,['PITT', 'FLA', 'WCAR', 'CHAT', 'STFRP', 'CHIST'],-19.500,4,0,60,,28,3,,Florida State (Neutral),2019,neutral,4,,13,5,POWER6,FSU,11,3,,136.500,,13,12100,5
5,-1.000,-1,2500,7,Rick Barnes,SEC,20191129,Friday,26,-9.250,-10.250,42,14,20,29,24,,6,[24, 33],2.000,0,-3,-5,0,0,,11,6,,['NCASH', 'MURST', 'WGTON', 'ALAST', 'CHAT'],-19.500,-2,0,57,17,32,3,,Tennessee,2019,neutral,2,,4,5,POWER6,TENN,22,5,,136.500,,21,21678,5
12,5.500,,1036,1,Dusty May,USA,20191129,Friday,24,7.500,13.000,59,28,16,28,20,,6,[41, 46],-12.500,3,18,20,0,0,,11,12,,['FLAG', 'MIAFL', 'ALAB', 'PABEA', 'FLOGC'],20.500,,0,87,,36,8,,Florida Atlantic,2019,home,-1,,4,-1,,FLATL,22,11,,135.500,,12,,2
13,-5.500,1,1036,1,Bill Carmody,PAT,20191129,Friday,19,13.000,7.500,54,25,24,16,8,,7,[21, 48],12.500,6,-18,-20,0,0,,11,8,,['MARY', 'CENAR', 'NH', 'FAIRF', 'NE', 'HARV'],20.500,1,0,69,,27,6,,Holy Cross,2019,away,3,,5,-6,,HCROS,22,11,,135.500,,13,,0
15,5.000,3,2028,6,John Groce,MIDAM,20191129,Friday,27,-13.750,-8.750,50,25,14,11,9,,7,[33, 31],-12.000,2,17,13,0,0,,11,6,,['MALU', 'WVA', 'NCCEN', 'SCSPAR', 'YOUST', 'LOUVI'],-22.500,3,0,64,,33,4,,Akron,2019,home,-1,,7,-1,,AKR,12,5,,133.500,,16,,4
7,-5.000,,2028,2,,NE,20191129,Friday,18,-8.750,-13.750,57,20,18,10,5,,9,[20, 27],12.000,3,-17,-13,0,0,,11,9,,['MAINE', 'NWEST', 'DART', 'UMASS', 'JCKSN', 'PROV', 'LESLEY', 'HART'],-22.500,,0,47,,27,4,,Merrimack,2019,away,-1,,8,2,,MW,20,2,,133.500,,12,,5
10,-1.000,4,1816,5,Martin Ingelsby,CAA,20191129,Friday,34,1.250,0.250,52,23,8,25,22,,8,[39, 36],-20.000,0,19,9,0,0,,11,7,,['BRDVA', 'OAK', 'SOILL', 'TXSA', 'LAFA', 'STFRP', 'STO'],1.500,3,0,75,,41,1,,Delaware,2019,home,1,,3,7,,DELA,20,7,,129.500,,11,,7
8,1.000,-1,1816,3,Jason Crafton,MEAC,20191129,Friday,22,0.250,1.250,66,22,18,8,5,,8,[30, 26],20.000,7,-19,-9,0,0,,11,11,,['PENST', 'LIB', 'LONGW', 'MORST', 'STAN', 'OKL', 'WOFF'],1.500,-1,0,56,,33,2,,Maryland  E. Shore,2019,away,1,,4,-7,,MDESH,24,7,,129.500,,8,,0
14,2.000,1,13215,4,Will Wade,SEC,20191129,Friday,23,-4.750,-2.750,54,29,11,14,10,,7,[33, 40],-13.000,2,15,6,0,0,,11,6,,['BGRN', 'VCU', 'NICST', 'MDBA', 'UTST', 'RI'],-7.500,2,0,73,,29,4,,Louisiana State,2019,home,0,,6,1,POWER6,LSU,20,5,,138.500,,6,13215,4
6,-2.000,1,13215,2,Dana Ford,MISSV,20191129,Friday,18,-2.750,-4.750,57,23,14,13,6,,8,[27, 31],13.000,4,-15,-6,0,0,,11,13,,['ARKLR', 'ALAST', 'CLEST', 'XAVER', 'MIAFL', 'STJOE', 'BUF'],-7.500,1,0,58,,31,4,,Missouri St.,2019,away,0,,4,-1,,MSU,17,6,,138.500,,13,,3
15,2.500,3,4154,5,Tim Jankovich,AAC,20191129,Friday,27,-5.750,-3.250,42,26,16,14,11,,7,[31, 39],-16.500,0,19,6,0,0,,11,4,,['JACST', 'NO', 'JCKST', 'EVANS', 'UNLV', 'HART'],-9.000,2,0,70,,31,1,,Southern Methodist,2019,home,1,,7,6,,SMU,17,7,,130.000,,14,,6
8,-2.500,,4154,0,Joe Golding,SL,20191129,Friday,14,-3.250,-5.750,52,17,16,15,12,,7,[25, 26],16.500,4,-19,-6,0,0,,11,7,,['ARLBAP', 'DREX', 'PEP', 'UNLV', 'CHCT', 'TXST'],-9.000,,0,51,,21,3,,Abilene Christian,2019,away,-1,,7,-1,,ABCH,19,5,,130.000,,9,,2
17,7.000,2,3964,4,Leon Rice,MW,20191129,Friday,24,-3.000,4.000,61,30,16,22,15,,6,[35, 45],-14.000,2,21,5,0,0,,11,5,,['LIFEPA', 'ORE', 'UCIRV', 'BYU', 'PAC'],1.000,1,0,80,,29,5,,Boise St.,2019,home,-1,,4,2,,BOIST,22,5,,138.000,,7,12480,3
8,-7.000,,3964,0,CB Mcgrath,CAA,20191129,Friday,24,4.000,-3.000,55,22,23,14,12,,9,[30, 29],14.000,3,-21,-5,0,0,,11,4,,['JWNC', 'NOCAR', 'CAMP', 'DAV', 'NCWes', 'CLEST', 'FLINT', 'EMHEN'],1.000,,0,59,,28,2,,NCWilmington,2019,away,1,,4,2,,NCWIL,12,3,,138.000,,11,,5
17,-13.000,-1,10546,4,Larry Krytkowski,P12,20191129,Friday,20,15.250,2.250,45,26,14,19,15,,7,[40, 37],-17.000,2,4,13,0,0,,11,4,,['NEV', 'MSVAS', 'MIN', 'CCAR', 'OHIO', 'TLANE'],17.500,-1,0,77,,24,4,,Utah,2019,home,0,,4,-1,POWER6,UTAH,21,10,,132.500,,13,15000,4
12,13.000,1,10546,3,Jim Les,BIGW,20191129,Friday,17,2.250,15.250,54,26,20,15,12,,9,[27, 46],17.000,6,-4,-13,0,0,,11,6,,['LOCHI', 'WLJ', 'IDAHO', 'ARKST', 'VMI', 'SACST', 'POR', 'CAL'],17.500,2,0,73,,23,2,,UC Davis,2019,away,-2,,3,-5,,UCDAV,17,9,,132.500,,11,7600,2
18,-5.500,1,3335,5,Travis DeCuire,BIGSKY,20191129,Friday,30,-3.250,-8.750,65,29,14,7,3,,7,[42, 27],-12.500,4,7,13,0,0,,11,8,,['STAN', 'MSUN', 'ARK', 'MONTC', 'WGTON', 'TXSOU'],-12.000,,0,69,,38,3,,Montana,2019,home,1,,6,1,,MONT,25,8,,143.000,,13,7321,2
9,5.500,6,3335,0,Juan Dixon,MEAC,20191129,Friday,28,-8.750,-3.250,59,23,12,11,9,,9,[29, 33],12.500,5,-7,-13,0,0,,11,4,,['RIDER', 'VTECH', 'LOCHI', 'NOILL', 'NK', 'PAC', 'CORN', 'JMAD'],-12.000,1,0,62,,32,2,,Coppin St.,2019,away,-1,,5,2,,COPST,30,7,,143.000,,13,,3
12,5.500,2,10947,2,Chris Holtmann,B10,20191129,Friday,28,5.750,11.250,65,31,16,27,21,,7,[45, 45],-27.500,0,33,27,0,0,,11,14,,['CIN', 'UMASS', 'VILLA', 'STET', 'PFW', 'KST'],17.000,-6,0,90,10,42,3,,Ohio St.,2019,home,0,,4,6,POWER6,OHIOS,25,9,,130.000,,10,18809,6
6,-5.500,2,10947,1,Kevin Broadus,MEAC,20191129,Friday,20,11.250,5.750,56,21,22,20,13,,9,[18, 39],27.500,5,-33,-27,0,0,,11,7,,['CentP', 'TEMP', 'STFRP', 'GW', 'REG', 'LIB', 'WIMIL', 'EVANS'],17.000,1,0,57,,27,4,,Morgan St.,2019,away,0,,1,-3,,MORGS,11,2,,130.000,,14,,3
7,1.000,2,2500,2,Matt Painter,B10,20191129,Friday,21,-8.250,-7.250,44,18,23,29,19,,6,[32, 27],-2.000,2,3,6,0,0,,11,7,,['WIGB', 'TEX', 'MARQ', 'CHIST', 'JACST'],-15.500,-3,0,59,,28,5,,Purdue (Neutral),2019,neutral,2,,10,2,POWER6,PURD,16,4,,130.500,,18,14848,3
6,-1.000,-1,2500,3,Mike Rhoades,A10,20191129,Friday,18,-7.250,-8.250,43,19,23,22,15,,7,[26, 30],2.000,0,-3,-6,0,0,,11,5,,['STFRP', 'NOTEX', 'LSU', 'JACST', 'FLOGC', 'ALAST'],-15.500,1,0,56,20,23,3,,VCU,2019,neutral,6,,8,6,,VCU,17,3,,130.500,,21,,6
10,-7.000,,1039,2,Joe Pasternak,BIGW,20191129,Friday,24,-5.750,-12.750,58,23,21,23,16,,7,[27, 40],-16.000,3,9,10,0,0,,11,13,,['JCKST', 'UCLA', 'RICE', 'ORST', 'MENCO', 'PORST'],-18.500,0,0,67,,37,1,,UC Santa Barbara,2019,home,2,,8,2,,UCSB,27,5,,143.500,,11,5600,3
13,7.000,-3,1039,2,Donte Jackson,SWAC,20191129,Friday,25,-12.750,-5.750,43,17,20,21,15,,7,[17, 41],16.000,3,-9,-10,0,0,,11,2,,['ETEXB', 'ECC', 'SELOU', 'SJST', 'ORST', 'PORST'],-18.500,1,0,58,,27,2,,Grambling State,2019,away,0,,7,-3,,GRAMB,21,9,,143.500,,18,,3
11,6.500,,1668,5,Rod Barnes,WAC,20191129,Friday,29,-12.250,-5.750,63,25,32,29,15,,8,[36, 34],-6.500,5,13,14,0,0,,11,19,,['NDNU', 'SDS', 'NIOWA', 'LIFEPA', 'SF', 'GONZ', 'SHOUS'],-18.000,1,0,70,,48,2,,CSU Bakersfield,2019,home,1,,5,-3,,CALSB,19,5,,145.000,,17,,2
8,-6.500,1,1668,3,Edward Joyner,BIGS,20191129,Friday,18,-5.750,-12.250,49,17,23,27,20,,7,[22, 35],6.500,3,-13,-14,0,0,,11,4,,['MIDAC', 'Appren', 'WMMRY', 'REG', 'ILL', 'SF'],-18.000,,0,57,,22,2,,Hampton,2019,away,-2,,2,-2,,HAMP,14,3,,145.000,,12,,3
15,4.500,,3500,3,Randy Bennett,WESTC,20191129,Friday,27,7.500,12.000,56,29,16,21,15,,8,[34, 47],-3.500,1,8,-2,0,0,,11,5,,['WISC', 'WINTH', 'LBST', 'CALPO', 'FRSNO', 'LEHI', 'SONST'],19.500,,0,81,,32,4,,St. Mary&#39;s,2019,home,2,,10,5,,STM,19,8,,134.500,,10,3500,6
13,-4.500,-1,3500,0,Craig Smith,MW,20191129,Friday,24,12.000,7.500,58,26,19,17,14,,8,[36, 37],3.500,0,-8,2,0,0,,11,5,,['MONST', 'WEBST', 'DENV', 'NCATT', 'TXSA', 'LSU', 'NOTEX'],19.500,0,0,73,15,29,4,,Utah St.,2019,away,0,,8,7,,UTST,20,7,,134.500,,10,10270,7
16,-12.000,,230,1,Ray Harper,OV,20191129,Friday,23,-2.750,-14.750,49,24,19,18,13,,5,[36, 35],-21.000,3,9,4,0,0,,11,3,,['SMU', 'BRE', 'VCU', 'PURD'],-17.500,-1,0,71,,26,5,,Jacksonville St. (Neutral),2019,neutral,-2,,8,-2,,JACST,22,10,,150.500,,18,,1
9,12.000,,230,4,Lance Irvin,WAC,20191129,Friday,23,-14.750,-2.750,48,23,23,17,10,,8,[32, 30],21.000,4,-9,-4,0,0,,11,4,,['JUDSON', 'LOYMD', 'EILL', 'PURD', 'PNL', 'NPU', 'FSU'],-17.500,,0,62,,27,3,,Chicago St.,2019,neutral,-1,,8,-1,,CHIST,17,6,,150.500,,21,,3
10,,-2,3708,3,Dan Muller,MISSV,20191129,Friday,26,,,64,29,13,15,15,,7,[34, 42],,4,19,7,0,0,,11,9,,['BELM', 'ARKLR', 'CFLR', 'CIN', 'WKY', 'GC'],,-1,0,76,,35,3,,Illinois St.,2019,home,0,,13,-4,,ILLST,16,3,,,,15,,2
9,,0,3708,3,,,20191129,Friday,19,,,57,19,14,16,15,,1,[27, 30],,0,-19,-7,0,0,,11,8,,[],,0,0,57,,27,,,IllinoisSpringfield,2019,away,0,,7,0,,ISPS,26,4,,,,17,,0
18,9.000,,304,2,David Patrick,BIGW,20191129,Friday,28,-7.750,1.250,51,26,13,6,6,,8,[35, 34],-9.000,2,18,8,0,0,,11,5,,['NEB', 'IDAHO', 'SACST', 'PAC', 'REDLA', 'DENV', 'LONGW'],-6.500,1,0,69,,33,2,,UC Riverside,2019,home,3,,6,3,,UCRIV,28,11,,126.500,,11,3168,5
11,-9.000,-1,304,1,Brian Barone,OV,20191129,Friday,16,1.250,-7.750,51,20,17,8,6,,8,[27, 24],9.000,5,-18,-8,0,0,,11,4,,['QUINN', 'IOWA', 'VAL', 'IW', 'SDAK', 'NOILL', 'PAC'],-6.500,2,0,51,,20,2,,SIU  Edwardsville,2019,away,-1,,3,-3,,SIUED,14,5,,126.500,,11,,2
14,14.000,0,6200,2,Eran Ganot,BIGW,20191129,Friday,17,-2.000,12.000,55,28,19,24,20,,7,[39, 46],4.000,2,10,9,0,0,,11,11,,['FAMU', 'SDAK', 'PAC', 'PORST', 'ILL', 'NO'],10.000,1,0,85,,28,4,,Hawaii,2019,home,1,,2,1,,HAW,17,9,,150.000,,12,10300,4
7,-14.000,-2,6200,2,Todd Golden,WESTC,20191129,Friday,19,12.000,-2.000,58,27,23,20,14,,8,[30, 45],-4.000,0,-10,-9,0,0,,11,10,,['SONST', 'PRINC', 'YALE', 'SOILL', 'CALSB', 'SHOUS', 'HAMP'],10.000,,0,75,,29,2,,San Francisco,2019,away,3,,6,7,,SF,21,7,,150.000,,13,3005,7
12,11.500,1,130,1,Lamont Paris,S,20191129,Friday,29,-6.750,4.750,61,29,16,16,10,,7,[48, 26],-6.500,3,18,26,0,0,,11,9,,['EKY', 'TENST', 'TROY', 'SALAB', 'FSU', 'TENN'],-2.000,-1,0,74,,38,3,,Chattanooga (Neutral),2019,neutral,-2,,4,-2,,CHAT,22,6,,132.000,,15,,3
6,-11.500,1,130,5,Lewis Jackson,SWAC,20191129,Friday,23,4.750,-6.750,52,20,18,19,12,,6,[22, 34],6.500,5,-18,-26,0,0,,11,6,,['GONZ', 'MSU', 'HOU', 'TENN', 'VCU'],-2.000,1,0,56,,29,3,,Alabama St.,2019,neutral,-5,,7,-5,,ALAST,19,4,,132.000,,17,,0
18,-2.500,1,1009,6,Herb Sendek,WESTC,20191129,Friday,27,11.000,8.500,56,31,25,22,13,,8,[43, 44],-14.500,1,12,13,0,0,,11,3,,['UCSAN', 'CALPO', 'WAST', 'STAN', 'NDNU', 'IDST', 'DENV'],19.500,,0,87,,30,1,,Santa Clara,2019,home,3,,3,3,,SCLAR,22,12,,142.500,,14,4500,6
9,2.500,,1009,3,Rick Ray,OV,20191129,Friday,23,8.500,11.000,50,23,25,33,25,,6,[30, 45],14.500,3,-12,-13,0,0,,11,1,,['VANDY', 'PFW', 'CITDL', 'MISRO', 'CSFUL'],19.500,,0,75,,24,1,,SE Missouri St.,2019,away,0,,9,-1,,SEMST,15,4,,142.500,,14,,2
28,,0,392,2,Mark Slessinger,SL,20191129,Friday,29,,,83,48,17,29,20,,6,[55, 70],,4,65,20,0,0,,11,17,,['SPRHI', 'BUT', 'SMU', 'MISST', 'HAW'],,3,0,125,,46,4,,New Orleans,2019,home,-4,,19,-4,,NO,19,9,,,,9,,1
7,,0,392,1,,,20191129,Friday,18,,,60,19,19,22,19,,1,[35, 25],,0,-65,-20,0,0,,11,7,,[],,0,0,60,,25,,,Eureka,2019,away,0,,6,0,,EURKA,23,3,,,,28,,0
14,-18.500,-1,4159,2,Jim Boeheim,ACC,20191129,Friday,18,16.250,-2.250,54,18,21,33,22,,7,[27, 37],2.500,2,-21,-7,0,0,,11,5,,['VIRG', 'COLG', 'SEA', 'CORN', 'BUCK', 'OKLST'],14.000,2,0,64,,23,1,,Syracuse (Neutral),2019,neutral,0,,8,-1,POWER6,SYR,20,6,,135.000,,12,35446,4
18,18.500,-2,4159,4,Pat Chambers,B10,20191129,Friday,31,-2.250,16.250,67,27,21,31,21,,7,[34, 51],-2.500,1,21,7,0,0,,11,20,,['MDESH', 'WAGNR', 'GT', 'BUCK', 'YALE', 'OLMIS'],14.000,1,0,85,,51,1,,Penn St.,2019,neutral,0,,6,-1,POWER6,PENST,30,10,,135.000,,13,15261,5
11,42.000,1,4159,5,Mike Boynton,B12,20191129,Friday,35,-33.250,8.750,62,28,14,15,14,,7,[34, 44],1.000,0,41,19,0,0,,11,6,,['ORROB', 'KC', 'CHARL', 'YALE', 'WMICH', 'SYR'],-24.500,1,0,78,,41,1,,Oklahoma State (Neutral),2019,neutral,0,,11,6,POWER6,OKLST,27,8,,139.500,,13,13611,6
9,-42.000,2,4159,1,Kermit Davis,SEC,20191129,Friday,26,8.750,-33.250,58,15,12,11,6,,7,[15, 22],-1.000,1,-41,-19,0,0,,11,8,,['ARKST', 'NORST', 'WMICH', 'SEA', 'MEM', 'PENST'],-24.500,2,0,37,,34,1,,Mississippi,2019,neutral,0,,7,1,POWER6,OLMIS,20,1,,139.500,,20,9500,5
7,2.500,1,2014,3,Tommy Amaker,IVY,20191129,Friday,25,5.500,8.000,61,27,24,17,11,,8,[35, 38],9.500,2,-7,4,0,0,,11,4,,['MIT', 'NE', 'MAINE', 'SIENA', 'BUF', 'HCROS', 'TXAM'],13.500,-1,0,73,,29,0,,Harvard (Neutral),2019,neutral,0,,5,2,,HARV,26,8,,139.500,,13,,5
9,-2.500,-1,2014,3,Mark Turgeon,B10,20191129,Friday,29,8.000,5.500,60,24,15,40,25,,7,[31, 49],-9.500,0,7,-4,0,0,,11,15,,['HCROS', 'RI', 'OAK', 'FAIRF', 'GMASN', 'TEMP'],13.500,2,0,80,5,44,0,,Maryland,2019,neutral,0,,6,6,POWER6,MARY,20,7,,139.500,,15,17950,6
8,-19.000,-5,2014,0,Buzz Williams,SEC,20191129,Friday,23,-2.000,-21.000,58,13,15,13,10,,6,[18, 24],4.000,2,-23,-14,0,0,,11,10,,['NWST', 'ULMON', 'GONZ', 'TROY', 'HARV'],-23.000,-5,0,42,,33,0,,Texas A&M (Neutral),2019,neutral,0,,7,-1,POWER6,TXAM,33,6,,130.000,,13,12989,3
11,19.000,2,2014,3,Aaron Mckie,AAC,20191129,Friday,33,-21.000,-2.000,50,22,13,17,11,,6,[32, 33],-4.000,1,23,14,0,0,,11,5,,['DREX', 'MORGS', 'LASAL', 'USC', 'MARY'],-23.000,1,0,65,,38,0,,Temple,2019,neutral,0,,7,-1,,TEMP,27,10,,130.000,,11,,4
19,4.500,2,,3,Danny Manning,ACC,20191129,Friday,24,7.250,11.750,69,30,17,25,24,,7,[38, 50],-8.500,2,13,7,0,0,,11,15,,['BC', 'COLU', 'NCASH', 'CHAR', 'DAV', 'CHARL'],19.000,-1,0,88,,39,0,,Wake Forest (Neutral),2019,neutral,0,,8,2,POWER6,WFRST,21,4,,144.000,,14,14665,4
19,-4.500,1,,6,Dan Monson,BIGW,20191129,Friday,19,11.750,7.250,54,26,20,21,18,,8,[31, 44],8.500,4,-13,-7,0,0,,11,4,,['UCLA', 'SD', 'STAN', 'STM', 'FRESP', 'ARZ', 'PROV'],19.000,-1,0,75,,23,0,,Long Beach St.,2019,neutral,0,,6,1,,LBST,13,5,,144.000,,16,4000,3
17,22.500,3,1503,6,Juwan Howard,B10,20191129,Friday,28,-10.250,12.250,63,34,12,5,2,,7,[36, 46],4.500,0,18,11,0,0,,11,7,,['APPST', 'CRE', 'ELCOL', 'HOUBA', 'IAST', 'NOCAR'],2.000,-1,0,82,,35,0,,Michigan (Neutral),2019,neutral,0,,5,6,POWER6,MICH,23,12,,144.000,,11,12707,6
12,-22.500,-1,1503,1,Mark Few,WESTC,20191129,Friday,24,12.250,-10.250,65,26,8,13,6,,9,[25, 39],-4.500,0,-18,-11,0,0,,11,11,,['ALAST', 'ARKPB', 'NDAKOT', 'TXAM', 'TXARL', 'CALSB', 'SOMIS', 'ORE'],2.000,2,0,64,8,35,0,,Gonzaga,2019,neutral,0,,6,8,,GONZ,12,6,,144.000,,12,6000,8
12,5.500,-5,2110,12,Roy Williams,ACC,20191129,Friday,25,2.250,7.750,62,26,18,21,20,,7,[46, 32],1.500,1,4,5,0,0,,11,16,,['NOTRE', 'NCWIL', 'GARDW', 'ELCOL', 'ALAB', 'MICH'],10.000,-6,0,78,6,41,0,,North Carolina (Neutral),2019,neutral,0,,4,-1,POWER6,NOCAR,23,6,,142.000,,13,21750,5
13,-5.500,6,2110,4,Dana Altman,P12,20191129,Friday,14,7.750,2.250,70,25,18,20,12,,8,[41, 33],-1.500,1,-4,-5,0,0,,11,17,,['FRSNO', 'BOIST', 'MEM', 'TXARL', 'HOU', 'SETHA', 'GONZ'],10.000,3,0,74,11,31,0,,Oregon,2019,neutral,0,,8,-1,POWER6,ORE,30,12,,142.000,,7,12369,6
12,17.500,1,2457,5,Steve Wojo,BE,20191129,Friday,33,10.250,27.750,66,32,31,32,23,,6,[57, 44],-4.500,1,22,21,0,0,,11,8,,['LOYMD', 'PURD', 'WISC', 'RMORR', 'DAV'],38.000,-2,0,101,,41,0,,Marquette (Neutral),2019,neutral,0,,6,2,POWER6,MARQ,29,14,,142.000,,13,17500,4
