assists, faceoffs lost, faceoffs won, goals, minutes, minutes even, minutes power play, minutes short handed, name, number, penalty minutes, plus minus, points, position, power play goals, shifts, short handed goals, shots on goal
0,,,0,61,49,4,6,Frederik Andersen,31,0,,0,G,0,,0,0
0,,,0,0,0,0,0,Garret Sparks,40,0,,0,G,0,,0,0
0,,,0,20,16,0,3,Ron Hainsey,2,2,0,0,D,0,28,0,1
0,2,2,0,14,11,0,2,Zach Hyman,11,2,0,0,C,0,24,0,2
1,,,0,16,15,1,0,Patrick Marleau,12,0,0,1,C,0,26,0,3
0,,,0,18,13,3,1,Mitchell Marner,16,0,1,0,C,0,25,0,0
0,0,1,0,8,6,1,0,Andreas Johnsson,18,0,0,0,LW,0,13,0,0
0,,,0,22,17,0,5,Nikita Zaitsev,22,0,0,0,D,0,29,0,1
1,,,0,17,15,0,2,Travis Dermott,23,0,1,1,D,0,24,0,1
0,,,0,11,8,0,2,Kasperi Kapanen,24,0,0,0,RW,0,16,0,2
0,4,5,0,12,9,0,2,Par Lindholm,26,0,0,0,C,0,17,0,1
0,,,0,16,13,0,3,Connor Brown,28,0,0,0,RW,0,23,0,1
0,2,0,0,11,10,1,0,Josh Leivo,32,0,1,0,LW,0,17,0,1
0,5,9,2,17,14,3,0,Auston Matthews,34,0,0,2,C,1,26,0,3
2,3,9,0,17,13,3,0,Nazem Kadri,43,0,0,2,C,0,21,0,2
1,,,0,20,17,2,0,Morgan Rielly,44,0,-1,1,D,0,27,0,1
1,,,0,22,19,2,1,Jake Gardiner,51,0,1,1,D,0,25,0,0
0,,,0,15,14,1,0,Tyler Ennis,63,0,-1,0,LW,0,24,0,2
0,10,11,1,18,13,3,0,John Tavares,91,0,1,1,C,0,26,0,5
0,,,0,13,12,0,0,Igor Ozhiganov,92,2,0,0,D,0,19,0,0
0,,,0,61,49,6,4,Carey Price,31,0,,0,G,0,,0,0
0,,,0,0,0,0,0,Antti Niemi,37,0,,0,G,0,,0,0
0,,,0,14,13,0,1,Jordie Benn,8,0,0,0,D,0,23,0,1
0,1,3,0,16,12,3,0,Brendan Gallagher,11,0,0,0,RW,0,21,0,5
2,8,5,0,16,13,3,0,Max Domi,13,2,0,2,LW,0,23,0,2
1,6,1,0,15,12,2,0,Jesperi Kotkaniemi,15,0,0,1,C,0,22,0,2
0,12,12,0,16,13,0,2,Phillip Danault,24,0,0,0,C,0,26,0,3
0,,,0,23,18,4,1,Jeff Petry,26,0,-1,0,D,0,29,0,3
0,,,0,21,18,0,2,Mike Reilly,28,0,1,0,D,0,25,0,3
0,1,2,0,18,13,3,1,Joel Armia,40,0,0,0,RW,0,25,0,4
1,1,0,0,14,13,0,1,Paul Byron,41,0,1,1,LW,0,22,0,2
0,,,0,20,16,2,1,Victor Mete,53,0,-1,0,D,0,28,0,0
0,,,0,10,10,0,0,Charles Hudon,54,0,-1,0,LW,0,14,0,1
0,,,0,19,16,0,2,Noah Juulsen,58,0,1,0,D,0,27,0,0
0,,,0,14,13,0,0,Xavier Ouellet,61,0,-1,0,D,0,20,0,0
0,,,1,16,14,1,0,Artturi Lehkonen,62,2,0,1,LW,0,26,0,3
0,4,0,0,10,9,0,1,Matthew Peca,63,0,-1,0,C,0,16,0,0
0,2,0,1,12,7,2,1,Andrew Shaw,65,0,-1,1,RW,1,17,0,3
0,,,0,17,13,3,0,Tomas Tatar,90,0,0,0,LW,0,22,0,2
0,2,3,0,17,13,4,0,Jonathan Drouin,92,2,0,0,C,0,24,0,2
0,,,0,60,44,2,14,Jacob Markstrom,25,0,,0,G,0,,0,0
0,,,0,0,0,0,0,Anders Nilsson,31,0,,0,G,0,,0,0
0,,,0,22,16,0,6,Michael Del Zotto,4,0,-1,0,D,0,29,0,0
0,,,0,13,12,0,0,Derrick Pouliot,5,2,4,0,D,0,21,0,1
0,,,0,14,12,1,0,Brock Boeser,6,2,-2,0,RW,0,19,0,0
1,,,0,23,15,0,7,Christopher Tanev,8,0,1,1,D,0,30,0,0
0,1,0,1,8,7,0,0,Brendan Leipsic,9,2,1,1,LW,0,15,0,2
0,,,1,13,13,0,0,Jake Virtanen,18,2,1,1,RW,0,19,0,1
1,13,6,0,22,15,0,6,Brandon Sutter,20,2,2,1,C,0,29,0,1
2,,,0,9,8,0,0,Loui Eriksson,21,0,2,2,LW,0,20,0,0
0,,,0,23,14,1,7,Alexander Edler,23,0,0,0,D,0,31,0,2
1,6,3,1,9,8,1,0,Elias Pettersson,40,0,2,2,C,0,17,0,1
1,,,0,17,12,0,4,Erik Gudbranson,44,9,3,1,D,0,25,0,1
0,,,0,13,11,1,0,Sven Baertschi,47,0,-2,0,LW,0,18,0,0
0,,,0,18,16,0,1,Troy Stecher,51,0,-1,0,D,0,24,0,1
0,7,9,0,13,12,1,0,Bo Horvat,53,0,-2,0,C,0,20,0,2
1,0,1,0,17,9,0,7,Markus Granlund,60,0,2,1,C,0,25,0,5
0,0,1,1,21,14,0,7,Tyler Motte,64,0,2,1,C,0,31,0,2
1,,,1,7,7,0,0,Nikolay Goldobin,77,0,2,2,RW,0,16,0,2
1,7,5,0,15,8,0,6,Jay Beagle,83,0,1,1,C,0,25,0,2
0,,,0,0,0,0,0,David Rittich,33,0,,0,G,0,,0,0
0,,,0,58,42,14,2,Mike Smith,41,0,,0,G,0,,0,0
0,,,0,25,17,7,1,Mark Giordano,5,0,-1,0,D,0,31,0,5
0,,,0,23,16,6,0,TJ Brodie,7,0,0,0,D,0,27,0,2
0,,,0,10,10,0,0,Juuso Valimaki,8,0,-2,0,D,0,15,0,1
0,1,8,0,14,8,6,0,Derek Ryan,10,0,-1,0,C,0,19,0,1
0,4,10,0,19,13,5,0,Mikael Backlund,11,0,1,0,C,0,24,0,1
1,,,0,23,15,8,0,Johnny Gaudreau,13,0,-2,1,LW,0,25,0,3
1,,,0,16,11,5,0,James Neal,18,0,0,1,LW,0,21,0,1
0,,,1,22,14,8,0,Matthew Tkachuk,19,2,0,1,LW,0,23,0,3
0,4,9,1,23,15,8,0,Sean Monahan,23,0,-2,1,C,0,26,0,2
0,,,0,14,13,0,1,Travis Hamonic,24,5,0,0,D,0,21,0,0
0,,,0,12,11,0,1,Michael Stone,26,0,-2,0,D,0,18,0,0
1,4,0,0,13,7,5,0,Austin Czarnik,27,0,1,1,C,0,18,0,1
0,5,1,0,20,11,7,0,Elias Lindholm,28,0,-4,0,C,0,25,0,2
0,1,0,0,9,8,0,0,Dillon Dube,29,0,-1,0,C,0,15,0,2
1,,,0,19,18,0,1,Noah Hanifin,55,0,0,1,D,0,27,0,4
0,1,2,0,13,12,0,0,Michael Frolik,67,0,-1,0,RW,0,19,0,1
0,5,4,0,8,7,0,1,Mark Jankowski,77,0,-1,0,C,0,15,0,3
0,,,0,8,7,0,0,Sam Bennett,93,0,-1,0,C,0,15,0,3
0,,,0,0,0,0,0,Aaron Dell,30,0,,0,G,0,,0,0
0,,,0,58,52,4,1,Martin Jones,31,0,,0,G,0,,0,0
0,,,0,13,13,0,0,Brenden Dillon,4,0,0,0,D,0,17,0,1
0,7,11,0,19,17,2,0,Joe Pavelski,8,0,0,0,C,0,22,0,1
0,0,2,1,18,16,1,0,Evander Kane,9,2,-1,1,LW,0,21,0,5
0,2,5,0,17,15,2,0,Joe Thornton,19,2,0,0,C,0,20,0,1
0,1,1,0,10,10,0,0,Marcus Sorensen,20,0,0,0,LW,0,16,0,1
0,3,4,0,8,8,0,0,Barclay Goodrow,23,0,0,0,RW,0,15,0,0
0,,,0,13,13,0,0,Joonas Donskoi,27,0,-1,0,RW,0,20,0,4
0,1,1,0,18,16,1,0,Timo Meier,28,0,0,0,RW,0,20,0,3
0,3,2,0,18,15,3,0,Logan Couture,39,2,-1,0,C,0,24,0,1
0,8,3,0,10,10,0,0,Antti Suomela,40,0,0,0,C,0,16,0,2
0,,,0,21,20,0,1,Marc Edouard Vlasic,44,0,-1,0,D,0,24,0,1
