completions, interceptions thrown, name, passes, passing touchdowns, passing yards
19,1,Brock Osweiler,26,2,262
4,0,Taylor Kelly,4,0,31
1,0,Mike Bercovici,2,0,7
14,2,Ryan Radcliff,27,2,168
16,0,Wesley Carroll,22,1,193
0,0,Jake Medlock,1,0,0
14,0,Derek Thompson,27,0,167
5,0,Brent Osborn,8,0,37
8,0,Tevin Washington,13,3,271
3,0,Synjyn Days,3,0,94
19,1,Brian Reader,43,2,177
1,0,Logan Bushnell,1,0,51
19,0,Matt Schilz,31,2,291
7,3,Morgan Newton,18,1,97
9,4,Kawaun Jakes,27,0,93
17,0,Will Stein,32,2,226
0,1,Teddy Bridgewater,1,0,0
23,1,Taylor Reed,35,1,149
3,0,Andy Summerlin,5,0,25
13,0,Chris Relf,21,2,202
5,0,Tyler Russell,9,1,138
9,1,Chas Dodd,17,1,113
6,0,Gary Nova,17,1,97
20,0,Ryan Nassib,28,3,178
18,0,Tanner Price,31,3,289
6,1,Ted Stachitas,10,0,37
14,0,Mike Gerardi,20,2,235
15,0,Austin Dantin,21,3,161
10,0,Terrance Owens,13,2,122
2,0,Dwight Macon,2,0,21
15,0,Jordan Wynn,23,2,101
10,0,Russell Wilson,13,2,255
1,0,Joe Brennan,2,0,3
18,0,Caleb Herring,27,2,146
21,0,Robert Griffin III,27,5,359
2,0,Kendall Wright,2,1,55
25,1,Casey Pachall,39,4,251
18,0,Kirk Cousins,22,1,222
1,0,Andrew Maxwell,1,0,15
4,2,Jr,9,1,96
14,2,AJ McCarron,23,1,226
7,2,Phillip Sims,14,0,73
20,1,Spencer Keith,47,1,99
18,0,Tyler Wilson,24,2,260
10,0,Brandon Mitchell,11,1,104
34,0,Nick Foles,42,5,412
17,0,Barrett Trotter,23,3,261
1,0,Clint Moseley,1,0,25
21,0,Chuckie Keeton,30,0,213
1,0,Stanley Morrison,1,0,8
24,1,Chase Rettig,44,0,351
17,1,Kain Colter,24,0,197
16,1,Zach Maynard,35,2,266
21,1,Derek Carr,33,1,150
8,0,Blake Bortles,10,0,144
6,0,Jeff Godfrey,10,0,100
12,0,Zach Collaros,19,4,134
2,0,Munchie Legaux,3,0,40
20,1,Tajh Boyd,30,3,264
1,0,Cole Stoudt,1,0,7
24,1,Corey Robinson,42,1,258
8,0,Johnny McEntee,12,0,113
3,1,Michael Nebrich,8,0,60
1,0,Scott McCummings,1,1,55
23,0,Sean Renfree,33,0,201
21,2,John Brantley,30,1,229
4,1,Jeff Driskel,6,0,42
14,0,Graham Wilbert,26,0,107
0,0,David Kooi,1,0,0
22,1,EJ Manuel,34,2,252
1,0,Clint Trickett,1,1,28
11,1,Kolton Browning,19,0,85
1,0,Cody Wells,3,0,7
16,1,Aaron Murray,29,2,236
28,1,Kellen Moore,34,3,261
20,0,Bryant Moniz,33,1,178
16,1,Tyler Hansen,30,2,223
30,0,Case Keenum,40,2,310
17,0,Richard Brehaut,26,2,264
3,0,Kevin Prince,3,0,58
16,0,Nathan Scheelhaase,23,2,267
1,0,Riley OToole,2,0,4
20,1,Ryan Aplin,32,0,290
20,0,Edward Wright Baker,32,1,272
23,0,Keith Wenning,29,2,173
13,0,James Vandenberg,21,2,219
2,0,AJ Derby,5,0,27
18,3,Steele Jantz,40,1,187
7,0,Jordan Webb,10,3,146
13,1,Collin Klein,21,1,128
10,0,Jarrett Lee,22,1,98
31,1,Darron Thomas,54,1,240
9,0,Denard Robinson,13,0,98
22,1,Alex Carder,31,0,183
13,0,Zack Stoudt,25,0,141
2,0,Barry Brunetti,3,0,4
23,1,Jake Heaps,38,1,225
17,1,James Franklin,26,1,129
26,1,Zac Dysert,39,0,194
4,1,Kriss Proctor,7,1,46
22,1,Bryn Renner,23,2,277
18,0,Mike Glennon,31,1,156
11,0,Taylor Martinez,22,0,116
1,0,Brion Carnes,1,0,19
0,0,Rex Burkhead,1,0,0
12,1,Chandler Harnish,19,5,195
3,0,Jordan Lynch,5,0,25
5,1,Trent Steelman,11,0,86
