kickoff yards, kickoffs, longest kickoffs, longest punt, name, punt yards, punts
200,4,55,56,C Hardy,312,7
0,0,0,58,N Prefontaine,147,3
0,0,0,56,P McCallum,368,8
308,5,68,63,S Fleming,193,4
0,0,0,66,P Fleming,297,6
131,2,75,52,D Duval,375,8
137,2,71,47,J Boreham,272,7
0,0,0,60,B Dales,154,3
135,2,70,50,N Setta,307,7
315,6,61,55,R Pikula,395,10
72,1,72,51,D Duval,441,10
0,0,0,52,P McCallum,147,4
221,4,63,46,S Fleming,214,6
0,0,0,56,N Setta,446,11
0,0,0,51,C Hardy,261,7
501,8,72,53,J Boreham,263,7
0,0,0,55,B Dales,587,13
436,7,65,49,N Prefontaine,202,5
0,0,0,54,B Dales,252,6
0,0,0,56,R Pikula,280,8
243,5,53,57,S Fleming,314,8
20,3,75,52,J Boreham,266,6
0,0,0,57,P McCallum,371,8
195,3,69,57,N Setta,279,6
266,4,76,71,D Duval,402,8
199,3,69,49,D Duval,122,3
0,0,0,63,R Pikula,387,8
0,0,0,52,P McCallum,315,7
465,8,72,46,N Setta,198,5
188,3,65,58,S Fleming,355,7
0,0,0,21,S LeFors,21,1
255,4,65,52,J Boreham,362,8
0,0,0,80,B Dales,397,8
123,2,64,61,N Prefontaine,454,9
167,3,63,56,N Prefontaine,433,10
253,4,68,64,D Duval,482,10
0,0,0,53,R Pikula,215,5
70,1,70,34,N Setta,129,4
546,8,89,54,J Boreham,167,4
50,1,50,60,S Fleming,235,5
0,0,0,54,B Dales,232,5
0,0,0,56,P McCallum,374,8
297,5,72,70,D Duval,339,7
0,0,0,47,M Brady,128,3
258,4,69,54,N Prefontaine,430,10
0,0,0,60,P McCallum,326,8
266,4,75,50,J Boreham,329,8
414,7,69,47,N Setta,253,7
0,0,0,49,R Pikula,161,4
304,5,77,72,S Fleming,348,7
0,0,0,52,B Dales,209,5
340,5,72,68,D Duval,400,8
0,0,0,69,B Dales,469,11
130,2,67,52,N Prefontaine,281,6
253,4,68,52,J Boreham,350,8
0,0,0,51,P McCallum,209,5
0,0,0,50,R Pikula,254,6
228,4,63,58,S Fleming,431,9
171,3,66,53,N Setta,340,8
0,0,0,55,D OMahony,190,5
0,0,0,47,P McCallum,208,5
344,5,95,54,J Boreham,117,3
0,0,0,49,J Flowers,305,7
185,3,62,49,R Pikula,296,8
122,2,62,54,N Prefontaine,349,8
0,0,0,51,P McCallum,327,7
258,4,73,56,D Duval,398,9
351,6,61,66,J Boreham,147,3
213,4,56,59,R Pikula,288,6
135,2,80,91,N Setta,638,13
361,6,68,70,N Prefontaine,374,7
0,0,0,65,D OMahony,229,5
187,3,64,60,S Fleming,335,8
168,3,60,45,S Fleming,164,4
0,0,0,51,D OMahony,265,7
487,8,67,48,N Prefontaine,130,3
110,3,61,59,N Setta,208,5
276,4,74,57,D Duval,235,5
47,1,47,50,P McCallum,145,3
0,0,0,54,R Pikula,191,4
202,4,65,60,J Boreham,252,6
459,7,73,57,S Fleming,218,6
344,6,73,66,D Duval,301,6
0,0,0,52,D OMahony,200,4
232,4,76,54,J Boreham,335,7
69,1,69,63,N Setta,385,10
0,0,0,49,R Pikula,283,7
0,0,0,52,P McCallum,270,7
350,6,61,50,N Prefontaine,281,6
135,2,70,54,N Setta,320,7
0,0,0,62,D OMahony,320,7
286,4,94,55,J Boreham,367,9
127,2,67,86,P McCallum,479,8
187,3,80,59,D Duval,185,4
0,0,0,34,M Brady,34,1
168,3,61,69,S Fleming,236,5
373,6,64,47,N Prefontaine,198,5
0,0,0,54,R Pikula,215,5
62,1,62,56,S Fleming,369,8
184,3,63,58,N Prefontaine,359,8
379,5,95,58,J Boreham,234,7
240,4,95,90,D Duval,309,6
220,3,95,85,T Westwood,397,7
0,0,0,40,R Pikula,95,3
197,3,90,80,N Setta,377,8
0,0,0,50,P McCallum,140,3
0,0,0,64,D OMahony,374,8
150,3,59,78,R Pikula,279,7
0,0,0,59,P McCallum,228,6
267,5,62,56,N Prefontaine,379,8
176,3,61,70,S Fleming,395,9
328,5,71,68,D Duval,425,9
0,0,0,34,M Brady,34,1
185,3,65,64,N Setta,192,5
0,0,0,46,D OMahony,337,9
280,4,73,46,J Boreham,170,4
383,6,67,57,N Prefontaine,437,9
187,3,72,59,D Duval,367,8
266,4,74,65,S Fleming,240,5
0,0,0,69,P McCallum,486,12
238,4,74,52,N Setta,229,5
414,7,68,66,J Boreham,292,6
0,0,0,51,B Dales,273,6
259,4,74,55,R Pikula,310,7
286,5,64,54,R Pikula,275,6
0,0,0,51,B Dales,419,10
0,0,0,0,N Setta,323,7
0,0,0,0,P McCallum,186,5
0,0,0,0,S Fleming,267,8
0,0,0,0,J Boreham,375,11
0,0,0,63,N Prefontaine,525,10
0,0,0,69,P Fleming,553,13
0,0,0,56,B Dales,226,5
266,4,71,59,D Duval,291,6
0,0,0,50,P Fleming,416,10
169,3,58,60,D Duval,385,9
114,2,61,56,J Boreham,327,8
205,4,58,35,C Hardy,91,4
0,0,0,53,P McCallum,266,6
0,0,0,45,D OMahony,243,6
182,3,71,67,N Setta,324,7
85,2,55,58,S Fleming,300,8
132,2,68,40,J Boreham,111,3
0,0,0,54,D OMahony,221,6
349,6,72,74,T Westwood,329,7
182,3,78,48,D Duval,365,9
125,2,64,75,N Prefontaine,519,11
285,4,81,64,T Westwood,494,11
64,2,64,51,P McCallum,425,10
173,3,64,51,J Boreham,451,11
0,0,0,0,J Boreham,41,7
0,0,0,0,T Westwood,46,11
