longest reception, name, receiving touchdowns, receiving yards, receptions
65,J Etienne,0,79,3
46,C Denmark,1,54,2
25,C Matthews,1,41,4
17,T Edwards,0,31,3
12,C Watson,0,29,3
13,C Simpson,0,18,3
6,M Pontbriand,0,6,1
42,S Green,1,119,5
20,J Richardson,0,37,3
15,B London,0,36,3
13,A Bruce,0,35,5
16,C Jennings,0,16,1
13,N Devine,0,13,1
5,E Deslauriers,0,8,2
33,C Owens,0,95,9
73,J Barnes,2,85,4
50,S Watt,1,83,3
32,A Durie,0,71,4
17,D Inman,1,36,3
64,A Fantuz,1,155,10
36,G Ellingson,0,120,6
31,O Jones,0,31,1
9,C Gable,2,30,4
11,B Grant,0,11,1
7,S Giguere,0,7,1
7,J Delahunt,0,7,1
34,M Price,1,77,6
32,N Lewis,0,56,4
14,J West,2,51,5
20,J Cornish,0,20,1
11,M McDaniel,0,18,2
15,J Arthur,0,15,1
53,E Arceneaux,1,103,3
17,C Taylor,1,58,5
25,N Moore,0,55,5
13,S Gore,1,36,4
12,A Harris,0,20,3
11,A Foster,0,11,1
46,F Stamps,1,125,6
16,N Coehoorn,0,76,7
35,C Koch,0,58,3
12,I Sweeney,0,44,4
16,M Carter,0,16,1
5,H Charles,0,5,1
5,J White IV,0,5,1
33,C Getzlaf,1,67,3
38,W Dressler,0,57,2
19,T Smith,1,43,5
11,K Sheets,0,14,2
12,R Bagg,0,12,1
7,S McHenry,1,11,2
5,G Carr,0,5,1
21,A Bruce,0,33,3
15,J Richardson,0,33,3
17,S Green,1,31,3
10,B Whitaker,0,23,5
1,N Devine,0,1,2
37,C Watson,0,114,6
47,R Kohlert,0,69,4
15,T Edwards,0,26,3
14,C Denmark,0,21,2
13,C Simpson,0,21,3
6,W Ford,0,6,1
43,N Moore,0,107,6
44,E Arceneaux,0,50,2
14,A Harris,0,49,6
12,P Jackson,0,30,4
7,C Taylor,1,13,2
25,C Owens,0,111,11
10,A Durie,0,37,6
8,C Kackert,0,26,6
14,S Watt,0,20,2
6,J Barnes,0,11,2
10,T Guy,0,10,1
28,W Dressler,1,108,10
32,C Getzlaf,1,97,8
7,T Smith,0,16,3
14,S McHenry,0,14,1
9,K Sheets,0,14,2
6,R Bagg,0,6,1
3,E Riley,0,3,1
64,J West,1,97,4
10,M McDaniel,0,47,5
24,N Lewis,0,43,4
10,M Price,0,39,5
13,J Arthur,0,20,2
13,A Parker,0,13,1
8,R Cote,1,8,1
5,L Taylor,0,5,1
22,S Charbonneau Campeau,0,63,5
25,B Grant,0,62,5
40,E Gant,1,54,2
23,G Ellingson,0,28,2
11,S Giguere,0,23,3
5,C Gable,0,5,1
18,N Coehoorn,0,34,2
13,H Charles,1,27,3
19,C McCarty,0,26,2
11,F Stamps,1,25,3
16,C Koch,0,16,2
5,I Sweeney,0,8,2
31,A Durie,1,100,7
18,C Owens,0,85,8
33,D Inman,0,82,5
35,J Iglesias,0,65,3
48,C Kackert,1,64,5
16,J Barnes,0,34,3
6,S Watt,0,11,2
70,T Smith,2,141,3
12,R Bagg,1,34,3
12,W Dressler,0,22,3
18,K Sheets,0,21,2
14,C Getzlaf,0,14,1
9,S McHenry,0,9,1
9,J Sanders,0,9,1
4,E Riley,0,4,1
33,A Bruce,0,80,5
19,B London,1,37,4
17,S Green,0,36,3
11,B Whitaker,0,26,5
9,E Deslauriers,0,17,2
12,J Richardson,0,6,2
3,P Lavoie,0,3,1
19,N Lewis,1,81,6
42,B Sinopoli,0,81,5
23,J Arthur,0,38,3
22,L Taylor,0,29,2
13,M McDaniel,0,24,2
8,J Cornish,0,10,3
5,J West,0,5,1
28,B Grant,0,101,7
61,S Giguere,1,94,3
20,E Gant,0,69,5
28,G Ellingson,0,47,4
14,C Walker,0,34,4
12,J Delahunt,1,12,1
5,L Lamar,0,5,2
23,C Watson,0,72,6
30,J Etienne,0,46,3
26,C Matthews,0,35,2
11,I Anderson,0,27,3
6,C Simpson,0,6,1
18,M Carter,0,28,2
15,N Coehoorn,0,28,3
11,C Koch,0,23,5
9,C McCarty,0,9,1
7,M Henry,0,7,1
2,I Sweeney,0,2,1
41,E Arceneaux,1,53,2
22,A Harris,1,30,4
17,M Iannuzzi,0,28,2
18,N Moore,0,25,2
14,P Jackson,0,22,2
39,C Denmark,0,112,4
36,J Etienne,0,65,5
47,D Pierce,0,65,3
14,R Kohlert,0,27,4
15,C Simpson,0,21,3
7,I Anderson,0,18,3
1,W Ford,0,1,1
48,A Durie,0,108,6
25,C Owens,1,89,7
55,J Chiles,0,76,3
30,S Watt,1,37,2
19,C Kackert,0,29,3
10,J Barnes,0,18,2
45,M McDaniel,0,75,4
33,J Arthur,0,48,2
10,N Lewis,1,41,5
12,A Parker,0,21,3
11,J Cornish,1,20,4
14,B Sinopoli,0,17,2
8,L Taylor,0,14,2
12,R Cote,0,12,1
4,J West,0,4,1
1,T St Pierre,1,1,1
58,S Green,1,121,7
21,J Richardson,0,51,5
21,A Bruce,0,47,4
16,E Deslauriers,0,16,1
8,B Whitaker,0,8,1
77,E Arceneaux,1,106,5
18,N Moore,0,54,4
34,C Taylor,0,51,4
22,M Iannuzzi,0,32,2
24,A Harris,0,30,2
11,S Haidara,0,11,1
42,N Coehoorn,0,103,6
37,F Stamps,1,62,3
15,C Koch,0,25,2
12,M Henry,0,19,2
10,H Charles,0,17,2
15,M Reilly,0,15,1
2,C McCarty,0,2,1
60,R Bagg,2,125,5
28,W Dressler,1,73,5
32,T Smith,0,51,3
