fumbles, fumbles lost, longest rush, name, rushes, rushing conversions, rushing touchdowns, rushing yards
,,8,Terry Allen,20,0,1,37
,,6,Elvis Grbac,6,0,0,9
,,8,Jason Brookins,1,0,0,8
,,2,Obafemi Ayanbadejo,2,0,0,2
,,-2,Jermaine Lewis,1,0,0,-2
,,8,James Allen,21,0,0,43
,,5,Anthony Thomas,3,0,0,9
,,2,Shane Matthews,2,0,0,2
,,4,Glyn Milburn,2,0,0,2
,,14,Travis Henry,22,0,0,58
,,31,Peerless Price,1,0,0,31
,,18,Rob Johnson,3,0,0,23
,,11,Larry Centers,1,0,0,11
,,2,Sammy Morris,1,0,0,2
,,21,Ricky Williams,18,0,0,93
,,5,Aaron Brooks,5,0,0,10
,,3,Terrelle Smith,2,0,0,4
,,2,Deuce McAllister,1,0,0,2
,,40,Corey Dillon,24,0,1,104
,,21,Brandon Bennett,6,0,0,43
,,13,Peter Warrick,1,0,0,13
,,-1,Jon Kitna,2,0,0,-3
,,11,Antowain Smith,11,0,0,33
,,5,Marc Edwards,4,0,0,13
,,7,JR Redmond,3,0,0,12
,,8,Drew Bledsoe,3,0,0,10
,,14,Jamel White,10,0,0,52
,,6,James Jackson,14,0,0,37
,,1,Tim Couch,1,0,0,1
,,40,Ricky Watters,16,0,0,97
,,8,Shaun Alexander,4,0,0,3
,,7,Matt Hasselbeck,6,0,0,1
,,0,Mack Strong,1,0,0,0
,,14,Emmitt Smith,13,0,0,40
,,24,Robert Thomas,2,0,0,28
,,17,Quincy Carter,4,0,0,16
,,10,Troy Hambrick,1,0,0,10
,,5,Raghib Ismail,2,0,0,3
,,2,Michael Wiley,1,0,0,2
,,8,Warrick Dunn,22,0,0,56
,,3,Mike Alstott,5,0,0,12
,,3,Brad Johnson,4,0,1,2
,,4,Aaron Stecker,2,0,0,1
,,83,Ahman Green,17,0,2,157
,,9,Dorsey Levens,7,0,0,18
,,6,Bill Schroeder,1,0,0,6
,,0,Brett Favre,4,0,0,-2
,,7,James Stewart,13,0,0,39
,,7,Charlie Batch,2,0,0,9
,,7,Lamont Warren,5,0,0,8
,,24,Fred Taylor,24,0,0,96
,,6,Mark Brunell,3,0,0,7
,,0,Chris Hanson,1,0,0,0
,,-2,Stacey Mack,1,0,0,-2
,,18,Amos Zereoue,9,0,0,60
,,15,Kordell Stewart,6,0,0,31
,,6,Jerome Bettis,12,0,0,28
,,1,Hines Ward,1,0,0,1
,,7,Priest Holmes,7,0,0,21
,,12,Trent Green,4,0,0,11
,,3,Tony Richardson,6,0,1,3
,,22,Tyrone Wheatley,14,0,0,49
,,14,Charlie Garner,12,0,0,38
,,9,Rich Gannon,1,1,0,9
,,4,Tim Brown,1,0,0,4
,,10,Daunte Culpepper,12,0,1,57
,,7,Michael Bennett,11,0,0,37
,,8,Doug Chapman,3,0,0,15
,,15,Nick Goings,25,0,0,86
,,5,Tim Biakabutuka,5,0,0,7
,,1,Chris Hetherington,2,0,0,1
,,1,Chris Weinke,6,0,1,-3
,,18,Curtis Martin,20,0,1,79
,,12,Richie Anderson,2,0,0,21
,,9,LaMont Jordan,3,0,0,17
,,16,Laveranues Coles,1,0,0,16
,,5,Vinny Testaverde,3,0,0,5
,,29,Edgerrin James,28,0,2,135
,,10,Peyton Manning,2,0,0,19
,,15,Donovan McNabb,9,0,0,48
,,7,Duce Staley,9,0,0,9
,,28,Marshall Faulk,20,0,1,72
,,5,Az Zahir Hakim,1,0,0,5
,,4,Ernie Conwell,1,0,0,4
,,1,Trung Canidate,1,0,0,1
,,9,LaDainian Tomlinson,36,0,2,113
,,16,Curtis Conway,1,0,0,16
,,5,Terrell Fletcher,4,0,0,5
,,3,Doug Flutie,4,0,0,0
,,-1,Ronney Jenkins,1,0,0,-1
,,10,Stephen Davis,14,0,0,35
,,8,Donnell Bennett,1,0,0,8
,,2,Jeff George,3,0,0,1
,,0,Tony Banks,1,0,0,0
,,11,Garrison Hearst,14,0,0,48
,,17,Jeff Garcia,5,0,0,38
,,3,Kevan Barlow,5,0,0,9
,,5,Fred Beasley,3,0,0,7
,,3,Terrell Owens,1,0,0,3
,,14,Jamal Anderson,26,0,1,86
,,25,Michael Vick,2,0,0,32
,,12,Chris Chandler,3,0,0,16
,,14,Eddie George,18,0,0,49
,,15,NO Donnell,2,0,0,29
,,14,Steve McNair,5,0,0,27
,,17,Lamar Smith,25,0,1,55
,,8,Jay Fiedler,7,0,0,25
,,2,JJ Johnson,1,0,0,2
,,26,Terrell Davis,21,0,0,101
,,17,Rod Smith,2,0,0,24
,,7,Mike Anderson,6,0,1,10
,,11,Brian Griese,5,0,0,8
,,0,Patrick Hape,2,0,0,0
,,12,Ron Dayne,6,0,0,30
,,16,Tiki Barber,10,0,0,28
