defensive two point conversion, forced fumble, forced fumbles, fumble return touchdowns, fumble return yards, interception return touchdowns, interceptions, name, sacks, safeties, tackle assists, tackles
,,0,0,,0,0,Todd Davis,0.500,0,1.000,6
,,0,0,,0,0,Brandon Marshall,0.000,0,0.000,6
,,0,0,,0,0,Bradley Roby,0.000,0,0.000,5
,,0,0,,0,0,Darian Stewart,0.000,0,0.000,5
,,0,0,,0,0,TJ Ward,0.000,0,0.000,5
,,0,0,,0,0,Von Miller,1.000,0,0.000,3
,,0,0,,0,1,Chris Harris,0.000,0,0.000,2
,,0,0,,0,0,Corey Nelson,0.000,0,0.000,2
,,0,0,,0,0,DeMarcus Ware,1.500,0,1.000,2
,,0,0,,0,0,Derek Wolfe,0.000,0,0.000,2
,,0,0,,0,0,Shaquil Barrett,0.000,0,0.000,1
,,0,0,,0,0,Jared Crick,0.000,0,0.000,1
,,0,0,,0,0,Darius Kilgo,0.000,0,0.000,1
,,0,0,,0,0,Shane Ray,0.000,0,1.000,1
,,0,0,,0,0,Justin Simmons,0.000,0,0.000,1
,,0,0,,0,0,Kayvon Webster,0.000,0,0.000,1
,,0,0,,0,0,Sylvester Williams,0.000,0,0.000,1
,,0,0,,0,0,Aqib Talib,0.000,0,1.000,0
,,0,0,,0,0,Luke Kuechly,0.000,0,0.000,10
,,0,0,,0,0,James Bradberry,0.000,0,1.000,5
,,0,0,,0,0,Tre Boston,1.000,0,0.000,4
,,0,0,,0,1,Thomas Davis,0.000,0,0.000,4
,,0,0,,0,0,Robert McClain,0.000,0,0.000,4
,,0,0,,0,0,Shaq Green Thompson,0.000,0,0.000,3
,,0,0,,0,1,Bene Benwikere,0.000,0,0.000,2
,,0,0,,0,0,Kurt Coleman,0.000,0,1.000,2
,,1,0,,0,0,Charles Johnson,0.000,0,0.000,2
,,0,0,,0,0,Kawann Short,0.000,0,0.000,2
,,0,0,,0,0,Vernon Butler,1.000,0,0.000,1
,,0,0,,0,0,Ryan Delaire,0.000,0,0.000,1
,,0,0,,0,0,AJ Klein,0.000,0,0.000,1
,,0,0,,0,0,Tony Jefferson,0.000,0,1.000,9
,,0,0,,0,0,Tyvon Branch,0.000,0,0.000,7
,,0,0,,0,0,Tyrann Mathieu,0.000,0,0.000,7
,,0,0,,0,0,Kevin Minter,0.000,0,1.000,6
,,0,0,,0,0,Deone Bucannon,0.000,0,0.000,5
,,0,0,,0,0,Patrick Peterson,0.000,0,0.000,4
,,0,0,,0,0,Chandler Jones,1.000,0,2.000,3
,,0,0,,0,0,Calais Campbell,0.000,0,1.000,2
,,1,0,,0,0,Markus Golden,1.000,0,0.000,2
,,0,0,,0,0,Brandon Williams,0.000,0,0.000,2
,,0,0,,0,0,Josh Mauro,0.000,0,0.000,1
,,1,0,,0,0,Frostee Rucker,0.000,0,2.000,1
,,0,0,,0,0,DJ Swearinger,0.000,0,0.000,1
,,0,0,,0,0,Corey Peters,0.000,0,2.000,0
,,0,0,,0,0,Devin McCourty,0.000,0,1.000,8
,,0,0,,0,0,Logan Ryan,0.000,0,2.000,4
,,0,0,,0,0,Jabaal Sheard,0.000,0,0.000,4
,,0,0,,0,0,Malcolm Butler,0.000,0,1.000,3
,,0,0,,0,0,Jamie Collins,1.000,0,1.000,3
,,0,0,,0,0,Chris Long,1.000,0,0.000,3
,,0,0,,0,0,Vincent Valentine,1.000,0,0.000,3
,,0,0,,0,0,Patrick Chung,0.000,0,3.000,2
,,0,0,,0,0,Shea McClellin,0.000,0,0.000,2
,,0,0,,0,0,Alan Branch,0.000,0,1.000,1
,,0,0,,0,0,Malcom Brown,0.000,0,0.000,1
,,0,0,,0,0,Duron Harmon,0.000,0,0.000,1
,,0,0,,0,0,Donta Hightower,0.000,0,0.000,1
,,0,0,,0,0,Anthony Johnson,0.000,0,0.000,1
,,0,0,,0,0,Trey Flowers,0.000,0,1.000,0
,,0,0,,0,0,Justin March Lillard,0.000,0,1.000,8
,,0,0,,0,0,Steven Nelson,0.000,0,0.000,8
,,0,0,,0,0,Eric Berry,0.000,0,0.000,6
,,0,0,,0,0,Derrick Johnson,0.000,0,0.000,5
,,0,0,,0,0,Frank Zombo,0.000,0,1.000,5
,,0,0,,0,0,Dee Ford,1.000,0,0.000,4
,,0,0,,0,0,Phillip Gaines,0.000,0,0.000,4
,,0,0,,0,0,Ron Parker,0.000,0,1.000,3
,,0,0,,0,0,Marcus Peters,0.000,0,0.000,3
