average punt yards, longest punt, name, punts, punts inside the twenty
42.000,67,Ryan Allen,4,1
43.000,50,Jordan Berry,2,0
56.000,56,PO Donnell,1,0
33.000,54,Tim Masthay,2,0
46.200,63,Colton Schmidt,5,2
42.800,48,Pat McAfee,4,0
45.400,62,Britton Colquitt,5,2
48.300,59,Sam Koch,6,2
43.500,56,Jacob Schum,4,0
43.000,57,Brett Kern,4,1
39.000,47,Drew Butler,4,2
39.000,54,Thomas Morstead,4,1
35.000,58,Mike Scifres,2,0
35.200,42,Sam Martin,5,3
52.000,54,Chris Jones,2,1
45.500,63,Brad Wing,4,3
37.000,56,Bryan Anger,5,2
37.500,56,Brad Nortman,4,2
33.700,52,Ryan Quigley,3,1
54.000,61,Andy Lee,2,0
36.200,48,Marquette King,6,2
38.400,53,Kevin Huber,5,1
26.300,55,Johnny Hekker,3,0
25.500,73,Jon Ryan,4,2
10.000,54,Tress Way,3,1
43.500,63,Matt Darr,4,1
32.600,57,Shane Lechler,7,1
36.100,56,Dustin Colquitt,7,4
51.500,62,Matt Bosher,4,3
37.600,60,Donnie Jones,5,1
43.700,52,Bradley Pinion,3,2
37.500,44,Jeff Locke,4,2
52.500,58,Dustin Colquitt,4,1
42.700,56,Britton Colquitt,7,1
40.600,55,PO Donnell,5,1
33.700,43,Drew Butler,3,2
47.000,58,Kevin Huber,3,2
38.300,53,Mike Scifres,3,0
34.700,54,Colton Schmidt,6,2
40.000,54,Ryan Allen,1,0
43.000,62,Andy Lee,6,2
24.000,55,Brett Kern,6,1
43.000,59,Donnie Jones,6,1
45.800,61,Chris Jones,6,2
38.500,47,Brad Wing,4,3
37.400,69,Matt Bosher,5,0
38.900,56,Bryan Anger,7,1
39.500,54,Matt Darr,6,0
39.000,49,Tim Masthay,3,0
36.200,58,Jon Ryan,5,2
42.700,65,Brad Nortman,7,0
43.000,60,Shane Lechler,8,3
49.000,70,Marquette King,2,1
43.500,46,Sam Koch,2,1
37.300,56,Tress Way,6,1
46.100,53,Johnny Hekker,8,4
35.300,55,Thomas Morstead,4,1
38.700,40,Jacob Schum,3,1
43.700,62,Jordan Berry,3,2
38.800,47,Bradley Pinion,4,1
44.000,53,Jeff Locke,3,2
34.500,53,Sam Martin,4,2
49.700,57,Pat McAfee,3,1
34.000,40,Ryan Quigley,5,3
40.300,45,Brad Wing,4,2
18.000,36,Tress Way,1,0
51.300,67,Andy Lee,4,2
37.000,46,Marquette King,4,1
21.800,40,Drew Butler,4,2
44.800,56,Bradley Pinion,6,4
39.800,45,Chris Jones,4,3
45.300,60,Matt Bosher,4,1
47.300,59,Matt Darr,4,3
39.300,49,Colton Schmidt,3,1
35.300,54,Ryan Quigley,8,3
41.200,56,Donnie Jones,9,2
46.600,66,Sam Martin,5,1
37.000,50,Britton Colquitt,5,3
22.800,55,Brad Nortman,4,1
46.000,47,Thomas Morstead,2,2
42.300,57,Bryan Anger,4,1
37.500,50,Johnny Hekker,4,2
41.000,57,Jordan Berry,4,2
37.300,47,Sam Koch,4,1
43.000,57,Kevin Huber,3,1
41.500,46,Jon Ryan,4,2
38.400,72,PO Donnell,10,3
33.000,54,Shane Lechler,6,3
42.100,55,Jacob Schum,7,3
42.400,49,Brett Kern,5,2
50.000,54,Pat McAfee,5,1
41.300,60,Jeff Locke,4,2
37.500,68,Mike Scifres,6,2
39.400,49,Tim Masthay,5,2
45.200,61,Dustin Colquitt,6,2
37.500,51,Jordan Berry,6,2
38.300,57,Sam Koch,4,0
35.700,51,Spencer Lanning,3,1
45.000,54,Marquette King,5,2
47.700,67,Kevin Huber,3,2
55.000,62,Dustin Colquitt,1,0
49.300,62,Colton Schmidt,7,2
41.900,55,Brad Wing,8,4
44.700,50,Britton Colquitt,3,1
43.000,54,Jeff Locke,5,3
38.500,41,Jacob Schum,2,0
29.800,56,Brad Nortman,4,2
44.000,44,Drew Butler,1,0
45.100,57,Johnny Hekker,7,2
29.000,47,Mike Scifres,5,2
46.800,57,Andy Lee,4,3
45.000,57,Pat McAfee,6,2
36.400,47,Bryan Anger,8,5
41.400,59,Matt Darr,7,2
29.000,51,Ryan Quigley,5,1
41.000,55,Matt Bosher,6,1
41.300,60,Shane Lechler,4,1
38.800,59,Bradley Pinion,6,1
37.200,51,Tim Masthay,6,1
31.200,63,Tress Way,5,0
38.200,46,Donnie Jones,6,2
41.000,47,Thomas Morstead,3,2
43.000,43,Zach Hocker,1,1
35.000,53,Chris Jones,5,3
40.800,70,Jon Ryan,4,3
38.100,62,Sam Martin,8,3
35.700,55,Shane Lechler,3,0
45.300,53,Pat McAfee,3,2
44.200,51,Kevin Huber,6,3
36.800,62,Jon Ryan,8,0
31.000,49,Jacob Schum,3,1
34.000,63,Bryan Anger,4,1
41.600,55,Dustin Colquitt,7,4
43.600,49,PO Donnell,5,0
41.000,59,Chris Jones,6,1
42.300,60,Ryan Allen,4,3
49.000,50,Donnie Jones,1,0
36.200,57,Brandon Fields,6,3
41.000,51,Matt Bosher,1,0
46.800,57,Tress Way,4,2
37.000,55,Brad Wing,2,1
35.700,50,Bradley Pinion,3,0
39.000,54,Sam Martin,4,3
37.500,49,Drew Butler,6,3
36.800,53,Tim Masthay,4,0
38.000,51,Johnny Hekker,4,1
50.800,61,Marquette King,4,3
33.200,44,Britton Colquitt,5,1
