longest punt return, name, punt return yards, punt returns
5,Charlie Todd,9,2
10,Kyle Wilson,19,2
9,Walter Thurmond III,9,1
5,Willie Geter,4,2
5,Cornelius Williams,5,2
0,Ray Fisher,-1,2
8,Josh Lenz,18,3
33,Eugene Jarvis,77,5
31,Rashard Smith,31,1
11,TJ Graham,11,1
12,Devin Taylor,12,1
6,Akeem Auguste,7,2
8,Matt Brown,8,1
4,Delano Green,5,2
38,Luke Matthews,39,2
0,Matt Martinez,4,1
16,Ryan Henry,50,5
16,Casey Robottom,16,1
66,Damaris Johnson,85,3
34,Wright Jr,46,2
32,Daylan Walker,61,3
29,Brandon Thompkins,29,1
0,Greg Smith,13,1
0,Joe Adams,0,1
0,Jerell Norton,-2,1
11,Antonio Brown,11,1
0,Anthony Gulley,-1,1
0,Mario Fannin,-5,1
0,Mike Nixon,21,1
6,Kyle Williams,11,2
10,Terell Carr,10,1
56,Rich Gunnell,129,4
18,Kenny Tate,28,3
39,Rocky Ross,91,6
8,AJ Guyton,8,1
61,Jacoby Ford,72,3
50,CJ Spiller,63,2
13,Johnny Williams,13,1
30,Travis Simmons,30,1
11,Marvon Sanders,27,3
5,DeAnthony White,5,1
6,Josh Jones,6,1
3,Damion Hunter,3,1
16,Frankie Hammond Jr,16,1
6,Brandon James,13,4
28,Devon Wylie,57,3
0,Chastin West,3,1
68,Jerrard Tarrant,87,3
4,Jarred Fayson,4,1
0,Jack Ramsey,1,1
3,Brandon Gerau,3,1
0,Carl Gettis,0,1
2,Paul Chaney,2,1
0,Amari Spievey,-1,1
14,Daymond Patterson,12,2
17,Brandon Banks,29,3
17,Tysyn Hartman,24,2
14,Louis Lee,24,2
31,Trent Guy,34,2
6,Andrew Robinson,6,1
26,Keshawn Martin,49,4
9,Roderick Jenrette,9,1
16,Dustin Woods,27,2
18,Randall Cobb,28,3
10,Gene McCaskill,10,1
16,Greg Mathews,16,2
4,Brandon West,6,2
16,Troy Evans,16,2
77,DaNorris Searcy,105,3
21,Kendric Burney,34,3
2,Carter Brown,2,1
3,Taviuos Polo,10,3
12,Marcus Anderson,19,2
0,Todd Lee,-3,1
10,Shiloh Keo,10,1
16,Brendan Smith,24,3
1,Hunter Bates,1,1
24,John Goodman,24,1
0,Golden Tate,-2,1
16,Dane Sanzenbacher,17,2
2,Chris Garrett,2,1
0,Gary Fortune,-2,1
10,Jasper Howard,14,4
3,Ryan Broyles,6,2
2,McKay Jacobson,2,1
17,Desmond Bryant,29,2
16,Perrish Cox,16,1
4,Prince Miller,4,2
0,Carlton Thomas,-1,1
3,Taylor Kavanaugh,3,2
8,Aaron Smith,22,4
2,Evan Royster,2,1
30,Aaron Valentin,30,1
43,Theo Wilson,46,2
44,Tracey Lampley,44,1
21,Freddie Parham,21,2
11,Andre Watson,11,2
7,Donte Davis,14,4
27,Marcus Sherels,27,1
19,NuKeese Richardson,30,3
5,Dennis Rogan,5,1
7,Earl Thomas,4,2
8,Darrell McNeal,8,1
12,Dustin Harris,21,3
0,Ian Clark,0,1
18,Austin Zouzalik,33,3
17,Jamar Wall,17,1
0,Jim Mitchell,-2,2
14,Terrance Austin,25,3
3,Aaron Moore,3,1
15,Mike Grant,20,2
6,Micheal Johnson,6,1
18,Joe McKnight,18,1
10,Damian Williams,10,2
2,Kevin Jurovich,3,2
12,Jeff Moturi,11,2
12,Brett Hamlin,12,1
12,Alex Washington,10,3
0,Zac Stacy,-1,1
10,Vic Hall,14,3
1,Javaris Brown,1,1
11,Jayron Hosley,11,1
0,Ryan Williams,0,1
15,Javier Arenas,35,3
7,Devin Brown,7,1
12,Krys Buerck,12,1
23,Johri Fogerson,23,1
9,Trindon Holliday,9,1
59,Richard Sherman,68,2
0,Doug Baldwin,-1,1
6,David Gilreath,10,2
10,Brandon Hogan,10,1
1,Jock Sanders,1,1
14,David Leonard,14,1
9,Jason Espinoza,10,4
18,Gerard Thomas,39,4
16,DA Griffin,19,2
14,Marshay Green,36,3
6,Travis Benjamin,7,2
0,Graig Cooper,0,1
