longest rush, name, rushes, rushing touchdowns, rushing yards
0,Q Porter,9,0,61
0,T Caulley,8,0,38
0,J Williams,4,0,19
0,J Robertson,14,1,124
0,B Crawford,4,0,20
0,K Joseph,1,0,1
0,H Burris,8,1,35
0,J Reynolds,6,0,19
0,A Cobourne,19,1,107
0,A Calvillo,5,0,29
0,L Taylor,2,0,26
0,A McPherson,4,0,14
6,C McCarty,12,0,27
3,J Lumsden,2,0,5
1,R Ray,1,1,1
29,F Reid,13,1,92
23,B Ralph,2,0,34
10,S LeFors,4,0,19
7,R Bryant,2,0,11
5,L Giles,6,0,5
1,B Randall,1,0,1
15,D Durant,6,1,35
9,H Charles,14,1,34
5,S Foord,1,0,5
2,W Dressler,2,0,1
21,M Mallett,6,0,63
13,I Smart,4,0,30
6,B Pierce,5,1,21
0,A Cobourne,10,1,65
0,A McPherson,2,0,21
0,L Taylor,2,0,12
0,A Calvillo,3,1,12
0,D Diedrick,2,0,8
0,R Ray,5,0,33
0,A Whitlock,12,0,29
0,F Reid,13,0,81
0,L Giles,6,2,45
0,S LeFors,4,0,17
0,J Oosterhuis,1,0,0
0,J Reynolds,10,1,58
0,D Watson,6,0,25
0,H Burris,4,1,6
0,B Nealy,1,0,0
0,M Mallett,16,0,82
0,B Pierce,2,0,20
0,R Grice Mullen,1,0,6
0,J Jackson,3,1,3
0,D Cobb,14,0,100
0,Q Porter,6,1,55
0,J Robertson,10,1,80
0,K Joseph,5,0,37
0,H Charles,15,1,78
0,S Foord,4,0,17
0,W Dressler,1,0,8
0,R Bagg,1,0,6
0,D Durant,1,0,4
0,S Jyles,4,0,4
0,A Whitlock,6,0,39
0,C McCarty,5,1,32
0,R Ray,3,0,9
0,M Mallett,15,1,26
0,J Jackson,3,0,20
0,B Pierce,1,0,14
0,T Ebell,1,0,6
16,H Burris,8,0,50
6,J Reynolds,8,1,20
0,K Rambo,1,0,0
14,J Robertson,5,0,26
9,K Joseph,3,0,10
13,W Cates,9,1,34
10,D Durant,4,0,19
22,A Cobourne,25,2,145
3,K Carter,1,0,3
11,D Cobb,11,0,42
22,K Glenn,3,0,27
5,Q Porter,2,0,9
2,A Tafralis,4,0,4
50,F Reid,16,0,88
9,S LeFors,6,0,26
9,B Randall,2,0,9
7,B Ralph,1,0,7
3,L Giles,2,0,4
3,R Bryant,1,0,3
0,A Cobourne,15,0,55
0,A McPherson,4,0,8
0,A Calvillo,1,0,5
0,Q Porter,7,0,37
0,D Cobb,7,0,16
0,K Glenn,1,0,3
0,A Tafralis,2,0,2
0,F Reid,12,0,32
