name, rushes, rushing touchdowns, rushing yards
Dimitri Nance,10,1,61
Shaun DeWitty,6,0,34
Keegan Herring,7,1,34
Ryan Torain,5,0,13
Rudy Carpenter,6,0,12
Larry Bostic,15,0,64
Dante Love,3,1,57
MiQuale Lewis,7,0,33
BJ Hill,3,0,12
Nate Davis,1,0,7
Joey Lynch,6,0,-13
Tyler Jones,22,1,164
Andy Schmitt,6,0,34
Pierre Walker,8,0,21
Dwayne Harrison,2,0,7
Ian Johnson,13,2,89
Jon Helmandollar,9,1,36
Brett Denton,6,0,31
Jared Zabransky,8,1,31
Vinny Perretta,4,0,25
Taylor Tharp,1,0,4
Brad Lau,1,0,-1
James Starks,14,1,86
Jared Patterson,11,0,60
Drew Willy,13,0,12
Steven King,2,0,10
Tim Brown,20,0,82
Mike Holley,1,0,7
Jason Harper,2,0,-2
Vaughn Charlton,2,0,-3
Adam DiMichele,2,0,-4
Dan LeFevour,14,2,72
Ontario Sneed,7,0,47
Duane Brooks,1,0,9
Tony Mikulec,1,0,5
Brian Brunner,1,0,4
Damien Linson,1,0,2
Bryan Anderson,1,0,-5
Jemmy Jasmin,1,0,-11
LV Whitworth,13,0,52
Andre Callender,12,0,35
Brian Toal,3,1,5
Matt Ryan,3,0,-24
Donald Brown II,9,2,118
Terry Caulley,12,1,95
Lou Allen,15,1,83
Larry Taylor,2,0,62
DJ Hernandez,6,1,33
Anthony Barksdale,3,0,15
Deon Anderson,3,0,7
Brad Kanuch,1,0,6
Stevie Hicks,23,1,89
Bret Meyer,18,3,70
Jalen Parmele,18,1,70
Richard Davis,3,1,6
Chris Hopkins,0,0,0
Andrew Hawkins,1,0,-6
Clint Cochran,5,1,-25
Eugene Jarvis,15,0,109
Julian Edelman,14,0,31
Tony Howard,5,0,13
Mark Woodson,1,0,8
Andy Jayjack,1,0,-1
Alex Daniels,24,3,155
Amir Pinnix,15,1,114
Bryan Cupito,2,0,16
Tony Mortensen,2,0,10
Terrence Sherrer,5,0,10
Justin Valentine,4,1,9
EJ Jones,3,0,8
Calvin Dawson,17,0,78
Kinsmon Lancaster,18,1,62
Adam Hogan,8,0,36
Joseph Merritt,1,0,6
Mike Kokal,14,0,32
Jimmy Murray,7,0,16
Austin Sykes,4,0,16
Sean McVay,2,0,4
Andre Bratton,2,0,4
Mike Kafka,17,0,89
Tyrell Sutton,13,0,63
Terrell Jordan,8,1,44
Anthony Dixon,14,0,64
Brandon Thornton,9,0,25
Bryson Davis,1,0,4
Mike Henig,3,0,-3
Tray Rutland,6,0,-11
Cory Boyd,12,0,93
Ryan Succop,1,0,16
Mike Davis,7,0,6
Syvelle Newton,2,0,-1
Chris Smelley,2,0,-14
Blake Mitchell,3,0,-17
Eugene Gross,18,1,76
DeMarco McNair,9,0,51
Joe Craddock,3,0,-3
Clint Marks,5,0,-32
Julian Reams,13,0,80
Amod Ned,8,0,20
John Ellis,1,0,5
Josh Padrick,3,0,-8
Justine Buries,22,1,107
Chris Nwoko,5,0,23
Jeremiah Williams,7,0,20
Chase Holbrook,9,1,-7
Yvenson Bernard,19,2,124
Clinton Polk,9,1,36
Tony Carrasco,4,0,20
Ruben Jackson,1,0,18
Patrick Fuller,4,0,9
Sammie Stroughter,1,0,2
Darren Mougey,13,2,41
Lynell Hamilton,20,1,40
Kevin OConnell,1,0,4
Brett Swain,1,0,2
Atiyyah Henderson,1,0,0
Brandon Bornes,1,0,-3
Marcus Thomas,17,1,24
Johnnie Lee Higgins,1,0,8
Lorne Sam,1,0,7
Jordan Palmer,1,0,-1
Brandon Diles,14,0,61
Courtney Tennial,8,1,42
Tarrion Adams,10,1,41
