average punt return, average punt return yards, longest punt return, name, punt return touchdowns, punt returns
5.000,,5,Tiki Barber,0,1
6.000,,10,Charlie Rogers,0,2
10.000,,10,Santana Moss,0,1
8.000,,13,Steve Smith,0,4
4.000,,6,Chris McAlister,0,3
18.000,,23,Leon Johnson,0,2
8.000,,14,Nick Davis,0,2
0.000,,0,Danny Farmer,0,0
11.000,,15,Tamarick Vanover,0,3
23.000,,23,Dennis Northcutt,0,1
4.000,,4,DO Neal,0,1
4.000,,10,Terrence Wilkins,0,3
0.000,,0,Darrien Gordon,0,0
36.000,,36,Allen Rossum,0,1
0.000,,0,Ike Charlton,0,1
0.000,,0,Damon Gibson,0,1
7.000,,15,Troy Walters,0,2
11.000,,13,Albert Johnson,0,3
7.000,,10,Larry Foster,0,2
0.000,,0,Chris Cash,0,1
13.000,,13,Desmond Howard,0,1
22.000,,22,Phillip Buchanon,0,1
4.000,,4,Bobby Engram,0,1
5.000,,17,Karl Williams,0,5
16.000,,18,Michael L Lewis,0,3
0.000,,0,John Simon,0,1
0.000,,0,Derrick Mason,0,0
8.000,,9,Brian Mitchell,0,2
5.000,,8,Jermaine Lewis,0,4
0.000,,4,Ken Yon Rambo,0,4
2.000,,9,Joey Galloway,0,3
8.000,,15,Jacquez Green,0,3
8.000,,11,Arnold Jackson,0,3
10.000,,10,Troy Brown,0,1
4.000,,9,Antwaan Randle El,0,2
3.000,,5,Kahlil Hill,0,4
5.000,,11,Leon Johnson,0,2
10.000,,19,Jonathan Ogden,0,2
10.000,,10,Chris McAlister,0,1
31.000,,56,Karl Williams,1,2
1.000,,9,Steve Smith,0,9
6.000,,11,Desmond Howard,0,3
10.000,,17,Dennis Northcutt,0,2
2.000,,2,TJ Houshmandzadeh,0,1
9.000,,21,Joey Galloway,0,2
5.000,,11,Derrick Mason,0,3
9.000,,11,Troy Walters,0,3
6.000,,6,Dedric Ward,0,1
0.000,,0,Albert Johnson,0,0
10.000,,12,Dante Hall,0,2
6.000,,11,Bobby Shaw,0,2
37.000,,61,D Wayne Bates,0,2
16.000,,16,Charlie Rogers,0,1
11.000,,17,Michael L Lewis,0,4
0.000,,0,Darrien Gordon,0,2
18.000,,18,Santana Moss,0,1
9.000,,12,Troy Brown,0,3
16.000,,16,Kevin Faulk,0,1
8.000,,14,Antwaan Randle El,0,2
5.000,,11,Phillip Buchanon,0,3
0.000,,3,Tamarick Vanover,0,5
-2.000,,-2,Reche Caldwell,0,1
15.000,,48,Jermaine Lewis,0,5
5.000,,9,Bobby Engram,0,2
-1.000,,1,Arnold Jackson,0,2
2.000,,3,Jimmy Williams,0,2
3.000,,7,DO Neal,0,4
13.000,,20,Terrence Wilkins,0,2
0.000,,0,Dhani Jones,0,0
90.000,,90,Jacquez Green,1,1
23.000,,49,Brian Mitchell,0,3
6.000,,6,Arnold Jackson,0,1
10.000,,10,Kwamie Lassiter,0,1
11.000,,16,Tamarick Vanover,0,2
12.000,,19,Damon Gibson,0,2
6.000,,6,TJ Houshmandzadeh,0,1
2.000,,5,Leon Johnson,0,3
9.000,,9,Michael L Lewis,0,1
5.000,,13,DO Neal,0,3
0.000,,0,Charlie Rogers,0,1
0.000,,0,Eddie Drummond,0,2
0.000,,72,Az Zahir Hakim,1,0
3.000,,9,Darrien Gordon,0,5
8.000,,13,Albert Johnson,0,3
0.000,,0,Santana Moss,0,1
8.000,,10,Nick Davis,0,3
0.000,,2,Steve Smith,0,2
9.000,,13,Troy Brown,0,2
6.000,,9,Dante Hall,0,2
0.000,,7,Dhani Jones,0,3
15.000,,28,Bobby Engram,0,3
10.000,,16,Brian Mitchell,0,4
2.000,,2,Reggie Swinton,0,1
11.000,,25,Jimmy Williams,0,4
6.000,,15,Jacquez Green,0,5
0.000,,19,Champ Bailey,0,0
30.000,,30,John Simon,0,1
26.000,,74,Dennis Northcutt,1,4
12.000,,12,Avion Black,0,1
4.000,,4,Jermaine Lewis,0,1
16.000,,34,Troy Walters,0,4
0.000,,0,Karl Williams,0,1
7.000,,7,Terrence Wilkins,0,1
3.000,,5,Arnold Jackson,0,3
9.000,,17,Dhani Jones,0,3
1.000,,2,Charlie Rogers,0,3
6.000,,6,Nate Clements,0,1
17.000,,19,Leon Johnson,0,2
7.000,,10,Peter Warrick,0,2
12.000,,36,Karl Williams,0,5
9.000,,21,Az Zahir Hakim,0,3
4.000,,4,Larry Foster,0,1
6.000,,15,Michael L Lewis,0,3
6.000,,27,Darrien Gordon,0,7
6.000,,11,Steve Smith,0,5
2.000,,5,Bobby Shaw,0,2
17.000,,21,Chad Morton,0,3
0.000,,0,Dante Hall,0,2
4.000,,8,Albert Johnson,0,2
4.000,,12,Brian Mitchell,0,5
7.000,,12,Avion Black,0,2
3.000,,7,Antwaan Randle El,0,4
1.000,,2,Dennis Northcutt,0,2
0.000,,19,Lewis Sanders,0,0
39.000,,83,Phillip Buchanon,1,2
0.000,,79,Terry Kirby,1,0
14.000,,14,John Simon,0,1
0.000,,0,Tamarick Vanover,0,0
6.000,,6,Kevin Faulk,0,1
10.000,,10,Bobby Engram,0,1
9.000,,11,D Wayne Bates,0,2
0.000,,1,Terrence Wilkins,0,3
20.000,,21,Reggie Swinton,0,2
7.000,,15,Chris McAlister,0,3
6.000,,16,Tyrone Poole,0,4
24.000,,24,DO Neal,0,1
13.000,,23,Allen Rossum,0,3
0.000,,0,Karl Williams,0,0
10.000,,12,Charlie Rogers,0,2
0.000,,0,Phillip Buchanon,0,3
7.000,,17,Steve Smith,0,5
0.000,,0,Arnold Jackson,0,2
8.000,,12,Dennis Northcutt,0,3
16.000,,28,Chris McAlister,0,3
8.000,,16,Reggie Swinton,0,2
11.000,,20,Delvin Joyce,0,2
14.000,,14,DO Neal,0,1
2.000,,4,Tamarick Vanover,0,2
16.000,,18,Troy Walters,0,2
0.000,,0,Peter Warrick,0,2
3.000,,3,TJ Houshmandzadeh,0,1
36.000,,69,Bobby Shaw,1,2
13.000,,31,Brian Mitchell,0,3
13.000,,26,Dedric Ward,0,3
0.000,,0,Kevin Faulk,0,0
12.000,,17,Michael L Lewis,0,4
11.000,,29,Antwaan Randle El,0,3
0.000,,0,Chad Morton,0,0
9.000,,15,Dante Hall,0,2
20.000,,20,Jimmy Williams,0,1
2.000,,3,Terrence Wilkins,0,2
9.000,,17,John Simon,0,3
1.000,,5,Jacquez Green,0,3
11.000,,30,Leon Johnson,0,3
4.000,,10,Darrien Gordon,0,4
0.000,,0,Tony Carter,0,1
-1.000,,-1,TJ Houshmandzadeh,0,1
-2.000,,-2,Antwaan Randle El,0,1
4.000,,14,Reggie Swinton,0,5
10.000,,15,Steve Smith,0,5
14.000,,15,DO Neal,0,2
23.000,,34,Dedric Ward,0,2
-2.000,,-2,Troy Walters,0,1
5.000,,14,Chris McAlister,0,4
7.000,,11,Nick Davis,0,4
4.000,,14,Desmond Howard,0,3
9.000,,16,Kevin Faulk,0,4
0.000,,0,Darrien Gordon,0,1
-2.000,,-2,Delvin Joyce,0,1
0.000,,0,Brian Finneran,0,1
0.000,,0,Allen Rossum,0,0
4.000,,14,Tamarick Vanover,0,3
0.000,,0,Dante Hall,0,0
29.000,,55,Terrence Wilkins,0,2
11.000,,31,Phillip Buchanon,0,5
20.000,,43,Karl Williams,0,6
30.000,,30,Dennis Northcutt,0,1
4.000,,7,John Simon,0,2
0.000,,0,Bobby Shaw,0,0
6.000,,11,Jermaine Lewis,0,2
4.000,,8,Charlie Rogers,0,2
