name, receiving touchdowns, receiving yards, receptions
P Williams,2,188,9
O Johnson,2,157,6
W Jackson,0,72,5
I Matthews,1,58,6
C Butler,0,26,5
G Hammer,0,19,2
B Fulton,0,17,1
C Byrd,1,181,11
J Ursua,2,123,7
F Holly,0,38,2
M Armstrong Brown,0,34,2
D Furuta,0,22,2
J Sharsh,0,12,1
J Ward,0,8,1
D Dan,1,60,2
J Huntley,0,25,5
J Boone,0,21,3
A Muse,0,20,2
O Clark,0,12,5
S Holebrook Jr,0,6,1
A Fort,0,51,2
T Mayfield,0,39,4
A Conway,0,16,2
N Evans,0,10,1
R Ismail Jr,0,10,2
J Okwoli,0,7,1
J Harshman,0,4,1
A Trammell,0,37,5
J Bull,0,18,2
A Cephus,0,10,1
A Walter,0,8,1
B Harmon,0,8,1
J Myers,0,4,1
R Cardwell,0,2,1
T Wallace,1,147,5
J Rector,0,38,3
Z Holcombe,1,20,1
J Medrano,1,16,2
K Riles,0,14,3
D Tucker,0,9,2
Y Tyler,2,83,2
R Miller,0,65,4
M Dunner,0,49,4
J Hall,0,38,5
N Givan,1,36,3
C Lacanaria,0,32,2
D Reece,0,12,1
A Davis,0,8,1
K Williams,0,6,2
J Gilbert,0,5,2
C Huntley,0,2,1
H Littles,0,0,1
J Garcia,0,27,4
T James,0,22,2
C Rush,0,19,2
E Walker,0,17,2
D Jean Guillaume,0,17,2
J Fields,0,10,1
A Dawson,0,5,1
K Buss,0,113,7
A McLean,0,42,5
Z Scott,0,40,5
H Mayala,0,31,3
T Davis,1,18,2
K Dixon,0,11,1
T Beals,0,9,1
K Mensah,0,5,1
H Maurisseau,0,-3,2
T Nixon,2,101,5
D Snelson,0,90,6
A Killins Jr,0,44,2
G Davis,1,40,6
G McCrae,1,36,1
M Colubiale,0,17,1
T Payton,0,13,2
M Williams,0,10,2
O Anderson,1,5,1
T Johnson,2,100,5
R Bateman,0,52,5
C Autman Bell,0,43,4
R Smith,0,21,1
C Geary,0,7,1
D Douglas,0,4,1
J Boone,0,67,8
D Dan,0,61,6
I Lottie,1,54,5
O Clark,0,19,3
A Muse,0,17,3
J Huntley,0,11,3
R Caldwell,0,4,1
R Moore,1,109,11
J Sparks,0,76,6
T Wright,0,22,3
I Zico,0,17,2
T Fuller,0,14,2
J Anthrop,0,12,2
J Burgess,0,9,1
B Hopkins,0,7,1
M Jones,0,5,1
D Knox,0,-1,1
F Nagel,0,58,5
C Green,0,50,5
