field goals, field goals attempted, kicking extra points, kicking extra points attempted, longest field goal, name
0,0,7,7,0,Matt Prater
2,2,3,3,30,Justin Tucker
0,0,3,3,0,Dan Carpenter
3,3,2,2,48,Stephen Gostkowski
1,1,3,3,58,Robbie Gould
0,0,3,3,0,Mike Nugent
1,1,1,1,39,Billy Cundiff
3,3,2,2,49,Caleb Sturgis
3,3,2,2,48,Garrett Hartley
1,1,2,2,23,Matt Bryant
3,3,1,1,48,Nick Folk
1,1,2,2,37,Rian Lindell
0,0,1,1,0,Shaun Suisham
3,3,1,1,44,Rob Bironas
2,2,4,4,42,David Akers
1,1,3,3,52,Blair Walsh
0,0,3,3,0,Adam Vinatieri
1,2,2,2,38,Sebastian Janikowski
0,0,1,1,0,Graham Gano
2,2,0,0,40,Steven Hauschka
0,0,4,4,0,Ryan Succop
4,4,1,1,48,Greg Zuerlein
1,2,3,3,30,Jay Feely
2,3,4,4,33,Phil Dawson
0,0,4,4,0,Mason Crosby
3,3,3,3,45,Dan Bailey
1,1,4,4,20,Josh Brown
0,1,3,3,0,Kai Forbath
1,1,4,4,48,Alex Henery
0,0,4,4,0,Nick Novak
1,2,4,4,41,Randy Bullock
2,3,1,1,30,Stephen Gostkowski
1,1,1,1,37,Nick Folk
1,1,4,4,38,Matt Bryant
1,1,3,3,29,Greg Zuerlein
3,4,1,1,55,Dan Carpenter
3,3,2,2,39,Graham Gano
1,1,4,4,20,Robbie Gould
3,3,3,3,28,Blair Walsh
1,1,5,5,28,Mason Crosby
0,1,2,2,0,John Potter
2,3,2,2,38,Adam Vinatieri
1,1,3,3,54,Caleb Sturgis
1,2,2,2,40,Ryan Succop
3,3,1,1,53,Dan Bailey
0,2,2,2,0,Justin Tucker
2,2,0,0,51,Billy Cundiff
0,3,2,2,0,Randy Bullock
1,2,3,3,47,Rob Bironas
3,4,3,3,48,Alex Henery
4,4,3,3,49,Nick Novak
4,4,1,1,47,Jay Feely
0,2,3,3,0,David Akers
0,1,2,2,0,Rian Lindell
3,4,1,1,44,Garrett Hartley
4,5,1,1,46,Sebastian Janikowski
1,1,0,0,27,Josh Scobee
3,3,2,2,41,Josh Brown
2,2,5,5,47,Matt Prater
2,2,3,3,37,Steven Hauschka
1,1,0,0,21,Phil Dawson
2,2,2,2,41,Mike Nugent
1,1,1,1,44,Shaun Suisham
1,2,1,1,29,Alex Henery
4,5,2,2,38,Ryan Succop
0,1,4,5,0,Mike Nugent
3,3,3,3,41,Mason Crosby
1,2,4,4,19,Dan Bailey
0,0,1,1,0,Greg Zuerlein
2,3,2,2,37,Rob Bironas
1,2,2,2,44,Nick Novak
2,2,3,3,43,Blair Walsh
1,1,3,3,38,Billy Cundiff
0,0,1,1,0,Spencer Lanning
3,3,2,2,53,Stephen Gostkowski
1,2,0,0,30,Rian Lindell
1,1,4,4,31,Garrett Hartley
0,0,1,1,0,Jay Feely
2,2,2,2,43,John Potter
2,2,3,3,32,David Akers
1,1,5,5,53,Graham Gano
0,1,0,0,0,Josh Brown
3,3,3,3,45,Justin Tucker
3,3,0,0,47,Randy Bullock
2,2,3,3,50,Caleb Sturgis
3,4,2,2,52,Matt Bryant
2,2,3,3,47,Nick Folk
4,4,0,0,43,Dan Carpenter
0,0,1,1,0,Phil Dawson
2,3,3,3,43,Adam Vinatieri
1,1,6,6,21,Steven Hauschka
1,1,2,2,33,Josh Scobee
3,3,2,2,44,Shaun Suisham
2,2,4,5,47,Robbie Gould
3,3,4,4,53,Matt Prater
0,0,3,3,0,Sebastian Janikowski
1,1,0,0,40,Greg Zuerlein
0,2,5,5,0,Phil Dawson
3,3,2,2,27,Dan Carpenter
2,2,2,2,35,Justin Tucker
1,3,2,2,51,Billy Cundiff
2,2,0,0,43,Mike Nugent
4,4,4,4,43,David Akers
3,3,1,1,34,Robbie Gould
1,1,4,4,51,Ryan Succop
0,1,1,1,0,Josh Brown
2,3,4,4,54,Blair Walsh
2,2,3,3,28,Shaun Suisham
1,1,1,1,50,Rian Lindell
2,2,1,1,42,Jay Feely
1,1,0,0,53,Josh Scobee
3,3,4,4,46,Adam Vinatieri
2,2,2,2,42,Randy Bullock
3,3,2,2,48,Steven Hauschka
1,1,5,5,26,Rob Bironas
2,2,1,1,47,Nick Folk
1,1,7,7,53,Matt Prater
2,3,2,2,35,Alex Henery
3,3,3,3,42,Nick Novak
0,1,3,3,0,Dan Bailey
0,1,2,2,0,Sebastian Janikowski
1,1,3,3,25,John Potter
3,3,2,2,45,Matt Bryant
3,3,3,3,49,Stephen Gostkowski
1,2,5,5,29,Garrett Hartley
1,1,2,2,34,Caleb Sturgis
3,3,4,4,44,Billy Cundiff
1,1,3,3,52,Dan Carpenter
1,1,1,1,27,Robbie Gould
4,4,2,2,48,Garrett Hartley
2,2,1,1,50,Mike Nugent
2,2,0,0,42,Stephen Gostkowski
2,2,4,4,37,Greg Zuerlein
2,2,2,2,48,Josh Scobee
3,4,2,2,48,Caleb Sturgis
4,4,2,2,50,Justin Tucker
0,0,3,3,0,Josh Brown
5,5,3,3,41,Alex Henery
5,5,1,1,52,Mason Crosby
1,1,0,0,53,David Akers
1,2,2,2,22,Rob Bironas
4,4,2,2,48,Ryan Succop
2,2,2,2,49,Adam Vinatieri
4,5,2,2,46,Steven Hauschka
2,2,2,2,50,Jay Feely
2,2,0,0,51,Graham Gano
2,2,4,4,48,Dan Bailey
3,3,6,6,50,Matt Prater
2,2,3,3,50,Sebastian Janikowski
1,2,2,2,35,Nick Novak
2,2,4,4,38,Phil Dawson
1,2,0,0,41,Randy Bullock
0,0,4,4,0,Matt Bryant
3,3,3,3,43,Nick Folk
2,2,3,3,52,Robbie Gould
0,0,3,3,0,Josh Brown
1,1,3,3,51,Dan Carpenter
2,3,3,3,46,Mike Nugent
