assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, position, rebounds, steals, three pointers attempted, three pointers made, turnovers
0,0,2,7,3,5,0,0,22.867,Wesley Johnson,0,-2,7,F,2,0,3,1,0
2,0,4,13,7,1,3,3,27.583,Carlos Boozer,3,-7,17,F,7,1,0,0,0
1,1,6,7,2,3,4,3,23.383,Jordan Hill,4,-6,7,C,10,0,0,0,2
2,0,3,17,6,5,8,7,29.000,Kobe Bryant,0,-11,19,G,3,1,1,0,1
6,0,1,5,1,3,6,5,29.133,Jeremy Lin,1,-17,7,G,2,0,1,0,4
3,0,1,7,1,3,4,4,26.933,Ronnie Price,0,-11,7,,1,2,3,1,2
2,0,4,4,1,3,6,5,20.367,Jordan Clarkson,0,-4,8,,4,0,2,1,1
0,2,4,7,5,6,2,1,21.583,Ed Davis,2,-16,11,,6,1,0,0,0
0,0,0,4,0,1,4,3,18.467,Xavier Henry,1,-6,3,,1,1,0,0,0
0,0,0,3,1,1,2,0,13.567,Julius Randle,0,-18,2,,0,0,0,0,1
0,0,0,5,1,1,0,0,7.117,Robert Sacre,0,8,2,,0,1,0,0,0
,,,,,,,,0,Wayne Ellington,,,,,,,,,
,,,,,,,,0,Ryan Kelly,,,,,,,,,
2,0,2,10,5,3,1,1,29.567,Trevor Ariza,1,10,16,F,3,2,8,5,2
3,2,7,16,8,4,1,0,30.517,Terrence Jones,6,14,16,F,13,2,1,0,2
1,1,8,5,3,5,16,7,20.567,Dwight Howard,3,20,13,C,11,0,0,0,1
6,0,1,17,7,1,16,15,30.767,James Harden,0,12,32,G,1,1,6,3,0
5,0,4,6,2,3,6,3,30.917,Patrick Beverley,1,17,9,G,5,0,3,2,2
0,0,2,2,1,4,0,0,24.217,Tarik Black,0,4,2,,2,0,0,0,0
1,0,0,5,3,0,0,0,21.383,Jason Terry,0,27,8,,0,0,3,2,1
0,0,3,0,0,3,6,4,16.367,Donatas Motiejunas,2,-10,4,,5,0,0,0,2
4,0,5,6,2,5,0,0,19.867,Kostas Papanikolaou,1,11,4,,6,2,2,0,2
0,0,0,5,0,2,2,2,8.717,Troy Daniels,0,-7,2,,0,0,5,0,0
0,0,1,1,0,0,2,2,7.117,Isaiah Canaan,0,-8,2,,1,0,1,0,1
,,,,,,,,0,Joey Dorsey,,,,,,,,,
,,,,,,,,0,Francisco Garcia,,,,,,,,,
6,0,7,15,5,0,5,2,34.667,Tyreke Evans,2,10,12,F,9,0,1,0,0
2,9,8,22,10,1,9,6,36.333,Anthony Davis,9,19,26,F,17,3,0,0,0
2,5,10,10,7,4,3,0,33.500,Omer Asik,7,11,14,C,17,0,0,0,3
0,2,4,8,3,1,3,1,31.517,Eric Gordon,0,17,8,G,4,2,2,1,3
4,1,2,11,4,2,0,0,27.033,Jrue Holiday,0,9,8,G,2,3,3,0,2
0,0,2,22,9,2,3,1,22.350,Ryan J Anderson,7,18,22,,9,0,6,3,0
1,0,1,0,0,3,0,0,9.533,John Salmons,1,10,0,,2,0,0,0,0
2,0,0,6,0,3,2,2,17.800,Jimmer Fredette,0,3,2,,0,1,3,0,0
3,0,1,5,2,1,6,3,19.817,Austin Rivers,0,6,7,,1,1,2,0,0
0,0,1,1,0,0,0,0,2.483,Jeff Withey,0,-6,0,,1,0,0,0,0
0,0,0,0,0,0,0,0,2.483,Luke Babbitt,0,-6,0,,0,0,0,0,0
0,0,0,1,1,0,0,0,2.483,Alexis Ajinca,0,-6,2,,0,0,0,0,1
,,,,,,,,0,Darius Miller,,,,,,,,,
0,0,6,18,9,2,6,6,36.533,Tobias Harris,2,-4,25,F,8,1,2,1,4
5,3,2,8,2,4,0,0,21.367,Kyle Oquinn,0,-15,4,F,2,1,1,0,1
1,4,18,15,7,2,2,1,35.050,Nikola Vucevic,5,-3,15,C,23,1,0,0,1
2,0,2,11,3,2,3,3,32.250,Evan Fournier,1,-13,11,G,3,0,4,2,4
7,0,2,8,2,5,0,0,30.767,Elfrid Payton,3,1,4,G,5,1,0,0,2
0,1,1,8,5,3,0,0,28.450,Aaron Gordon,2,-18,11,,3,1,2,1,3
1,0,4,8,1,3,4,3,23.017,Ben Gordon,0,-15,5,,4,0,2,0,0
1,0,2,3,0,2,2,2,17.233,Luke Ridnour,0,-18,2,,2,0,0,0,2
0,1,1,2,1,1,2,1,8.233,Dewayne Dedmon,2,-1,3,,3,0,0,0,1
0,0,1,1,0,0,0,0,4.117,Willie Green,1,-3,0,,2,0,0,0,0
0,0,1,2,2,1,2,0,2.983,Devyn Marble,0,4,4,,1,0,0,0,0
,,,,,,,,0,Maurice Harkless,,,,,,,,,
,,,,,,,,0,Andrew Nicholson,,,,,,,,,
3,0,2,8,5,1,2,2,30.750,Marco Belinelli,0,13,15,F,2,1,6,3,2
2,2,8,10,5,0,5,4,30.183,Tim Duncan,5,-2,14,F,13,1,0,0,5
0,0,2,2,0,3,0,0,14.533,Matt Bonner,0,6,0,C,2,0,1,0,0
1,0,2,9,5,4,0,0,34.033,Daniel Green,2,-4,13,G,4,1,6,3,3
3,0,2,15,9,2,2,1,34.833,Tony Parker,1,-6,23,G,3,0,4,4,1
6,0,2,13,6,4,7,6,27.683,Manu Ginobili,0,-6,20,,2,2,6,2,3
6,0,8,6,2,2,0,0,33.467,Boris Diaw,1,-5,5,,9,0,3,1,4
0,1,2,3,2,3,0,0,17.817,Aron Baynes,0,3,4,,2,0,0,0,2
2,0,1,4,3,1,0,0,16.700,Cory Joseph,0,6,7,,1,0,2,1,0
,,,,,,,,0,Kyle Anderson,,,,,,,,,
,,,,,,,,0,Jeff Ayres,,,,,,,,,
,,,,,,,,0,Austin Daye,,,,,,,,,
0,1,4,10,2,2,0,0,33.817,Chandler Parsons,0,0,5,F,4,2,4,1,1
2,0,4,11,7,4,4,4,31.667,Dirk Nowitzki,2,-2,18,F,6,1,1,0,1
0,0,7,8,4,5,0,0,27.750,Tyson Chandler,3,-8,8,C,10,2,0,0,1
6,0,3,21,11,0,4,3,37.217,Monta Ellis,1,4,26,G,4,1,2,1,3
3,1,0,7,3,1,0,0,30.467,Jameer Nelson,0,3,9,G,0,1,5,3,0
0,0,0,0,0,1,0,0,2.183,Greg Smith,0,1,0,,0,0,0,0,0
5,0,0,12,6,1,4,3,29.117,Devin Harris,0,-2,17,,0,2,5,2,1
0,1,4,2,2,2,2,2,18.067,Brandan Wright,1,6,6,,5,0,0,0,0
0,0,1,2,0,1,0,0,5.483,Al Farouq Aminu,1,0,0,,2,0,2,0,1
0,0,0,2,2,1,1,1,10.867,Jae Crowder,0,-8,5,,0,0,0,0,1
1,0,1,3,1,2,4,3,13.367,Richard Jefferson,1,1,6,,2,0,2,1,1
,,,,,,,,0,Gal Mekel,,,,,,,,,
,,,,,,,,0,Charlie Villanueva,,,,,,,,,
3,0,4,10,4,5,9,7,35.633,Jeff Green,2,15,17,F,6,2,3,2,0
2,2,4,9,5,2,3,2,28.283,Jared Sullinger,0,11,13,F,4,0,3,1,1
2,0,2,14,8,4,2,2,28.533,Kelly Olynyk,4,5,19,C,6,1,2,1,1
0,0,0,13,7,5,0,0,30.217,Avery Bradley,0,-4,15,G,0,0,3,1,1
12,1,7,9,6,1,4,0,29.750,Rajon Rondo,0,13,13,G,7,1,3,1,3
2,0,1,7,3,2,3,3,27.817,Marcus Smart,1,20,10,,2,4,4,1,0
5,1,6,9,5,3,1,0,23.617,Evan Turner,1,14,10,,7,1,1,0,3
0,1,0,6,4,2,1,1,14.300,Marcus Thornton,0,-1,10,,0,0,2,1,0
1,0,1,7,4,0,0,0,15.817,Brandon Bass,1,3,8,,2,2,1,0,3
1,0,1,4,3,1,0,0,6.033,Tyler Zeller,0,4,6,,1,0,0,0,0
,,,,,,,,0,Phil Pressey,,,,,,,,,
,,,,,,,,0,Gerald Wallace,,,,,,,,,
,,,,,,,,0,James Young,,,,,,,,,
3,0,4,19,7,4,5,3,34.450,Joe Johnson,2,-30,19,F,6,1,5,2,2
3,0,6,8,5,2,0,0,22.683,Kevin Garnett,0,-11,10,F,6,0,0,0,4
0,2,3,2,2,4,0,0,11.483,Mason Plumlee,1,-6,4,C,4,0,0,0,2
2,1,0,6,3,3,0,0,26.083,Bojan Bogdanovic,0,-8,7,G,0,0,2,1,2
8,1,3,16,6,1,7,7,39.050,Deron Williams,0,-16,19,G,3,2,3,0,4
0,0,1,3,0,0,4,3,10.017,Andrei Kirilenko,2,-8,3,,3,1,0,0,0
1,2,4,11,8,1,0,0,23.350,Mirza Teletovic,2,4,20,,6,0,6,4,2
1,1,2,4,1,2,2,2,24.783,Alan Anderson,0,-5,4,,2,0,3,0,1
2,0,2,9,5,1,2,1,30.083,Jarrett Jack,0,-7,11,,2,2,0,0,1
0,0,1,0,0,2,0,0,6.333,Jerome Jordan,1,-12,0,,2,0,0,0,1
0,0,1,2,2,1,6,4,8.817,Cory Jefferson,1,16,8,,2,0,0,0,0
0,0,3,0,0,0,0,0,2.867,Sergey Karasev,0,3,0,,3,0,0,0,1
,,,,,,,,0,Jorge Gutierrez,,,,,,,,,
5,0,3,8,4,4,0,0,33.217,Tony Allen,0,10,8,F,3,3,0,0,3
1,1,7,16,12,3,1,1,34.617,Zach Randolph,6,11,25,F,13,1,0,0,5
3,2,7,17,12,1,10,8,36.917,Marc Gasol,2,9,32,C,9,2,0,0,3
3,1,0,11,5,2,2,2,35.500,Courtney Lee,1,8,14,G,1,2,4,2,3
6,0,0,14,7,3,3,1,33.983,Mike Conley,1,15,16,G,1,1,4,1,1
