average kickoff return, average kickoff return yards, kickoff return touchdowns, kickoff returns, longest kickoff return, name
20.000,,0,1,20,Tyson Thompson
30.000,,0,5,39,Dante Hall
23.000,,0,4,29,Maurice Hicks
22.000,,0,1,22,Ben Obomanu
17.000,,0,3,21,Nick Goings
29.000,,0,1,29,DeAngelo Williams
19.000,,0,1,19,Michael Clayton
28.000,,0,4,34,TJ Rushing
15.000,,0,1,15,Kenton Keith
22.000,,0,5,35,Domenik Hixon
26.000,,0,6,42,Darren Sproles
16.000,,0,3,17,Eddie Drummond
27.000,,0,2,29,Steve Breaston
22.000,,0,2,23,Allen Rossum
22.000,,0,1,22,Najeh Davenport
32.000,,0,1,32,Reuben Droughns
24.000,,0,4,26,JR Reed
21.000,,0,6,34,Glenn Holt
26.000,,0,3,31,Ellis Hobbs
24.000,,0,1,24,Willie Andrews
26.000,,0,4,29,Dante Hall
20.000,,0,1,20,Marques Hagans
19.000,,0,4,26,JJ Arrington
27.000,,0,2,36,Steve Breaston
25.000,,0,3,34,Michael Griffin
48.000,,0,3,76,Jerious Norwood
25.000,,0,4,27,Pierre Thomas
13.000,,0,3,17,DeAngelo Williams
0.000,,0,1,0,Stanley McClover
25.000,,0,2,33,Wes Welker
18.000,,0,1,18,Ellis Hobbs
0.000,,0,0,0,Pierre Woods
23.000,,0,5,31,Josh Cribbs
19.000,,0,1,19,Jason Wright
23.000,,0,2,24,Rock Cartwright
20.000,,0,1,20,James Thrash
22.000,,0,4,39,Troy Walters
18.000,,0,3,22,Eddie Drummond
29.000,,0,1,29,Matt Jones
32.000,,0,5,38,Dexter Wynn
35.000,,0,5,52,Ted Ginn
6.000,,0,1,6,Patrick Cobbs
9.000,,0,1,9,Gene Mruczkowski
20.000,,0,3,23,Reuben Droughns
51.000,,1,3,98,Leon Washington
18.000,,0,1,18,Sean Ryan
27.000,,0,1,27,Brad Smith
22.000,,0,3,25,Ben Obomanu
19.000,,0,3,35,Craphonso Thorpe
27.000,,0,5,32,Mark Jones
26.000,,0,4,29,Maurice Hicks
18.000,,0,1,18,Cory Ross
23.000,,0,3,26,Brian Clark
24.000,,0,2,27,Darren Sproles
28.000,,0,6,65,Tramon Williams
7.000,,0,2,15,John Gilmore
1.000,,0,2,2,Israel Idonije
48.000,,1,3,103,Terrence McGee
21.000,,0,1,21,Roscoe Parrish
20.000,,0,4,25,Tyson Thompson
22.000,,0,2,23,Eddie Drummond
18.000,,0,4,28,Glenn Holt
19.000,,0,4,26,Matt Jones
13.000,,0,5,32,Dexter Wynn
15.000,,0,1,15,Andre Davis
28.000,,0,5,39,Josh Cribbs
24.000,,0,5,33,Ted Ginn
10.000,,0,1,10,Jesse Chatman
0.000,,0,1,0,Justin Peelle
21.000,,0,4,28,Devin Hester
20.000,,0,1,20,Rashied Davis
14.000,,0,1,14,Adrian Peterson
32.000,,0,4,53,Adrian Peterson
30.000,,0,1,30,Troy Williamson
37.000,,0,3,51,Leon Washington
17.000,,0,2,20,Correll Buckhalter
54.000,,0,1,54,Yamon Figurs
22.000,,0,5,30,Brandon Williams
33.000,,0,1,33,Mark Jones
14.000,,0,4,20,Michael Griffin
14.000,,0,3,18,Tramon Williams
27.000,,0,4,40,Rock Cartwright
24.000,,0,5,33,Steve Breaston
38.000,,0,2,56,JJ Arrington
10.000,,0,1,10,Geoff Hangartner
21.000,,0,1,21,DeAngelo Williams
27.000,,0,6,72,Tyson Thompson
10.000,,0,1,10,Deon Anderson
22.000,,0,4,26,Ellis Hobbs
27.000,,0,2,30,Wes Welker
6.000,,0,1,6,Brandon Manumaleuna
18.000,,0,1,18,Darren Sproles
18.000,,0,4,29,Chris Carr
23.000,,0,4,26,Josh Wilson
27.000,,0,1,27,Courtney Taylor
17.000,,0,1,17,Pierre Thomas
17.000,,0,5,24,Jerious Norwood
18.000,,0,1,18,Ovie Mughelli
23.000,,0,3,25,Reuben Droughns
80.000,,0,1,80,Rock Cartwright
16.000,,0,1,16,James Thrash
14.000,,0,4,18,Steve Breaston
26.000,,0,3,32,Pierre Thomas
19.000,,0,2,20,Jerious Norwood
22.000,,0,3,29,Terrence McGee
19.000,,0,3,31,Yamon Figurs
10.000,,0,1,10,Mike Anderson
17.000,,0,1,17,Tyson Thompson
21.000,,0,3,27,Adrian Peterson
13.000,,0,1,13,Troy Williamson
21.000,,0,4,27,Ted Ginn
0.000,,0,0,0,Reagan Mauia
33.000,,0,2,48,Ellis Hobbs
77.000,,1,1,77,Willie Andrews
25.000,,0,1,25,Wes Welker
19.000,,0,2,21,Reuben Droughns
22.000,,0,6,35,Maurice Hicks
21.000,,0,1,17,Michael Robinson
16.000,,0,1,16,Mike Lewis
22.000,,0,2,27,Troy Walters
22.000,,0,2,26,Mark Jones
27.000,,0,1,27,Torrie Cox
26.000,,0,6,32,Andre Davis
20.000,,0,2,23,Jacoby Jones
27.000,,0,2,30,Michael Griffin
18.000,,0,1,18,Chris Davis
22.000,,0,2,24,Chris Carr
22.000,,0,2,23,Dominic Rhodes
21.000,,0,5,32,Glenn Holt
23.000,,0,5,30,Leon Washington
32.000,,0,1,32,Jerricho Cotchery
23.000,,0,5,29,Correll Buckhalter
3.000,,0,1,3,Greg Lewis
8.000,,0,3,11,Rashied Davis
2.000,,0,1,2,Adrian Peterson
58.000,,1,2,91,Nate Burleson
0.000,,0,0,0,Tom Ashworth
24.000,,0,7,27,Brandon Williams
23.000,,0,2,25,Selvin Young
31.000,,0,1,31,Glenn Martinez
16.000,,0,3,24,Allen Rossum
19.000,,0,1,19,Najeh Davenport
33.000,,0,4,65,Matt Jones
6.000,,0,1,6,George Wrighster
18.000,,0,3,20,TJ Rushing
22.000,,0,6,25,Brandon Williams
28.000,,0,2,31,Josh Cribbs
19.000,,0,1,19,Darnell Dinkins
13.000,,0,1,13,Lennie Friedman
14.000,,0,1,14,Rashied Davis
20.000,,0,1,20,Devin Hester
19.000,,0,1,19,Aveion Cason
18.000,,0,4,23,DeAngelo Williams
16.000,,0,1,16,Geoff Hangartner
28.000,,0,1,28,TJ Rushing
21.000,,0,3,24,Ted Ginn
9.000,,0,1,9,Patrick Cobbs
35.000,,0,1,35,Ahmad Bradshaw
31.000,,0,1,31,Reuben Droughns
19.000,,0,1,19,Chris Davis
13.000,,0,1,13,Casey Cramer
15.000,,0,2,21,Chris Carr
24.000,,0,2,26,Dominic Rhodes
24.000,,0,4,27,Troy Williamson
5.000,,0,2,11,Adrian Peterson
15.000,,0,4,21,Correll Buckhalter
28.000,,0,5,42,Glenn Holt
23.000,,0,3,29,Allen Rossum
24.000,,0,2,26,Leon Washington
-1.000,,0,1,-1,Chris Baker
4.000,,0,1,4,Brad Smith
25.000,,0,2,26,Terrence McGee
27.000,,0,2,31,Darren Sproles
19.000,,0,5,25,Andre Davis
19.000,,0,1,19,Jacoby Jones
17.000,,0,2,18,Chad Lucas
16.000,,0,1,16,Phillip Buchanon
14.000,,0,1,14,Torrie Cox
22.000,,0,1,22,Maurice Stovall
