assists, faceoffs lost, faceoffs won, goals, minutes, minutes even, minutes power play, minutes short handed, name, number, penalty minutes, plus minus, points, position, power play goals, shifts, short handed goals, shots on goal
0,,,0,22,19,0,2,Jake Muzzin,8,0,0,0,D,0,29,0,1
0,10,4,0,14,11,3,0,Alexander Kerfoot,15,2,1,0,C,0,23,0,0
1,,,0,19,12,4,2,Mitchell Marner,16,0,-1,1,RW,0,27,0,3
0,,,0,17,13,4,0,Andreas Johnsson,18,0,0,0,LW,0,22,0,3
0,,,0,18,12,3,1,Kasperi Kapanen,24,0,-1,0,RW,0,26,0,1
0,4,4,0,8,7,0,1,Nick Shore,26,0,0,0,C,0,16,0,0
0,5,3,1,9,7,0,1,Frederik Gauthier,33,0,0,1,C,0,16,0,1
0,7,6,2,18,14,4,0,Auston Matthews,34,0,0,2,C,1,23,0,8
1,,,0,8,8,0,0,Rasmus Sandin,38,0,1,1,D,0,12,0,2
1,,,0,8,8,0,0,Dmytro Timashov,41,2,0,1,LW,0,15,0,0
0,2,1,1,16,10,3,1,Trevor Moore,42,0,2,1,LW,0,26,0,3
1,,,0,25,18,4,2,Morgan Rielly,44,0,0,1,D,0,27,0,5
0,,,0,13,10,0,3,Martin Marincin,52,0,0,0,D,0,21,0,2
1,,,1,15,12,0,2,Ilya Mikheyev,65,0,2,2,RW,0,26,0,1
0,,,0,22,18,0,3,Cody Ceci,83,0,0,0,D,0,27,0,1
1,4,,0,17,13,3,0,William Nylander,88,0,0,1,RW,0,22,0,3
1,10,13,0,18,13,4,0,John Tavares,91,0,0,1,C,0,24,0,2
2,,,0,19,16,3,0,Tyson Barrie,94,2,1,2,D,0,26,0,6
0,,,0,59,45,8,6,Frederik Andersen,31,0,,0,G,0,,0,0
0,,,0,16,12,0,3,Dylan Demelo,2,0,1,0,D,0,25,0,1
0,4,3,1,17,15,2,0,Brady Tkachuk,7,2,0,1,LW,0,23,0,2
0,,1,1,15,12,2,0,Bobby Ryan,9,0,1,1,RW,0,24,0,3
0,,1,0,16,10,3,3,Anthony Duclair,10,0,1,0,LW,0,26,0,3
0,,1,0,11,11,0,0,Drake Batherson,19,0,-4,0,RW,0,15,0,0
0,,,0,23,19,0,4,Nikita Zaitsev,22,0,-2,0,D,0,28,0,4
0,,,0,15,13,2,0,Erik Brannstrom,26,0,0,0,D,0,22,0,1
1,1,1,0,18,12,2,3,Connor Brown,28,2,1,1,RW,0,26,0,0
1,7,8,0,16,13,2,0,Colin White,36,2,1,1,C,0,23,0,1
1,7,8,0,13,9,0,3,Jean Gabriel Pageau,44,0,1,1,C,0,20,0,0
0,,,1,8,8,0,0,Scott Sabourin,49,0,1,1,RW,0,12,0,3
0,6,9,0,19,13,3,2,Artem Anisimov,51,0,-4,0,C,0,26,0,1
0,,1,0,19,14,3,1,Tyler Ennis,63,2,-3,0,RW,0,24,0,1
1,6,9,0,17,12,3,2,Chris Tierney,71,0,1,1,C,0,23,0,1
0,,,0,24,20,3,0,Thomas Chabot,72,0,-2,0,D,0,29,0,4
1,,,0,15,12,0,3,Mark Borowiecki,74,0,1,1,D,0,26,0,1
1,,,0,5,5,0,0,Filip Chlapik,78,2,1,1,C,0,11,0,0
0,,,0,17,12,0,4,Ron Hainsey,81,0,0,0,D,0,29,0,0
0,,,0,58,44,6,8,Craig Anderson,41,0,,0,G,0,,0,0
0,,,1,14,14,0,0,Sammy Blais,9,0,1,1,LW,0,17,0,2
0,10,4,0,17,16,1,0,Brayden Schenn,10,0,0,0,C,0,23,0,2
0,,,0,8,8,0,0,Robby Fabbri,15,0,-1,0,C,0,12,0,0
0,,,0,16,14,1,0,Jaden Schwartz,17,2,0,0,LW,0,24,0,0
0,,2,0,9,8,1,0,Robert Thomas,18,0,-1,0,C,0,13,0,1
0,,,0,24,20,0,3,Jay Bouwmeester,19,0,0,0,D,0,29,0,0
0,1,,0,13,9,0,3,Alexander Steen,20,0,0,0,LW,0,18,0,0
0,7,3,0,15,12,1,1,Tyler Bozak,21,2,0,0,C,0,22,0,1
0,,,1,23,20,1,1,Alex Pietrangelo,27,0,0,1,D,1,34,0,2
0,,,0,15,13,1,0,Vince Dunn,29,0,0,0,D,0,23,0,0
0,,,0,12,8,0,3,Robert Bortuzzo,41,0,0,0,D,0,18,0,1
0,1,4,0,13,11,0,1,Ivan Barbashev,49,0,0,0,C,0,18,0,0
0,,,0,24,22,0,1,Colton Parayko,55,0,0,0,D,0,29,0,3
1,,1,0,19,18,1,0,David Perron,57,2,1,1,LW,0,25,0,3
0,3,4,0,13,11,0,2,Oskar Sundqvist,70,0,-1,0,C,0,17,0,0
1,,,0,21,19,1,0,Justin Faulk,72,0,-1,1,D,0,32,0,0
2,8,13,0,20,17,1,1,Ryan O'Reilly,90,0,0,2,C,0,29,0,3
0,,,0,17,16,1,0,Vladimir Tarasenko,91,0,-1,0,RW,0,25,0,4
0,,,0,62,53,3,5,Jordan Binnington,50,0,,0,G,0,,0,0
1,,,0,20,18,0,1,Nick Jensen,3,0,-1,1,D,0,26,0,0
0,,,1,23,18,5,0,Alexander Ovechkin,8,0,0,1,LW,0,24,0,5
0,,,1,23,20,1,1,Dmitry Orlov,9,0,-1,1,D,1,27,0,4
0,,,1,17,15,1,0,Jakub Vrana,13,0,1,1,LW,0,22,0,5
0,,,0,14,10,4,0,Richard Panik,14,0,0,0,RW,0,20,0,0
0,4,6,0,12,11,0,0,Chandler Stephenson,18,0,0,0,C,0,19,0,1
0,10,13,0,22,17,4,0,Nicklas Backstrom,19,0,0,0,C,0,23,0,5
2,9,7,0,17,14,1,0,Lars Eller,20,0,0,2,C,0,24,0,4
0,,,0,10,9,0,0,Garnet Hathaway,21,0,0,0,RW,0,14,0,0
0,6,2,0,9,8,0,1,Nic Dowd,26,0,0,0,C,0,14,0,0
0,,,0,9,8,0,0,Brendan Leipsic,28,0,0,0,LW,0,13,0,0
0,,,0,14,12,0,1,Radko Gudas,33,0,0,0,D,0,22,0,2
0,,,0,18,17,0,0,Jonas Siegenthaler,34,2,0,0,D,0,23,0,1
0,,,0,13,13,0,0,Martin Fehervary,42,2,1,0,D,0,22,0,0
