assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, rebounds, steals, three pointers attempted, three pointers made, turnovers
3,3,11,17,6,2,5,4,32.117,DeWanna Bonner,1,9,17,12,3,8,1,1
1,1,1,2,2,2,0,0,22.683,Sancho Lyttle,0,0,4,1,0,0,0,0
0,2,6,12,4,5,5,5,29.667,Brittney Griner,1,1,13,7,0,0,0,1
1,1,2,16,7,4,7,7,32.983,Diana Taurasi,0,2,26,2,1,8,5,1
4,1,3,5,3,2,4,3,27.883,Briann January,0,8,10,3,0,2,1,4
0,1,1,3,0,1,2,2,10.333,Marie Gulich,0,7,2,1,0,0,0,0
1,0,1,3,1,0,2,1,17.317,Camille Little,0,8,4,1,0,2,1,0
5,1,2,6,3,3,2,2,17.967,Leilani Mitchell,1,1,10,3,0,4,2,1
1,0,2,0,0,1,0,0,9.050,Stephanie Talbot,0,4,0,2,1,0,0,0
0,0,1,5,3,2,3,3,20.483,Karima Christmas Kelly,2,5,9,3,0,0,0,2
0,0,7,15,5,2,0,0,32.650,Glory Johnson,1,-7,12,8,1,6,2,2
4,2,8,14,7,5,5,4,35.683,Liz Cambage,1,4,18,9,0,0,0,1
2,1,2,7,3,2,2,1,30.350,Allisha Gray,0,7,7,2,0,1,0,0
9,0,4,19,6,3,6,6,36.867,Skylar Diggins Smith,2,-3,18,6,1,7,0,3
0,0,1,2,0,0,1,1,3.133,Saniya Chong,1,-5,1,2,0,0,0,0
0,0,1,3,0,2,0,0,4.317,Breanna Lewis,0,-12,0,1,0,0,0,0
0,0,0,7,4,2,1,1,12.283,Kaela Davis,1,-10,10,1,0,2,1,0
0,1,3,7,1,2,0,0,14.950,Azura Stevens,3,-12,3,6,0,3,1,0
1,0,1,1,0,4,0,0,9.267,Kayla Thornton,1,-7,0,2,0,1,0,1
2,1,1,8,1,0,0,0,21.033,Jazmon Gwathmey,0,-2,2,1,1,3,0,0
