longest reception, name, receiving conversions, receiving touchdowns, receiving yards, receptions, targets
21,Deion Branch,0,1,86,7,
29,David Patten,0,1,86,4,
25,David Givens,0,0,80,4,
21,Daniel Graham,0,1,57,7,
14,Benjamin Watson,0,0,16,2,
5,Christian Fauria,0,0,5,1,
5,Bethel Johnson,0,0,5,1,
45,Brandon Stokley,0,1,77,4,
64,Dallas Clark,0,0,64,1,
12,Marvin Harrison,0,1,44,7,
42,Reggie Wayne,0,0,42,1,
20,Edgerrin James,0,0,29,3,
16,Randy McMichael,0,1,79,8,
19,Marty Booker,0,0,36,4,
10,Chris Chambers,0,0,35,6,
12,Lamar Gordon,0,0,30,5,
20,Travis Minor,0,0,20,1,
6,Sammy Morris,0,0,6,1,
4,Doug Easlick,0,0,4,1,
19,Derrick Mason,0,0,51,3,
9,Drew Bennett,0,0,15,3,
5,Chris Brown,0,0,5,1,
1,Erron Kinney,0,1,1,1,
1,Antowain Smith,0,0,1,1,
17,Eric Moulds,0,1,75,8,
27,Mark Campbell,0,0,27,1,
13,Josh Reed,0,0,18,2,
8,Lee Evans,0,0,12,2,
12,Willis McGahee,0,0,12,1,
8,Travis Henry,0,0,9,3,
45,Jimmy Smith,0,0,83,4,
16,Troy Edwards,0,0,37,5,
11,George Wrighster,0,0,12,2,
7,Reggie Williams,0,0,9,2,
7,Ernest Wilford,0,1,7,1,
4,Marc Edwards,0,0,6,2,
-2,LaBrandon Toefield,0,0,-7,2,
35,David Terrell,0,0,126,5,
10,Thomas Jones,0,0,38,6,
28,Desmond Clark,0,0,28,1,
12,Bobby Wade,0,0,12,1,
10,Jason McKie,0,0,10,1,
9,Justin Gage,0,0,9,1,
4,Bryan Johnson,0,0,4,1,
27,Roy Williams,0,0,69,4,
34,Kevin Jones,0,0,34,1,
30,Cory Schlesinger,0,0,30,1,
14,Az Zahir Hakim,0,1,29,3,
11,Stephen Alexander,0,0,15,2,
5,Artose Pinner,0,0,5,1,
4,Casey Fitzsimmons,0,0,4,1,
1,Tai Streets,0,0,1,1,
51,Andre Davis,0,0,51,1,
46,Quincy Morgan,0,1,46,1,
21,Kellen Winslow,0,0,39,4,
13,William Green,0,0,27,4,
6,Dennis Northcutt,0,0,12,3,
3,James Jackson,0,0,5,2,
24,Todd Heap,0,0,86,9,
11,Kevin Johnson,0,0,43,5,
17,Randy Hymes,0,0,39,5,
13,Daniel Wilcox,0,0,18,2,
5,Travis Taylor,0,0,5,1,
58,Ashley Lelie,0,0,88,4,
14,Rod Smith,0,0,76,7,
18,Jeb Putzier,0,0,25,2,
22,Darius Watts,0,0,22,1,
11,Champ Bailey,0,0,11,1,
5,Garrison Hearst,0,0,5,1,
2,Patrick Hape,0,1,2,1,
1,Quentin Griffin,0,1,1,1,
57,Eddie Kennison,0,0,101,6,
16,Johnnie Morton,0,0,30,3,
14,Tony Gonzalez,0,0,17,2,
11,Dante Hall,0,0,17,2,
11,Derrick Blaylock,0,0,11,1,
4,Priest Holmes,0,0,-2,2,
63,Onterrio Smith,0,1,63,1,
37,Marcus Robinson,0,1,54,3,
43,Kelly Campbell,0,1,43,1,
19,Nate Burleson,0,0,34,3,
13,Randy Moss,0,2,27,4,
18,Jimmy Kleinsasser,0,0,24,2,
14,Jermaine Wiggins,0,0,18,2,
8,Mewelde Moore,0,0,8,1,
8,Moe Williams,0,0,8,1,
28,Antonio Bryant,0,0,112,8,
21,Keyshawn Johnson,0,0,111,9,
32,Terry Glenn,0,1,84,5,
18,Richie Anderson,0,0,31,4,
12,Jason Witten,0,0,17,3,
33,Joe Horn,0,0,110,6,
16,Donte Stallworth,0,0,36,3,
17,Ernie Conwell,0,1,32,3,
11,Deuce McAllister,0,0,20,2,
7,Boo Williams,0,0,13,3,
12,Mike Karney,0,0,12,1,
37,Darrell Jackson,0,0,98,7,
38,Bobby Engram,0,0,55,3,
16,Koren Robinson,0,0,35,3,
17,Shaun Alexander,0,1,31,2,
15,Itula Mili,0,0,15,1,
5,Mack Strong,0,0,9,2,
3,Heath Evans,0,0,3,1,
24,Justin McCareins,0,0,66,5,
31,Santana Moss,0,0,55,4,
46,Jonathan Carter,0,1,46,1,
14,Wayne Chrebet,0,0,21,2,
8,Jerald Sowell,0,0,20,3,
7,Curtis Martin,0,1,7,3,
5,LaMont Jordan,0,0,5,1,
4,Chris Baker,0,0,4,1,
53,Chad Johnson,0,1,99,5,
30,Peter Warrick,0,0,76,5,
20,TJ Houshmandzadeh,0,0,38,3,
9,Kenny Watson,0,1,15,2,
9,Kelley Washington,0,0,9,1,
8,Jeremi Johnson,0,0,8,1,
3,Reggie Kelly,0,0,3,1,
53,Todd Pinkston,0,0,76,3,
20,Terrell Owens,0,3,68,8,
15,Chad Lewis,0,0,58,6,
24,LJ Smith,0,1,50,3,
22,Brian Westbrook,0,0,42,3,
22,Freddie Mitchell,0,0,22,1,
9,Jon Ritchie,0,0,14,2,
34,Tiki Barber,0,0,75,5,
43,Ike Hilliard,0,0,59,3,
29,Tim Carter,0,0,51,4,
18,Amani Toomer,0,0,41,4,
34,Jeremy Shockey,0,0,39,2,
4,Jim Finn,0,0,4,1,
39,Hines Ward,0,0,99,7,
13,Plaxico Burress,0,0,13,1,
12,Jay Riemersma,0,0,12,1,
11,Antwaan Randle El,0,0,11,1,
6,Jerame Tuman,0,0,6,1,
3,Duce Staley,0,0,3,1,
-2,Verron Haynes,0,0,-2,1,
58,Doug Gabriel,0,1,81,3,
14,Jerry Porter,0,0,44,4,
38,Alvis Whitted,1,1,38,1,
17,JR Redmond,0,0,29,3,
13,Jerry Rice,0,0,22,2,
20,Tyrone Wheatley,0,0,20,1,
12,Justin Fargas,0,0,19,2,
19,Doug Jolley,0,0,19,1,
13,Courtney Anderson,0,0,13,1,
12,Ronald Curry,0,0,12,1,
8,Zack Crockett,0,0,8,1,
27,Cedrick Wilson,0,1,94,7,
16,Eric Johnson,0,1,86,8,
17,Terry Jackson,0,0,31,3,
14,Brandon Lloyd,0,0,29,4,
13,Curtis Conway,0,0,24,2,
15,Kevan Barlow,0,0,15,1,
6,Arnaz Battle,0,0,6,1,
1,Jasen Isom,0,0,1,1,
22,Alge Crumpler,0,1,82,6,
21,Peerless Price,0,0,62,4,
16,Brian Finneran,0,0,16,1,
2,Justin Griffith,0,0,2,1,
1,TJ Duckett,0,0,1,1,
19,Isaac Bruce,0,1,112,9,
36,Torry Holt,0,0,96,7,
17,Dane Looker,0,0,34,3,
12,Marshall Faulk,0,0,17,2,
8,Shaun McDonald,0,0,13,2,
37,Larry Fitzgerald,0,0,70,4,
11,Freddie Jones,0,0,39,6,
24,Nate Poole,0,0,24,1,
9,Josh Scobey,0,0,23,3,
7,Bryant Johnson,0,0,19,3,
6,Karl Williams,0,0,6,1,
38,D Davis,0,0,70,5,
17,Andre Johnson,0,0,58,4,
14,Jabar Gaffney,0,0,40,4,
27,Tony Hollings,0,0,27,1,
12,Corey Bradford,0,0,24,3,
7,Mark Bruener,0,0,7,1,
3,Jarrod Baxter,0,0,3,1,
29,Antonio Gates,0,0,123,8,
36,Reche Caldwell,0,1,65,4,
19,Eric Parker,0,1,25,2,
0,LaDainian Tomlinson,0,0,-4,3,
27,Rod Gardner,0,0,61,4,
11,Laveranues Coles,0,0,27,3,
16,Chris Cooley,0,0,16,1,
7,Clinton Portis,0,0,15,4,
6,Ladell Betts,0,0,6,1,
12,Michael Clayton,0,0,53,7,
24,Rickey Dudley,0,0,31,2,
19,Bill Schroeder,0,0,26,2,
10,Tim Brown,0,0,23,4,
10,Mike Alstott,0,0,17,3,
10,Ken Dilger,0,0,12,3,
4,Charlie Garner,0,0,4,1,
3,Jamel White,0,0,3,1,
0,Joey Galloway,0,0,0,1,
30,Muhsin Muhammad,0,1,65,4,
15,Steve Smith,0,0,60,6,
34,Ricky Proehl,0,0,56,2,
20,Karl Hankton,0,0,25,2,
22,Stephen Davis,0,0,22,1,
8,DeShaun Foster,0,0,22,4,
15,Kris Mangum,0,0,15,1,
13,Nick Goings,0,0,13,1,
5,Rod Smart,0,0,5,1,
1,Brad Hoover,0,1,1,1,
16,Donald Driver,0,0,39,3,
24,Javon Walker,0,0,37,2,
14,Bubba Franks,0,0,27,2,
11,Tony Fisher,0,0,18,2,
13,David Martin,0,0,13,1,
9,William Henderson,0,0,7,2,
5,Robert Ferguson,0,0,5,1,
3,Ahman Green,0,1,-3,2,
27,Freddie Jones,0,0,43,4,
42,Josh Scobey,0,0,42,1,
15,Bryant Johnson,0,0,39,3,
14,Larry Fitzgerald,0,0,36,5,
27,David Givens,0,0,120,6,
23,David Patten,0,0,39,2,
19,Patrick Pass,0,0,27,2,
19,Daniel Graham,0,2,21,2,
7,Deion Branch,0,0,7,1,
6,Troy Brown,0,0,6,1,
-1,Corey Dillon,0,0,-1,1,
62,Justin Griffith,0,1,78,4,
33,Alge Crumpler,0,0,49,3,
12,Dez White,0,0,24,3,
14,Peerless Price,0,0,18,2,
9,Brian Finneran,0,0,9,1,
1,Warrick Dunn,0,0,1,1,
33,Torry Holt,0,1,121,9,
29,Isaac Bruce,0,0,102,8,
29,Dane Looker,0,0,41,2,
7,Marshall Faulk,0,0,21,5,
23,Kevin Johnson,0,0,32,2,
14,Todd Heap,0,0,27,3,
14,Randy Hymes,0,0,24,3,
11,Terry Jones,0,0,11,1,
4,Daniel Wilcox,0,0,4,1,
58,Hines Ward,0,1,151,6,
21,Plaxico Burress,0,0,30,2,
20,Antwaan Randle El,0,1,29,3,
10,Jay Riemersma,0,0,10,1,
9,Duce Staley,0,0,9,1,
8,Lee Mays,0,0,8,1,
4,Verron Haynes,0,0,6,2,
15,Peter Warrick,0,0,51,6,
20,Chad Johnson,0,0,45,3,
9,Tony Stewart,0,0,17,2,
13,TJ Houshmandzadeh,0,0,13,1,
4,Matt Schobel,0,0,12,4,
7,Kenny Watson,0,0,6,3,
4,Rudi Johnson,0,0,4,1,
-1,Reggie Kelly,0,0,-1,1,
37,Randy McMichael,0,0,93,6,
20,Chris Chambers,0,1,69,5,
20,Lamar Gordon,0,0,44,8,
7,Derrius Thompson,0,0,7,1,
5,Marty Booker,0,0,5,1,
37,Terry Glenn,0,0,90,6,
24,Jason Witten,0,0,82,6,
36,Keyshawn Johnson,0,0,57,2,
37,Antonio Bryant,0,0,54,3,
11,Eddie George,0,0,17,2,
7,Julius Jones,0,0,14,2,
7,Dan Campbell,0,0,7,1,
1,Jeff Robinson,0,1,1,1,
16,Andre Davis,0,0,39,3,
11,Quincy Morgan,0,0,11,1,
11,Kellen Winslow,0,0,11,1,
7,Dennis Northcutt,0,0,7,1,
2,William Green,0,0,2,1,
1,James Jackson,0,0,1,1,
31,Roy Williams,0,2,73,4,
17,Tai Streets,0,0,32,4,
14,Az Zahir Hakim,0,0,26,2,
13,Stephen Alexander,0,0,13,2,
13,Kevin Jones,0,0,13,1,
12,Cory Schlesinger,0,1,13,2,
7,Artose Pinner,0,0,7,1,
6,Casey Fitzsimmons,0,0,6,1,
-7,Shawn Bryson,0,0,-7,1,
16,D Davis,0,0,95,11,
54,Andre Johnson,0,1,86,3,
27,Corey Bradford,0,1,52,3,
20,Derick Armstrong,0,0,49,4,
25,Jabar Gaffney,0,0,25,1,
6,Mark Bruener,0,0,6,1,
44,Javon Walker,0,0,102,7,
23,Robert Ferguson,0,1,50,4,
16,Donald Driver,0,0,49,5,
8,Tony Fisher,0,0,22,4,
13,William Henderson,0,0,13,1,
9,Bubba Franks,0,0,9,1,
7,Ahman Green,0,0,7,2,
31,Desmond Clark,0,0,43,2,
19,Bobby Wade,0,0,42,3,
14,Bryan Johnson,0,1,25,2,
8,Dustin Lyman,0,0,15,2,
7,Thomas Jones,0,0,7,1,
31,Jimmy Smith,0,0,69,3,
19,Reggie Williams,0,0,19,1,
8,Troy Edwards,0,0,15,2,
12,Ernest Wilford,0,1,12,1,
5,LaBrandon Toefield,0,0,5,1,
34,Rod Smith,0,0,83,6,
39,Ashley Lelie,0,0,53,3,
19,Dwayne Carswell,0,0,35,3,
12,Quentin Griffin,0,0,29,5,
20,Nate Jackson,0,0,25,2,
7,Jeb Putzier,0,0,12,2,
11,Darius Watts,0,0,11,1,
2,Reuben Droughns,0,0,2,1,
31,Johnnie Morton,0,0,76,5,
22,Tony Gonzalez,0,0,63,4,
20,Eddie Kennison,0,0,20,1,
6,Priest Holmes,0,0,16,3,
5,Tony Richardson,0,0,7,3,
5,Derrick Blaylock,0,0,5,1,
18,Ricky Proehl,0,0,48,4,
23,Keary Colbert,0,1,46,3,
14,Brad Hoover,0,0,37,4,
18,Muhsin Muhammad,0,0,26,2,
19,Nick Goings,0,0,19,1,
3,Kris Mangum,0,1,3,1,
1,Mike Seidman,0,1,1,1,
45,Donte Stallworth,0,1,113,9,
23,Joe Horn,0,1,94,8,
37,Jerome Pathon,0,1,53,2,
10,Aaron Stecker,0,0,19,6,
37,Curtis Conway,0,0,112,8,
25,Eric Johnson,0,0,60,5,
10,Jamal Robertson,0,0,10,1,
5,Kevan Barlow,0,0,9,2,
7,Fred Beasley,0,0,7,1,
7,Brandon Lloyd,0,0,7,1,
38,Tim Carter,0,1,63,3,
14,Amani Toomer,0,0,54,6,
15,Ike Hilliard,0,0,37,4,
9,Jeremy Shockey,0,0,36,5,
16,Tiki Barber,0,0,27,2,
12,Jim Finn,0,0,15,2,
22,Laveranues Coles,0,0,100,9,
51,Rod Gardner,0,0,66,3,
16,Clinton Portis,0,1,29,2,
6,Chris Cooley,0,1,14,3,
14,Mike Sellers,0,0,14,1,
