longest reception, name, receiving touchdowns, receiving yards, receptions
46,J Richardson,2,162,9
51,S Green,1,88,6
17,B Bratton,0,29,2
10,B Whitaker,0,18,3
9,B London,0,9,1
6,K Carter,0,6,1
36,G Simon,0,115,5
49,D Collins,0,85,3
27,S Gore,0,55,5
21,A Foster,1,32,3
13,J Robertson,0,26,5
13,N Moore,0,24,3
20,R Lumbala,0,20,1
9,T Brown,0,9,1
29,M Mann,1,120,9
15,A Cobourne,0,36,5
15,A Kelly,0,29,3
17,A Bruce,0,22,2
8,D Stala,0,13,2
7,M Carter,0,7,1
49,T Edwards,1,68,3
23,T Jeffers Harris,0,38,3
19,F Reid,0,27,3
11,G Carr,0,15,2
3,P Floyd,0,3,1
39,R Bryant,0,88,4
14,K Rambo,0,64,7
12,N Lewis,0,44,5
15,R Cote,0,32,4
25,A Franklin,0,31,2
13,J Forzani,0,17,2
11,J Cornish,0,11,1
6,L Taylor,0,6,1
25,A Durie,0,59,4
18,C Owens,0,39,3
28,J Copeland,0,39,2
18,B Rideau,1,37,3
9,S Watt,0,9,1
6,D Boldin,0,8,2
33,W Dressler,0,109,7
29,C Getzlaf,0,66,3
15,W Cates,0,47,6
18,T Nunn,0,44,3
14,E Hill,1,34,4
22,J Clermont,1,32,3
7,E Wheelwright,0,7,1
37,J Barnes,2,104,5
31,A Bowman,1,103,7
16,F Stamps,0,34,3
11,A Nowacki,0,29,3
11,C McCarty,0,11,1
10,R Fisher,0,10,1
3,M Bertrand,0,3,1
29,T Jeffers Harris,0,58,5
13,C Watson,0,44,5
14,C Denmark,0,38,4
6,A Hargreaves,0,12,2
12,T Edwards,0,11,2
6,F Reid,0,2,3
45,J Copeland,0,107,5
22,A Durie,0,43,3
15,B Rideau,0,41,4
32,E McCollough,0,32,1
11,S Watt,0,28,4
14,C Owens,0,21,3
4,J Johnson,0,6,2
7,C Boyd,0,2,2
24,S Gore,0,96,7
54,A Foster,1,54,1
45,D Collins,0,51,2
30,G Simon,0,50,4
9,S Black,0,17,2
11,A Harris,1,11,1
61,N Lewis,1,100,4
16,L Talley,1,55,4
14,J Forzani,0,39,4
22,R Bryant,0,37,2
29,J Reynolds,0,36,2
15,R Cote,0,20,2
11,J Cornish,1,11,1
28,T Nunn,0,65,3
21,W Dressler,0,63,7
20,E Hill,0,42,4
13,J Clermont,0,34,3
22,C Getzlaf,1,29,2
15,W Cates,0,25,2
15,N Hughes,0,15,1
35,J Richardson,0,114,9
24,S Green,1,78,4
26,B Bratton,2,76,5
55,T Maypray,1,55,1
18,B London,0,47,3
14,B Whitaker,1,41,5
6,D Baker,0,6,1
2,D Diedrick,0,2,1
68,F Stamps,1,178,7
29,A Bowman,0,69,4
31,J Barnes,0,65,3
12,M Henry,0,43,4
17,A Nowacki,0,17,1
9,C McCarty,0,16,2
