longest punt, name, punt yards, punts
49,M Hubbard,151,4
50,A Kilcullen,162,4
59,Z Paul,180,4
52,J Fleck,365,9
48,M Haack,204,5
46,T Kelly,46,1
43,B ONeill,283,8
44,R Coluzzi,151,4
44,N Pollard,237,6
67,J Manton,304,7
59,A Kinal,471,10
61,P Mortell,256,5
48,C Edwards,155,4
3,J Whitlow,3,1
70,W Gleeson,189,4
49,S Wale,169,5
42,T Wedel,74,2
49,S Doar,387,9
47,S Witkowski,207,5
46,S Pyle,253,7
48,T Hull,176,4
52,D Kaser,96,2
49,M Carrizosa,85,2
44,C Bolduc,191,5
55,D Parks,128,3
45,P Picerelli,165,5
62,T Hackett,234,5
53,C Reyes,482,11
53,C Cooke,289,7
58,A Starzyk,291,7
53,J Dascalo,81,2
37,J Roth,72,2
39,T Gleeson,63,2
56,D Riggleman,89,2
32,A Solomon,32,1
61,L Yunker,378,8
57,D ONeill,273,6
60,H Hunt,218,4
42,J Wain,143,4
51,S Arellano,129,3
46,D Seibert,234,6
51,K Stern,290,7
37,T Carter,37,1
45,M Sadler,131,4
50,H MacInnes,286,7
51,R Dixon,217,5
49,J Hinchen,132,3
55,J Occhipinti,106,2
49,J Davidson,172,4
54,W Conant,103,2
52,C Fryoux,213,6
43,K Henderson,43,1
61,L Ferguson,194,4
61,T Bolton,377,8
28,J Bleskin,50,2
62,J Scott,101,2
58,N OToole,175,4
62,D Carlson,160,3
52,S Irwin Hill,301,7
45,K Schmidt,110,3
53,N Armiento,340,8
51,T Grassman,229,5
56,P Dill,309,8
53,C Houston,185,4
41,C Gulla,41,1
59,W Monday,103,2
40,D Petroni,190,6
63,W Gregory,103,2
34,W Harvey,34,1
53,N Tilque,365,9
44,O Dubiel,123,3
47,A Barnes,47,1
55,L Forbes,111,3
43,C Ayers,252,7
61,J Cagle,388,9
60,C Barber,227,5
37,A Erickson,37,1
60,B Pinion,451,10
45,R Rodwell,85,2
51,D Marvin,174,4
58,S Harding,292,7
62,K Durkee,340,8
32,J Lindquist,32,1
45,J DuVernois,236,6
34,R Frain,34,1
47,J Cejudo,268,7
38,E Toth,69,2
58,O Umeth,352,8
42,D Kidd,145,4
50,L Bieghler,214,5
56,C Downing,274,6
58,B LeCompte,215,5
36,M Lochbihler,36,1
42,N Bruno,262,7
71,A Melchiori,329,7
56,M Bonnstetter,170,4
46,L Foster,46,1
50,J Satterfield,167,4
39,J Neal,39,1
77,D Cadona,219,4
63,P Soden,396,9
64,J Keehn,340,8
57,D Meyer,300,8
49,N Renfro,207,6
55,G Kane,390,10
49,B McDonald,253,6
53,A Howell,53,1
55,S Smith,102,2
54,B Campbell,411,10
17,D Boone,17,1
60,C Koch,244,5
64,T Williams,233,5
46,W Hagerup,46,1
53,B Critcher,287,7
48,C Brinser,172,4
45,E Sawyer,214,6
49,D Bell,159,4
50,T Sarrzin,413,11
51,Z Lopez,51,1
53,J Thomas,291,7
51,P Beltran,228,5
58,C Johnston,111,2
51,T Hibbard,239,6
53,T Turner,371,9
55,W Baumann,149,3
60,R Nowicki,203,4
40,S Foltz,71,2
66,D Schomp,425,9
61,A Boy,287,7
55,B Sanchez,55,1
63,T Lewis,478,10
66,Z Rogers,116,2
59,M Ruggles,108,2
33,J Showers,62,2
37,M Sroka,37,1
40,C Gradone,153,5
42,C Leininger,143,4
55,K Brindza,144,3
67,J Farrimond,241,5
43,J Barnett,43,1
50,L McPherson,275,7
