assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, position, rebounds, steals, three pointers attempted, three pointers made, turnovers
4,1,8,32,13,4,27,18,42.667,Kobe Bryant,0,,45,G,8,4,3,1,5
2,0,1,9,6,0,4,4,34.050,Derek Fisher,0,,17,G,1,4,3,1,1
4,0,4,8,3,2,4,2,39.133,Luke Walton,1,,8,F,5,1,1,0,1
1,0,1,2,0,0,0,0,8.750,Brian Cook,0,,0,,1,1,0,0,1
0,0,0,3,1,1,3,1,8.450,Chris Mihm,2,,3,,2,0,0,0,0
1,0,4,3,2,3,4,0,27.833,Kwame Brown,4,,4,C,8,1,0,0,1
2,1,2,6,2,3,0,0,19.450,Andrew Bynum,2,,4,,4,3,0,0,0
1,1,5,5,3,5,3,2,24.383,Ronny Turiaf,0,,8,F,5,1,0,0,2
2,0,0,3,0,2,0,0,14.200,Maurice Evans,2,,0,,2,1,1,0,0
1,0,1,5,2,2,0,0,20.483,Jordan Farmar,0,,4,,1,0,0,0,1
0,0,0,0,0,0,0,0,0.617,Coby Karl,0,,0,,0,0,0,0,0
3,3,8,16,9,5,8,7,40.533,Yao Ming,4,,25,C,12,1,0,0,4
4,0,6,20,10,4,12,10,40.067,Tracy McGrady,0,,30,G,6,0,4,0,3
1,0,0,0,0,2,0,0,6.633,Dikembe Mutombo,0,,0,,0,0,0,0,0
2,0,1,10,5,2,4,0,26.050,Mike James,1,,13,,2,3,5,3,3
8,0,7,6,1,1,2,2,28.833,Rafer Alston,0,,5,G,7,1,5,1,4
3,0,0,2,0,1,0,0,6.717,Luther Head,0,,0,,0,0,1,0,0
0,0,6,2,2,3,1,0,26.117,Chuck Hayes,2,,4,F,8,0,0,0,0
0,1,2,11,4,6,2,1,37.167,Shane Battier,3,,11,F,5,2,6,2,1
2,1,4,7,3,3,2,1,18.933,Bonzi Wells,2,,7,,6,3,1,0,2
0,0,3,0,0,3,0,0,8.950,Luis Scola,0,,0,,3,0,0,0,1
2,0,5,14,7,1,6,5,35.600,Tony Parker,0,,19,G,5,1,1,0,3
3,1,7,15,10,2,7,4,35.817,Tim Duncan,6,,24,F,13,0,0,0,0
3,1,1,5,0,2,0,0,26.700,Bruce Bowen,0,,0,F,1,0,3,0,0
8,1,2,11,4,3,8,7,29.333,Manu Ginobili,1,,16,,3,5,5,1,2
,,,,,,,,0,Robert Horry,,,,,,,,,
0,0,1,8,4,1,1,1,17.050,Brent Barry,1,,12,,2,0,7,3,0
3,0,1,11,4,0,0,0,22.967,Michael Finley,0,,9,G,1,0,5,1,0
0,1,3,4,3,6,0,0,18.917,Fabricio Oberto,1,,6,C,4,0,0,0,1
0,0,4,9,4,1,2,1,20.900,Francisco Elson,1,,9,,5,1,0,0,1
,,,,,,,,0,Jacque Vaughn,,,,,,,,,
0,0,3,9,4,2,0,0,19.083,Matt Bonner,2,,8,,5,0,2,0,0
2,0,1,1,1,1,2,0,12.400,Darius Washington,0,,3,,1,1,1,1,1
0,0,0,0,0,0,0,0,1.233,Ian Mahinmi,0,,0,,0,0,0,0,0
,,,,,,,,0,Ime Udoka,,,,,,,,,
2,0,5,10,4,2,4,3,19.817,Travis Outlaw,0,,11,,5,0,0,0,2
,,,,,,,,0,Darius Miles,,,,,,,,,
1,1,9,5,4,3,6,5,31.367,Joel Przybilla,1,,13,C,10,0,0,0,2
1,0,2,6,2,1,0,0,27.733,Jarrett Jack,1,,5,G,3,0,1,1,2
4,0,6,7,4,4,0,0,25.100,Steve Blake,0,,9,,6,0,3,1,3
1,1,2,15,9,2,0,0,39.417,Martell Webster,1,,21,F,3,0,6,3,0
6,0,3,10,2,2,4,2,38.400,Brandon Roy,2,,7,G,5,0,2,1,4
,,,,,,,,0,Raef Lafrentz,,,,,,,,,
0,0,0,2,1,0,0,0,5.650,Sergio Rodriguez,0,,2,,0,0,1,0,1
0,2,2,19,12,3,3,3,36.017,Lamarcus Aldridge,1,,27,F,3,1,0,0,1
0,0,1,3,0,2,0,0,9.400,Channing Frye,1,,0,,2,0,0,0,0
0,0,2,1,1,0,0,0,7.100,James Jones,1,,2,,3,0,0,0,1
,,,,,,,,0,Taurean Green,,,,,,,,,
