field goals, field goals attempted, kicking extra points, kicking extra points attempted, longest field goal, name
1,2,2,2,37,Matt Stover
2,3,0,0,46,Paul Edinger
2,2,0,0,37,Jake Arians
1,1,3,3,31,John Carney
3,3,2,2,47,Neil Rackers
1,1,2,2,39,Adam Vinatieri
2,3,0,0,48,Phil Dawson
3,4,0,0,52,Rian Lindell
2,2,0,0,46,Tim Seder
1,2,1,1,39,Martin Gramatica
0,1,4,4,0,Ryan Longwell
2,2,0,0,49,Jason Hanson
0,1,3,3,0,Mike Hollis
1,1,0,0,41,Kris Brown
1,2,3,3,31,Todd Peterson
4,4,1,1,43,Sebastian Janikowski
0,1,1,2,0,Gary Anderson
1,1,3,3,23,John Kasay
1,1,3,3,22,John Hall
1,1,6,6,37,Mike Vanderjagt
1,1,2,2,50,David Akers
2,2,2,2,26,Jeff Wilkins
3,3,3,3,48,Wade Richey
1,1,0,0,40,Brett Conway
3,3,1,1,39,Jose Cortez
2,2,1,1,28,Jay Feely
1,1,2,3,51,Joe Nedney
1,1,4,4,37,Olindo Mare
1,2,4,4,37,Jason Elam
0,0,2,3,0,Morten Andersen
0,1,0,0,0,Owen Pochman
1,1,2,2,28,Bill Gramatica
3,3,3,3,49,Jason Elam
1,1,3,3,25,Jay Feely
3,3,1,1,31,John Kasay
1,1,2,2,45,Paul Edinger
1,1,1,1,20,Gary Anderson
0,3,3,3,0,Neil Rackers
1,1,1,1,38,Matt Stover
1,2,3,3,33,Phil Dawson
0,0,2,2,0,Jason Hanson
0,0,3,3,0,Tim Seder
4,5,2,2,43,Wade Richey
0,1,6,6,0,Mike Vanderjagt
2,3,2,2,49,Jake Arians
2,3,1,1,39,Mike Hollis
2,3,0,0,43,Joe Nedney
1,2,0,0,33,Todd Peterson
2,2,1,1,42,Morten Andersen
1,1,1,1,27,Olindo Mare
3,3,0,0,45,Sebastian Janikowski
1,1,0,0,24,Adam Vinatieri
1,1,1,1,26,John Hall
1,1,0,0,41,Rian Lindell
2,3,3,3,48,David Akers
2,2,2,2,52,Jose Cortez
3,3,1,1,44,Jeff Wilkins
3,3,4,4,32,Ryan Longwell
0,1,2,2,0,Bill Gramatica
2,2,4,4,55,Jay Feely
1,2,0,0,23,Jake Arians
2,3,2,2,52,Kris Brown
0,0,1,1,0,John Kasay
2,3,2,2,46,Ryan Longwell
2,2,1,1,49,Jason Elam
2,2,2,2,29,Matt Stover
0,1,2,2,0,Mike Hollis
3,3,2,2,35,Phil Dawson
2,2,2,2,29,Gary Anderson
3,3,1,1,49,Martin Gramatica
3,3,5,5,48,Adam Vinatieri
0,0,1,1,0,Mike Vanderjagt
0,0,3,3,0,Morten Andersen
2,2,1,1,32,John Carney
2,2,4,5,40,David Akers
2,2,0,0,43,Tim Seder
1,1,5,5,20,Sebastian Janikowski
0,2,2,2,0,Rian Lindell
0,1,4,4,0,Wade Richey
0,0,2,2,0,Neil Rackers
0,0,6,6,0,Jeff Wilkins
1,1,1,1,26,Olindo Mare
2,2,1,1,30,Brett Conway
1,1,6,6,33,Todd Peterson
1,2,2,2,24,John Hall
4,4,1,1,49,Jose Cortez
1,2,0,0,44,Jay Feely
1,2,4,4,42,Paul Edinger
2,2,2,2,26,Matt Stover
0,1,1,1,0,Joe Nedney
1,1,3,3,28,Jake Arians
0,0,6,6,0,John Hall
2,3,2,2,31,Phil Dawson
3,3,1,1,38,Wade Richey
2,2,2,2,48,Jason Elam
2,2,0,0,35,Todd Peterson
3,3,3,3,34,Olindo Mare
1,1,1,1,37,Adam Vinatieri
5,5,1,1,50,John Carney
0,0,1,1,0,Gary Anderson
3,3,2,2,50,Morten Andersen
3,3,0,0,55,Brett Conway
2,2,2,2,42,David Akers
0,1,3,3,0,Bill Gramatica
3,3,1,1,48,Kris Brown
0,1,1,1,0,Neil Rackers
0,0,4,4,0,Sebastian Janikowski
0,2,3,3,0,Tim Seder
1,2,3,3,25,Rian Lindell
3,4,0,0,48,Mike Hollis
1,1,3,3,40,Jose Cortez
0,0,2,2,0,John Kasay
0,1,2,2,0,Martin Gramatica
1,1,1,1,35,Ryan Longwell
0,0,5,5,0,Jeff Wilkins
3,3,2,2,39,Jay Feely
1,1,4,4,27,Jose Cortez
2,2,1,1,52,John Kasay
2,2,3,3,39,John Carney
2,2,2,2,46,Paul Edinger
2,2,1,1,47,Bill Gramatica
3,4,1,1,42,Neil Rackers
0,0,2,2,0,Phil Dawson
1,2,4,4,33,Ryan Longwell
1,1,2,2,28,Matt Stover
2,2,0,1,47,Mike Vanderjagt
3,4,2,2,42,Sebastian Janikowski
0,0,1,1,0,Todd Peterson
2,2,2,2,55,Kris Brown
1,1,4,4,41,Gary Anderson
2,3,2,2,51,Jason Hanson
3,4,2,3,44,Adam Vinatieri
2,4,2,2,27,Wade Richey
0,1,3,3,0,John Hall
1,1,2,2,26,Olindo Mare
2,2,4,4,44,Rian Lindell
0,0,3,3,0,Jason Elam
3,3,0,0,33,Jeff Wilkins
0,1,2,2,0,Morten Andersen
3,4,2,2,49,Joe Nedney
0,0,4,4,0,Martin Gramatica
3,5,0,0,39,Tim Seder
0,1,1,1,0,Brett Conway
1,1,1,1,41,Mike Hollis
2,4,1,1,46,Jake Arians
1,1,3,3,29,Bill Gramatica
3,3,1,1,49,Todd Peterson
0,1,0,0,0,Neil Rackers
1,2,3,3,48,Paul Edinger
1,1,3,3,33,Phil Dawson
2,2,0,0,38,Matt Stover
1,2,3,3,23,Jason Hanson
4,4,1,1,46,Joe Nedney
3,5,0,0,42,Mike Vanderjagt
1,1,5,5,43,Adam Vinatieri
2,2,3,3,42,Gary Anderson
0,2,1,1,0,Ryan Longwell
2,3,1,1,31,John Carney
2,2,2,2,38,Jay Feely
0,0,2,2,0,John Hall
2,2,4,4,47,Jeff Wilkins
2,2,3,3,51,Wade Richey
1,2,1,1,45,Jason Elam
1,1,1,1,31,Martin Gramatica
1,1,2,2,35,Kris Brown
1,2,2,2,23,Brett Conway
0,0,2,2,0,John Kasay
3,4,0,0,24,Morten Andersen
1,2,1,1,25,David Akers
2,2,2,2,48,Todd Peterson
2,3,3,3,50,Mike Vanderjagt
2,2,0,0,49,Matt Stover
1,1,2,2,40,Mike Hollis
2,2,0,1,45,John Kasay
2,2,1,1,43,John Hall
0,0,3,3,0,Paul Edinger
1,2,4,4,40,Jose Cortez
1,1,2,2,31,Tim Seder
1,1,0,0,27,Bill Gramatica
1,1,4,4,50,Jason Elam
2,2,2,2,44,Adam Vinatieri
2,2,1,1,51,Jason Hanson
1,2,4,4,39,Neil Rackers
1,1,1,1,34,David Akers
2,2,2,2,42,Sebastian Janikowski
2,4,3,3,37,Wade Richey
1,3,3,3,41,Jake Arians
2,4,2,2,42,Rian Lindell
1,1,3,3,46,Olindo Mare
1,2,4,4,54,Jeff Wilkins
5,5,1,1,44,John Carney
2,2,5,5,48,Martin Gramatica
2,2,3,3,43,Brett Conway
