longest punt, name, punt yards, punts
52,Zach Paul,167,4
53,Jamie Boyle,202,5
52,Scott Kovanda,129,3
64,Jay Karutz,314,7
53,Riley Stephenson,98,2
49,Michael Bowlin,172,5
25,Richie Hogan,45,2
68,Joe Vucic,238,5
43,C Wagner,78,2
47,J Strait,378,9
47,B Cowan,328,9
54,J Miller,257,6
41,A Melchiori,77,2
30,R Peppers,54,2
60,J Davis,184,4
47,J Breaux,191,5
63,C Chapman Brown,303,6
51,S Heath,206,5
65,T Cook,280,7
13,T Petersen,13,1
60,J Locke,262,6
58,Chase Lansford,346,7
47,Christian Eldred,184,5
43,David Schwerman,62,2
60,Scott Sellwood,105,2
53,Mason Puckett,297,7
42,T Bennett,81,2
39,J Bentrude,39,1
72,B Miller,411,9
54,Richard Kent,174,4
46,Tyler Hull,234,6
46,Sean Kelley,128,4
51,AJ Firestone,208,5
41,Mike Sadler,77,2
56,Trevor Harman,203,5
45,Wil Baumann,166,4
51,Matt Darr,193,5
61,Brandon McManus,177,4
47,Mark Hamilton,245,6
49,David Baska,85,2
63,CJ Reyes,193,4
59,Cody Mandell,188,4
62,Will Hagerup,308,6
41,Dylan Breeding,58,2
37,Hamish MacInnes,210,6
37,Coty Blanchard,37,1
48,Kyle Dugandzic,174,4
54,Matt Scott,54,1
58,Vince Penza,359,8
45,S Clark,118,3
41,S Benton,115,3
48,G Levano,116,3
48,D Botts,203,5
50,C Leininger,270,7
51,C Tenpenny,301,7
60,W Monday,226,5
44,J Brisk,153,4
58,Trent Tignor,178,4
53,Sam Martin,271,6
40,Kyle Christy,154,4
15,Jeff Driskel,15,1
54,Brian Schmiedebusch,233,6
39,Cason Beatty,103,3
52,Steven Mix,367,9
56,Andrew Shapiro,207,5
52,Tony Epperson,301,8
57,Collin Barber,102,2
32,Adam Erickson,90,3
46,Tyler Grassman,337,9
55,R Leone,283,6
42,W Johnson,215,6
72,Justin DuVernois,350,8
67,J Schroeder,274,7
43,Mitchell Voss,128,4
50,Lucas Hileman,208,5
52,Kirby Van Der Kamp,387,9
58,Cole Way,391,10
63,R Doherty,275,6
61,E Sawyer,207,5
44,Mark Krause,154,4
67,Chris Sullens,283,6
50,Brett Baer,125,3
53,Kollin Kahler,261,6
51,Jamie Keehn,123,3
48,Will Atterberry,327,8
60,N Renfro,212,4
53,D Kuhn,243,6
63,Tom Hornsey,177,4
46,James Satterfield,85,2
50,Jim Broadway,140,3
54,Kevin Buford,289,7
35,Trey Barrow,64,2
56,Beau Mothe,301,7
36,Matt McCormick,36,1
28,B Swedenburg,28,1
44,M Perkins,156,5
63,Pablo Beltran,185,4
35,Ben Turk,66,2
40,Thomas Hibbard,76,2
54,Kenton Beal,440,10
21,B Maher,21,1
48,P Boehme,184,4
24,C Campbell,24,1
49,Ryan Neir,226,6
51,Connor Kornbrath,124,3
43,John Wienke,43,1
48,Chase Tuten,128,4
52,Ben Buchanan,295,7
51,Zac Murphy,334,9
53,Quinn Sharp,53,1
56,Jacob Thomas,474,12
39,Jackson Rice,55,2
42,Neely Sullivent,91,3
33,Ryan Wilbourn,33,1
52,Matt Yoklic,86,2
47,Nick Liste,84,2
39,Alex Butterworth,179,5
53,Grant Venham,127,3
57,J Berry,245,6
41,Scott Garber,117,3
53,Josh Ward,194,5
53,Justin Brockhaus Kann,168,4
43,Mattias Ciabatti,43,1
45,Nick Pollard,360,9
58,J Fisher,156,3
51,B Williams,181,5
58,Alex King,160,3
54,Tim Gleeson,188,5
47,Peter Picerelli,231,6
46,Justin Doerner,201,5
41,Ryan Erxleben,41,1
64,Nic Russo,304,7
54,H Mullins,195,4
46,W Scott,222,6
50,K Negrete,137,3
50,S Harding,260,7
67,I Campbell,367,8
54,T Way,325,7
51,Alec Vozenilek,124,3
65,Nick Hicks,345,8
50,Alexander Kinal,288,8
52,Grant Bowden,285,7
49,Korey Durkee,186,5
56,Joel Alesi,98,2
29,Ryan Katz,29,1
46,D Meyer,167,4
51,K Bernard,208,5
49,Ben Campbell,283,7
45,C Smith,45,1
59,T Williams,205,4
65,S Roth,173,4
54,N Florence,54,1
50,C Hover,137,3
45,M Loftus,87,2
46,Ryan Johnson,87,2
51,Joshua Appleby,84,2
53,Landon Foster,88,2
48,AJ Hughes,217,6
50,Sean Poole,280,7
46,Patrick ODonnell,216,5
54,Matt Yoklic,317,7
59,T Bennett,408,9
64,S Sellwood,526,10
58,N Sullivent,178,4
62,T Hornsey,374,8
48,Cody Mandell,224,5
53,Hendrix Brakefield,255,6
49,K Dugandzic,137,3
10,M Scott,10,1
54,Q Sharp,180,4
56,J Hubner,135,3
51,J DuVernois,208,5
66,Gerard Levano,301,7
63,Jeffrey Ondish,356,8
51,Brian Schmiedebusch,230,5
49,Bobby Cowan,189,4
35,Tyler Grassman,59,2
40,Earvin Gonzalez,130,4
61,Riley Stephenson,266,5
74,Tony Epperson,507,10
33,C Leininger,92,3
50,B Miller,250,6
48,Bradley Pinion,117,3
46,Spencer Benton,86,2
56,Scott Kovanda,251,5
47,Richie Hogan,158,4
56,Mike Sadler,99,2
54,Darragh ONeill,263,6
43,Smith Heath,175,5
49,Cole Wagner,324,8
46,Wil Baumann,347,9
54,Pete Kontodiakos,228,5
56,Ben LeCompte,170,4
49,Jay Karutz,254,6
47,Patrick Wright,165,4
58,Jack Griffin,406,10
52,Zach Paul,420,10
46,Cason Beatty,46,1
49,Jacob Thomas,310,8
55,S Poole,141,3
52,P Morgano,344,9
77,Richie Leone,207,4
55,Ryan Allen,295,7
48,Connor Kornbrath,293,8
45,Kirby Van Der Kamp,220,6
51,R Doherty,100,2
39,A Gautreaux,73,2
31,T Cook,31,1
52,Ryan Doerr,52,1
48,Dalton Botts,160,4
52,Landon Foster,152,3
46,Anthony Melchiori,157,4
43,Conner Fryoux,177,5
42,Justin Manton,51,2
58,Dylan Breeding,325,7
53,Ryan Johnson,129,3
52,Chris Sullens,210,5
62,Brad Wing,163,3
53,Korey Durkee,301,8
55,Colter Johnson,441,10
48,Mitchell Voss,154,4
54,Z Murphy,214,5
26,Z Dysert,26,1
46,A Pucylowski,164,4
16,K Faulkner,16,1
53,Will Hagerup,90,2
24,Matt Wile,24,1
71,David Baska,107,2
52,C Eldred,168,4
50,M MacArthur,201,5
54,Jim Broadway,144,3
50,Ian Campbell,301,7
60,Trey Barrow,255,6
42,Collin Barber,256,7
37,Adam Erickson,37,1
37,Tyler Williams,37,1
54,Clark Sechrest,285,7
45,Baker Swedenburg,200,5
46,Steven Clark,245,6
46,J Davis,112,3
51,S Kelly,157,4
58,Chase Tenpenny,293,7
50,Justin Brockhaus Kann,333,8
44,Ryan Neir,127,3
42,James Satterfield,221,6
53,Brandon Williams,249,6
67,Richard Kent,270,6
53,B Turk,218,5
55,C Webster,303,7
53,W Atterberry,267,6
58,R Hersh,416,9
38,Ben Buchanan,73,2
44,Jamie Boyle,78,2
42,Grant Venham,63,2
51,Cayle Chapman Brown,268,7
45,Tress Way,77,2
45,Branden Holdren,360,10
44,Jackson Rice,183,5
49,Andrew Shapiro,226,6
31,Derek Carr,51,2
47,Keith Kostol,245,6
51,Drew Meyer,279,7
57,J Doerner,260,6
44,J Fleck,281,8
69,Scott Garber,305,7
53,Cory Kemps,342,8
51,Tyler Hull,160,4
24,Patrick Fish,24,1
53,Trent Tignor,232,5
42,Seamus McMorrow,146,4
55,Chris Boldt,174,4
48,Harrison Waid,125,3
62,Colton Schmidt,269,6
41,Chase Hover,182,5
39,Nick Sotta,39,1
0,Mike Loftus,31,1
44,Nick Bruno,125,4
45,Brady Attaway,45,1
38,Joe Minden,38,1
53,D Zychlinski,136,3
56,W Monday,330,7
43,Jonathan Fisher,167,4
49,Riley Dixon,61,2
65,Kyle Negrete,150,3
46,Cale Patterson,59,2
48,Fabian Carter,467,11
61,Brandon McManus,239,5
48,Nathan Renfro,124,4
35,Matt Darr,35,1
31,Michael Palardy,31,1
57,Matt Hubbard,358,8
51,Alex King,51,1
