longest punt return, name, punt return yards, punt returns
10,Jamill Smith,10,1
0,Briggs Orsbon,0,1
23,Terrell Jackson,43,3
19,Cody Wilson,28,2
89,Ronald Johnson,100,3
9,Shiloh Keo,9,2
0,Kevin Bush,13,1
11,Josh Lenz,11,1
22,Eugene Jarvis,46,5
16,Dri Archer,25,3
16,Travis Benjamin,17,2
15,Lamar Miller,15,1
9,Brandon Green,18,2
18,Rishard Matthews,33,3
12,Jordan Hall,19,3
11,Corey Brown,11,1
2,Jermaine Kelson,2,1
28,Mason Robinson,29,2
0,Brandon Bing,28,1
3,Joe Lefeged,3,0
17,Francisco Llanos,17,1
13,Tracey Lampley,13,1
14,Casey Robottom,20,3
16,Pat Shed,27,5
1,Avery Holley,1,1
0,Taviuos Polo,-4,2
0,Shaky Smithson,-2,1
0,Antwuan Reed,18,1
28,Ryan Alderman,28,1
11,Delano Green,6,2
0,Eric Page,-10,3
35,William Wright,47,3
32,Anthony Wright Jr,74,5
0,Jon Davis,0,1
0,Prince Tyson Gulley,2,1
3,Marquis Maze,8,1
1,Darius Hanks,1,1
0,Julio Jones,0,1
7,Joe Adams,7,1
18,Quindarius Carr,47,5
7,Dwayne Frampton,7,1
10,Jamal Miles,10,1
0,Derrall Anderson,5,1
19,Krys Buerck,41,3
0,Jarred Salubi,-14,1
7,Chris Fox,7,1
6,DeLeon Gause,3,2
20,ONeill Chambers,26,2
37,Jeremy Ross,55,3
19,AJ Guyton,34,3
29,Marcus Gilchrist,41,2
6,Royce Hill,3,2
24,Momo Thomas,38,5
25,Travon Patterson,46,4
15,Chris Rainey,15,1
0,Matt Elam,0,1
74,Greg Reid,74,1
0,Chris Thompson,4,1
7,Rashad Evans,6,2
0,DJ Woods,0,1
31,Branden Smith,51,3
11,Daniel McKayhan,11,1
40,Patrick Edwards,52,2
42,Paki OMeara,42,1
10,Colin Sandeman,17,2
6,Daymond Patterson,8,5
20,Tramaine Thompson,38,3
12,Taylor Embree,14,2
28,Doug Beaumont,28,1
0,Randall Cobb,-8,1
5,Phillip Livas,5,1
8,Mark Dell,8,1
8,Keshawn Martin,5,2
12,Jordan White,30,5
7,Jeremy Gallon,7,1
0,Jesse Grandy,0,1
15,Carl Gettis,20,3
6,Jarred Fayson,6,1
3,Jack Ramsey,3,1
35,Chad Bumphis,49,4
1,Curtis Johnson,1,1
87,Patrick Peterson,157,4
6,Rueben Randle,6,1
9,Justin Byers,9,1
31,Niles Paul,58,3
8,Willie McNeal,10,2
38,Armando Allen,38,1
13,Travis Carrie,13,1
0,James Thomas,17,1
7,Josh Cooper,5,2
0,Justin Gilbert,-10,2
14,Leon Brooks,14,1
64,Cliff Harris,125,2
9,Kenjon Barner,9,1
20,Devon Smith,20,1
5,Justin Brown,4,2
25,Aaron Williams,25,3
17,Curtis Brown,17,1
23,Leon McFadden,33,3
14,Larry Parker,14,2
30,Jonny Sitton,30,1
10,Faron Hornes,14,1
0,JaQuez Jenkins,12,1
0,Chris Lane,-13,1
8,Doug Baldwin,8,1
34,Jeremy Kerley,42,3
13,James Rodgers,13,2
0,Gerald Jones,-8,2
21,Jerrel Jernigan,34,3
63,Eugene Cooper,72,2
12,Kenric McNeal,41,5
20,Marcus Sullivan,20,1
0,Sidney Hodge,-2,1
2,David Gilreath,2,1
11,Braxton Amy,36,4
0,Zac Stacy,-1,1
0,Hunter Bates,-3,1
2,Chase Minnifield,2,1
6,Brandon Hogan,10,2
4,Dwayne Harris,7,2
15,Damaris Johnson,41,3
7,Detron Lewis,12,2
16,Kenneth Acker,10,2
57,Tony Logan,57,1
8,Gary Myers,13,2
0,Jayron Hosley,0,1
25,Mitch Burroughs,40,3
0,Austin Pettis,4,1
4,Chad Bumphis,4,1
