kickoff yards, kickoffs, longest kickoffs, longest punt, name, punt yards, punts
0,0,0,0,N Setta,391,9
0,0,0,0,E Johnson,391,11
0,0,0,53,B Dales,311,7
711,10,89,50,D Duval,87,2
326,5,68,0,N Prefontaine,460,11
0,0,0,43,M Renaud,466,14
432,6,93,50,J Boreham,0,6
282,5,64,56,P McCallum,0,8
0,0,0,59,D Duval,200,5
0,0,0,55,N Prefontaine,167,6
0,0,0,58,M Renaud,0,8
0,0,0,62,B Dales,0,7
0,0,0,0,P Jackson,0,2
0,0,0,0,P McCallum,0,4
0,0,0,0,T Lulay,0,1
0,0,0,0,N Setta,0,4
452,8,69,0,J Medlock,173,4
548,9,71,0,J Boreham,268,6
310,5,65,18,N Prefontaine,378,8
421,7,66,57,S Whyte,304,7
0,0,0,48,B Dales,0,6
267,4,95,0,J Medlock,0,8
176,3,67,61,J Boreham,321,9
575,9,85,64,D Duval,178,4
329,6,73,73,N Setta,300,6
0,0,0,45,M Renaud,283,9
0,0,0,47,M Renaud,431,12
0,0,0,49,J Medlock,296,8
174,3,60,47,S Whyte,310,9
0,0,0,61,B Dales,267,6
438,7,79,55,J Boreham,365,8
519,8,72,62,N Prefontaine,301,6
0,0,0,0,N Prefontaine,0,4
0,0,0,0,D Duval,0,5
425,7,71,49,N Setta,0,7
180,3,65,51,S Whyte,0,5
0,0,0,54,J Medlock,46,5
0,0,0,58,M Renaud,39,9
0,0,0,47,B Dales,0,5
219,3,95,67,J Boreham,0,7
0,0,0,0,D Duval,325,7
128,2,67,0,J Medlock,303,8
330,6,65,51,N Setta,0,8
314,5,66,47,N Prefontaine,0,6
0,0,0,71,B Dales,0,8
0,0,0,57,M Renaud,0,6
422,7,66,0,N Prefontaine,0,5
0,0,0,0,B Dales,0,6
497,9,67,51,J Medlock,0,7
366,6,65,50,S Whyte,0,8
0,0,0,15,M Renaud,0,8
488,8,71,60,D Duval,0,9
0,0,0,58,J Boreham,262,8
0,0,0,52,N Setta,317,9
0,0,0,61,D Duval,0,8
0,0,0,49,J Boreham,0,5
0,0,0,46,S Whyte,200,5
0,0,0,46,M Renaud,217,6
0,0,0,50,J Medlock,0,11
0,0,0,56,B Dales,0,8
247,4,71,47,S Whyte,0,8
241,4,62,4,D Duval,0,8
424,6,95,61,J Boreham,0,8
0,0,0,48,M Renaud,0,6
522,9,71,47,N Setta,0,7
0,0,0,61,E Johnson,0,5
0,0,0,48,B Dales,0,5
161,4,61,50,N Prefontaine,0,5
0,0,0,0,J Medlock,0,10
323,5,67,56,N Setta,0,8
436,7,69,0,N Prefontaine,0,10
0,0,0,0,B Dales,0,7
363,5,80,51,D Duval,0,7
313,5,67,52,S Whyte,0,9
0,0,0,55,M Renaud,0,9
732,11,95,55,J Boreham,0,6
0,0,0,53,N Setta,0,5
0,0,0,54,B Dales,0,8
410,7,63,68,S Whyte,0,6
242,4,67,49,J Medlock,0,8
463,7,95,70,D Duval,343,7
0,0,0,59,M Renaud,371,8
387,7,95,0,J Boreham,165,4
256,5,70,0,N Prefontaine,204,5
107,2,57,62,N Setta,408,9
389,7,67,42,D Duval,118,4
0,0,0,68,B Dales,173,3
369,6,69,34,S Deangelis,34,1
259,4,68,56,S Whyte,197,5
288,6,60,0,N Prefontaine,330,9
286,5,64,0,J Boreham,311,8
0,0,0,0,M Renaud,335,8
440,7,78,0,J Medlock,231,7
0,0,0,53,M Renaud,0,11
348,6,65,54,N Prefontaine,0,8
406,7,64,0,S Whyte,0,3
226,4,69,0,J Boreham,0,8
138,2,71,53,J Medlock,0,9
487,7,74,54,D Duval,0,7
0,0,0,43,B Dales,35,8
225,4,68,70,N Setta,49,4
378,7,62,0,N Prefontaine,286,7
415,7,64,0,P McCallum,0,8
380,7,61,53,L Congi,27,5
243,5,65,53,J Medlock,44,7
0,0,0,52,D Duval,270,7
0,0,0,62,B Dales,366,8
221,5,62,54,N Setta,0,10
429,8,66,68,A Serna,0,5
0,0,0,24,M Renaud,0,1
317,5,66,0,J Medlock,0,7
237,4,60,0,N Prefontaine,0,9
0,0,0,0,B Dales,0,6
0,0,0,0,L Congi,0,5
501,8,70,57,D Duval,0,6
448,8,71,55,N Setta,0,5
374,6,15,52,A Serna,0,7
293,5,71,0,P McCallum,0,7
259,4,65,57,J Medlock,0,7
371,7,66,55,N Setta,0,7
0,0,0,53,B Dales,0,8
190,3,68,57,N Prefontaine,0,6
0,0,0,52,T Westwood,0,8
377,6,67,0,D Duval,0,8
0,0,0,54,L Congi,0,9
358,6,70,57,P McCallum,0,11
475,9,61,45,D Schiavone,37,5
108,2,63,50,J Medlock,40,9
343,7,72,63,N Setta,258,7
0,0,0,28,J Patrick,0,1
45,1,45,57,L Sakoda,0,7
368,7,63,48,P McCallum,335,8
0,0,0,64,B Dales,509,11
685,11,68,59,D Duval,0,6
0,0,0,61,T Westwood,0,11
244,4,63,46,P McCallum,0,6
394,8,62,50,N Prefontaine,41,3
266,5,63,67,J Medlock,237,5
727,11,72,50,D Duval,150,4
402,6,90,0,L Sakoda,0,6
0,0,0,0,B Dales,0,5
0,0,0,74,T Westwood,683,14
0,0,0,61,J Ito,403,10
0,0,0,67,B Dales,309,6
340,5,83,0,N Prefontaine,339,8
336,6,64,0,N Setta,372,9
0,0,0,52,P McCallum,355,8
0,0,0,56,D Duval,197,4
0,0,0,56,P McCallum,373,8
346,6,68,50,L Sakoda,0,7
0,0,0,46,B Dales,0,6
332,5,75,58,D Duval,314,8
267,4,85,62,L Sakoda,289,6
