longest rush, name, rushes, rushing touchdowns, rushing yards
28,B Whitaker,17,0,119
20,A Calvillo,1,0,20
4,D Diedrick,2,0,6
5,B Bratton,1,0,5
2,A McPherson,1,0,2
10,T Lulay,3,0,27
12,J Robertson,1,0,12
12,A Harris,2,0,12
7,N Moore,1,0,7
2,S Gore,1,0,2
20,A Cobourne,15,0,75
13,Q Porter,5,0,19
2,K Glenn,1,0,2
11,F Reid,16,0,87
24,B Pierce,1,0,24
2,A Brink,1,0,2
14,J Reynolds,12,1,57
34,H Burris,3,0,50
1,M Bishop,1,0,1
3,J Cornish,2,1,0
33,C Boyd,17,1,100
10,A Durie,1,0,10
6,C Lemon,3,0,10
24,W Cates,10,1,56
11,D Durant,2,0,15
10,J Messam,9,0,37
7,D Porter,10,1,33
9,C McCarty,6,0,28
13,R Ray,1,0,13
1,K Joseph,3,1,2
13,F Reid,19,1,63
14,B Pierce,4,0,34
10,C Denmark,1,0,10
2,A Brink,1,0,2
9,C Lemon,3,1,22
11,J Johnson,2,0,17
6,C Boyd,7,0,14
2,C Owens,1,0,2
18,T Lulay,4,1,28
6,T Brown,1,1,6
5,S Black,1,0,5
1,A Harris,2,0,2
3,J Robertson,3,0,1
16,J Reynolds,8,0,41
14,H Burris,3,0,28
19,J Cornish,4,0,22
2,M Bishop,3,1,4
8,L Taylor,2,0,2
16,W Cates,7,1,54
12,D Durant,2,0,18
2,N Hughes,2,1,3
9,D Diedrick,7,0,30
8,B Whitaker,6,0,20
2,A McPherson,4,0,7
5,B Bratton,1,0,5
32,J Messam,17,2,104
5,C McCarty,11,0,39
9,R Ray,4,0,22
2,K Joseph,1,0,2
8,A Cobourne,9,0,35
14,C Williams,1,0,14
0,K Glenn,1,0,0
12,F Reid,17,0,87
9,B Pierce,2,0,11
4,J Elliott,2,0,8
1,A Brink,2,1,2
16,J Reynolds,7,0,40
11,H Burris,4,0,24
10,M Bishop,2,0,12
3,J Cornish,3,0,9
7,L Taylor,2,0,9
1,R Bryant,1,0,1
43,B Whitaker,16,1,120
5,D Diedrick,5,0,21
7,A McPherson,6,0,16
5,A Calvillo,1,0,5
14,C Kackert,11,0,39
8,C Lemon,2,1,13
0,B Hall,1,0,0
10,A Cobourne,10,0,54
20,M Thigpen,9,1,40
9,K Glenn,3,0,21
2,Q Porter,2,0,4
6,W Cates,10,0,38
7,D Durant,2,0,7
11,J Messam,11,0,52
27,R Ray,4,0,49
8,D Porter,9,1,22
4,C McCarty,3,0,9
7,M Bertrand,1,0,7
3,K Joseph,2,0,5
19,J Robertson,3,0,27
13,A Harris,4,0,26
3,T Lulay,1,0,3
14,J Robertson,14,2,72
12,D Collins,2,0,19
7,A Harris,2,0,13
3,J Jackson,1,0,3
1,T Lulay,2,0,2
46,A Cobourne,14,2,100
24,M Thigpen,2,0,26
9,K Glenn,3,0,16
6,C Williams,1,0,6
2,Q Porter,3,0,4
16,C Kackert,13,2,74
36,A Durie,3,0,42
14,C Lemon,1,0,14
1,B Hall,1,0,1
20,F Reid,19,0,84
8,B Pierce,6,0,24
11,C Volny,2,0,12
11,P Floyd,1,0,11
20,J Reynolds,8,0,44
20,J Cornish,6,0,38
7,H Burris,3,0,18
7,A Parker,1,0,7
18,A Whitlock,10,0,56
7,J Messam,6,0,27
6,C McCarty,2,0,8
4,R Ray,2,0,4
16,B Whitaker,8,0,54
11,A McPherson,10,2,41
13,A Calvillo,1,0,13
6,D Diedrick,1,0,6
2,B Bratton,1,0,2
22,D Durant,7,0,71
23,W Cates,14,1,69
26,H Charles,5,0,35
17,F Reid,13,0,53
15,A Brink,4,0,33
7,B Pierce,4,0,19
19,T Brown,9,0,74
19,T Lulay,4,0,37
9,J Robertson,7,1,28
3,J Jackson,2,0,6
3,D Collins,1,0,3
17,A Cobourne,15,0,67
12,K Glenn,1,0,12
4,Q Porter,1,1,4
7,B Whitaker,7,0,30
3,A McPherson,3,0,7
1,D Diedrick,1,1,1
0,A Calvillo,1,0,0
16,J Messam,12,0,54
10,A Whitlock,7,0,36
6,R Ray,1,0,6
1,K Joseph,2,1,1
23,C Kackert,20,2,139
7,A Durie,3,0,14
1,D Bell,1,0,1
20,H Charles,11,0,69
9,D Durant,2,1,10
26,J Reynolds,10,0,57
16,H Burris,5,1,47
22,J Cornish,3,0,26
10,L Taylor,1,0,10
19,C Kackert,10,0,62
9,A Durie,2,0,11
2,S Watt,1,0,2
58,B Whitaker,19,0,150
5,D Diedrick,5,3,12
5,A Calvillo,1,0,5
4,A McPherson,1,0,4
1,K Watkins,1,0,1
20,F Reid,19,0,96
48,B Pierce,6,1,54
15,C Denmark,1,0,15
2,A Brink,1,0,2
17,J Messam,8,0,50
8,R Ray,4,0,23
12,D Porter,4,0,12
1,C McCarty,1,0,1
1,K Joseph,1,0,1
13,J Robertson,10,0,56
19,S Gore,1,0,19
9,T Lulay,4,0,18
6,A Harris,4,0,14
6,T Brown,2,1,7
9,H Charles,9,0,42
16,B West,4,0,34
13,D Durant,3,0,27
2,N Hughes,1,0,2
14,J Reynolds,10,1,41
13,H Burris,2,0,22
6,J Cornish,4,1,19
2,D Tate,3,0,6
12,A Cobourne,15,1,67
2,K Glenn,1,0,2
2,Q Porter,1,0,2
27,B Whitaker,12,0,73
16,D Diedrick,3,0,22
6,A Calvillo,2,0,8
4,A McPherson,2,0,7
3,B Bratton,1,0,3
5,C McCarty,2,0,1
1,R Ray,1,0,1
35,H Charles,11,1,94
5,D Durant,2,0,6
3,N Hughes,2,1,4
3,R Dinwiddie,1,0,3
2,B West,2,0,2
14,J Reynolds,11,1,59
15,J Cornish,3,0,16
8,H Burris,1,0,8
2,D Tate,5,1,6
3,L Taylor,1,0,3
10,A Cobourne,13,1,61
8,M Thigpen,2,0,9
7,K Glenn,2,0,9
2,Q Porter,6,1,8
2,C Williams,1,0,2
8,C Boyd,16,1,73
21,J Johnson,1,0,21
16,C Lemon,1,0,16
12,D Bell,1,0,12
4,A Durie,1,0,4
1,B Hall,1,0,1
20,T Lulay,3,0,26
11,J Jackson,2,0,22
6,T Brown,3,1,11
