at bats, average, batting order, doubles, hit by pitchers, hits, home runs, left on base, name, position, rbi, runs, sacrifice flies, strike outs, triples, walks
5,0,1,0,[],0,0,2,Carl Crawford,,0,0,0,1,0,0
5,400,2,1,[],2,0,1,Damian Rolls,,0,0,0,0,0,0
4,250,3,0,[],1,0,2,Rocco Baldelli,,0,1,0,1,0,1
5,400,4,0,[],2,0,4,Aubrey Huff,,1,1,0,1,0,0
4,250,5,0,[],1,1,4,Jose Cruz,,1,2,0,0,0,1
3,1000,6,1,[],3,1,0,Tino Martinez,,2,3,0,0,0,1
4,250,7,1,[],1,0,1,Julio Lugo,,1,1,0,0,0,0
4,750,8,1,[],3,0,2,Toby Hall,,3,0,0,0,0,0
4,500,9,0,[],2,0,2,Rey Sanchez,,0,0,0,0,0,0
5,0,1,0,[],0,0,2,Derek Jeter,,0,0,0,1,0,0
4,250,2,1,[],1,0,0,Hideki Matsui,,0,1,0,0,0,0
4,250,3,1,[],1,0,1,Alex Rodriguez,,0,1,0,2,0,0
4,500,4,1,[],2,1,1,Jason Giambi,,2,1,0,0,0,0
2,1000,5,1,[],2,0,0,Gary Sheffield,,1,0,0,0,0,2
4,0,6,0,[],0,0,4,Jorge Posada,,0,0,0,2,0,0
4,0,7,0,[],0,0,2,Ruben Sierra,,0,0,0,1,0,0
4,0,8,0,[],0,0,1,Enrique Wilson,,0,0,0,0,0,0
3,333,9,0,[],1,0,0,Kenny Lofton,,0,0,0,0,1,1
4,111,1,0,[],1,0,2,Carl Crawford,,0,1,0,0,0,0
4,222,2,0,[],0,0,2,Damian Rolls,,0,0,0,1,0,0
4,125,3,0,[],0,0,1,Rocco Baldelli,,0,0,0,1,0,0
4,333,4,0,[],1,0,0,Aubrey Huff,,1,0,0,1,0,0
3,286,5,0,[],1,0,1,Jose Cruz,,0,0,0,0,0,0
3,500,6,0,[],0,0,1,Tino Martinez,,0,0,0,1,0,0
3,143,7,0,[],0,0,0,Julio Lugo,,0,0,0,2,0,0
2,833,8,1,[],2,0,0,Toby Hall,,0,0,0,0,0,0
2,500,9,0,[],1,0,1,Rey Sanchez,,0,0,0,0,0,0
1,0,,0,[],0,0,0,Brook Fordyce,,0,0,0,0,0,0
1,0,,0,[],0,0,0,Geoff Blum,,0,0,0,1,0,0
1,0,,0,[],0,0,0,Robert Fick,,0,0,0,0,0,0
0,0,,0,[],0,0,0,Charles Gipson,,0,0,0,0,0,0
3,125,1,0,[],1,0,1,Derek Jeter,,1,1,0,0,0,1
5,333,2,0,[],2,1,5,Hideki Matsui,,3,1,0,1,0,0
5,111,3,0,[],0,0,6,Alex Rodriguez,,0,0,0,0,0,0
1,400,4,0,[],0,0,0,Jason Giambi,,0,2,0,0,0,3
0,0,,0,[],0,0,0,Bubba Crosby,,0,0,0,0,0,0
3,600,5,0,[],1,0,1,Gary Sheffield,,0,3,0,0,0,2
5,222,6,0,[],2,2,3,Jorge Posada,,6,2,0,0,0,0
4,250,7,0,[],1,1,0,Tony Clark,,2,2,0,2,0,1
5,222,8,0,[],2,0,0,Enrique Wilson,,0,0,0,0,0,0
4,429,9,0,[],2,0,1,Kenny Lofton,,0,1,0,1,0,1
4,0,1,0,[],0,0,3,Brian Roberts,,0,0,0,1,0,1
4,250,2,0,[],1,0,3,Melvin Mora,,0,1,0,2,0,1
4,500,3,0,[],2,0,3,Miguel Tejada,,0,1,0,0,0,0
3,667,4,0,[],2,0,1,Rafael Palmeiro,,1,1,0,0,0,1
4,750,5,1,[],3,1,2,Javy Lopez,,3,1,0,0,0,0
4,250,6,0,[],1,0,2,Jay Gibbons,,0,1,0,0,0,0
3,333,7,1,[],1,0,0,David Segui,,0,1,0,0,0,0
0,0,,0,[],0,0,0,Jose Bautista,,0,1,0,0,0,0
4,0,8,0,[],0,0,1,Larry Bigbie,,0,0,0,2,0,0
4,250,9,0,[],1,0,1,Luis Matos,,1,0,0,2,0,0
5,0,1,0,[],0,0,4,Johnny Damon,,1,0,0,0,0,0
5,600,2,0,[],3,0,2,Bill Mueller,,0,0,0,0,0,0
5,400,3,0,[],2,0,2,Manny Ramirez,,1,0,0,1,0,0
2,0,4,0,[],0,0,3,David Ortiz,,0,0,0,1,0,1
1,0,,0,[],0,0,0,Ellis Burks,,0,0,0,0,0,0
5,200,5,0,[],1,0,3,Kevin Millar,,0,0,0,1,0,0
5,600,6,0,[],3,0,0,Gabe Kapler,,0,0,0,0,0,0
