assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, rebounds, steals, three pointers attempted, three pointers made, turnovers
2,0,3,7,3,5,0,0,26.717,Shenise Johnson,2,-9,7,5,1,2,1,0
2,3,4,9,2,4,2,2,25.533,Tamika Catchings,0,-3,6,4,1,3,0,0
4,0,9,3,3,5,8,8,29.900,Erlana Larkins,4,2,14,13,2,0,0,3
0,0,0,10,7,3,4,2,31.900,Tiffany Mitchell,1,-2,18,1,0,3,2,3
0,0,2,10,3,5,8,6,22.967,Erica Wheeler,0,0,13,2,1,2,1,4
0,0,3,4,1,2,0,0,14.250,Devereaux Peters,0,-4,2,3,0,0,0,3
0,0,0,6,3,3,2,0,18.217,Brene Moseley,0,-11,7,0,2,2,1,4
1,0,2,7,4,1,2,2,18.750,Maggie Lucas,0,-16,11,2,1,3,1,1
0,0,2,1,0,1,0,0,4.233,Lynetta Kizer,0,-7,0,2,0,0,0,0
1,0,1,0,0,0,2,1,7.533,Natalie Achonwa,1,-5,1,2,0,0,0,1
1,0,5,12,5,2,4,3,31.550,Karima Christmas,1,4,13,6,3,4,0,1
1,2,5,11,7,5,1,1,29.000,Plenette Pierson,0,10,17,5,2,3,2,3
0,0,5,4,3,4,4,3,20.417,Courtney Paris,4,7,9,9,0,0,0,1
2,0,1,1,1,1,3,3,25.883,Erin Phillips,0,5,6,1,0,1,1,1
4,0,5,11,2,3,10,10,27.667,Odyssey Sims,1,7,14,6,3,2,0,4
1,0,2,8,5,3,0,0,17.433,Theresa Plaisance,3,5,12,5,0,2,2,1
0,0,1,8,3,2,0,0,16.150,Jordan Hooper,0,2,7,1,0,4,1,1
1,0,0,3,1,0,0,0,12.333,Brianna Kiesel,0,4,3,0,1,1,1,1
1,0,1,6,0,3,12,8,17.417,Aerial Powers,0,12,8,1,1,1,0,0
0,0,1,0,0,1,2,1,2.150,Ruth Hamblin,2,-1,1,3,0,0,0,0
0,0,6,5,2,4,4,3,24.067,Kahleah Copper,1,9,7,7,2,1,0,4
0,1,2,7,1,3,4,4,28.533,Emma Meesseman,0,-2,6,2,1,1,0,0
0,1,3,11,4,1,4,1,26.333,Stefanie Dolson,3,-7,9,6,0,1,0,2
4,0,2,3,0,4,6,5,27.567,Natasha Cloud,1,-19,5,3,0,1,0,1
3,1,6,15,6,1,4,4,32.550,Tayler Hill,2,-3,20,8,1,8,4,2
0,0,3,4,2,1,0,0,13.850,Kia Vaughn,1,-7,4,4,0,0,0,0
3,0,2,14,6,5,1,1,25.467,Bria Hartley,2,-10,17,4,1,6,4,2
1,0,2,3,0,0,1,1,10.350,Ally Malott,0,-10,1,2,0,0,0,0
0,0,2,5,3,2,0,0,11.283,Tianna Hawkins,1,-6,7,3,0,2,1,2
3,0,3,4,3,4,4,3,22.383,Tanisha Wright,0,12,9,3,1,0,0,1
4,1,8,21,11,2,2,2,32.467,Tina Charles,3,15,24,11,0,0,0,2
0,1,2,4,3,3,2,2,21.233,Carolyn Swords,0,-2,8,2,0,0,0,0
4,0,3,7,1,3,6,5,14.817,Brittany Boyd,0,-7,7,3,2,2,0,0
2,2,5,14,7,3,2,2,31.450,Sugar Rodgers,0,8,19,5,4,8,3,0
2,1,1,6,2,1,6,4,26.850,Shavonte Zellous,1,9,8,2,0,2,0,1
7,0,4,5,2,4,2,2,23.133,Lindsey Harding,0,9,6,4,0,1,0,1
1,3,3,5,3,2,0,0,21.383,Kiah Stokes,0,13,6,3,0,0,0,1
0,0,0,1,0,1,0,0,6.083,Amanda Zahui B,1,1,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0.217,Ameryst Alston,0,-3,0,0,0,0,0,0
10,0,3,18,10,4,5,5,31.983,Maya Moore,0,20,27,3,0,6,2,2
2,0,5,5,1,1,0,0,26.367,Rebekkah Brunson,1,9,2,6,2,0,0,1
