interception touchdowns, interception yards, interceptions, name
0,15,1,BJ Machen
0,13,1,Cameron Truss
0,6,1,Martavius Neloms
0,4,1,Ronnie Sneed
0,0,2,Winston Guy Jr
0,0,1,Derrius Brooks
0,0,1,Jared Clendenin
0,0,1,Vince Williams
0,5,1,Dexter Heyman
0,0,1,Mike Evans
0,0,1,Anthony Conner
0,0,1,Nickoe Whitley
0,37,2,Duron Harmon
0,0,1,Kevyn Scott
0,25,1,Justin Gildea
0,0,2,Kevin Kroboth
0,5,1,Diauntae Morrow
0,1,1,Anthony Washington
0,60,2,Brian Blechen
0,11,1,Mike Hicks
0,13,1,Isaiah Lewis
0,21,1,Jamil Cooks
0,1,1,Jon Davis
0,0,1,Anthony Wright Jr
0,0,1,Phelon Jones
0,37,1,Norman Wolfe
0,19,1,Leon Green
0,0,1,Sidney Saulter
0,0,1,Josh Pleasant
0,12,1,Jerico Nelson
0,0,1,Trevin Wade
0,23,1,Luke Kuechly
0,0,1,Jordan Mabin
0,0,1,Steve Williams
0,2,1,LJ Jones
0,32,1,Josh Robinson
0,21,1,Aaron Roberson
0,11,1,JK Schaffer
0,0,1,Robert Smith
0,50,1,Barry Valcin
0,0,1,Byron Jones
0,0,1,Walt Canty
0,33,1,Marcus Bartels
0,4,1,Toney Moore
0,0,1,Keith Reaser
0,0,1,Lamarcus Joyner
0,0,1,Darius Prelow
0,9,1,Branden Smith
0,0,1,Jerell Gavins
0,32,1,Art Laurel
0,0,1,Trulon Henry
0,89,1,Shaun Prater
0,52,1,James Morris
0,0,2,Nigel Malone
0,-2,1,Tharold Simon
0,94,1,Brandon Herron
0,96,1,Charles Sawyer
0,0,1,EJ Gaines
0,5,1,Dayonne Nunley
0,26,1,Kwesi Mitchell
0,50,2,David Amerson
0,13,1,Earl Wolff
0,0,1,DJ Green
0,1,1,Cameron Meredith
0,-5,1,Rashaan Melvin
0,2,1,Tyler Dickson
0,15,1,Donyae Coleman
0,17,1,Xavier Hughes
0,0,1,Michael Lanaris
0,0,1,Devekeyan Lattimore
0,0,1,Jerrell Young
0,0,1,Andrew Sweat
0,27,1,Frank Alexander
0,26,1,Devin Hedgepeth
0,50,1,Jemarlous Moten
0,49,2,Dwight Bentley
0,47,1,Chas Alecxih
0,46,1,Adrian Amos
0,33,1,Drew Astorino
0,1,1,Dwayne Beckford
0,34,1,Eric Russell
0,3,1,Melvin Ingram
0,3,1,Dave Clark
0,37,1,Art Evans
0,0,1,Derrick Strozier
0,0,1,Torin Harris
0,0,1,Travaun Nixon
0,22,1,Casey Hayward
0,21,1,Trey Wilson
0,31,1,Demetrious Nicholson
0,43,1,Eddie Whitley
0,26,1,Jeron Gouveia Winslow
0,0,1,Derek DiNardo
0,7,1,Garret Gilliland
0,0,1,Desmond Trufant
0,67,1,Alex Hoffman Ellis
0,0,1,Marlon Pollard
0,51,1,Steven Campbell
0,30,1,Trent Hunter
0,54,1,Cameron Chism
0,3,1,Kenny Tate
0,0,1,Vaughn Telemaque
