extra points, extra points attemped, field goals, field goals attemped, longest field goal, name
0,0,1,2,0,N Setta
0,0,1,1,0,E Johnson
0,0,2,2,41,S Deangelis
0,0,5,5,48,D Duval
0,0,1,1,19,N Prefontaine
0,0,0,1,0,A Serna
0,0,2,2,37,L Congi
0,0,1,2,38,P McCallum
0,0,4,2,0,D Duval
0,0,3,3,0,N Prefontaine
0,0,2,3,40,A Serna
0,0,1,1,45,S Deangelis
0,0,0,1,45,P McCallum
0,0,3,6,51,N Setta
0,0,3,3,40,J Medlock
0,0,4,3,41,L Congi
0,0,1,1,23,S Whyte
0,0,3,3,42,S Deangelis
0,0,3,3,28,J Medlock
0,0,5,4,40,D Duval
0,0,3,4,42,N Setta
0,0,2,2,49,A Serna
0,0,2,3,47,D Duval
0,0,2,3,41,N Setta
0,0,1,1,0,A Serna
0,0,4,4,0,J Medlock
0,0,1,1,45,S Whyte
0,0,4,4,47,S Deangelis
0,0,1,1,27,L Congi
0,0,3,3,42,N Prefontaine
0,0,2,1,33,N Prefontaine
0,0,4,4,37,D Duval
0,0,3,3,50,N Setta
0,0,1,2,29,S Whyte
0,0,1,2,0,J Medlock
0,0,2,2,0,A Serna
0,0,4,3,35,S Deangelis
0,0,3,1,18,L Congi
0,0,1,0,0,D Duval
0,0,4,4,38,N Prefontaine
0,0,3,3,48,S Deangelis
0,0,3,3,54,A Serna
0,0,1,1,25,N Prefontaine
0,0,2,2,33,S Deangelis
0,0,7,7,52,J Medlock
0,0,1,2,9,S Whyte
0,0,4,5,44,A Serna
0,0,4,4,24,D Duval
0,0,3,4,38,L Congi
0,0,3,3,43,N Setta
0,0,1,1,0,D Duval
0,0,1,2,0,S Whyte
0,0,3,3,0,A Serna
0,0,2,2,0,J Medlock
0,0,1,1,35,D Carpenter
0,0,2,2,42,S Deangelis
0,0,3,3,0,N Prefontaine
0,0,2,2,0,N Setta
0,0,1,2,27,S Whyte
0,0,1,2,36,D Duval
0,0,2,3,29,L Congi
0,0,2,2,48,A Serna
0,0,4,5,29,N Setta
0,0,2,4,47,J Medlock
0,0,3,3,44,S Deangelis
0,0,0,2,0,N Prefontaine
0,0,3,4,28,J Medlock
0,0,3,5,36,N Setta
0,0,2,2,33,N Prefontaine
0,0,2,3,44,S Deangelis
0,0,2,2,25,D Duval
0,0,2,1,33,S Whyte
0,0,1,1,48,A Serna
0,0,6,6,40,L Congi
0,0,3,4,0,N Setta
0,0,1,2,0,S Deangelis
0,0,5,6,41,S Whyte
0,0,1,1,44,J Medlock
0,0,5,5,33,D Duval
0,0,2,2,22,L Congi
0,0,2,3,25,D Duval
0,0,2,3,39,S Deangelis
0,0,1,1,18,S Whyte
0,0,2,2,42,N Prefontaine
0,0,2,2,36,L Congi
0,0,4,5,53,A Serna
0,0,3,3,45,J Medlock
0,0,3,3,41,A Serna
0,0,3,2,41,N Prefontaine
0,0,6,4,43,S Whyte
0,0,2,2,49,L Congi
0,0,0,1,0,J Medlock
0,0,4,4,53,D Duval
0,0,5,6,37,S Deangelis
0,0,1,3,34,N Setta
0,0,3,5,42,N Prefontaine
0,0,2,2,40,P McCallum
0,0,1,1,12,L Congi
0,0,2,2,42,J Medlock
0,0,1,2,12,D Duval
0,0,3,3,38,S Deangelis
0,0,4,3,43,A Serna
0,0,4,4,37,J Medlock
0,0,0,1,0,N Prefontaine
0,0,2,2,0,S Deangelis
0,0,2,3,0,L Congi
0,0,2,2,42,D Duval
0,0,3,3,44,N Setta
0,0,6,4,0,A Serna
0,0,3,3,47,P McCallum
0,0,1,2,17,J Medlock
0,0,4,4,45,N Setta
0,0,2,3,25,N Prefontaine
0,0,4,4,29,A Serna
0,0,3,3,0,D Duval
0,0,5,3,0,L Congi
0,0,3,3,46,P McCallum
0,0,5,5,33,D Schiavone
0,0,1,1,26,J Medlock
0,0,3,3,46,N Setta
0,0,1,3,33,L Congi
0,0,4,4,43,P McCallum
0,0,1,1,27,S Deangelis
0,0,6,6,42,D Duval
0,0,2,3,40,A Serna
0,0,2,2,43,P McCallum
0,0,1,1,35,N Prefontaine
0,0,3,3,33,J Medlock
0,0,7,7,48,D Duval
0,0,2,2,37,L Congi
0,0,2,3,24,S Deangelis
0,0,0,1,0,A Serna
0,0,3,3,0,J Ito
0,0,3,3,21,S Deangelis
0,0,2,2,36,N Prefontaine
0,0,4,5,46,N Setta
0,0,4,4,43,P McCallum
0,0,2,3,47,D Duval
0,0,1,1,37,P McCallum
0,0,2,3,43,L Congi
0,0,1,2,47,S Deangelis
0,0,2,2,33,D Duval
0,0,4,5,44,L Congi
