assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, rebounds, steals, three pointers attempted, three pointers made, turnovers
2,0,6,19,6,4,0,0,26.867,Tina Charles,1,14,12,7,0,1,0,1
4,0,1,3,2,2,8,6,23.000,Shavonte Zellous,0,12,10,1,0,0,0,2
2,1,2,3,1,3,0,0,17.717,Kiah Stokes,2,6,2,4,0,0,0,0
2,0,3,5,3,2,6,4,15.767,Brittany Boyd,1,7,10,4,1,0,0,1
2,0,4,8,2,1,2,2,23.633,Sugar Rodgers,1,4,7,5,0,4,1,2
3,0,4,1,0,2,0,0,18.450,Bria Hartley,0,0,0,4,0,1,0,1
2,0,2,8,2,2,9,7,22.150,Epiphanny Prince,1,7,11,3,2,1,0,0
0,0,2,5,3,2,2,1,22.283,Kia Vaughn,1,3,7,3,0,0,0,1
1,0,1,6,5,2,0,0,17.000,Cierra Burdick,1,-3,10,2,1,0,0,1
0,0,1,2,2,3,0,0,5.950,Amanda Zahui B,1,1,4,2,0,0,0,2
0,0,0,1,0,3,0,0,7.183,Nayo Raincock Ekunwe,1,-6,0,1,0,0,0,2
1,0,2,6,1,2,3,1,14.133,Dearica Hamby,1,-10,3,3,0,0,0,1
1,0,7,4,2,3,0,0,26.183,Alex Montgomery,4,-3,4,11,1,1,0,0
0,0,2,6,2,1,2,2,16.217,Erika de Souza,1,-2,6,3,0,0,0,2
2,0,0,5,0,5,6,4,26.817,Sydney Colson,0,-12,4,0,0,0,0,0
1,0,0,6,3,1,2,0,27.833,Sequoia Holmes,1,0,6,1,2,1,0,1
1,1,1,14,6,3,6,3,26.367,Isabelle Harrison,4,-3,15,5,0,0,0,1
1,0,4,13,8,3,8,6,31.733,Monique Currie,1,-6,23,5,0,1,1,6
0,0,0,0,0,3,0,0,4.850,Kayla Alexander,0,-5,0,0,0,0,0,0
1,0,0,1,0,0,0,0,9.517,Haley Peters,0,-7,0,0,0,1,0,2
0,0,4,5,1,1,2,1,16.350,Nia Coffey,1,3,3,5,0,1,0,0
1,0,4,6,2,3,4,2,35.467,Alana Beard,0,14,6,4,5,0,0,1
3,0,3,20,10,4,0,0,37.883,Nneka Ogwumike,0,13,23,3,3,6,3,3
