longest punt return, name, punt return yards, punt returns
75,A Staggers,85,4
5,T Holmes,5,1
34,K Turpin,33,2
19,J Cornelius,35,2
48,S Chandler,67,4
14,I Wright,14,1
13,D Washington,13,1
0,B Jones,14,1
9,A Foreman,9,1
7,J Warrick,9,2
0,T Juniel,-7,1
0,J Franklin,0,1
8,C Jones,16,4
12,D McKinley Lewis,12,2
0,C Thompson,5,1
0,K Hollman,0,1
2,N Goode,3,3
73,N Harvey,73,1
3,C Kirk,3,1
4,A Wiltz,4,1
0,I Adams,0,2
0,C Williams,0,1
0,M Stevenson,-6,1
77,A Jackson,77,1
0,A Rodriguez,0,1
9,B Hobbs,10,3
9,G Juergens,9,1
11,K Lipscomb,11,1
0,R White,0,1
0,A Wilson,20,1
0,R James,-9,2
14,C Sutton,14,1
5,D Pettis,7,2
15,R Finco,15,1
4,J Peavy,4,2
55,J Natson,54,2
66,D Phillips,113,5
2,K Watson,2,1
25,L Smith,25,1
18,G Jennings,17,2
19,D Townsend,21,2
8,D King,8,1
6,T Nicholson,5,2
16,T White,16,1
0,D Hayes,0,1
0,K Ballage,-6,1
5,A Rodriguez,5,1
0,C Duck,0,1
12,B Berrios,12,1
1,D Morgan,1,2
1,B McDowell,1,1
18,N Phillips,18,1
2,J Taylor,2,1
0,S Brown,-8,1
6,M Davis,6,1
11,A Hepp,11,1
5,K Northington,5,1
0,R Moore,-3,2
12,R James,12,2
9,G Juergens,16,4
6,I Adams,5,4
1,B Rivera,1,2
19,J Warrick,24,3
9,C Johnson,9,1
0,A Duke,-3,3
31,R McCloud,56,3
30,A Dunn,30,1
5,A Trapp,5,2
0,C Powell,0,1
2,A Harris,2,1
0,W Chapman,11,1
0,E Thomas,0,2
0,A Borg,11,1
0,M Stevenson,-2,1
11,D Hamm,11,2
11,R Ruiz,16,3
7,B Powell,23,5
18,O Rutherford,18,1
9,A Wyche,9,2
15,M Crockett,29,3
14,M Green,14,1
7,K Lipscomb,7,1
4,D Mosely,6,4
0,D Phillips,0,1
75,D Heath,75,1
4,B Pringle,4,3
2,H Bussey,0,2
10,N Holley,24,4
1,V Grasso,1,1
65,C Walker,101,5
7,G Haynes,-3,2
69,J Alexander,130,2
0,J Wilson,0,1
6,T White,9,2
1,F Ross,1,1
0,J Allen,-1,1
12,T Owens,21,2
0,A Randolph,0,1
31,J Williams,31,1
11,A Miller,20,3
48,N Fant,52,2
54,J Peppers,99,4
27,M Jocz,27,1
32,J MacIntyre,58,3
3,C Davis,3,1
85,E Jackson,95,2
2,C Black,2,1
0,J Johnson,-7,2
16,I McKenzie,25,2
8,H Foster,12,2
0,O Cobb,8,1
0,Z Guiser,7,1
13,R Switzer,13,1
45,D Pierson El,42,3
5,D Carrington,5,1
11,A Celis,11,1
8,J Eiland,9,2
12,S Lurry,12,1
7,Q Truxton,7,1
