interception touchdowns, interception yards, interceptions, name
0,27,1,Z Anderson
1,44,1,T Thomas
0,14,1,A Hawkins
0,3,1,J Watson
0,0,1,K White
0,0,1,I Rodgers
0,1,1,S Matautia
0,2,1,J Swann
0,27,1,D Abraham
0,27,1,N Sawtelle
0,27,1,M Wilkins
0,0,1,T Jefferson
1,49,1,K Williams
0,0,1,J Bryant
0,29,1,T Neal
0,33,1,O Cushion
0,2,1,B Wright
0,0,2,A Coleman
0,0,2,J Cox
0,0,1,D Kelly
0,-5,1,A Briones
0,0,1,M Ross
0,0,1,D Terrell
0,0,1,M Harriel
0,40,1,J Fuller
0,0,1,D Ward
0,0,1,A Hall
0,18,1,C Turner
0,0,1,J Huff
0,0,1,C Lewis
0,0,1,K Robinson
0,19,1,G Liggs Jr
0,17,1,J Blackmon
0,0,1,E Holm
0,22,1,J Strnad
0,0,1,R Ya Sin
0,27,1,J McClinton
0,0,1,T Udoffia
0,0,1,E Worthington
0,0,2,Jr
1,35,1,B Hoying
0,11,1,J Moody
0,0,1,J Beck
0,0,1,E Rolle
0,0,1,C Tooley
0,25,1,M Thomas
0,-2,1,N Obanor
0,0,1,K Pugh
0,0,1,L Denis
0,17,2,B Murphy
1,99,1,J Ferguson
0,7,1,T Edwards
0,-1,1,D Dixon
0,34,1,C Musselman
0,0,2,D Flannigan Fowles
0,0,1,D Thomas
0,0,1,J Bowdry
1,32,1,C Turner
0,-2,1,S Calvert
0,0,1,K Nawahine
1,53,1,B Brown
0,0,1,A Williams
0,10,1,Q Robinson
1,28,1,B Fields
0,-3,1,B Fulp
0,0,2,R Robinson
0,-1,1,J Brown
0,0,1,L Wallace
0,0,1,M Wilson
0,0,1,C Coleman
0,26,1,D Franklin
0,0,1,J Fehr
0,24,1,D Lewis Jr
0,14,1,K White
0,12,1,M Tillman
0,21,1,T Watson
0,0,1,B Cosby
0,41,1,J Jackson
0,5,1,B Reiff
0,0,1,R Gafford
1,22,1,K Cotton Moya
1,12,1,W Harvey
0,0,1,B Peavy
0,11,1,D Ferch
0,18,1,S Davis
0,0,1,A Young
0,7,1,D Reed
0,5,1,B Trahan
0,26,2,D Washington
1,38,1,T Smith
0,24,1,M Young
1,48,1,D Dawson
1,41,1,C Henderson
0,-5,1,L Cheadle
0,0,1,J Beshore
1,72,1,C Jackson
