field goals, field goals attempted, kicking extra points, kicking extra points attempted, longest field goal, name
2,2,1,1,33,Matt Bryant
3,5,1,1,36,Jose Cortez
1,2,4,4,52,Mike Hollis
3,4,2,2,45,John Hall
1,2,1,1,27,John Kasay
0,1,1,1,0,Matt Stover
2,3,3,3,49,Paul Edinger
3,3,2,2,42,Doug Brien
2,2,0,0,54,Neil Rackers
2,2,4,4,28,Steve Christie
4,4,3,3,41,Phil Dawson
2,2,4,4,33,Morten Andersen
3,3,2,2,41,Jason Elam
3,4,1,1,43,Jeff Wilkins
3,4,4,4,42,Ryan Longwell
2,2,4,4,52,Jay Feely
1,2,2,2,27,Hayden Epstein
0,1,4,4,0,Mike Vanderjagt
0,0,7,7,0,Olindo Mare
0,0,3,3,0,Jason Hanson
1,1,4,4,27,Sebastian Janikowski
1,2,2,2,32,Rian Lindell
2,4,2,2,52,Martin Gramatica
2,2,2,2,41,John Carney
2,2,1,1,47,Joe Nedney
1,1,3,3,30,David Akers
1,1,2,2,42,Kris Brown
1,2,1,1,33,Billy Cundiff
1,1,4,4,35,Brett Conway
3,4,2,2,39,Bill Gramatica
3,3,3,3,45,Adam Vinatieri
0,1,2,2,0,Todd Peterson
2,4,1,1,37,Jay Feely
0,1,2,2,0,Paul Edinger
0,1,0,0,0,JR Jenkins
3,3,2,2,36,Martin Gramatica
1,3,4,4,23,John Kasay
0,0,1,1,0,Jason Hanson
2,2,2,2,52,Phil Dawson
0,0,1,1,0,Neil Rackers
0,0,3,3,0,Billy Cundiff
2,2,1,1,53,Joe Nedney
2,2,1,1,25,Mike Vanderjagt
0,1,3,3,0,Olindo Mare
3,3,1,1,39,Morten Andersen
1,2,2,2,26,Hayden Epstein
2,3,3,5,29,Doug Brien
4,5,3,3,54,Mike Hollis
0,1,5,5,0,John Carney
2,2,2,2,36,Ryan Longwell
0,0,1,1,0,John Hall
3,3,5,5,40,Adam Vinatieri
1,1,2,2,46,Todd Peterson
3,4,3,3,45,Sebastian Janikowski
1,1,3,3,36,Steve Christie
1,1,0,0,45,Kris Brown
2,2,1,1,46,Rian Lindell
1,1,3,3,23,Bill Gramatica
0,0,2,2,0,Jose Cortez
1,1,3,3,28,Jason Elam
0,1,3,3,0,Jeff Wilkins
4,4,2,2,34,Matt Bryant
0,0,1,1,0,James Tuthill
3,3,4,4,47,David Akers
0,0,1,1,0,Bill Gramatica
0,1,3,3,0,Steve Christie
3,3,3,3,44,Jay Feely
1,1,0,0,24,Neil Rackers
3,4,2,2,31,Paul Edinger
0,0,3,3,0,John Carney
0,1,4,4,0,Jason Elam
1,1,2,2,38,Mike Hollis
1,1,4,4,33,Jason Hanson
3,3,4,4,47,Ryan Longwell
3,4,3,3,53,Olindo Mare
1,1,0,0,20,John Hall
0,0,2,2,0,Gary Anderson
0,2,3,3,0,Jon Hilbert
2,2,3,3,37,Adam Vinatieri
1,1,5,5,39,Morten Andersen
3,3,0,0,47,Matt Bryant
2,2,0,0,42,Rian Lindell
3,3,5,5,51,David Akers
2,2,1,1,47,Billy Cundiff
2,2,2,2,35,Jose Cortez
1,1,1,1,33,James Tuthill
0,0,4,4,0,Joe Nedney
1,2,4,4,33,Phil Dawson
1,2,0,0,24,Kris Brown
3,4,2,2,39,Mike Vanderjagt
2,2,2,2,47,Martin Gramatica
0,0,2,2,0,Jeff Wilkins
0,1,3,3,0,Bill Gramatica
0,0,1,1,0,Matt Bryant
2,3,3,3,49,Mike Hollis
2,2,3,3,46,Paul Edinger
