field goals, field goals attempted, kicking extra points, kicking extra points attempted, longest field goal, name
2,2,3,3,43,Adam Vinatieri
1,2,3,3,32,Mike Vanderjagt
0,1,1,1,0,Olindo Mare
1,2,2,2,22,Aaron Elling
1,2,1,1,25,Rian Lindell
2,2,1,1,27,Josh Scobee
0,1,2,2,0,Paul Edinger
2,2,2,2,27,Jason Hanson
2,2,2,2,37,Phil Dawson
1,1,0,0,42,Matt Stover
2,2,4,4,45,Jason Elam
1,2,3,3,50,Lawrence Tynes
0,0,5,5,0,Morten Andersen
1,1,2,2,27,Billy Cundiff
0,0,1,1,0,John Carney
0,0,3,3,0,Josh Brown
1,1,4,4,21,Doug Brien
1,1,3,3,22,Shayne Graham
1,2,4,4,45,David Akers
1,1,2,2,53,Steve Christie
1,1,3,3,42,Jeff Reed
2,2,1,1,38,Sebastian Janikowski
2,2,1,1,32,Todd Peterson
0,0,3,3,0,Jay Feely
3,3,0,0,50,Jeff Wilkins
1,1,1,1,22,Neil Rackers
2,2,2,2,37,Kris Brown
2,2,3,3,48,Nate Kaeding
3,4,1,1,34,John Hall
1,1,1,1,47,Martin Gramatica
0,0,2,2,0,John Kasay
1,1,3,3,41,Ryan Longwell
2,3,0,0,52,Neil Rackers
3,3,2,2,29,Adam Vinatieri
2,2,4,4,35,Jay Feely
1,1,2,2,46,Jeff Wilkins
3,3,3,3,35,Matt Stover
0,1,1,1,0,Jeff Reed
3,4,1,1,48,Shayne Graham
2,2,1,1,47,Olindo Mare
1,2,2,2,30,Billy Cundiff
4,4,0,0,49,Phil Dawson
0,1,4,4,0,Jason Hanson
1,1,1,1,34,Kris Brown
1,2,1,1,25,Ryan Longwell
0,1,3,3,0,Paul Edinger
0,0,1,1,0,Josh Scobee
2,3,0,0,44,Jason Elam
1,2,2,2,33,Lawrence Tynes
0,0,4,4,0,John Kasay
3,3,3,3,37,John Carney
2,2,3,3,33,Todd Peterson
2,4,2,2,38,Steve Christie
0,1,2,2,0,John Hall
2,2,1,1,33,Sebastian Janikowski
1,1,1,1,32,Rian Lindell
0,0,4,4,0,Nate Kaeding
2,2,4,4,28,Doug Brien
2,2,0,0,27,Martin Gramatica
1,1,1,1,44,Josh Brown
1,1,2,2,39,Gary Anderson
1,1,4,4,28,Mike Vanderjagt
2,2,3,3,47,David Akers
3,4,1,1,42,Morten Andersen
2,2,0,0,25,Jay Feely
1,1,0,0,30,Neil Rackers
3,3,0,0,47,Shayne Graham
1,1,2,2,21,Matt Stover
3,3,2,2,43,Jason Elam
2,2,1,1,51,Nate Kaeding
0,0,1,1,0,Jason Hanson
3,3,3,3,47,David Akers
1,1,6,6,45,Mike Vanderjagt
1,2,4,4,38,Ryan Longwell
0,0,3,3,0,Lawrence Tynes
3,3,1,1,49,Kris Brown
1,1,0,0,34,Olindo Mare
2,4,1,1,51,Jeff Reed
2,3,3,3,42,Morten Andersen
3,4,1,1,34,Paul Edinger
2,2,3,3,43,Steve Christie
1,1,1,1,49,Phil Dawson
3,4,3,3,40,Sebastian Janikowski
2,3,0,0,36,Martin Gramatica
2,2,4,4,35,Josh Brown
0,1,0,0,0,Todd Peterson
1,1,2,2,53,Jeff Wilkins
5,6,1,1,53,John Carney
2,2,0,0,40,Gary Anderson
0,0,1,1,0,Josh Scobee
1,1,1,1,19,John Hall
0,0,3,3,0,Billy Cundiff
2,2,4,4,33,Neil Rackers
1,1,1,1,20,John Carney
1,1,2,2,33,Rian Lindell
