longest reception, name, receiving touchdowns, receiving yards, receptions
23,S Mitchell,0,72,5
31,P Woodcock,0,66,3
16,T Miles,0,37,3
11,E Cohen,0,28,4
20,T Smith,0,20,1
35,K Watkins,2,102,6
24,A Cobourne,0,55,6
8,D Desriveaux,0,37,6
19,K Carter,0,34,2
32,J Armstead,0,32,1
18,B Bratton,0,26,2
7,J Richardson,0,11,2
4,E DeSlauriers,0,4,1
36,K Rambo,1,136,8
13,B Ralph,0,42,4
21,C Jackson,1,28,2
13,N Lewis,0,28,2
10,J Copeland,0,21,3
11,J Reynolds,0,17,2
4,R Cote,0,4,1
45,P Jackson,0,93,5
38,G Simon,0,68,4
37,C Rodgers,2,63,3
8,J Clermont,0,19,3
9,C Coleman,0,9,1
3,J Smith,0,3,1
37,D Armstrong,0,116,7
21,T Edwards,0,63,6
15,A Franklin,0,55,6
9,K Johnson,0,34,5
11,R Bryant,0,34,4
6,C Roberts,0,19,4
52,J Robertson,1,66,9
19,A Bruce,0,30,3
13,B Johnson,0,25,2
13,A Talbot,0,24,2
13,D Dorsey,0,22,3
13,O Cetoute,0,13,1
4,D Boston,0,4,1
73,A Bowman,1,112,6
33,D Flick,1,52,3
37,W Cates,0,49,3
13,A Fantuz,0,45,4
8,C Grant,0,14,2
6,W Dressler,0,6,1
34,J Tucker,0,78,4
11,K Peterson,0,45,6
14,F Stamps,0,40,4
15,K Campbell,0,40,3
15,B Ralph,0,25,4
8,C McCarty,0,18,3
9,D Anderson,0,12,2
17,A Bruce,0,64,5
17,A Talbot,0,39,3
20,J Robertson,0,31,4
12,N Hoffart,0,21,2
7,O Cetoute,0,13,2
6,T Acree,0,11,2
11,B Johnson,0,11,1
6,J Johnson,0,6,1
43,S Mitchell,0,47,2
12,T Miles,0,43,5
14,E Cohen,0,39,3
12,P Woodcock,0,38,4
5,J Lumsden,0,5,1
32,K Campbell,2,158,8
35,J Tucker,1,93,4
51,K Peterson,0,57,2
15,C McCarty,0,47,4
15,D Anderson,0,45,5
11,F Stamps,0,19,2
15,B Ralph,0,15,1
14,A Nowacki,0,14,1
65,B Ralph,1,92,2
35,K Rambo,0,72,5
33,R Thelwell,0,49,3
15,J Copeland,1,44,4
20,N Lewis,1,43,4
15,D Summers,0,23,2
5,J Reynolds,0,7,3
44,D Desriveaux,1,105,8
25,A Cobourne,0,96,10
18,K Watkins,1,58,5
13,J Richardson,1,39,4
15,B Cahoon,1,32,3
11,J Armstead,0,16,2
11,K Carter,0,11,1
5,B Bratton,0,5,1
29,D Armstrong,1,92,6
35,T Edwards,0,84,6
31,R Bryant,0,75,4
11,A Franklin,0,29,4
9,C Roberts,0,17,4
9,K Johnson,0,16,2
15,P Jackson,0,49,4
20,C Coleman,0,47,4
10,J Clermont,0,37,4
12,G Simon,0,24,2
13,C Rodgers,0,13,1
4,J Smith,0,4,1
3,L Green,0,3,1
18,A Fantuz,1,57,5
19,W Cates,0,55,4
4,C Grant,0,7,2
5,A Bowman,0,5,1
5,M Dominguez,0,5,1
36,K Watkins,0,128,6
67,J Richardson,1,72,2
60,A Cobourne,0,66,5
23,D Desriveaux,0,30,2
14,B Cahoon,0,22,2
13,E DeSlauriers,0,13,1
8,K Carter,0,10,3
19,B Ralph,0,60,4
17,J Copeland,0,51,4
0,K Rambo,1,51,7
15,N Lewis,0,49,5
21,J Reynolds,0,34,4
21,T Johnson,0,29,2
19,R Cote,0,19,1
0,C Jackson,0,9,1
29,K Campbell,0,71,3
25,F Stamps,0,65,5
15,J Tucker,1,30,3
19,C McCarty,0,25,2
19,K Peterson,0,21,2
1,M Bertrand,0,1,1
19,A Talbot,0,74,8
52,J Morant,1,63,2
14,T Scott,0,43,4
17,A Bruce,2,33,4
7,O Cetoute,0,14,2
13,D Dorsey,0,13,1
13,J Robertson,0,13,1
22,K Johnson,0,79,10
30,D Armstrong,1,69,6
23,T Edwards,0,67,5
23,R Bryant,0,54,4
13,C Roberts,0,44,4
76,G Simon,2,192,7
36,J Clermont,0,71,3
18,P Jackson,0,30,3
11,C Rodgers,0,25,3
12,C Coleman,2,21,2
1,R Lumbala,1,1,1
23,C Bauman,0,90,8
50,P Woodcock,0,67,2
15,T Miles,0,52,4
25,S Mitchell,0,25,1
15,J Lumsden,0,15,1
12,E Cohen,0,12,1
67,W Dressler,1,122,6
48,M Dominguez,0,62,3
31,C Grant,0,58,2
22,A Fantuz,0,56,5
9,W Cates,0,29,4
10,A Bowman,0,17,2
3,N Hughes,1,3,1
34,K Rambo,0,127,6
27,N Lewis,2,125,9
17,J Copeland,0,32,3
11,D Summers,0,26,3
15,B Ralph,0,21,2
8,J Reynolds,0,18,4
15,T Miles,0,75,8
31,S Mitchell,0,71,5
54,P Rodriguez,0,57,2
7,C Bauman,0,12,2
7,O Wilson,0,9,2
7,T Smith,0,7,1
48,G Simon,1,117,5
56,P Jackson,0,114,6
