longest punt, name, punt yards, punts
58,Jonathan Johnson,197,4
43,Chris Miller,192,5
44,Andrew Wellock,181,5
52,Kyle Stringer,201,4
50,Ben Woods,185,5
55,Jake Brownell,319,8
52,Tony Mikulec,296,7
52,Johnny Ayers,199,5
29,Chris Pavasaris,29,1
36,Mike Brandtner,67,2
48,Brandon Summers,87,2
46,Brett Kern,46,1
34,Jake Kilroy,66,2
34,Justin Kucek,34,1
60,Kevin Payne,169,4
69,Jacob Richardson,226,5
49,Slade Larscheid,243,6
51,Blake McAdams,291,7
58,Ryan Succop,292,6
79,Colby Smith,391,9
44,Chris Cook,272,8
51,Jarrod Kaufman,115,3
43,Kyle Loomis,142,5
19,Micheal Hughes,35,2
34,Ryan Hotchkiss,68,2
42,Chris Kindred,75,2
43,Paul Jurado,43,1
52,Robert Malone,159,4
42,Thomas Barcia,184,5
44,Brett Shrable,216,6
54,Owen Tolson,286,7
55,PJ Fitzgerald,159,4
50,Kurt Milne,106,3
47,Jacob Skinner,210,5
39,Greg Woidneck,107,3
75,Nick Folk,180,3
46,Kyle McQuown,132,3
66,Derek McLaughlin,186,5
56,Kody Bliss,98,2
49,Darryl Blunt,295,7
42,Alonso Rojas,165,5
50,Kenneth DeBauche,95,2
26,Aaron Horne,26,1
42,Brian Steel,218,6
53,Mike ONeill,241,6
41,Isaac Garden,139,4
41,Matt DiLallo,81,2
43,Mason Crosby,43,1
43,Jimmie Kaylor,85,2
46,Alex Feinberg,156,5
38,Eric Wilbur,109,3
52,Britt Barefoot,183,4
49,Gordon Ely Kelso,127,3
57,Durant Brooks,337,7
61,Geoffrey Price,252,5
28,Kyle Yelton,56,2
47,Tyson Beattie,145,4
44,Jim Laney,273,7
47,Andy Fenstermaker,119,3
28,Kyle Tucker,28,1
44,Tim Reyer,119,3
43,Chris Jackson,82,2
48,Brit Framel,246,6
58,Adam Podlesh,185,4
63,Brandon Fields,167,3
53,TJ Conley,179,4
45,Zoltan Mesko,125,3
37,Ross Ryan,37,1
47,Brett Upson,254,7
34,Adam Crossett,67,2
37,Greg Veteto,37,1
47,Ryan Dougherty,146,4
34,David Wooldridge,62,2
37,Joe Radigan,95,3
54,John Deraney,303,8
53,Dan Titchner,127,3
46,Chris Keagle,224,7
44,Jordan Scott,217,6
43,AJ Trapasso,43,1
49,Andy Dittbenner,227,6
48,Matt Lasher,257,6
47,Michael Cohen,122,3
38,Mike Knall,38,1
53,Parker Mullins,310,7
72,Matt Fodge,158,3
35,Matt Dragich,35,1
