assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, position, rebounds, steals, three pointers attempted, three pointers made, turnovers
7,0,1,10,5,3,4,3,26.083,Kirk Hinrich,1,,15,,2,0,4,2,3
3,0,1,12,6,2,4,3,26.033,Ben Gordon,1,,18,,2,0,6,3,2
1,0,3,3,1,1,6,5,18.783,Andres Nocioni,0,,7,,3,0,2,0,1
1,1,4,13,8,2,6,5,35.783,Luol Deng,0,,21,F,4,1,0,0,4
3,1,7,10,5,3,8,5,41.433,Tyrus Thomas,3,,15,F,10,2,0,0,2
1,0,1,2,1,2,0,0,11.683,Thabo Sefolosha,0,,2,G,1,0,0,0,0
,,,,,,,,0,Aaron Gray,,,,,,,,,
1,3,4,3,2,3,4,2,19.183,Joakim Noah,2,,6,,6,0,0,0,1
,,,,,,,,0,Demetris Nichols,,,,,,,,,
1,1,2,7,4,0,5,5,28.817,Drew Gooden,6,,13,C,8,3,0,0,1
,,,,,,,,0,Cedric Simmons,,,,,,,,,
9,0,3,9,3,2,7,5,32.200,Derrick Rose,1,,11,G,4,3,0,0,4
1,0,1,3,3,2,0,0,14.550,Dan Gadzuric,2,,6,,3,1,0,0,2
1,0,1,19,10,4,8,6,38.467,Michael Redd,1,,30,G,2,1,8,4,2
0,1,4,4,4,4,2,1,25.950,Andrew Bogut,3,,9,C,7,1,0,0,3
5,0,0,3,1,3,0,0,24.350,Charlie Bell,1,,2,,1,0,1,0,1
1,0,1,5,1,3,2,2,8.783,Charlie Villanueva,2,,4,F,3,0,0,0,1
4,0,6,7,3,2,2,1,28.700,Luke Ridnour,0,,7,G,6,0,2,0,5
2,0,4,17,5,4,4,3,38.317,Richard Jefferson,0,,15,F,4,0,3,2,2
1,1,0,7,3,2,0,0,26.400,Luc Mbah A Moute,2,,6,,2,2,0,0,2
1,1,1,7,5,4,0,0,20.317,Malik Allen,1,,10,,2,0,0,0,1
5,0,1,6,2,2,2,2,14.167,Tyronn Lue,1,,6,,2,0,0,0,0
,,,,,,,,0,Joe Alexander,,,,,,,,,
,,,,,,,,0,Francisco Elson,,,,,,,,,
4,0,2,19,10,4,8,5,38.217,Paul Pierce,1,,27,F,3,1,4,2,2
0,0,4,2,1,6,0,0,20.833,Kendrick Perkins,4,,2,C,8,0,0,0,2
1,0,2,9,4,2,4,3,17.283,Tony Allen,1,,11,,3,1,2,0,0
,,,,,,,,0,Brian Scalabrine,,,,,,,,,
6,0,4,5,4,5,10,6,29.950,Rajon Rondo,1,,14,G,5,3,0,0,2
0,0,1,7,5,4,4,3,23.117,Leon Powe,1,,13,,2,0,0,0,1
1,0,3,9,2,1,4,3,40.650,Ray Allen,1,,8,G,4,1,4,1,4
2,0,5,15,5,1,4,1,36.150,Kevin Garnett,1,,11,F,6,2,0,0,2
0,0,1,5,1,3,0,0,18.050,Eddie House,0,,2,,1,1,4,0,1
2,0,4,3,1,2,0,0,15.750,Glen Davis,0,,2,,4,1,0,0,2
,,,,,,,,0,Gabe Pruitt,,,,,,,,,
,,,,,,,,0,Patrick Obryant,,,,,,,,,
1,0,5,5,3,3,10,9,30.400,Zydrunas Ilgauskas,3,,15,C,8,0,0,0,4
6,1,6,21,9,4,8,4,36.000,Lebron James,1,,22,F,7,2,4,0,3
0,0,3,6,3,1,2,1,12.567,Aleksandar Pavlovic,0,,7,,3,0,2,0,3
1,0,5,6,3,2,5,3,26.150,Anderson Varejao,4,,9,,9,3,0,0,2
3,0,3,8,2,1,3,2,22.633,Daniel Gibson,0,,6,,3,0,2,0,0
0,1,4,1,1,2,0,0,19.050,Ben Wallace,0,,2,F,4,0,0,0,1
0,0,0,4,1,4,2,2,15.933,Wally Szczerbiak,0,,4,,0,1,1,0,2
2,0,2,4,2,0,2,2,35.483,Delonte West,0,,6,G,2,0,1,0,1
2,0,3,10,4,5,1,1,31.300,Maurice Williams,0,,12,G,3,1,5,3,4
1,0,2,3,1,4,0,0,10.483,Lorenzen Wright,0,,2,,2,1,0,0,1
,,,,,,,,0,JJ Hickson,,,,,,,,,
,,,,,,,,0,Tarence Kinsey,,,,,,,,,
5,0,9,17,9,3,5,4,32.783,Kobe Bryant,2,,23,G,11,1,1,1,5
2,0,3,8,2,0,2,2,24.800,Derek Fisher,2,,6,G,5,0,0,0,1
1,0,0,1,0,0,0,0,2.717,Luke Walton,0,,0,,0,0,0,0,0
1,0,7,6,3,1,5,3,29.067,Lamar Odom,0,,9,,7,1,1,0,3
0,1,1,1,1,0,0,0,3.533,Chris Mihm,0,,2,,1,0,0,0,0
1,0,1,6,2,1,0,0,12.500,Sasha Vujacic,0,,5,,1,0,2,1,0
1,3,2,10,4,5,0,0,27.650,Andrew Bynum,1,,8,C,3,0,0,0,0
0,0,4,4,3,1,0,0,23.700,Vladimir Radmanovic,1,,8,F,5,4,3,2,1
6,0,4,8,2,3,4,4,23.200,Jordan Farmar,2,,9,,6,1,1,1,2
1,2,2,7,4,0,1,1,24.300,Trevor Ariza,0,,11,,2,1,2,2,0
1,1,6,10,7,2,1,1,33.033,Pau Gasol,1,,15,F,7,0,0,0,2
0,0,1,1,0,1,0,0,2.717,Josh Powell,0,,0,,1,0,0,0,1
2,0,2,15,8,0,0,0,35.467,Travis Outlaw,2,,18,F,4,0,4,2,2
2,0,10,4,2,4,3,0,25.467,Joel Przybilla,1,,4,,11,1,0,0,0
4,0,3,8,3,1,0,0,23.583,Steve Blake,1,,9,G,4,0,6,3,1
5,0,2,15,5,0,2,2,37.750,Brandon Roy,1,,14,G,3,3,4,2,2
0,0,1,1,0,1,0,0,5.083,Sergio Rodriguez,0,,0,,1,0,1,0,1
1,2,2,12,4,2,0,0,32.100,Lamarcus Aldridge,2,,8,F,4,1,1,0,1
1,0,2,7,0,4,0,0,16.983,Channing Frye,1,,0,,3,0,3,0,0
0,1,2,4,0,2,2,0,12.850,Greg Oden,3,,0,C,5,0,0,0,2
4,0,2,10,5,0,3,3,29.050,Rudy Fernandez,0,,16,,2,2,5,3,0
0,0,2,5,1,2,2,1,14.600,Jerryd Bayless,0,,3,,2,0,0,0,2
0,0,2,1,1,1,0,0,3.533,Nicolas Batum,1,,2,,3,1,0,0,1
0,0,1,2,0,0,2,2,3.533,Ike Diogu,1,,2,,2,0,0,0,0
2,1,3,9,3,5,3,2,30.267,Chris Kaman,2,,8,C,5,0,0,0,4
0,1,2,9,5,2,1,1,27.617,Cuttino Mobley,0,,11,G,2,2,3,0,0
0,0,5,10,4,3,8,2,19.533,Tim Thomas,3,,11,F,8,0,3,1,2
1,0,0,1,0,0,0,0,4.583,Paul Davis,0,,0,,0,0,0,0,0
1,0,1,4,2,3,0,0,11.750,Jason Hart,1,,4,,2,3,0,0,0
1,0,2,15,7,5,3,2,32.000,Al Thornton,1,,16,F,3,0,1,0,3
7,0,0,13,4,3,2,2,28.367,Baron Davis,2,,11,G,2,3,5,1,4
0,2,4,2,1,4,0,0,26.700,Brian Skinner,1,,2,,5,0,0,0,3
6,0,1,5,2,1,0,0,23.700,Ricky Davis,0,,5,,1,0,4,1,1
2,0,1,4,0,1,2,2,13.833,Eric Gordon,0,,2,,1,0,1,0,1
1,1,2,6,2,1,0,0,13.767,Steve Novak,0,,6,,2,1,5,2,0
3,0,1,0,0,1,4,3,7.883,Mike Taylor,0,,3,,1,0,0,0,0
3,0,6,12,5,2,7,6,30.733,Kobe Bryant,2,,16,G,8,2,2,0,5
4,0,1,11,5,1,2,2,21.733,Derek Fisher,0,,15,G,1,1,6,3,1
3,0,0,3,2,3,0,0,9.300,Luke Walton,1,,4,,1,0,1,0,1
3,0,2,5,3,2,0,0,23.333,Lamar Odom,2,,6,,4,0,0,0,0
0,0,0,7,4,1,2,2,8.933,Chris Mihm,2,,10,,2,0,0,0,1
2,0,2,5,2,1,1,0,17.267,Sasha Vujacic,0,,5,,2,2,2,1,0
0,3,6,7,4,4,6,4,24.800,Andrew Bynum,3,,12,C,9,1,0,0,2
1,0,3,4,2,2,0,0,18.400,Vladimir Radmanovic,0,,6,F,3,0,3,2,1
5,0,5,8,6,0,2,1,26.267,Jordan Farmar,0,,15,,5,0,2,2,3
1,0,4,7,4,1,4,1,20.300,Trevor Ariza,2,,11,,6,1,3,2,1
6,0,7,10,3,2,7,7,32.967,Pau Gasol,2,,13,F,9,0,0,0,1
0,0,1,1,1,0,2,2,5.967,Josh Powell,0,,4,,1,0,0,0,0
3,2,3,9,6,2,4,3,35.000,Andrei Kirilenko,3,,16,,6,1,1,1,3
,,,,,,,,0,Jarron Collins,,,,,,,,,
1,1,11,18,11,5,4,3,36.233,Carlos Boozer,3,,25,F,14,1,0,0,2
3,1,7,12,5,2,4,3,39.250,Mehmet Okur,3,,13,C,10,1,1,0,0
2,0,2,5,2,3,0,0,13.000,CJ Miles,1,,4,F,3,0,0,0,1
0,0,2,9,5,1,7,5,24.333,Ronnie Brewer,0,,15,G,2,0,1,0,1
2,1,3,6,2,3,1,0,20.183,Paul Millsap,1,,4,,4,0,0,0,2
5,0,3,9,1,2,4,4,34.183,Ronnie Price,0,,6,G,3,1,3,0,3
,,,,,,,,0,Morris Almond,,,,,,,,,
0,0,2,6,3,0,4,4,24.417,Kyle Korver,0,,11,,2,1,2,1,2
1,0,1,5,2,2,0,0,13.417,Brevin Knight,1,,4,,2,0,0,0,2
,,,,,,,,0,Kosta Koufos,,,,,,,,,
