average punt yards, longest punt, name, punts, punts inside the twenty
38.700,54,Ryan Allen,6,2
42.300,59,Dustin Colquitt,6,3
40.000,69,PO Donnell,5,3
44.300,62,Matt Bosher,3,0
37.800,53,Kevin Huber,5,1
39.300,52,Sam Koch,6,2
35.000,55,Colton Schmidt,6,1
43.700,58,Lac Edwards,6,2
35.000,61,Britton Colquitt,5,3
40.200,59,Jordan Berry,6,0
34.500,40,Chris Jones,4,4
41.500,55,Brad Wing,6,0
39.000,49,Bradley Pinion,4,1
48.700,58,Michael Palardy,3,1
34.800,47,Matt Prater,4,1
50.000,50,Kasey Redfern,1,0
34.000,57,Andy Lee,4,0
42.400,57,Justin Vogel,5,1
45.800,59,Jon Ryan,6,4
43.600,47,Johnny Hekker,5,5
47.800,53,Rigoberto Sanchez,6,2
40.500,50,Tress Way,4,2
41.800,50,Donnie Jones,4,1
41.800,54,Shane Lechler,5,2
36.500,61,Brad Nortman,4,0
40.800,53,Brett Kern,4,2
44.300,59,Marquette King,3,1
49.000,53,Riley Dixon,3,2
36.400,62,Drew Kaser,5,2
43.500,52,Ryan Quigley,2,1
53.300,68,Thomas Morstead,3,1
45.600,61,Kevin Huber,7,6
38.000,59,Shane Lechler,9,2
36.700,48,Riley Dixon,3,1
41.800,62,Chris Jones,5,2
45.300,54,Bryan Anger,3,1
43.700,63,PO Donnell,3,1
37.300,58,Drew Kaser,4,3
29.000,58,Matt Haack,3,0
35.400,60,Dustin Colquitt,5,2
35.300,49,Donnie Jones,4,1
42.400,53,Rigoberto Sanchez,7,3
41.800,55,Andy Lee,5,1
41.300,50,Matt Bosher,4,3
39.700,47,Justin Vogel,3,1
38.200,59,Brad Nortman,5,1
40.300,42,Brett Kern,3,0
41.200,55,Michael Palardy,6,2
44.500,57,Colton Schmidt,6,2
51.700,65,Marquette King,3,2
35.300,52,Lac Edwards,3,2
42.300,55,Johnny Hekker,4,1
45.000,62,Tress Way,4,2
43.000,63,Sam Koch,5,4
47.500,67,Britton Colquitt,4,0
40.300,51,Thomas Morstead,3,2
31.700,57,Ryan Allen,3,1
38.400,57,Jon Ryan,7,3
43.900,51,Bradley Pinion,7,4
36.200,46,Jordan Berry,5,2
44.200,55,Ryan Quigley,6,3
27.600,60,Brad Wing,5,0
40.000,51,Jeff Locke,5,3
41.500,51,Bradley Pinion,2,2
52.000,64,Johnny Hekker,2,0
42.000,62,PO Donnell,6,2
36.600,46,Jordan Berry,5,3
38.000,58,Colton Schmidt,5,2
28.300,45,Riley Dixon,3,0
40.000,66,Drew Kaser,5,2
47.400,63,Dustin Colquitt,5,3
42.900,51,Rigoberto Sanchez,7,2
47.300,55,Britton Colquitt,7,3
40.500,58,Donnie Jones,4,0
31.300,57,Brad Wing,4,1
50.000,60,Brad Nortman,3,1
41.300,67,Sam Koch,7,1
46.000,61,Lac Edwards,5,3
40.300,64,Matt Haack,7,1
40.200,52,Jeff Locke,5,1
40.500,48,Matt Bosher,2,1
44.200,61,Justin Vogel,6,2
37.700,58,Kevin Huber,6,1
32.300,56,Michael Palardy,3,0
46.000,59,Thomas Morstead,3,2
38.700,60,Ryan Allen,6,3
45.300,68,Shane Lechler,4,2
43.400,58,Tress Way,5,3
49.400,61,Marquette King,7,4
48.200,66,Brett Kern,6,2
39.600,64,Jon Ryan,8,0
40.300,47,Ryan Quigley,3,1
40.800,47,Bryan Anger,4,0
38.000,58,Andy Lee,6,2
43.900,56,Chris Jones,7,4
46.200,62,Justin Vogel,5,1
47.300,59,PO Donnell,3,2
43.800,53,Riley Dixon,6,3
44.700,58,Marquette King,6,2
37.000,53,Britton Colquitt,6,1
46.800,56,Kevin Huber,4,2
49.800,62,Bryan Anger,4,2
33.800,56,Brad Wing,5,0
42.000,60,Andy Lee,6,2
48.400,59,Bradley Pinion,7,3
39.000,53,Drew Kaser,4,2
46.000,54,Donnie Jones,2,2
40.300,55,Chris Jones,3,1
54.000,62,Johnny Hekker,2,2
39.500,49,Matt Haack,6,2
44.000,58,Thomas Morstead,3,0
40.000,42,Matt Bosher,3,3
45.300,60,Colton Schmidt,4,1
40.300,70,Lac Edwards,6,3
44.300,61,Brad Nortman,8,5
36.700,49,Ryan Allen,3,0
35.000,35,Michael Palardy,1,0
41.400,51,Sam Koch,5,2
37.500,48,Jordan Berry,4,1
35.000,35,Jon Ryan,1,1
41.700,61,Rigoberto Sanchez,6,2
59.500,61,Shane Lechler,2,1
48.400,54,Brett Kern,5,1
40.200,51,Ryan Quigley,5,2
44.100,54,Jeff Locke,7,3
28.300,39,Dustin Colquitt,3,1
37.300,52,Tress Way,4,2
36.700,57,Bryan Anger,6,3
39.800,55,Ryan Allen,4,1
36.500,48,Kevin Huber,4,3
38.700,51,Colton Schmidt,7,3
48.500,60,Britton Colquitt,2,0
43.500,62,Lac Edwards,6,1
47.800,56,Rigoberto Sanchez,4,4
45.800,55,Bradley Pinion,6,1
38.000,38,Chris Jones,1,1
49.000,59,Justin Vogel,2,1
49.400,62,Matt Haack,9,5
50.200,71,Brett Kern,10,4
40.700,57,Donnie Jones,3,1
33.900,57,Andy Lee,7,1
37.300,55,Brad Wing,8,4
45.800,68,Drew Kaser,6,1
38.600,53,Jeff Locke,5,1
41.600,60,Michael Palardy,5,0
39.500,62,Marquette King,4,0
36.700,46,Sam Koch,3,1
42.000,62,Johnny Hekker,3,0
39.500,44,Jon Ryan,6,2
44.700,54,Jordan Berry,3,2
38.000,42,Brad Nortman,5,3
32.200,58,Shane Lechler,5,3
18.500,53,Dustin Colquitt,2,0
32.300,59,PO Donnell,7,2
38.800,54,Ryan Quigley,6,2
45.300,50,Michael Palardy,3,3
45.000,59,Donnie Jones,6,1
44.300,55,Riley Dixon,3,0
46.000,62,Brad Wing,6,2
41.500,53,Andy Lee,2,1
38.500,45,Bryan Anger,4,3
47.500,54,Dustin Colquitt,4,3
29.600,62,Jordan Berry,5,2
36.700,55,Matt Bosher,3,0
30.000,42,Matt Haack,2,1
32.100,53,Brad Nortman,7,2
43.100,67,Johnny Hekker,7,4
41.800,51,Lac Edwards,4,1
40.500,48,Ryan Allen,4,1
55.000,59,Marquette King,4,4
46.300,62,Drew Kaser,4,0
48.900,67,Sam Koch,7,2
32.000,67,PO Donnell,9,3
30.500,51,Tress Way,4,1
41.300,49,Bradley Pinion,6,4
31.100,67,Thomas Morstead,7,3
47.400,49,Jeff Locke,5,3
43.900,57,Shane Lechler,7,2
43.000,61,Britton Colquitt,7,3
36.800,54,Ryan Quigley,4,3
44.700,56,Justin Vogel,6,4
44.000,44,Brett Kern,1,1
48.300,58,Rigoberto Sanchez,3,0
44.300,51,Marquette King,3,1
45.700,56,Dustin Colquitt,3,3
46.500,66,PO Donnell,6,1
46.200,59,Michael Palardy,5,1
50.500,55,Colton Schmidt,2,1
18.500,40,Bryan Anger,2,0
39.500,53,Britton Colquitt,4,0
43.800,58,Brett Kern,4,2
44.800,69,Drew Kaser,8,3
32.600,46,Riley Dixon,8,2
44.900,58,Rigoberto Sanchez,7,4
53.500,61,Brad Nortman,2,1
40.500,58,Matt Haack,6,2
41.100,60,Lac Edwards,7,2
45.000,48,Bradley Pinion,4,2
44.000,56,Chris Jones,3,1
38.400,53,Brad Wing,7,1
38.000,49,Jon Ryan,5,5
46.200,60,Justin Vogel,5,1
39.000,43,Thomas Morstead,2,2
40.000,57,Ryan Allen,2,0
