completions, interceptions thrown, name, passes, passing conversions, passing touchdowns, passing yards
24,0,Elvis Grbac,30,0,1,262
24,2,Shane Matthews,39,0,0,138
16,3,Rob Johnson,27,0,0,160
0,0,Brian Moorman,1,0,0,0
18,0,Aaron Brooks,29,0,3,209
0,0,Joe Horn,1,0,0,0
18,0,Jon Kitna,27,0,1,204
22,0,Drew Bledsoe,38,0,2,241
17,1,Tim Couch,33,0,0,176
20,2,Matt Hasselbeck,34,0,0,178
9,2,Quincy Carter,19,0,0,34
25,1,Brad Johnson,34,0,0,195
22,0,Brett Favre,28,0,2,260
20,2,Charlie Batch,39,0,0,276
15,0,Mark Brunell,26,0,3,198
21,2,Kordell Stewart,37,0,0,181
16,1,Trent Green,37,0,1,222
31,1,Rich Gannon,46,0,2,341
22,3,Daunte Culpepper,38,0,1,236
13,1,Chris Weinke,22,0,1,223
17,0,Vinny Testaverde,25,0,2,175
1,0,Chad Pennington,6,0,0,24
22,2,Peyton Manning,32,0,2,231
32,1,Donovan McNabb,48,0,2,312
28,2,Kurt Warner,42,0,1,308
10,2,Doug Flutie,18,0,0,129
8,2,Jeff George,18,0,0,66
7,0,Tony Banks,14,0,0,53
26,1,Jeff Garcia,40,0,1,335
11,0,Chris Chandler,18,0,0,121
0,0,Michael Vick,4,0,0,0
7,1,Steve McNair,19,0,1,118
9,2,NO Donnell,21,0,1,110
12,0,Jay Fiedler,20,0,2,225
21,0,Brian Griese,29,0,3,330
19,0,Kerry Collins,34,0,3,258
16,1,Jake Plummer,28,0,1,242
22,0,Brian Griese,31,1,3,242
11,1,Chris Chandler,14,0,2,244
2,0,Michael Vick,2,0,0,27
27,0,Chris Weinke,41,0,0,276
18,1,Jim Miller,29,0,2,204
5,0,Shane Matthews,9,0,0,33
24,0,Daunte Culpepper,36,0,1,233
0,0,Mitch Berger,1,0,0,0
19,0,Jon Kitna,30,0,1,154
33,3,Elvis Grbac,63,0,1,326
1,0,Randall Cunningham,1,0,0,3
12,2,Tim Couch,20,0,3,138
22,7,Ty Detmer,42,0,1,212
12,3,Anthony Wright,25,0,3,193
23,0,Doug Flutie,38,0,2,348
23,2,Peyton Manning,29,0,4,421
24,1,Rob Johnson,37,0,1,257
17,0,Mark Brunell,27,0,0,235
21,0,NO Donnell,36,0,0,215
17,1,Trent Green,34,0,0,184
20,3,Kerry Collins,34,0,0,208
16,2,Jay Fiedler,34,0,0,217
14,0,Rich Gannon,25,0,0,125
18,2,Drew Bledsoe,28,0,0,159
5,0,Tom Brady,10,0,0,46
16,0,Vinny Testaverde,28,0,0,137
9,0,Matt Hasselbeck,24,0,0,62
24,0,Donovan McNabb,37,0,2,283
19,1,Jeff Garcia,34,0,1,121
24,1,Kurt Warner,35,1,3,321
0,0,Ricky Proehl,0,0,0,0
20,1,Brett Favre,31,0,3,236
15,1,Jeff George,24,0,0,102
23,3,Jake Plummer,35,0,1,276
20,0,Chris Chandler,28,0,3,286
13,0,Rob Johnson,22,0,0,104
3,1,Alex Van Pelt,5,0,0,44
15,0,Kordell Stewart,22,0,0,107
18,1,Chris Weinke,30,0,1,160
0,0,Dameyune Craig,0,0,0,0
25,2,Brett Favre,39,1,3,308
17,2,Brian Griese,33,0,1,191
17,1,Elvis Grbac,30,0,2,221
15,1,Jonathan Quinn,30,0,1,136
4,1,Mark Brunell,7,0,0,34
24,1,Tim Couch,34,0,0,249
30,2,Daunte Culpepper,44,0,1,322
20,1,Brad Johnson,34,0,0,224
13,0,Tom Brady,23,0,0,168
20,3,Peyton Manning,34,0,1,196
5,0,Mark Rypien,9,0,0,57
9,0,Kerry Collins,18,0,1,135
28,1,Aaron Brooks,54,0,1,291
14,0,Donovan McNabb,28,0,3,162
4,0,Clint Stoerner,7,0,2,44
7,1,Anthony Wright,23,0,0,33
19,0,Rich Gannon,28,0,3,217
3,0,Marques Tuiasosopo,4,0,0,34
14,1,Matt Hasselbeck,28,0,0,167
9,0,Brock Huard,17,0,1,127
2,0,Trent Dilfer,2,0,0,49
12,0,Doug Flutie,19,0,1,133
18,3,Jon Kitna,32,0,2,135
24,0,Kurt Warner,31,0,4,328
19,2,Jay Fiedler,27,0,1,204
11,1,Tony Banks,27,0,1,116
21,0,Trent Green,26,0,3,307
3,0,Todd Collins,4,0,0,40
12,0,Vinny Testaverde,25,0,0,202
16,0,Jeff Garcia,20,0,1,141
12,0,Michael Vick,18,0,0,186
7,3,Chris Chandler,12,0,0,75
17,2,Jim Miller,26,0,1,196
1,0,Marty Booker,1,0,1,34
15,0,Elvis Grbac,31,0,1,259
17,1,Steve McNair,32,0,0,154
0,1,Mike Green,1,0,0,0
23,1,Alex Van Pelt,41,0,3,268
3,1,Rob Johnson,4,0,1,57
0,0,Jay Riemersma,0,0,0,0
15,0,Vinny Testaverde,25,0,2,173
14,0,Tim Couch,27,0,1,203
17,0,Doug Flutie,37,0,0,149
11,1,Brian Griese,20,0,1,121
25,4,Trent Green,40,0,0,283
11,1,Jay Fiedler,21,0,1,87
12,0,Tom Brady,24,0,0,86
15,1,Aaron Brooks,30,0,0,210
23,1,Daunte Culpepper,34,0,2,332
15,2,Kerry Collins,29,0,1,177
13,2,Tony Banks,31,0,0,151
19,1,Donovan McNabb,29,0,2,280
18,1,Jake Plummer,32,0,2,238
15,0,Kordell Stewart,24,0,0,151
19,1,Jon Kitna,34,0,1,164
21,0,Rich Gannon,28,0,1,209
14,0,Anthony Wright,22,0,2,126
1,0,Quincy Carter,5,0,0,4
15,1,Trent Dilfer,23,0,1,219
21,0,Mark Brunell,39,0,1,233
17,1,Jeff Garcia,31,0,2,212
29,3,Chris Weinke,47,0,1,275
23,0,Brad Johnson,29,0,0,184
20,3,Brett Favre,35,0,1,258
15,1,Ty Detmer,18,0,0,149
11,1,Charlie Batch,16,0,0,113
29,0,Kurt Warner,37,0,3,291
19,1,Chris Chandler,36,1,2,268
27,0,Jeff Garcia,41,0,3,332
21,1,Chris Weinke,39,0,2,196
14,1,Aaron Brooks,40,0,2,180
15,2,Jim Miller,21,0,0,116
20,0,Jake Plummer,37,0,1,216
20,0,Jon Kitna,38,1,1,201
14,0,Tim Couch,28,0,2,194
27,0,Brett Favre,34,0,3,337
11,2,Elvis Grbac,21,0,1,138
5,0,Randall Cunningham,10,0,0,70
26,2,Peyton Manning,41,0,2,241
18,0,Rich Gannon,32,0,0,243
16,1,Trent Green,33,1,0,127
15,0,Kordell Stewart,25,0,1,141
20,1,Daunte Culpepper,27,0,1,244
31,0,Charlie Batch,41,0,3,345
33,0,Tom Brady,54,0,2,364
20,0,Doug Flutie,32,0,1,270
15,0,Vinny Testaverde,22,0,2,168
23,2,Jay Fiedler,34,0,1,213
1,0,Ray Lucas,1,0,0,28
12,0,Trent Dilfer,18,0,0,110
24,3,Brian Griese,36,0,2,209
28,1,Kurt Warner,46,0,0,316
17,2,Kerry Collins,32,0,1,242
15,1,Steve McNair,23,1,1,230
3,0,NO Donnell,3,0,0,9
24,1,Brad Johnson,50,0,3,287
15,1,Anthony Wright,28,0,0,177
10,0,Tony Banks,18,0,1,132
16,2,Mark Brunell,26,0,1,150
23,0,Rob Johnson,30,0,1,238
16,0,Jake Plummer,25,0,1,228
21,2,Trent Green,44,0,1,352
19,1,Jon Kitna,46,0,0,244
23,0,Jim Miller,30,0,2,232
11,0,Tim Couch,18,0,2,149
16,2,Elvis Grbac,20,0,0,142
11,0,Randall Cunningham,25,1,1,120
25,1,Charlie Batch,42,0,3,338
15,2,Steve McNair,35,1,1,216
1,0,Frank Wycheck,1,0,0,21
22,0,Peyton Manning,34,1,1,335
16,0,Tom Brady,20,0,3,202
1,0,David Patten,1,0,1,60
18,0,Daunte Culpepper,27,1,1,184
21,1,Brett Favre,35,0,2,169
23,1,Aaron Brooks,39,0,1,249
14,1,Chris Chandler,20,0,2,187
1,0,Chris Mohr,1,0,0,-2
9,1,Vinny Testaverde,13,0,1,74
9,0,Chad Pennington,14,0,1,68
18,0,Kurt Warner,27,0,1,215
1,0,Jamie Martin,1,0,0,10
21,1,Doug Flutie,32,0,2,280
26,2,Brian Griese,41,0,1,212
24,1,Brad Johnson,40,0,1,283
10,2,Kordell Stewart,16,0,0,100
1,0,Jerome Bettis,1,0,1,32
17,1,Tony Banks,30,0,1,346
24,4,Chris Weinke,35,0,1,226
21,0,Kerry Collins,33,0,0,162
15,1,Donovan McNabb,26,0,1,154
22,3,Trent Green,43,0,3,324
19,0,Peyton Manning,30,1,2,201
23,1,Randall Cunningham,31,0,1,222
25,0,Mark Brunell,37,0,2,306
12,1,Chris Weinke,34,0,0,76
21,3,Vinny Testaverde,34,0,0,181
25,1,Shane Matthews,31,0,3,166
5,1,Jim Miller,16,0,0,63
21,2,Jeff Garcia,29,0,2,269
9,1,Clint Stoerner,19,0,0,93
25,2,Jake Plummer,41,0,0,233
19,2,Brian Griese,30,0,2,283
25,4,Tom Brady,38,0,2,203
0,1,David Patten,1,0,0,0
20,2,Charlie Batch,35,1,2,239
17,2,Jon Kitna,27,0,2,204
12,0,Donovan McNabb,27,0,0,133
17,0,Rich Gannon,26,0,0,158
21,0,Doug Flutie,33,0,1,254
24,1,Rob Johnson,37,0,1,310
2,0,Alex Van Pelt,2,0,0,6
16,0,Matt Hasselbeck,28,0,2,230
15,2,Jay Fiedler,21,0,1,213
29,4,Kurt Warner,47,0,1,385
1,0,Az Zahir Hakim,1,0,1,51
20,0,Aaron Brooks,31,0,3,254
18,0,Brad Johnson,25,0,2,214
2,0,Shaun King,3,0,0,62
13,1,Daunte Culpepper,24,0,1,150
1,0,Todd Bouman,2,0,0,4
11,0,Tony Banks,19,1,2,190
1,0,Kevin Lockett,1,0,1,31
32,1,Kerry Collins,52,0,3,346
13,0,Kordell Stewart,22,0,1,232
1,0,Tommy Maddox,1,0,0,57
0,0,Hines Ward,1,0,0,0
14,2,Steve McNair,23,0,1,175
24,1,Jake Plummer,41,0,1,293
19,1,Donovan McNabb,33,0,2,238
8,1,Chris Chandler,20,0,1,95
2,0,Michael Vick,9,0,0,56
21,0,Tom Brady,31,0,3,250
17,0,Rob Johnson,33,0,1,172
17,0,Peyton Manning,27,0,1,199
30,3,Shane Matthews,50,0,2,357
14,1,Tim Couch,23,0,2,211
16,2,Brett Favre,27,0,1,180
18,0,Brad Johnson,30,0,2,177
20,1,Jay Fiedler,33,0,1,287
9,1,Chris Weinke,21,0,0,158
4,0,Dameyune Craig,8,0,0,34
2,0,Matt Lytle,4,0,0,7
12,2,Aaron Brooks,28,0,0,164
0,0,Deuce McAllister,1,0,0,0
13,1,Vinny Testaverde,22,0,1,145
24,2,Kerry Collins,34,0,3,280
13,4,Clint Stoerner,23,0,1,177
4,0,Ryan Leaf,8,0,0,85
22,0,Kordell Stewart,37,0,1,236
14,1,Randall Cunningham,22,0,1,158
15,0,Drew Brees,27,0,1,221
6,1,Doug Flutie,16,0,0,61
13,1,Trent Green,25,0,0,146
1,0,Tony Gonzalez,1,0,0,40
26,2,Jeff Garcia,35,0,3,296
8,0,Charlie Batch,20,0,0,74
2,0,Mike McMahon,4,0,0,16
0,0,Lamont Warren,1,0,0,0
27,0,Steve McNair,34,0,2,241
21,1,Mark Brunell,32,0,1,261
15,1,Tony Banks,23,0,2,152
6,2,Matt Hasselbeck,12,0,0,127
8,1,Trent Dilfer,18,0,1,121
25,0,Rich Gannon,34,0,3,242
22,2,Brian Griese,32,1,2,221
4,0,Gus Frerotte,6,0,1,50
13,1,Jake Plummer,26,0,1,172
15,1,Kerry Collins,24,0,1,155
4,0,Michael Vick,12,0,1,32
3,0,Doug Johnson,4,0,1,23
14,1,Ryan Leaf,22,0,1,114
28,0,Jim Miller,47,0,0,201
1,0,Leon Johnson,1,0,0,18
19,1,Brett Favre,32,0,2,268
18,0,Tim Couch,33,0,1,160
18,0,Kordell Stewart,32,0,0,188
0,0,Hines Ward,0,0,0,0
21,0,Brian Griese,31,0,2,224
12,4,Doug Flutie,31,0,1,165
21,2,Charlie Batch,39,0,1,239
0,0,Mike McMahon,1,0,0,0
20,0,Brad Johnson,36,0,1,188
0,0,Martin Gramatica,1,0,0,0
20,2,Peyton Manning,33,0,3,253
17,2,Jay Fiedler,29,0,2,259
0,0,Ray Lucas,1,0,0,0
20,0,Mark Brunell,32,0,2,189
28,1,Jon Kitna,48,0,0,303
15,1,Tom Brady,21,0,1,107
14,1,Rob Johnson,26,0,0,167
2,1,Alex Van Pelt,7,1,1,37
17,1,Vinny Testaverde,27,0,0,170
1,0,Tom Tupa,1,0,0,9
16,3,Trent Green,31,0,1,143
19,0,Donovan McNabb,29,0,3,223
21,1,Daunte Culpepper,35,0,2,285
15,0,Matt Hasselbeck,23,0,1,181
24,0,Rich Gannon,38,0,2,257
21,0,Jeff Garcia,34,0,4,252
22,0,Aaron Brooks,37,1,2,347
14,3,Kurt Warner,20,0,1,144
2,0,Jamie Martin,2,0,0,12
15,2,Matt Lytle,25,0,1,126
27,0,Steve McNair,48,0,1,256
0,1,Craig Hentrich,1,0,0,0
15,1,Elvis Grbac,27,0,1,192
1,0,Kyle Richardson,1,0,0,-11
21,1,Jake Plummer,33,0,4,334
36,3,Charlie Batch,62,0,3,436
23,4,Elvis Grbac,44,0,2,261
19,3,Tim Couch,30,0,0,144
28,0,Alex Van Pelt,42,0,2,316
16,0,Matt Hasselbeck,23,0,1,134
22,0,Chris Weinke,41,0,2,177
34,2,Jeff Garcia,54,1,3,305
23,2,Jon Kitna,41,0,1,234
16,1,Steve McNair,25,0,1,172
11,2,Ryan Leaf,26,0,0,102
16,1,Donovan McNabb,32,0,1,129
11,0,Brian Griese,31,0,1,114
12,0,Kent Graham,18,0,2,123
4,0,Tony Banks,13,0,0,27
16,3,Brett Favre,29,0,2,262
29,2,Chris Chandler,50,0,2,352
24,3,Jay Fiedler,36,0,0,188
10,0,Vinny Testaverde,21,0,1,76
19,2,Tom Brady,27,0,1,185
30,2,Kurt Warner,42,0,3,401
19,0,Aaron Brooks,22,0,2,249
18,1,Peyton Manning,28,0,1,262
21,0,Kordell Stewart,33,0,1,266
17,0,Jonathan Quinn,31,0,0,225
25,1,Rich Gannon,38,0,4,311
12,1,Doug Flutie,27,0,0,98
40,2,Brad Johnson,56,1,0,399
1,0,Mark Royals,1,0,0,5
14,1,Jim Miller,25,0,3,228
26,2,Daunte Culpepper,38,0,4,277
21,2,Kerry Collins,37,0,0,321
16,0,Ryan Leaf,32,0,0,193
1,0,Joey Galloway,1,0,0,-1
17,1,Brian Griese,29,0,1,171
8,1,Charlie Batch,19,0,0,118
9,0,Mike McMahon,20,0,1,89
18,0,Brett Favre,26,0,2,252
21,1,Alex Van Pelt,34,0,3,309
18,0,Jay Fiedler,31,0,3,260
1,0,Ray Lucas,1,0,0,17
17,2,Chris Weinke,31,0,0,171
14,0,Chris Chandler,27,0,0,132
16,2,Tim Couch,27,0,1,189
8,2,Jon Kitna,19,0,0,85
4,3,Scott Mitchell,12,0,0,38
1,0,Akili Smith,2,0,0,2
31,4,Peyton Manning,51,0,1,370
14,1,Jeff Garcia,22,0,2,179
23,0,Mark Brunell,38,0,1,259
21,1,Elvis Grbac,30,0,1,259
16,0,Trent Green,26,0,0,256
16,0,Matt Hasselbeck,26,0,1,162
26,1,Daunte Culpepper,46,0,0,209
10,0,Jim Miller,21,0,0,97
19,0,Tom Brady,26,0,4,258
0,0,Ken Walter,0,0,0,0
16,2,Aaron Brooks,39,0,1,307
19,0,Kerry Collins,38,0,0,184
13,0,Rich Gannon,20,0,3,221
15,0,Donovan McNabb,27,0,0,92
12,0,Tony Banks,18,0,0,96
33,0,Doug Flutie,44,0,2,308
19,2,Jake Plummer,31,0,1,241
23,2,Steve McNair,37,0,2,334
19,0,Kordell Stewart,31,0,2,254
0,0,Jerome Bettis,1,0,0,0
19,2,Kurt Warner,39,0,1,291
21,1,Brad Johnson,34,0,0,185
21,1,Trent Green,35,0,1,213
18,1,Donovan McNabb,26,0,2,269
14,1,Chris Chandler,18,0,0,123
7,0,Michael Vick,18,0,0,94
0,0,Doug Johnson,1,0,0,0
17,0,Kurt Warner,23,0,4,342
23,1,Elvis Grbac,39,0,2,268
27,1,Peyton Manning,48,0,2,310
17,1,Jim Miller,34,0,0,124
18,0,Charlie Batch,28,0,0,214
4,0,Mike McMahon,9,0,0,42
19,1,Jon Kitna,38,0,1,144
26,0,Brad Johnson,33,0,0,231
7,0,Kelly Holcomb,12,0,1,114
17,1,Tim Couch,26,0,1,110
11,0,Steve McNair,17,0,3,244
2,0,NO Donnell,2,0,0,28
18,0,Jay Fiedler,28,0,1,176
18,1,Brian Griese,33,0,1,135
26,1,Aaron Brooks,40,0,3,330
11,0,Chris Weinke,19,0,0,161
0,0,Richard Huntley,1,0,0,0
0,1,Matt Lytle,1,0,0,0
18,2,Vinny Testaverde,32,0,1,172
20,0,Tom Brady,28,0,0,213
13,1,Kordell Stewart,19,0,0,157
11,1,Todd Bouman,15,0,2,200
12,1,Daunte Culpepper,17,0,0,140
29,2,Rich Gannon,45,0,3,302
22,0,Jake Plummer,38,0,1,249
19,0,Matt Hasselbeck,35,0,0,202
19,2,Doug Flutie,33,0,0,195
19,0,Jeff Garcia,27,0,2,189
21,4,Alex Van Pelt,38,0,0,168
17,1,Tony Banks,32,0,1,216
7,1,Quincy Carter,14,0,1,130
26,2,Mark Brunell,45,1,1,311
24,0,Brett Favre,42,0,3,362
20,1,Jake Plummer,34,0,1,253
19,0,Tony Banks,26,0,1,210
18,1,Chris Chandler,32,0,0,233
20,0,Aaron Brooks,30,0,1,279
1,0,Deuce McAllister,1,0,1,12
20,1,Alex Van Pelt,29,0,1,277
15,1,Chris Weinke,30,0,1,153
16,1,Jon Kitna,30,0,0,147
23,1,Mark Brunell,32,0,2,242
17,0,Quincy Carter,26,0,1,194
13,1,Kerry Collins,26,0,1,122
11,1,Brian Griese,17,0,1,81
10,0,Gus Frerotte,20,0,1,77
17,2,Matt Hasselbeck,37,0,1,243
15,1,Brett Favre,27,0,1,207
18,1,Jim Miller,33,0,0,139
21,1,Todd Bouman,31,0,4,348
25,0,Steve McNair,33,0,2,302
0,0,Billy Volek,3,0,0,0
19,2,Tom Brady,28,0,0,218
20,3,Tim Couch,39,0,0,244
22,1,Donovan McNabb,44,0,2,221
0,0,Freddie Mitchell,1,0,0,0
20,2,Doug Flutie,44,0,2,307
20,0,Kordell Stewart,36,0,0,214
15,0,Vinny Testaverde,26,0,0,141
1,0,Curtis Martin,1,0,1,18
18,1,Rich Gannon,24,0,1,195
15,1,Trent Green,32,0,2,253
26,1,Kurt Warner,42,0,2,294
13,2,Jeff Garcia,36,0,0,146
31,2,Brad Johnson,54,1,1,305
11,0,Mike McMahon,25,0,0,165
18,0,Jay Fiedler,26,0,3,191
19,3,Peyton Manning,32,0,0,173
14,0,Kerry Collins,32,0,2,147
27,0,Jake Plummer,45,0,1,207
19,3,Doug Flutie,37,0,0,215
20,1,Rich Gannon,28,0,1,221
20,1,Elvis Grbac,38,0,2,159
20,0,Kordell Stewart,31,0,2,333
22,1,Alex Van Pelt,44,0,0,219
19,1,Tom Brady,35,0,0,237
14,1,Jim Miller,29,0,2,190
18,2,Brad Johnson,40,0,0,191
21,1,Tim Couch,30,0,0,184
20,2,Mark Brunell,35,0,1,202
15,0,Mike McMahon,28,0,0,241
18,2,Todd Bouman,38,0,2,243
23,1,Peyton Manning,35,0,3,325
23,0,Chris Chandler,39,0,2,249
1,0,Chris Mohr,1,0,0,42
17,1,Trent Green,21,0,1,292
16,0,Gus Frerotte,22,0,1,181
7,0,Jarious Jackson,12,0,0,73
17,0,Vinny Testaverde,28,0,2,196
10,3,Jon Kitna,17,0,0,93
4,0,Akili Smith,6,0,0,35
13,0,Matt Hasselbeck,25,0,0,152
0,0,Jeff Feagles,1,0,0,0
14,1,Quincy Carter,33,0,0,135
14,0,Jeff Garcia,20,0,1,133
16,3,Jay Fiedler,28,0,0,149
25,0,Steve McNair,35,1,2,283
0,0,Craig Hentrich,1,0,0,0
20,1,Brett Favre,38,0,2,199
17,2,Tony Banks,36,0,0,213
0,0,Eric Metcalf,0,0,0,0
16,3,Donovan McNabb,34,0,2,235
23,2,Aaron Brooks,40,0,3,269
23,0,Kurt Warner,32,0,4,338
11,0,Tom Brady,19,0,1,108
1,0,Kevin Faulk,1,0,0,23
21,0,Jay Fiedler,37,0,1,320
29,1,Rich Gannon,50,0,1,249
15,2,Steve McNair,27,0,1,178
14,0,Jeff Garcia,24,0,1,136
23,1,Donovan McNabb,34,0,0,232
17,0,Jake Plummer,31,0,0,144
16,2,Quincy Carter,28,0,1,176
0,0,Micah Knorr,1,0,0,0
28,2,Chris Chandler,40,0,2,431
17,0,Alex Van Pelt,31,0,1,208
16,0,Elvis Grbac,30,0,0,181
16,3,Jon Kitna,39,0,0,153
24,0,Chris Weinke,51,0,1,312
18,2,Kurt Warner,23,0,2,217
0,0,Marshall Faulk,1,0,0,0
18,0,Brett Favre,28,0,3,139
22,3,Tim Couch,33,0,1,203
25,0,Peyton Manning,35,0,1,228
1,0,Ken Dilger,1,0,1,39
28,2,Vinny Testaverde,47,0,2,285
0,0,LaMont Jordan,1,0,0,0
19,2,Trent Green,28,0,1,203
15,0,Doug Flutie,27,0,2,175
24,1,Spergon Wynn,39,0,0,218
0,0,Todd Bouman,3,0,0,0
17,0,Mark Brunell,24,0,1,217
30,0,Kerry Collins,47,0,1,338
15,1,Matt Hasselbeck,26,0,1,185
17,0,Kordell Stewart,26,0,3,226
12,1,Mike McMahon,28,0,2,118
16,0,Brad Johnson,31,0,3,207
21,4,Aaron Brooks,38,0,3,248
23,0,Tony Banks,43,0,0,236
13,0,Jim Miller,26,0,0,98
1,0,Brad Maynard,1,0,1,27
13,0,Brad Johnson,29,0,0,90
21,2,Elvis Grbac,37,0,1,205
36,1,Chris Weinke,63,0,1,223
12,0,Jake Plummer,23,0,2,173
0,0,Frank Sanders,1,0,0,0
35,1,Jon Kitna,68,0,2,411
19,4,Kordell Stewart,35,0,3,251
