longest reception, name, receiving touchdowns, receiving yards, receptions
19,C Williams,0,109,9
13,B Grant,0,51,5
16,A Fantuz,0,49,5
16,C Walker,0,36,3
9,O Jones,0,20,4
16,S Giguere,0,19,2
52,W Dressler,3,180,13
40,C Getzlaf,1,96,3
39,K Sheets,0,43,2
18,J Harper,0,32,2
20,R Bagg,0,26,3
9,E Hill,0,13,2
56,G Simon,0,105,5
25,A Harris,0,69,7
18,A Bruce,1,45,3
11,R Lumbala,0,11,1
3,K Johnson,0,3,1
19,C Matthews,1,48,5
14,T Edwards,1,41,6
18,K Poblah,0,26,3
9,C Denmark,0,11,2
6,R Kohlert,0,6,1
38,A Bowman,0,110,5
23,N Coehoorn,0,39,3
17,G Carr,0,28,2
7,H Charles,0,23,4
10,F Stamps,0,21,4
7,C McCarty,0,9,2
6,C Koch,0,6,1
52,C Owens,0,100,6
36,A Durie,0,76,4
24,J Barnes,0,59,4
16,J Johnson,0,27,2
19,D Inman,0,19,1
5,C Boyd,1,9,10
5,S Watt,0,5,1
3,M Bradwell,0,3,1
16,N Lewis,1,105,12
18,R Bryant,0,60,4
40,C Bauman,0,56,2
21,J Cornish,0,28,3
17,J Forzani,0,27,2
14,R Cote,0,25,2
22,L Talley,0,23,2
14,L Taylor,0,14,1
30,J Richardson,0,78,5
37,B Bratton,1,45,2
14,S Green,0,26,2
10,E DeSlauriers,0,13,2
7,B London,0,10,2
6,B Whitaker,0,2,3
28,B Whitaker,2,137,11
49,S Green,0,120,5
29,B Bratton,0,87,6
20,P Lavoie,1,35,2
10,B London,0,24,3
12,J Richardson,0,21,2
15,N Devine,0,15,1
4,E DeSlauriers,0,4,1
2,J Bekasiak,1,2,1
35,C Matthews,1,131,8
46,T Edwards,0,126,6
14,K Poblah,0,26,2
10,C Denmark,0,16,3
8,R Kohlert,0,8,1
5,B Dorzon,0,5,1
23,A Bruce,0,56,4
26,S Gore,2,42,5
17,G Simon,0,33,3
13,A Foster,0,24,2
17,K Johnson,0,17,1
8,A Harris,0,6,2
95,C Walker,2,117,5
22,D Stala,0,96,6
20,B Grant,0,47,4
12,A Fantuz,0,43,5
11,C Williams,1,28,4
19,S Giguere,0,19,1
9,D Stephenson,1,9,1
36,A Durie,0,118,10
56,D Inman,2,107,3
24,C Owens,0,88,7
31,J Barnes,0,41,2
11,S Watt,0,30,5
15,C Rempel,0,15,1
7,C Boyd,0,7,1
1,J Johnson,0,1,1
25,N Lewis,2,95,7
23,M McDaniel,0,62,4
13,C Bauman,0,30,3
13,L Taylor,0,13,1
13,L Coker,0,13,1
12,J Forzani,0,12,1
7,J Cornish,0,7,2
4,R Cote,1,4,1
21,C Getzlaf,0,74,4
10,J Harper,0,34,4
14,W Dressler,0,33,4
11,R Bagg,0,28,4
16,K Sheets,0,21,3
13,N Hughes,0,13,1
13,A Bowman,0,35,4
12,N Coehoorn,0,23,2
9,S Chambers,0,22,3
17,F Stamps,0,20,2
12,G Carr,0,19,2
6,M Bertrand,0,6,1
36,B London,0,106,5
69,B Bratton,1,94,4
31,J Richardson,0,62,4
20,B Whitaker,0,35,4
7,S Green,1,18,4
7,E DeSlauriers,0,7,1
3,P Lavoie,1,3,1
38,M McDaniel,0,85,4
17,N Lewis,0,64,6
15,R Bryant,0,59,7
15,J Forzani,0,22,2
10,J Arthur,0,14,2
8,A Franklin,0,8,1
3,J Cornish,0,8,3
7,L Taylor,0,7,1
76,H Charles,1,145,3
33,C Koch,1,89,4
22,F Stamps,0,45,3
33,S Chambers,1,37,2
18,D Collins,0,35,2
9,N Coehoorn,0,23,3
5,G Carr,0,9,2
72,C Matthews,1,171,7
17,R Kohlert,0,48,4
20,T Edwards,0,45,3
10,K Poblah,0,41,5
9,C Denmark,0,24,3
34,J Sisco,0,53,2
12,C Getzlaf,0,43,5
9,W Dressler,0,29,4
14,E Hill,0,18,2
8,R Bagg,0,15,2
7,K Sheets,0,9,2
5,L Rankin,0,5,1
22,G Simon,0,75,6
69,K Johnson,1,69,1
23,M Iannuzzi,1,59,4
30,P Jackson,0,50,4
16,A Harris,0,45,4
12,A Bruce,0,29,3
18,A Foster,0,18,1
24,A Fantuz,1,71,3
34,C Williams,1,34,1
14,S Giguere,0,27,2
22,C Walker,0,27,3
9,B Grant,1,15,2
7,D Stala,0,7,1
15,A Durie,0,72,9
38,D Inman,0,56,3
17,C Owens,0,44,4
15,S Watt,0,39,3
6,C Boyd,0,12,3
9,J Barnes,0,9,1
50,A Durie,0,91,5
37,J Barnes,1,72,4
37,C Owens,1,63,4
18,J Johnson,0,37,3
25,D Inman,0,28,2
7,C Boyd,1,17,3
9,S Watt,0,9,1
8,C Williams,0,8,1
55,C Denmark,0,115,4
31,C Simpson,0,31,1
9,K Poblah,0,23,3
16,C Matthews,0,16,1
21,N Lewis,3,98,7
33,C Bauman,0,86,7
16,M McDaniel,0,75,7
32,R Bryant,0,51,2
39,J Forzani,0,49,2
20,L Taylor,1,24,2
9,J Cornish,0,9,1
30,C Getzlaf,1,90,6
20,W Dressler,1,66,5
22,J Harper,0,29,3
11,E Hill,0,16,2
15,J Sisco,0,15,1
5,K Sheets,0,5,1
2,N Hughes,1,2,1
29,A Harris,0,120,11
28,M Iannuzzi,1,99,7
16,N Moore,0,53,5
23,G Simon,0,39,2
20,A Bruce,0,29,2
20,A Foster,0,20,1
39,D Collins,0,64,2
33,H Charles,0,61,3
26,S Chambers,0,39,3
7,F Stamps,0,24,4
17,N Coehoorn,0,17,1
5,C Koch,0,5,1
26,A Fantuz,1,135,8
41,C Williams,0,115,7
28,O Jones,0,51,2
19,C Walker,1,25,4
10,B Grant,1,18,2
6,S Giguere,0,10,2
5,D Stala,0,5,1
1,D Stephenson,1,1,1
37,B London,1,120,5
54,S Green,0,110,6
25,J Richardson,0,64,4
14,B Whitaker,1,46,6
18,T Guy,0,18,1
12,P Lavoie,1,16,2
18,T Edwards,0,67,7
25,C Watson,0,66,7
40,C Matthews,1,52,3
20,C Simpson,0,49,5
37,K Poblah,0,37,1
17,C Denmark,0,23,3
47,F Stamps,1,91,4
28,N Coehoorn,0,64,4
25,C Koch,1,38,2
26,H Charles,0,37,3
4,S Chambers,0,8,2
6,D Collins,0,6,1
28,B London,1,102,5
38,S Green,0,71,5
19,J Richardson,0,70,6
19,P Lavoie,0,52,5
13,E DeSlauriers,0,13,1
4,V Anderson,0,6,2
3,B Whitaker,0,3,1
32,C Owens,2,97,7
55,C Williams,0,70,2
39,D Inman,0,66,3
9,S Watt,0,22,3
10,A Durie,0,14,4
11,J Barnes,0,11,1
26,W Dressler,0,121,9
74,T Smith,1,74,1
26,C Getzlaf,0,51,4
24,E Hill,0,51,4
22,K Sheets,0,29,2
18,T Jeffers Harris,0,26,2
20,J Sanders,1,20,1
8,J Sisco,0,8,1
21,C Williams,1,101,9
52,S Giguere,0,76,3
17,O Jones,2,65,7
23,A Fantuz,0,39,2
12,C Walker,0,28,4
16,D Stala,1,26,2
11,D Stephenson,0,11,1
10,A Kelly,0,10,1
28,N Lewis,0,82,6
13,M McDaniel,0,53,5
36,J Forzani,0,52,3
13,J Cornish,0,24,2
12,R Bryant,0,18,2
15,L Taylor,0,15,1
5,A Franklin,0,5,1
17,A Foster,1,72,5
17,S Gore,0,67,7
32,A Bruce,0,65,5
16,G Simon,0,51,4
19,A Harris,2,37,5
15,N Moore,0,15,1
4,T Brown,0,4,1
3,R Lumbala,0,3,1
