interception touchdowns, interception yards, interceptions, name
0,0,1,Justin March
0,9,1,Lyle Dankenbring
0,64,1,Jordan Johnson
0,0,1,Uona Kaveinga
0,0,1,George Neuhaus
0,37,1,D Gratz
0,20,1,T Brandt
0,0,1,A Tharpe
0,2,1,H Mauga
0,0,1,R Baines
0,0,1,L Wollet
0,0,1,N Wolfe Jr
0,0,1,G Morgan
0,0,1,J Harris
0,8,1,C Nwosu
0,0,1,R Davis
0,44,1,Tim Hasson
0,0,2,Derrick Wells
0,-2,1,Brock Vereen
0,24,1,Joe Kruger
0,0,1,Courtney Hall
0,0,1,L Harold
0,0,1,T Collet
0,17,1,Kenny Ladler
0,37,1,Shaq Wilson
0,0,1,DJoun Smith
0,0,1,RJ Williamson
0,43,1,Jeremy Ioane
0,26,1,Jamar Taylor
0,0,1,Lee Hightower
0,18,1,Byron Moore
0,12,1,Eric Gordon
0,8,1,Prentiss Waggner
0,0,1,Marsalis Teague
0,57,1,Vaughn Carraway
0,22,1,Steffon Batts
0,35,1,Dee Milliner
0,16,1,CJ Mosley
0,0,1,Dillon Lee
0,9,1,Jermaine Robinson
0,12,1,D Bates
0,0,1,R Hall
0,11,1,S Rositano
0,41,1,D Perryman
0,0,1,C Taylor
0,0,1,Lamar Ivey
0,0,1,Troy Sanders
0,31,1,Marcus Roberson
0,0,1,Xavier Rhodes
0,0,1,Josh Manning
0,0,1,Sean Alston
0,0,1,C Mager
0,60,1,Ashante Williams
0,0,1,Michael Buchanan
0,0,1,Earnest Thomas
0,0,1,Donald Celiscar
0,4,1,Brian Williams
0,51,1,Deon Broomfield
0,3,1,Durrell Givens
0,18,1,Marco Nelson
0,31,2,B McDougald
0,0,1,T Patmon
0,0,1,C Powell
0,0,1,S Luxa
0,18,1,Nigel Malone
0,16,1,Rodney Gillis
0,0,1,Eric Reid
0,0,1,Zac Whitfield
0,4,1,J Vellano
0,32,1,B Thompson
0,0,1,D Houston Carson
0,0,1,I Tagoe
0,11,2,Lonnie Ballentine
0,10,1,Frank Crawford
0,23,1,Radarius Winston
0,20,1,Zaviar Gooden
0,52,1,D Slay
0,22,1,M Wells
0,5,1,Parrish Gaines
0,0,1,Manti Teo
0,0,1,Jabari Price
0,0,1,Tim Scott
0,0,1,Edward Burns
0,39,1,Cranston Jones
0,17,1,Joe Stoner
0,17,2,Travis Howard
0,7,1,Lyndell Johnson
0,0,1,Ashton Lampkin
0,3,1,John Wilson
0,25,1,John Boyett
0,5,1,Chaz Scales
0,1,1,Jelani Woseley
0,34,1,L Feichter
0,0,1,W Lucas
0,48,2,B Fox
0,28,1,Tyrell Pearson
0,0,1,Triston Wade
0,43,1,DJ Key
0,49,1,C Ariguzo
0,19,1,Kenny Vaccaro
0,2,1,Carrington Byndom
0,23,1,Ryan Travis
0,14,1,Brandon Jones
0,49,1,Cortez Paige
0,0,1,D Terry
0,27,1,H Pullard
0,14,1,J Shaw
0,39,1,AJ Marshall
0,2,1,Nick Sigmon
0,34,1,Tre Watson
0,2,1,Jonathan Dowling
0,0,1,Jeremy Ross
0,46,1,D Rigg
0,30,1,M Lovett
0,23,1,E Lackey
0,2,1,S Holl
0,0,1,Kyle Fuller
0,0,1,Greg Blair
0,15,1,Deion Belue
0,48,1,J McKnight
0,32,2,J Tevis
0,34,1,A Darby
0,19,2,C Mendoza
0,28,1,Manny Asprilla
0,0,1,Jim Noel
0,0,1,Josh Pettus
0,4,1,Solomon Dixon
0,3,1,Elandon Roberts
0,25,1,Tony Epperson
0,61,1,M Anthony
0,10,1,J Cowser
0,3,1,Darius Robinson
0,0,1,Stephone Anthony
0,55,1,Jason Wilson
0,40,1,Isaiah Lewis
0,0,1,Johnny Adams
0,16,1,Earl Wolff
0,0,1,David Amerson
0,0,1,Brandan Bishop
0,4,1,Marcus Williams
0,20,1,Colin Weingrad
0,25,1,Mike Zimmer
0,0,2,Ben Ericksen
0,8,1,Gregory Hickman
0,25,1,J Golden
0,49,1,James Morris
0,18,1,Tom Donatell
0,26,1,Jacques Washington
0,0,1,Jake Knott
0,0,1,G Brown
0,0,2,B Callahan
0,0,1,Brandon McGee
0,0,1,Vincent Eddie
0,0,1,DaCorris Ford
0,33,1,Ross Rasner
0,0,1,Calvin Pryor
0,4,1,Jalen Mills
0,21,1,Darren Thellen
0,49,2,P Hinkel
0,0,1,Josh Kusan
0,3,1,M Shabazz
0,16,1,Cody Prewitt
0,13,1,Donovan Bonner
0,21,1,Jarvis Jones
0,18,1,Devin Arrington
0,31,2,Johnthan Banks
0,31,1,Darius Slay
0,18,1,Jimmie Ward
0,0,1,Taino Fears Perez
0,47,2,B Jackson
0,12,1,M Trice
0,0,1,Z Whitfield
0,0,1,X Kelly
0,1,1,T Walker
0,9,1,Travis Howard
0,3,1,Orhian Johnson
0,2,1,Etienne Sabino
0,3,1,AJ Bouye
0,22,1,Nathan Carpenter
0,1,1,Javon Harris
0,-1,1,Devan Roberts
0,0,1,Ryan Murphy
0,22,1,J David
0,0,1,Terrell Brigham
0,0,1,Bryson James
0,34,1,Jimmy Legree
0,3,1,DJ Swearinger
0,0,1,Brison Williams
0,0,1,Shaq Wilson
0,13,1,Eric Pinkins
