name, rushes, rushing touchdowns, rushing yards
B Barnett,7,0,-3
J Taylor,16,2,135
N Watson,14,1,80
B Shaw,2,1,15
G Groshek,2,0,11
A Taylor,1,0,5
J Chenal,1,0,2
J Coan,7,0,-14
C Carney,25,0,105
C Beal Smith,11,1,38
J Newman,21,1,36
J Warren,19,1,141
G Bright,9,1,37
J Love,3,0,2
T Birdow,9,0,80
K Remsberg,9,2,62
J Stoner,5,0,56
C Mallard,6,0,53
T Jackson,10,1,43
D Hammond III,5,3,26
N Eriksen,3,1,21
M Murla,3,0,21
C Parton,2,0,19
O Fattah,3,0,15
C Stevenson,2,0,11
J Smith,1,0,11
L Leviston,1,0,8
Q Ntsasa,1,0,4
R Gross,1,0,2
D Kinamon,1,0,0
Z Larrier,1,0,-3
M Twyman,14,0,48
A Mathews,5,0,34
J Froschauer,2,0,12
G Breneman,6,0,11
G Oakey,1,0,8
M Bradley,1,0,0
M Murray,17,0,77
L Bonner,6,0,16
R Graham,1,0,-3
K Freeman,22,0,86
X Jones,18,3,56
U Bentley IV,1,0,3
S Buechele,4,0,3
D Evans,14,1,99
D Harrington,6,0,48
M Williams Jr,7,0,41
Z Thomas,5,1,32
C Peoples,3,0,23
N Clark,3,0,14
J Virgil,2,1,13
T Cobb,1,0,7
Q Holmes,19,0,68
C Lewis,6,0,30
D Twitty,2,0,21
C Thrasher,3,0,12
A Spagnoletti,1,0,8
T Mitchell,2,0,0
J Saylors,3,0,0
M McGue,1,0,-8
R Boyd,18,1,114
D Warren,3,0,37
C Hayden,9,0,28
D Whaley,9,1,21
B Hicks,2,0,6
S Hoffman,4,0,28
D Alexander,14,0,27
E Daigbe,1,0,11
J Eason,5,0,6
E Holtz,2,0,2
C Martin,2,0,1
C Huntley,22,1,81
J Hall,2,0,13
W Fletcher,5,0,11
M Dunner,1,0,4
M Hurt Jr,2,0,-1
D Plitt,8,0,-8
M Penix Jr,7,0,67
S Scott III,19,2,48
W Philyor,1,0,22
R Walker Jr,1,0,14
C Gest,1,0,3
S James,1,0,0
J Lovett,8,1,108
G Bohanon,6,0,84
T Ebner,2,2,32
J Hasty,10,0,25
A Smith,4,1,8
J Clarke,2,0,7
Q Jones,3,0,5
C Brewer,2,0,-1
T Hutchings,10,0,68
J McGowen,7,1,38
D Ward,9,0,10
C Arnold,2,0,7
T Self,4,1,-4
A Dillon,23,1,81
D Bailey,12,1,38
Z Flowers,3,0,25
A Brown,5,1,15
M Richardson,1,0,2
K King,10,0,33
D McClease,11,0,32
J Holston,6,0,19
R Willis,13,0,13
T Turner,1,0,7
R Mahone,24,2,142
G Holani,14,0,70
A Van Buren,5,0,19
J Hightower,2,0,7
C Cord,1,0,-2
A Butler,1,0,-3
H Bachmeier,7,0,-13
C Akers,15,1,116
K Helton,1,0,14
D Matthews,1,0,10
K Laborn,3,0,8
J Blackman,7,0,-25
C Brown Jr,36,1,197
M Dancy,5,0,32
C Garbers,7,0,18
J Hawkins,1,0,-2
R Walker III,1,0,-5
U Gilliam,18,1,89
T Thomas,6,0,12
C Crawford,1,0,6
J Kraft,1,0,0
T Spencer,1,0,0
J Maier,3,0,-24
T Marable,18,0,49
B Carpenter,6,0,22
F Payton,3,0,5
J Hairston,2,0,2
K Tyler,1,0,-4
S Vann,22,0,84
M Glass III,7,1,11
B Turner,2,0,7
W Parker,1,0,2
J Grissom,1,0,1
B Brown,7,0,36
D Jackson,7,0,35
M Durant,7,0,31
Q Harris,10,0,13
J Ford,10,1,64
N Harris,12,0,52
T Tagovailoa,5,0,15
B Robinson Jr,9,1,9
K Robinson,2,0,5
M Jones,2,0,4
M Epstein,8,0,45
R Bonner,6,1,38
R Corbin,6,1,36
B Peters,6,1,36
D Brown,5,0,27
K Sims,8,0,26
J Norwood,4,0,3
T Sidney,1,0,2
M Robinson,2,0,-6
D Sands,14,0,47
B Lee,10,0,34
M Burton,1,0,3
R Kelley,1,0,-7
K Nelson,12,0,-13
M Sargent,14,1,91
T Young,9,1,48
T Goodson,9,0,36
N Stanley,5,0,20
I Smith Marsette,1,0,16
N Ragaini,1,0,2
B Ross,2,0,0
D Johnson,6,0,22
M Thomas,5,0,18
J Bester,5,0,16
T Shelton,2,0,4
J Williamson,1,0,3
B Gabbert,6,0,-4
J Lang,14,0,60
S Croney Jr,13,1,56
B Hall,11,0,47
K Nwangwu,4,0,30
D Jones,1,0,3
B Purdy,2,0,-11
T Allen,15,0,26
A Soko,6,0,5
J James,1,0,3
W McElvain,9,0,0
K Herbert,17,0,88
D Williams,9,0,34
C Stanley,8,0,-19
T McCoy,14,0,88
P Kerlegrand,9,0,31
R Boyle,12,0,21
C Childers,2,0,6
J Gilbert,18,1,115
T Burns,10,1,64
H Trotter,10,1,50
J Brown,11,1,49
J Holcombe II,3,0,39
S Thompson,3,1,30
P Brooks,1,0,8
D Wentzel,1,0,7
N Ast,1,0,-1
J Gums,12,1,75
K Bussey,7,1,54
K Granier,1,0,10
T Smith,1,0,7
C Fourcade,2,0,4
K Smoke,7,1,78
A Rose,16,1,64
C Rodriguez Jr,5,0,34
T Wilson,9,0,1
J Rigg,0,1,0
M Guadagni,14,1,73
B Koback,15,1,73
R Jones,2,0,24
S Seymour,3,0,8
C Bradley,5,1,3
F Hickson,11,0,29
P Pickett,5,0,11
T Henderson,3,0,5
J Mack,2,0,2
J Bennett,1,0,2
D Stubbs,1,0,-12
S Calvert,10,0,-39
M Neal,14,1,89
A Adams,14,1,49
J Howard,9,1,32
T Devito,6,0,21
C Elmore,1,0,1
R Calais,8,0,80
T Ragas,9,1,63
E Mitchell,14,1,31
L Lewis,6,1,-10
K Hill,27,1,197
T Stevens,11,1,37
N Gibson,2,1,27
J Johnson,10,2,173
I Phillips,9,0,43
M McCray,1,0,39
A Vaughn,11,1,32
C Evans,6,0,22
C Suits,1,0,7
K Elder,6,0,82
