assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, position, rebounds, steals, three pointers attempted, three pointers made, turnovers
9,2,15,19,12,3,4,4,41.200,Lebron James,1,2,29,F,16,0,5,1,4
2,0,4,10,3,2,4,4,34.733,Jae Crowder,1,7,11,F,5,2,5,1,1
0,0,8,9,4,2,7,6,28.400,Kevin Love,3,1,15,C,11,0,4,1,2
3,2,1,10,3,1,2,2,28.500,Dwyane Wade,1,0,8,G,2,0,1,0,4
2,0,3,14,5,2,4,3,31.250,Derrick Rose,1,-7,14,G,4,0,3,1,2
2,0,5,3,2,3,3,1,19.600,Tristan Thompson,1,2,5,,6,0,0,0,2
1,0,4,7,4,4,1,1,21.917,JR Smith,0,7,10,,4,0,3,1,0
0,0,1,3,2,3,0,0,12.850,Iman Shumpert,1,6,4,,2,1,0,0,1
0,0,0,8,3,3,0,0,14.233,Jeff Green,0,-2,6,,0,0,1,0,1
0,0,0,0,0,2,0,0,7.317,Kyle Korver,0,-1,0,,0,0,0,0,0
0,0,1,2,1,1,0,0,5.250,Gordon Hayward,0,3,2,F,1,0,1,0,0
3,0,6,12,5,4,3,3,36.533,Jayson Tatum,4,6,14,F,10,0,2,1,1
5,1,7,7,2,2,7,5,32.083,Al Horford,0,8,9,C,7,0,2,0,0
0,0,5,23,11,5,2,1,39.617,Jaylen Brown,1,-5,25,G,6,2,9,2,3
10,0,2,17,8,4,2,2,39.350,Kyrie Irving,2,-1,22,G,4,3,9,4,2
3,2,9,16,5,2,3,2,35.050,Marcus Smart,0,-8,12,,9,2,4,0,2
1,1,3,2,2,5,4,2,19.117,Aron Baynes,2,-14,6,,5,0,0,0,2
0,0,0,2,0,1,0,0,8.650,Semi Ojeleye,0,-10,0,,0,0,1,0,0
2,0,3,6,2,0,4,4,19.533,Terry Rozier,0,4,9,,3,4,3,1,0
0,0,1,1,0,0,0,0,4.817,Shane Larkin,0,2,0,,1,0,1,0,0
7,4,4,15,7,4,5,4,37.633,Kevin Durant,1,11,20,F,5,0,5,2,8
13,0,10,6,2,3,4,4,27.650,Draymond Green,1,7,9,F,11,0,2,1,2
