name, rushes, rushing touchdowns, rushing yards
K Hammon,13,0,74
K Neal,8,0,46
N Arbuckle,5,0,25
D Smith,5,0,4
D Harden,1,0,2
J Lytle,1,1,2
H Sims,14,0,37
D Brown,12,0,34
D Thompson,2,0,17
P McKenzie,7,0,8
K Pohl,7,0,48
C Hundley,5,0,25
J Chisholm,9,1,21
H Lawrence,6,0,17
F Bickley,1,0,4
M Morgan,1,0,2
T Tusan,18,0,60
W Parker,11,0,42
G McGhee,13,0,29
A Freeman,9,0,17
D Foster,15,3,147
K Ballage,12,1,36
D Richard,6,0,24
K Middlebrooks,5,0,18
T Kelly,3,0,14
C Smith,1,0,13
M Bercovici,2,0,10
R Lewis,1,0,5
Z Smith,16,1,128
E Wilkes,11,0,36
B Green,4,0,-5
C Livingston,1,0,-7
T Rawls,25,1,123
S Lavallii,10,0,22
C Rush,7,0,13
J Kroll,1,0,4
T Davis,1,0,3
M Shoemaker Gilmore,1,0,1
R Coluzzi,1,0,-16
K Williams,11,0,64
J Huesman,13,0,40
X Borishade,2,0,11
D Craine,2,0,-2
M Green,1,0,-7
C Donald,26,0,117
T Cain,11,0,46
P Thomas,4,1,15
B Brown,1,0,-4
O Reynolds,16,0,37
J Wolford,11,0,-40
D Cobb,14,0,71
B Edwards,4,2,60
C Streveler,5,0,21
R Williams Jr,6,0,19
M Leidner,7,2,15
D Jones,1,0,0
D Kirkwood,2,0,-3
J Whitlow,19,0,77
S Little,3,0,16
A Manley,8,1,15
T Duncan,4,0,13
J Lera,1,0,2
A Taylor,1,0,2
S Bravo Brown,1,0,-6
M Dodson,4,1,27
J Wilkins,5,0,21
I Mathers,8,0,17
B Wallace,9,0,13
J Liggins,1,0,1
D Kincade,1,0,-2
J Walton,4,0,-3
J Ajayi,20,0,86
G Hedrick,14,0,24
S Williams Rhodes,1,0,23
D Demas,1,0,3
A Daniels,15,0,118
J Bouagnon,16,4,97
D Hare,5,0,51
A Maddie,9,0,51
D Smith,7,1,30
M McIntosh,4,0,27
K Harris Jr,8,0,26
E Saffold,3,0,14
T Lewis,4,0,10
J Huff,3,0,8
D Brown,1,0,5
L Mayes,6,0,31
B Roberts,6,0,17
D Bridges,9,0,12
J McKie,1,0,6
K Griffin,2,0,4
M Hines,2,0,4
D Wilson,1,0,0
H McMath,4,0,-5
L Rose III,30,1,149
B Betancourt,7,0,42
X Hall,6,1,22
T Rogers,3,0,-15
K Garcia,11,0,84
C Nicholls,8,0,67
C Brown,17,0,66
B Howe,8,1,24
D Graves,3,0,12
K Mitchell,2,0,6
B Wilds,9,0,45
M Davis,6,0,15
D Byrd,2,0,14
S Carson,1,0,2
D Thompson,4,0,-9
T Williams,13,1,78
B Williams,11,0,57
T Carson,7,3,30
K Hill,7,0,5
T Tucker,20,0,81
B Monroe,9,1,32
B Jurich,4,1,20
T Ervin,2,0,13
A Jelks,3,0,3
O Burke,1,0,2
J Gray,1,0,-1
C Simmons,13,0,54
J Garman,8,1,36
J Mollberg,8,0,26
A Shaugabay,2,0,6
D Ferguson,1,0,-4
T Dickerson,15,0,84
K Lucas,3,0,36
J Flanders,8,0,32
D Brewer,4,0,11
D Evans,6,0,-9
S Badie,15,1,215
D Hilliard,3,0,17
L Thompson,5,0,11
D Butler,3,0,8
T Lee,4,0,3
D Booker,10,2,78
B Poole,6,1,42
