name, receiving touchdowns, receiving yards, receptions
L Blair,1,118,8
J Ruiz,2,111,7
R Davis,0,90,8
A Sweeting,1,46,2
D Harden,0,27,3
K Neal,0,11,1
D Smith,0,5,1
T Boyd,0,5,1
D Thompson,0,156,9
C Stone,1,60,4
C Gilbert,1,60,1
J Hudson,1,47,5
J Walker,1,41,3
N Cheshier,0,14,2
M Green Avery,0,10,1
J Parker,0,9,1
H Sims,0,6,4
M Traylor Bennett,2,89,4
L Smith,1,74,5
A Wolf,1,70,3
K Sconiers,0,61,4
Z DOrazio,0,37,4
A Ritossa,0,22,2
T Williams,0,18,1
I Davis,1,14,3
J Chisholm,0,11,1
T Brown,0,39,4
A Freeman,0,13,4
W Parker,0,6,2
R Mercer,0,6,1
M Colvin,0,4,1
J Strong,0,146,10
G Chambers,1,46,2
E Jefferson,1,37,4
D Foster,0,26,4
D Richard,0,22,1
C Smith,0,14,1
K Ballage,0,6,1
R Lewis,0,6,1
S Kehano,1,99,6
C Livingston,0,40,5
Z Smith,0,9,1
D Batchelor,0,5,1
B Corpus,0,3,1
J Kroll,1,65,3
C Williams,1,46,4
S Lavallii,0,29,2
A Rice,0,15,3
T Davis,0,11,1
T Rawls,0,7,2
T Hudson,2,78,2
F Shafaat,0,22,1
C Board,0,19,2
R Bagley,0,18,2
X Borishade,0,14,2
T Dye,0,11,1
D Craine,0,-4,1
K Williams,0,-8,2
K Jackson,0,83,6
T Cook,0,35,3
T Cain,0,20,4
A Osborne,0,17,3
C Donald,0,16,4
A Holley,0,12,2
R Ceaser,0,6,1
M James,0,40,3
E Scott,0,32,3
C Serigne,0,18,3
J Crump,0,8,2
O Reynolds,0,-1,1
M Williams,0,57,2
D Jones,1,57,3
D Cobb,0,22,2
B Lingen,0,12,1
R Williams Jr,0,6,1
B Edwards,0,2,1
A Drake,1,109,11
S Bravo Brown,0,66,6
J Powell,0,34,3
J Whitlow,0,25,1
S Little,0,22,2
J LePak,0,20,3
J Lera,1,11,1
T Pendergrass,0,11,2
N Shepherd,0,7,1
A Taylor,0,4,1
T Duncan,0,1,1
C Core,2,110,4
L Treadwell,1,105,7
J Walton,0,51,3
E Engram,0,41,4
V Sanders,0,36,2
Q Adeboyejo,1,29,2
M Dodson,0,15,3
J Ajayi,1,93,12
M Miller,0,84,6
S Williams Rhodes,0,53,14
J Roh,0,34,4
D Brown,1,91,7
J Brescacin,1,53,2
T Lewis,0,25,3
E Saffold,0,24,1
C Beebe,0,9,2
A Turner,0,5,1
A Daniels,0,5,1
J Bouagnon,0,-1,2
D Wilson,0,27,1
J Hallums,0,14,2
T Antigha,0,7,3
J McKie,0,6,1
B Roberts,0,6,1
D Glenn,0,0,1
D Bridges,0,-2,1
T Morgan,1,51,6
J Brown,0,44,4
G Hogan,0,25,1
J Matthews,0,19,2
J Bowen,0,6,1
L Rose III,1,-27,4
C Nicholls,0,4,1
R Jackson Jr,0,2,1
N Jones,2,113,5
P Cooper,1,58,3
R Anderson,0,52,3
D Byrd,1,46,1
J Adams,0,40,2
B Wilds,0,32,2
K Brent,0,13,1
S Carson,0,9,1
S Roland,0,2,1
M Davis,0,1,1
M Kennedy,0,137,14
J Reynolds,1,76,6
E Pope,1,75,4
R Seals Jones,1,67,5
S Noil,0,55,5
S Holmes,0,32,2
B Niederhofer,0,18,3
T Carson,0,16,1
B Williams,0,13,1
C Clear,0,12,1
F Iheanacho,0,10,1
T Williams,0,0,1
T Winston,2,96,10
H Wilson,0,85,4
T Tucker,0,22,1
B Freeman,0,21,2
S Smith,1,12,3
B Monroe,0,10,1
C Kearney,0,6,1
T Ervin,0,4,1
K Ruhe,0,51,1
J Garman,0,23,1
R McGill,0,21,3
T Ivery,0,13,2
D Ferguson,0,10,1
D Iverson,0,6,1
Z Adler,0,4,2
B Walker,0,2,2
C Simmons,0,-4,1
K Lucas,3,233,13
K Garrett,0,87,5
J Atkinson,0,80,7
C Floyd,1,25,3
T Dickerson,0,14,1
J Flanders,0,-1,2
J Shackleford,0,113,8
X Rush,1,68,3
C Jones,1,23,2
T Encalade,0,21,3
D Breaux,0,13,1
T Veal,0,12,1
D Butler,1,6,2
S Badie,0,6,2
D Anderson,0,111,4
D Booker,0,61,1
W Tonga,0,61,5
K Scott,1,57,4
B Poole,0,18,2
K Clay,0,13,2
D McClellon,0,12,2
T Patrick,0,9,1
D Hatfield,0,9,1
K Williams,1,43,4
A Prier,0,35,2
B Malcom,1,25,4
M Mangum,0,25,4
J Cook,0,17,3
X Finney,0,11,3
D McSurdy,0,2,1
C Duncan,0,58,2
S Scheu,0,45,3
L Rayford,0,43,4
J Cunningham,0,19,3
D Dudchock,0,19,1
T Wilkins,0,19,1
D van der Wal,0,12,1
C Scott,0,9,1
B Shippen,1,60,2
N Hairston,0,48,7
J Fitzpatrick,1,46,5
K Herbin,0,39,5
J Thomas,0,5,1
W Omuso,0,4,1
R Deloatch,0,3,1
K Harper,0,2,1
V Mayle,1,124,12
I Myers,2,94,6
R Galvin,1,86,4
R Cracraft,1,83,8
D Williams,0,64,1
K Williams,0,36,2
G Wicks,0,18,2
J Morrow,0,15,2
T West,0,6,1
C Green,0,6,2
L Carroo,1,151,6
J Grant,0,48,4
J Tsimis,1,40,3
M Burton,0,36,2
M Flanagan,0,6,1
A Hill,1,110,3
S Grant,1,101,4
N Phillips,1,56,2
T Griffey,0,52,4
D Richards,0,30,5
C Jones,0,30,3
D Neal,1,29,2
T Jones Grigsby,0,12,1
T Johnson,0,8,1
N Wilson,0,6,1
D Boyd,0,102,6
D Davis,0,100,8
K Keys,0,25,3
M Mataele,0,18,1
A Williams,1,5,2
M Sullivan,0,2,1
G Naufahu,0,0,1
N Spruce,2,104,7
D Goodson,0,60,2
S Fields,0,46,8
S Irwin,0,19,2
T McCulloch,0,14,2
C Powell,0,2,1
M Adkins II,0,-4,2
D Hart,0,35,3
X Williams,0,29,3
K Cartwright,0,22,1
R Higgins,1,16,1
S Walker,0,15,2
J Vaden,0,11,1
T Jarrells,0,8,1
C Lovett,0,-2,1
G Davis,0,96,7
K Abrams,0,38,3
S McQuillan,0,33,3
A Bloom,0,24,2
N Thomas,0,18,2
A Newsome,0,18,1
J Marriner,0,17,1
D Bradley,0,15,1
R Johnson,0,11,1
D Foxx,0,8,2
