assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, rebounds, steals, three pointers attempted, three pointers made, turnovers
3,1,4,8,4,3,6,5,32.000,Alyssa Thomas,3,-2,13,7,0,0,0,0
1,0,1,13,4,2,0,0,29.000,Camille Little,2,1,9,3,0,5,1,2
2,1,5,12,7,5,0,0,29.000,Kelsey Bone,1,-3,14,6,2,0,0,3
2,1,2,12,5,1,3,3,32.000,Alex Bentley,0,-1,17,2,4,5,4,1
4,0,4,10,1,3,4,4,30.000,Jasmine Thomas,1,-7,6,5,0,6,0,0
1,0,1,5,2,2,0,0,9.000,Chelsea Gray,1,2,4,2,0,1,0,1
1,0,3,5,1,0,4,3,10.000,Elizabeth Williams,2,-2,5,5,0,0,0,0
0,0,2,4,0,0,0,0,10.000,Kayla Pedersen,1,-6,0,3,0,0,0,0
0,1,2,2,0,0,0,0,9.000,Shekinna Stricklen,0,-4,0,2,0,1,0,1
1,0,0,0,0,1,0,0,5.000,Kelly Faris,1,-3,0,1,0,0,0,0
2,0,3,7,2,1,2,2,23.000,Tierra Ruffin Pratt,3,-2,7,6,1,2,1,1
2,3,5,10,4,3,0,0,31.000,Emma Meesseman,2,7,8,7,1,0,0,2
0,1,6,12,7,4,4,4,31.000,Stefanie Dolson,6,6,18,12,0,0,0,1
1,0,2,10,3,1,3,3,28.000,Kara Lawson,2,6,10,4,0,5,1,0
5,0,3,12,3,3,6,6,31.000,Ivory Latta,1,13,15,4,0,9,3,3
3,1,4,4,1,2,2,1,16.000,Natasha Cloud,0,-6,3,4,0,2,0,0
1,0,0,4,3,3,0,0,11.000,Kayla Thornton,0,0,6,0,0,0,0,2
0,1,1,7,2,1,2,1,15.000,Tayler Hill,1,-1,6,2,0,4,1,0
2,0,1,1,0,0,0,0,5.000,Armintie Price Herrington,0,5,0,1,0,0,0,0
0,0,1,1,0,0,0,0,4.000,Ally Malott,0,-3,0,1,0,0,0,0
3,1,0,5,2,5,1,1,16.000,Essence Carson,0,3,5,0,0,1,0,2
3,0,12,13,6,1,8,5,30.000,Tina Charles,0,-2,17,12,1,1,0,3
0,3,3,2,1,1,0,0,17.000,Kiah Stokes,0,-14,2,3,0,0,0,0
0,0,2,2,0,0,0,0,11.000,Candice Wiggins,0,-5,0,2,0,1,0,1
5,0,2,8,4,4,7,5,32.000,Tanisha Wright,1,0,14,3,0,2,1,0
1,0,1,5,2,2,2,2,15.000,Carolyn Swords,1,21,6,2,2,0,0,0
3,0,3,7,4,4,6,6,19.000,Brittany Boyd,1,12,14,4,4,2,0,3
0,0,2,6,3,0,0,0,19.000,Rebecca Allen,1,11,6,3,3,2,0,2
0,0,2,8,6,1,2,2,24.000,Swin Cash,0,5,15,2,2,2,1,3
1,0,1,4,1,2,0,0,14.000,Sugar Rodgers,0,14,3,1,1,4,1,1
1,1,3,6,1,4,3,2,29.000,Sancho Lyttle,0,-5,4,3,1,0,0,0
3,1,4,19,8,4,10,10,36.000,Angel McCoughtry,4,-5,27,8,3,2,1,4
1,1,3,5,2,5,1,1,27.000,Erika de Souza,1,-5,5,4,0,0,0,3
1,0,0,18,5,3,4,4,28.000,Tiffany Hayes,2,6,17,2,2,8,3,3
4,0,7,9,4,3,0,0,24.000,Shoni Schimmel,1,5,10,8,1,6,2,3
3,0,1,3,1,1,2,1,16.000,Erica Wheeler,2,-12,3,3,0,0,0,2
0,0,0,1,1,0,0,0,4.000,Aneika Henry,0,-9,2,0,0,0,0,1
1,0,4,4,1,0,2,0,19.000,Roneeka Hodges,2,-14,3,6,0,4,1,1
0,0,0,2,1,2,0,0,11.000,Nadia Gomes Colhado,0,-2,2,0,0,0,0,0
1,0,0,0,0,0,0,0,2.000,Matee Ajavon,0,-4,0,0,1,0,0,2
2,0,3,17,8,5,3,2,25.000,Maya Moore,0,3,23,3,1,9,5,1
2,1,11,9,6,1,3,2,36.000,Rebekkah Brunson,7,1,14,18,1,0,0,2
2,1,4,1,0,4,0,0,19.000,Damiris Dantas,0,-9,0,4,0,0,0,3
3,2,4,22,7,1,2,2,33.000,Seimone Augustus,1,-4,16,5,1,0,0,4
6,1,4,13,9,1,8,8,31.000,Lindsay Whalen,0,15,26,4,0,0,0,2
0,0,2,4,0,0,0,0,17.000,Tricia Liston,0,5,0,2,0,4,0,1
2,1,7,2,1,2,0,0,23.000,Devereaux Peters,2,24,2,9,0,0,0,3
1,0,0,1,0,1,2,2,10.000,Jennifer ONeill,0,5,2,0,0,0,0,0
0,0,1,5,1,1,3,3,21.000,Karima Christmas,1,16,5,2,0,1,0,1
2,1,5,17,8,1,0,0,35.000,Plenette Pierson,1,-3,18,6,1,4,2,0
3,2,7,3,2,4,0,0,29.000,Courtney Paris,3,10,4,10,0,0,0,1
7,0,6,18,6,2,3,3,33.000,Odyssey Sims,1,6,17,7,2,8,2,3
4,0,0,17,6,3,2,2,30.000,Skylar Diggins,1,-8,15,1,2,3,1,1
1,0,2,11,3,2,2,2,17.000,Riquna Williams,1,-12,9,3,1,5,1,0
0,0,0,4,1,2,0,0,13.000,Jordan Hooper,1,-19,3,1,0,2,1,0
0,0,0,1,0,1,0,0,4.000,Amanda Zahui B,0,-15,0,0,0,0,0,0
0,0,1,1,1,1,0,0,5.000,Vicki Baugh,0,-7,2,1,0,0,0,0
0,0,0,1,0,1,2,2,4.000,Brianna Kiesel,0,-7,2,0,0,1,0,0
0,0,1,1,0,1,0,0,4.000,Theresa Plaisance,0,-1,0,1,0,0,0,0
2,2,3,7,2,3,6,5,28.000,Tamera Young,1,26,9,4,4,0,0,2
1,4,5,20,11,3,10,9,33.000,Elena Delle Donne,3,26,31,8,3,3,0,1
0,0,1,2,2,1,0,0,17.000,Sasha Goodlett,0,10,4,1,0,0,0,0
4,0,3,12,4,1,0,0,24.000,Cappie Pondexter,0,10,8,3,2,1,0,1
4,0,5,7,3,3,6,6,24.000,Courtney Vandersloot,0,23,13,5,2,2,1,1
4,1,4,7,3,0,0,0,19.000,Jessica Breland,9,21,6,13,0,0,0,0
1,0,2,4,1,2,2,2,11.000,Jamierra Faulkner,0,4,4,2,0,0,0,2
5,1,0,9,2,4,0,0,18.000,Allie Quigley,1,-5,4,1,1,1,0,2
0,0,4,5,4,2,0,0,11.000,Cheyenne Parker,0,6,8,4,1,0,0,2
0,1,0,2,1,2,0,0,3.000,Victoria Macaulay,0,-2,2,0,1,0,0,0
1,0,2,1,1,0,0,0,3.000,Clarissa Dos Santos,1,-2,2,3,0,0,0,0
0,0,0,2,2,1,2,0,3.000,Betnijah Laney,0,-2,4,0,0,0,0,0
1,0,0,12,4,3,0,0,24.000,Shenise Johnson,3,-14,9,3,1,4,1,2
1,0,1,13,7,2,1,1,29.000,Marissa Coleman,0,-16,18,1,1,7,3,5
1,1,5,6,1,4,5,2,15.000,Natasha Howard,3,-14,4,8,1,0,0,2
0,0,0,2,0,1,0,0,16.000,Jeanette Pohlen,0,-28,0,0,1,1,0,3
3,1,1,6,3,2,0,0,26.000,Briann January,1,-11,9,2,1,4,3,2
1,0,3,7,3,2,4,3,18.000,Layshia Clarendon,1,-17,9,4,0,1,0,2
2,0,1,5,2,3,3,2,14.000,Lynetta Kizer,1,-17,6,2,0,0,0,2
1,1,0,3,0,1,2,1,11.000,Maggie Lucas,0,-3,1,0,0,2,0,0
0,0,0,3,1,0,0,0,13.000,Briana Butler,0,1,2,0,1,1,0,0
2,0,5,5,4,2,3,2,15.000,Natalie Achonwa,1,2,10,6,0,0,0,1
2,0,4,4,1,3,5,2,14.000,Erlana Larkins,1,2,4,5,0,0,0,1
3,0,2,19,7,1,8,6,33.000,DeWanna Bonner,4,-5,21,6,2,4,1,2
2,1,6,10,5,3,4,4,38.000,Candice Dupree,3,5,14,9,4,0,0,1
1,0,1,5,2,4,0,0,22.000,Mistie Bass,0,4,4,1,2,0,0,2
2,0,3,14,6,4,0,0,25.000,Monique Currie,0,11,12,3,0,2,0,2
3,0,1,10,4,3,2,2,29.000,Leilani Mitchell,0,3,11,1,1,2,1,0
0,0,3,7,5,4,0,0,17.000,Cayla Francis,0,1,10,3,2,2,0,2
0,1,1,2,1,1,1,1,15.000,Alex Harden,2,1,3,3,0,1,0,0
0,1,4,1,0,1,2,1,16.000,Noelle Quinn,0,5,1,4,0,0,0,2
